"day","address","location","date","month","year","hour","min","STOLENPROPERTY"
7,4327,7,22,3,2015,17,56,1
6,4440,8,21,3,2015,21,20,1
6,4460,1,21,3,2015,18,30,1
6,3243,1,21,3,2015,18,0,1
6,772,10,21,3,2015,10,30,1
5,3569,1,20,3,2015,18,30,1
5,4649,7,20,3,2015,2,41,1
4,176,1,19,3,2015,17,0,1
4,872,2,19,3,2015,14,51,1
4,4739,3,19,3,2015,13,0,1
4,4762,5,19,3,2015,8,0,1
4,1682,8,19,3,2015,5,20,1
3,4826,4,18,3,2015,16,10,1
3,4828,3,18,3,2015,15,41,1
3,4829,8,18,3,2015,15,35,1
3,3033,3,18,3,2015,14,0,1
3,4880,2,18,3,2015,1,0,1
3,4882,1,18,3,2015,0,30,1
2,138,2,17,3,2015,8,47,1
2,1586,5,17,3,2015,5,34,1
1,3355,7,16,3,2015,10,17,1
1,5112,10,16,3,2015,3,41,1
7,5138,4,8,3,2015,20,4,1
7,138,2,8,3,2015,17,54,1
7,5183,9,8,3,2015,13,10,1
6,1734,1,7,3,2015,14,30,1
6,2155,2,7,3,2015,11,52,1
6,2745,7,7,3,2015,3,45,1
5,5450,4,6,3,2015,4,55,1
4,125,2,5,3,2015,19,30,1
4,4266,1,5,3,2015,19,15,1
4,4101,9,5,3,2015,18,20,1
4,1464,3,5,3,2015,16,8,1
4,926,4,5,3,2015,16,0,1
3,2737,3,4,3,2015,17,23,1
3,5648,3,4,3,2015,0,13,1
2,2113,9,3,3,2015,16,30,1
2,2113,9,3,3,2015,16,30,1
2,3875,2,3,3,2015,14,5,1
2,5715,5,3,3,2015,14,0,1
1,5774,6,2,3,2015,20,0,1
1,408,2,2,3,2015,13,30,1
1,5843,5,2,3,2015,2,25,1
1,4704,6,2,3,2015,1,0,1
7,2035,10,22,2,2015,23,56,1
6,2548,8,21,2,2015,23,0,1
6,3307,4,21,2,2015,21,22,1
6,5989,3,21,2,2015,20,0,1
5,138,2,20,2,2015,23,19,1
5,6089,1,20,2,2015,21,45,1
5,125,2,20,2,2015,15,30,1
5,138,2,20,2,2015,15,0,1
5,428,4,20,2,2015,10,15,1
5,872,2,20,2,2015,0,33,1
4,511,4,19,2,2015,18,30,1
4,347,8,19,2,2015,15,36,1
4,2392,3,19,2,2015,11,44,1
3,3038,1,18,2,2015,22,19,1
3,4266,1,18,2,2015,14,42,1
3,1393,10,18,2,2015,0,41,1
2,2023,5,17,2,2015,22,0,1
2,1823,1,17,2,2015,17,40,1
2,1557,9,17,2,2015,16,24,1
1,2347,4,16,2,2015,22,56,1
1,2290,1,16,2,2015,20,46,1
1,4941,1,16,2,2015,13,5,1
7,1673,5,8,2,2015,14,15,1
7,3673,3,8,2,2015,10,4,1
7,501,4,8,2,2015,7,15,1
6,2693,1,7,2,2015,9,0,1
5,263,1,6,2,2015,18,37,1
5,939,5,6,2,2015,1,21,1
3,6888,3,4,2,2015,19,15,1
3,346,1,4,2,2015,16,50,1
3,125,2,4,2,2015,14,0,1
1,7043,3,2,2,2015,22,17,1
1,138,2,2,2,2015,14,46,1
7,114,8,25,1,2015,14,10,1
6,1373,1,24,1,2015,21,5,1
6,3725,10,24,1,2015,2,36,1
5,2314,1,23,1,2015,12,58,1
4,6888,3,22,1,2015,17,7,1
3,656,9,21,1,2015,23,52,1
3,872,2,21,1,2015,21,51,1
3,363,2,21,1,2015,4,0,1
3,7486,1,21,1,2015,1,28,1
2,7504,5,20,1,2015,20,2,1
2,3308,4,20,1,2015,10,52,1
2,7547,8,20,1,2015,1,20,1
2,2270,1,20,1,2015,0,30,1
2,2270,1,20,1,2015,0,30,1
1,2602,1,19,1,2015,18,0,1
1,2382,1,19,1,2015,13,0,1
1,511,4,19,1,2015,7,37,1
1,4381,8,19,1,2015,2,57,1
7,518,10,11,1,2015,15,15,1
7,619,8,11,1,2015,8,15,1
6,7708,3,10,1,2015,21,17,1
6,4701,5,10,1,2015,19,10,1
6,7722,1,10,1,2015,18,30,1
6,7726,2,10,1,2015,16,0,1
6,6086,1,10,1,2015,5,4,1
5,7782,5,9,1,2015,20,0,1
5,870,4,9,1,2015,18,5,1
4,1965,5,8,1,2015,23,57,1
4,54,1,8,1,2015,11,26,1
4,3105,9,8,1,2015,10,13,1
2,4450,4,6,1,2015,19,55,1
1,931,1,5,1,2015,20,30,1
1,3634,1,5,1,2015,15,25,1
1,3604,4,5,1,2015,1,59,1
7,8136,2,28,12,2014,14,36,1
7,5718,4,28,12,2014,14,0,1
7,1095,5,28,12,2014,10,24,1
7,8159,3,28,12,2014,0,52,1
6,2648,3,27,12,2014,18,18,1
6,5054,2,27,12,2014,12,34,1
6,8211,2,27,12,2014,3,13,1
5,8221,4,26,12,2014,22,30,1
5,1416,2,26,12,2014,14,28,1
4,6398,4,25,12,2014,21,32,1
4,1427,1,25,12,2014,20,41,1
4,3711,1,25,12,2014,8,30,1
4,6785,5,25,12,2014,0,37,1
3,829,1,24,12,2014,14,3,1
3,1559,4,24,12,2014,14,2,1
3,2772,9,24,12,2014,11,30,1
3,259,5,24,12,2014,10,55,1
3,1555,2,24,12,2014,0,45,1
2,608,2,23,12,2014,19,40,1
2,138,10,23,12,2014,17,55,1
2,365,1,23,12,2014,12,0,1
7,4053,9,14,12,2014,17,45,1
7,4234,1,14,12,2014,14,50,1
7,2319,3,14,12,2014,8,0,1
7,8547,7,14,12,2014,2,10,1
6,331,2,13,12,2014,15,54,1
6,8498,5,13,12,2014,11,0,1
6,5696,2,13,12,2014,6,45,1
6,282,6,13,12,2014,4,10,1
5,496,6,12,12,2014,23,0,1
5,2041,10,12,12,2014,13,45,1
5,8671,4,12,12,2014,7,50,1
5,4992,4,12,12,2014,3,45,1
4,451,2,11,12,2014,16,38,1
4,419,5,11,12,2014,16,0,1
4,643,4,11,12,2014,15,9,1
2,1975,2,9,12,2014,23,31,1
2,125,2,9,12,2014,15,0,1
2,3189,1,9,12,2014,3,5,1
2,97,2,9,12,2014,2,15,1
1,3937,4,8,12,2014,21,17,1
1,3329,10,8,12,2014,16,3,1
1,976,4,8,12,2014,16,0,1
1,1897,1,8,12,2014,7,0,1
7,421,1,30,11,2014,16,30,1
7,4767,3,30,11,2014,12,15,1
7,8936,8,30,11,2014,3,2,1
6,2041,10,29,11,2014,17,0,1
6,8971,8,29,11,2014,14,13,1
6,8523,7,29,11,2014,3,26,1
5,1869,8,28,11,2014,15,19,1
4,1682,8,27,11,2014,23,12,1
4,1682,8,27,11,2014,23,12,1
4,2720,10,27,11,2014,17,0,1
4,2737,3,27,11,2014,15,25,1
4,666,2,27,11,2014,10,30,1
4,1965,5,27,11,2014,9,19,1
4,9076,1,27,11,2014,4,9,1
3,9105,5,26,11,2014,17,0,1
3,7515,1,26,11,2014,12,30,1
2,1157,2,25,11,2014,15,2,1
2,4642,8,25,11,2014,11,0,1
1,5035,7,24,11,2014,18,15,1
1,9222,5,24,11,2014,15,0,1
1,138,2,24,11,2014,13,27,1
1,138,2,24,11,2014,13,27,1
7,501,4,16,11,2014,18,0,1
7,359,10,16,11,2014,13,43,1
6,9308,3,15,11,2014,22,38,1
6,784,2,15,11,2014,22,0,1
6,386,2,15,11,2014,20,0,1
5,2014,3,14,11,2014,12,0,1
5,88,2,14,11,2014,11,45,1
5,2050,6,14,11,2014,1,30,1
5,1406,4,14,11,2014,1,30,1
4,125,2,13,11,2014,21,30,1
4,9437,4,13,11,2014,15,13,1
3,2755,2,12,11,2014,3,29,1
2,3301,2,11,11,2014,11,34,1
2,3642,1,11,11,2014,2,5,1
1,3422,1,10,11,2014,22,0,1
1,4400,1,10,11,2014,16,8,1
1,1431,10,10,11,2014,8,5,1
1,2708,5,10,11,2014,3,0,1
7,7942,5,2,11,2014,17,30,1
7,1373,1,2,11,2014,13,39,1
6,2478,8,1,11,2014,14,11,1
6,2037,5,1,11,2014,0,23,1
5,125,2,31,10,2014,20,4,1
4,4105,4,30,10,2014,21,45,1
3,1664,1,29,10,2014,21,0,1
3,8418,4,29,10,2014,18,0,1
3,343,4,29,10,2014,15,22,1
3,4436,1,29,10,2014,12,44,1
2,1916,9,28,10,2014,23,8,1
2,5971,4,28,10,2014,3,15,1
2,9919,2,28,10,2014,1,8,1
2,8298,1,28,10,2014,0,43,1
1,9936,3,27,10,2014,16,50,1
1,4103,7,27,10,2014,15,5,1
1,7422,1,27,10,2014,13,30,1
7,1441,1,19,10,2014,22,21,1
7,8916,1,19,10,2014,15,25,1
7,2365,5,19,10,2014,14,0,1
7,6839,5,19,10,2014,9,50,1
7,2754,1,19,10,2014,0,54,1
6,2414,3,18,10,2014,20,10,1
5,10062,4,17,10,2014,22,42,1
5,176,1,17,10,2014,18,31,1
4,2348,1,16,10,2014,18,0,1
4,974,8,16,10,2014,16,39,1
4,554,10,16,10,2014,9,0,1
3,3747,1,15,10,2014,12,47,1
3,10187,1,15,10,2014,11,20,1
3,1641,2,15,10,2014,8,12,1
3,5380,1,15,10,2014,4,51,1
3,8360,4,15,10,2014,4,5,1
3,2369,4,15,10,2014,1,50,1
2,5801,1,14,10,2014,22,32,1
2,10224,3,14,10,2014,16,24,1
2,925,2,14,10,2014,14,10,1
2,7469,5,14,10,2014,6,55,1
1,1415,4,13,10,2014,0,45,1
7,1521,9,5,10,2014,16,57,1
7,1984,9,5,10,2014,13,0,1
7,1917,2,5,10,2014,5,17,1
6,1539,2,4,10,2014,21,3,1
6,7769,8,4,10,2014,16,20,1
6,3708,4,4,10,2014,12,45,1
6,3353,6,4,10,2014,1,20,1
5,11,10,3,10,2014,23,50,1
5,3362,5,3,10,2014,23,0,1
5,9499,4,3,10,2014,21,19,1
5,7152,4,3,10,2014,18,15,1
5,359,10,3,10,2014,18,0,1
5,551,5,3,10,2014,11,10,1
5,6352,8,3,10,2014,8,57,1
5,92,1,3,10,2014,7,35,1
4,3747,1,2,10,2014,14,52,1
3,10497,9,1,10,2014,19,50,1
3,7046,1,1,10,2014,14,0,1
3,10521,4,1,10,2014,11,10,1
2,10038,3,30,9,2014,23,3,1
2,6164,1,30,9,2014,13,0,1
2,232,4,30,9,2014,4,13,1
2,616,4,30,9,2014,0,47,1
1,844,5,29,9,2014,20,38,1
7,4209,2,21,9,2014,12,20,1
7,619,8,21,9,2014,9,50,1
7,1524,3,21,9,2014,9,44,1
5,7352,8,19,9,2014,22,34,1
5,88,2,19,9,2014,17,30,1
5,408,2,19,9,2014,15,31,1
5,1730,10,19,9,2014,15,15,1
5,6931,4,19,9,2014,9,0,1
5,10742,5,19,9,2014,7,0,1
4,2945,3,18,9,2014,20,18,1
4,9463,3,18,9,2014,16,37,1
4,10762,6,18,9,2014,16,30,1
3,125,2,17,9,2014,16,20,1
3,392,4,17,9,2014,15,56,1
2,1204,2,16,9,2014,18,26,1
2,872,2,16,9,2014,17,10,1
2,872,2,16,9,2014,17,10,1
2,6943,6,16,9,2014,1,38,1
6,2807,5,6,9,2014,17,0,1
6,125,2,6,9,2014,15,42,1
6,94,1,6,9,2014,14,19,1
5,698,2,5,9,2014,19,58,1
5,6010,1,5,9,2014,17,20,1
5,7223,1,5,9,2014,12,30,1
5,1580,10,5,9,2014,1,26,1
4,1345,1,4,9,2014,20,34,1
4,4805,8,4,9,2014,15,30,1
4,363,2,4,9,2014,14,50,1
4,9224,6,4,9,2014,14,40,1
4,2622,2,4,9,2014,8,0,1
2,1459,5,2,9,2014,18,3,1
2,122,4,2,9,2014,18,0,1
2,11087,1,2,9,2014,17,18,1
2,2303,5,2,9,2014,14,15,1
2,1257,5,2,9,2014,13,45,1
2,11101,8,2,9,2014,9,0,1
1,139,2,1,9,2014,22,30,1
7,4703,1,24,8,2014,21,59,1
7,268,1,24,8,2014,13,30,1
7,1742,1,24,8,2014,0,1,1
6,1980,8,23,8,2014,19,20,1
6,166,10,23,8,2014,11,40,1
5,5115,3,22,8,2014,22,0,1
5,2106,7,22,8,2014,18,20,1
4,11264,2,21,8,2014,13,52,1
3,701,9,20,8,2014,16,1,1
3,2190,6,20,8,2014,15,30,1
3,8632,1,20,8,2014,8,56,1
2,4984,1,19,8,2014,14,20,1
2,7965,5,19,8,2014,0,21,1
1,11358,8,18,8,2014,18,36,1
1,11362,3,18,8,2014,17,0,1
1,9315,3,18,8,2014,16,54,1
1,11387,3,18,8,2014,8,1,1
1,1682,8,18,8,2014,5,35,1
7,3509,1,10,8,2014,18,45,1
7,11420,4,10,8,2014,16,0,1
7,6071,4,10,8,2014,3,40,1
6,52,5,9,8,2014,23,6,1
6,3825,1,9,8,2014,20,10,1
6,2869,10,9,8,2014,16,14,1
6,6894,8,9,8,2014,11,30,1
5,11484,4,8,8,2014,19,47,1
5,11303,3,8,8,2014,11,52,1
4,744,10,7,8,2014,22,2,1
4,11542,1,7,8,2014,4,50,1
3,926,4,6,8,2014,18,25,1
3,6036,1,6,8,2014,14,37,1
3,6002,1,6,8,2014,1,40,1
2,925,2,5,8,2014,23,23,1
1,3569,1,4,8,2014,20,5,1
1,1027,1,4,8,2014,16,30,1
6,3903,8,26,7,2014,3,47,1
5,2364,6,25,7,2014,20,0,1
5,3149,1,25,7,2014,18,0,1
5,7056,5,25,7,2014,5,35,1
4,3251,7,24,7,2014,21,17,1
4,73,7,24,7,2014,20,0,1
3,4612,6,23,7,2014,3,37,1
2,5621,4,22,7,2014,22,17,1
2,8766,6,22,7,2014,17,30,1
2,1955,9,22,7,2014,15,30,1
2,27,5,22,7,2014,15,0,1
2,10274,3,22,7,2014,2,8,1
1,1992,6,21,7,2014,23,0,1
7,3191,4,13,7,2014,22,42,1
7,146,10,13,7,2014,17,5,1
7,644,1,13,7,2014,0,3,1
6,7274,2,12,7,2014,23,50,1
6,753,2,12,7,2014,17,55,1
5,408,2,11,7,2014,19,20,1
4,408,2,10,7,2014,13,0,1
4,4891,4,10,7,2014,8,42,1
3,3533,1,9,7,2014,21,30,1
3,8319,3,9,7,2014,18,33,1
3,3364,5,9,7,2014,17,0,1
2,5083,3,8,7,2014,23,16,1
2,3604,4,8,7,2014,23,0,1
2,10968,8,8,7,2014,11,30,1
2,10273,7,8,7,2014,11,9,1
2,975,2,8,7,2014,7,58,1
2,7623,4,8,7,2014,1,10,1
1,1722,2,7,7,2014,21,38,1
1,12104,5,7,7,2014,15,0,1
1,12121,5,7,7,2014,0,23,1
1,2614,8,7,7,2014,0,15,1
7,157,10,29,6,2014,17,45,1
6,5479,5,28,6,2014,4,18,1
5,2408,8,27,6,2014,13,0,1
5,5479,5,27,6,2014,11,7,1
5,7905,8,27,6,2014,4,15,1
5,626,2,27,6,2014,2,0,1
4,12238,3,26,6,2014,22,52,1
4,79,1,26,6,2014,11,57,1
4,12260,3,26,6,2014,10,15,1
3,7912,8,25,6,2014,6,1,1
3,7912,8,25,6,2014,6,1,1
1,784,2,23,6,2014,18,39,1
1,6722,1,23,6,2014,10,3,1
7,12152,5,15,6,2014,11,2,1
7,139,2,15,6,2014,10,13,1
7,4912,2,15,6,2014,0,1,1
6,11208,5,14,6,2014,19,0,1
6,4815,3,14,6,2014,17,9,1
6,6214,1,14,6,2014,15,0,1
5,1094,2,13,6,2014,21,0,1
5,1094,2,13,6,2014,21,0,1
5,1435,2,13,6,2014,14,25,1
4,247,2,12,6,2014,21,30,1
4,12453,3,12,6,2014,20,0,1
4,2241,4,12,6,2014,14,50,1
4,7677,1,12,6,2014,11,0,1
3,97,2,11,6,2014,18,45,1
3,3228,4,11,6,2014,12,39,1
2,1915,5,10,6,2014,17,6,1
2,394,4,10,6,2014,13,15,1
2,4281,9,10,6,2014,5,9,1
1,908,10,9,6,2014,22,40,1
1,318,6,9,6,2014,22,30,1
1,5166,7,9,6,2014,15,33,1
7,6963,2,1,6,2014,11,30,1
6,12596,8,31,5,2014,2,0,1
5,4737,8,30,5,2014,20,15,1
5,12607,5,30,5,2014,17,30,1
5,2021,9,30,5,2014,11,15,1
4,741,2,29,5,2014,22,52,1
4,343,4,29,5,2014,18,20,1
3,331,2,28,5,2014,16,20,1
3,720,5,28,5,2014,1,45,1
3,7626,2,28,5,2014,0,32,1
2,6759,4,27,5,2014,23,45,1
2,2781,5,27,5,2014,1,31,1
1,5064,3,26,5,2014,16,36,1
1,1345,1,26,5,2014,15,30,1
1,3332,2,26,5,2014,14,35,1
1,1116,2,26,5,2014,14,12,1
1,12728,4,26,5,2014,7,25,1
7,390,5,18,5,2014,23,0,1
7,12740,3,18,5,2014,20,20,1
7,125,2,18,5,2014,14,25,1
7,5485,5,18,5,2014,10,9,1
6,1525,4,17,5,2014,20,0,1
6,10966,8,17,5,2014,13,6,1
6,12769,5,17,5,2014,12,55,1
5,9441,1,16,5,2014,21,25,1
5,2917,1,16,5,2014,20,10,1
5,7740,7,16,5,2014,18,0,1
5,4542,5,16,5,2014,14,27,1
5,213,4,16,5,2014,9,33,1
4,12122,8,15,5,2014,23,51,1
4,2646,5,15,5,2014,20,53,1
4,2646,5,15,5,2014,20,45,1
3,1983,1,14,5,2014,21,0,1
3,5217,1,14,5,2014,7,52,1
2,5189,2,13,5,2014,22,41,1
2,764,6,13,5,2014,20,1,1
2,523,5,13,5,2014,18,48,1
1,7056,5,12,5,2014,5,46,1
7,643,4,4,5,2014,1,39,1
6,12926,2,3,5,2014,21,0,1
6,8641,5,3,5,2014,4,52,1
5,11180,8,2,5,2014,19,0,1
5,11560,4,2,5,2014,15,0,1
4,12978,3,1,5,2014,23,55,1
4,1193,4,1,5,2014,19,27,1
4,12986,9,1,5,2014,18,16,1
4,191,3,1,5,2014,18,15,1
4,3629,4,1,5,2014,10,40,1
4,967,4,1,5,2014,10,25,1
3,2424,2,30,4,2014,23,56,1
3,2869,10,30,4,2014,22,12,1
3,824,1,30,4,2014,20,30,1
3,3122,3,30,4,2014,14,30,1
3,10201,3,30,4,2014,2,55,1
2,1399,10,29,4,2014,23,40,1
2,44,6,29,4,2014,18,30,1
2,44,6,29,4,2014,18,30,1
2,6385,7,29,4,2014,16,0,1
2,1760,10,29,4,2014,9,30,1
1,1017,3,28,4,2014,21,27,1
1,538,8,28,4,2014,19,0,1
1,13063,4,28,4,2014,13,0,1
1,6832,3,28,4,2014,10,30,1
1,10445,3,28,4,2014,7,27,1
7,12936,1,20,4,2014,16,0,1
7,12170,3,20,4,2014,10,0,1
7,8116,1,20,4,2014,9,55,1
7,1742,1,20,4,2014,0,1,1
6,8337,5,19,4,2014,22,11,1
6,152,10,19,4,2014,21,0,1
6,213,4,19,4,2014,16,49,1
6,100,2,19,4,2014,13,30,1
6,2576,5,19,4,2014,2,30,1
5,363,2,18,4,2014,23,33,1
5,1299,5,18,4,2014,19,30,1
5,8514,7,18,4,2014,5,12,1
4,926,4,17,4,2014,21,4,1
4,3952,1,17,4,2014,19,20,1
4,125,2,17,4,2014,15,23,1
4,93,7,17,4,2014,7,55,1
4,2265,4,17,4,2014,4,17,1
4,2265,4,17,4,2014,4,17,1
3,451,2,16,4,2014,1,40,1
2,269,1,15,4,2014,23,24,1
2,10461,3,15,4,2014,13,0,1
1,13247,7,14,4,2014,0,31,1
7,5068,4,6,4,2014,20,45,1
7,1424,2,6,4,2014,14,25,1
6,2064,2,5,4,2014,17,49,1
5,6117,1,4,4,2014,17,28,1
5,356,3,4,4,2014,15,17,1
5,4535,1,4,4,2014,10,30,1
4,13340,9,3,4,2014,21,53,1
4,1404,7,3,4,2014,11,59,1
3,13373,3,2,4,2014,21,0,1
3,5907,7,2,4,2014,12,54,1
2,2019,1,1,4,2014,13,20,1
1,146,10,31,3,2014,12,49,1
1,4709,5,31,3,2014,5,9,1
7,8299,8,23,3,2014,20,54,1
5,3419,8,21,3,2014,23,4,1
5,7468,7,21,3,2014,22,10,1
5,7587,3,21,3,2014,17,45,1
5,8570,3,21,3,2014,12,33,1
5,13487,5,21,3,2014,12,15,1
5,13494,3,21,3,2014,6,10,1
4,948,1,20,3,2014,21,45,1
4,5784,9,20,3,2014,20,34,1
4,4390,6,20,3,2014,18,0,1
3,11027,7,19,3,2014,20,8,1
3,13518,1,19,3,2014,19,8,1
3,10369,4,19,3,2014,18,13,1
3,12075,9,19,3,2014,16,40,1
3,3161,8,19,3,2014,16,30,1
3,6036,1,19,3,2014,16,30,1
3,1537,4,19,3,2014,16,21,1
3,3161,8,19,3,2014,15,15,1
3,5670,1,19,3,2014,12,40,1
3,13532,4,19,3,2014,9,45,1
2,1260,5,18,3,2014,12,35,1
1,6533,2,17,3,2014,22,5,1
1,13567,7,17,3,2014,17,30,1
1,9671,1,17,3,2014,14,10,1
7,2442,8,9,3,2014,18,20,1
7,408,2,9,3,2014,16,45,1
7,13596,9,9,3,2014,6,36,1
6,11352,6,8,3,2014,18,0,1
6,12464,7,8,3,2014,11,0,1
6,1565,5,8,3,2014,9,15,1
6,5271,5,8,3,2014,8,19,1
5,3034,5,7,3,2014,23,0,1
5,5189,2,7,3,2014,20,0,1
5,2790,3,7,3,2014,12,59,1
5,4535,1,7,3,2014,2,46,1
5,779,2,7,3,2014,2,12,1
4,411,3,6,3,2014,20,8,1
4,7725,4,6,3,2014,15,44,1
3,601,9,5,3,2014,16,0,1
3,83,2,5,3,2014,10,44,1
3,83,2,5,3,2014,10,44,1
3,3755,6,5,3,2014,9,32,1
2,2765,5,4,3,2014,20,50,1
2,1077,4,4,3,2014,19,30,1
2,6527,2,4,3,2014,9,30,1
1,511,4,3,3,2014,15,45,1
7,6490,5,23,2,2014,22,30,1
7,9969,3,23,2,2014,18,16,1
7,408,2,23,2,2014,16,27,1
7,12485,1,23,2,2014,16,0,1
6,594,8,22,2,2014,17,20,1
6,166,10,22,2,2014,16,15,1
6,159,6,22,2,2014,14,34,1
6,11571,1,22,2,2014,3,55,1
5,2317,1,21,2,2014,17,6,1
4,866,1,20,2,2014,6,20,1
3,6617,2,19,2,2014,20,18,1
3,2547,1,19,2,2014,19,28,1
3,139,2,19,2,2014,16,13,1
2,6922,1,18,2,2014,18,0,1
2,4916,5,18,2,2014,17,9,1
2,1913,5,18,2,2014,10,30,1
2,451,2,18,2,2014,5,45,1
2,156,2,18,2,2014,2,38,1
1,1580,10,17,2,2014,22,42,1
1,3351,4,17,2,2014,6,0,1
7,10099,3,9,2,2014,23,45,1
7,9813,5,9,2,2014,22,12,1
7,6027,8,9,2,2014,17,45,1
7,501,4,9,2,2014,14,9,1
7,102,10,9,2,2014,0,1,1
6,821,10,8,2,2014,23,49,1
6,242,10,8,2,2014,15,44,1
6,242,10,8,2,2014,15,44,1
6,755,4,8,2,2014,3,3,1
6,755,4,8,2,2014,3,3,1
5,534,4,7,2,2014,14,52,1
5,4833,1,7,2,2014,9,50,1
4,703,8,6,2,2014,20,3,1
4,8617,1,6,2,2014,15,40,1
4,3961,4,6,2,2014,15,13,1
4,12803,3,6,2,2014,0,1,1
3,2618,3,5,2,2014,19,25,1
3,220,4,5,2,2014,15,15,1
3,534,4,5,2,2014,15,0,1
3,957,2,5,2,2014,11,25,1
3,3423,2,5,2,2014,8,45,1
2,211,5,4,2,2014,20,17,1
2,1892,5,4,2,2014,19,29,1
2,923,1,4,2,2014,15,0,1
1,4753,9,3,2,2014,20,45,1
1,2652,6,3,2,2014,19,0,1
7,10641,4,26,1,2014,17,42,1
7,11335,1,26,1,2014,16,30,1
7,5427,7,26,1,2014,11,30,1
6,3866,1,25,1,2014,18,45,1
6,7519,1,25,1,2014,11,30,1
5,4983,4,24,1,2014,4,48,1
5,3677,2,24,1,2014,4,29,1
5,213,4,24,1,2014,1,38,1
4,408,2,23,1,2014,19,23,1
4,2862,10,23,1,2014,1,30,1
3,3098,5,22,1,2014,20,45,1
3,2803,10,22,1,2014,16,52,1
3,4147,5,22,1,2014,16,15,1
3,6882,3,22,1,2014,12,0,1
3,13133,6,22,1,2014,11,33,1
3,14113,9,22,1,2014,4,54,1
1,8513,4,20,1,2014,19,0,1
1,14145,1,20,1,2014,17,35,1
1,1920,5,20,1,2014,0,10,1
7,1220,10,12,1,2014,22,47,1
6,3776,5,11,1,2014,16,39,1
6,4485,1,11,1,2014,12,25,1
6,643,4,11,1,2014,1,45,1
5,2616,1,10,1,2014,21,20,1
5,5530,8,10,1,2014,0,16,1
4,2263,9,9,1,2014,15,30,1
4,1318,4,9,1,2014,15,17,1
4,36,2,9,1,2014,10,15,1
4,4562,5,9,1,2014,0,8,1
3,14217,2,8,1,2014,18,0,1
3,600,3,8,1,2014,14,11,1
3,6432,8,8,1,2014,10,5,1
3,621,3,8,1,2014,5,50,1
2,2285,5,7,1,2014,23,0,1
1,340,6,6,1,2014,22,6,1
1,171,1,6,1,2014,14,15,1
1,2807,5,6,1,2014,14,0,1
1,232,4,6,1,2014,10,59,1
7,2607,2,29,12,2013,3,10,1
6,3063,5,28,12,2013,13,10,1
6,3063,5,28,12,2013,13,10,1
6,5591,5,28,12,2013,12,54,1
6,3910,3,28,12,2013,6,5,1
6,5164,4,28,12,2013,0,30,1
5,9783,5,27,12,2013,21,45,1
5,1722,2,27,12,2013,19,10,1
5,6431,1,27,12,2013,16,24,1
5,14326,9,27,12,2013,14,50,1
5,1129,4,27,12,2013,14,9,1
5,1129,4,27,12,2013,14,9,1
5,3784,8,27,12,2013,7,0,1
4,346,1,26,12,2013,17,45,1
4,6571,6,26,12,2013,15,18,1
4,6143,1,26,12,2013,15,14,1
4,8730,6,26,12,2013,8,0,1
2,716,5,24,12,2013,23,53,1
2,1558,1,24,12,2013,0,1,1
1,125,2,23,12,2013,21,25,1
1,125,2,23,12,2013,20,20,1
1,3524,3,23,12,2013,8,42,1
1,7516,1,23,12,2013,4,25,1
6,2428,5,14,12,2013,22,19,1
6,9438,4,14,12,2013,12,0,1
6,14408,2,14,12,2013,2,27,1
5,753,2,13,12,2013,23,52,1
5,3688,10,13,12,2013,9,44,1
4,10254,3,12,12,2013,18,26,1
