"day","address","location","date","month","year","hour","min","ARSON"
5,97,2,8,8,2014,23,43,1
4,2376,3,7,8,2014,3,15,1
3,11560,4,6,8,2014,22,0,1
6,11712,5,26,7,2014,2,35,1
3,11813,3,23,7,2014,4,35,1
1,148,5,21,7,2014,3,28,1
1,5781,1,21,7,2014,3,21,1
7,381,3,13,7,2014,6,53,1
7,471,9,13,7,2014,0,20,1
3,1818,5,9,7,2014,0,33,1
1,1510,4,7,7,2014,11,45,1
5,12193,4,27,6,2014,17,0,1
4,2814,4,26,6,2014,0,30,1
3,3619,2,25,6,2014,11,0,1
3,309,2,25,6,2014,8,35,1
3,11352,4,25,6,2014,0,1,1
6,12395,8,14,6,2014,22,30,1
4,3551,2,12,6,2014,22,45,1
3,46,2,11,6,2014,13,11,1
2,747,2,10,6,2014,23,5,1
7,2345,3,1,6,2014,4,45,1
3,1306,2,28,5,2014,22,0,1
2,12711,3,27,5,2014,4,25,1
7,729,4,18,5,2014,17,45,1
6,12775,2,17,5,2014,6,7,1
5,12355,6,16,5,2014,4,25,1
4,10680,3,15,5,2014,4,40,1
3,1730,10,14,5,2014,10,45,1
4,4020,4,1,5,2014,3,15,1
2,7250,5,29,4,2014,4,50,1
1,6031,3,28,4,2014,10,0,1
1,5398,1,28,4,2014,6,45,1
6,4126,8,19,4,2014,23,0,1
2,11386,9,15,4,2014,16,20,1
6,7794,1,5,4,2014,22,56,1
6,105,5,5,4,2014,1,50,1
6,105,5,5,4,2014,1,50,1
3,619,8,2,4,2014,23,40,1
1,13427,3,31,3,2014,19,9,1
1,2074,5,31,3,2014,1,24,1
7,455,2,23,3,2014,1,25,1
6,374,8,22,3,2014,4,0,1
3,2398,2,19,3,2014,20,8,1
3,5103,8,5,3,2014,1,49,1
2,2790,3,4,3,2014,19,45,1
7,4845,4,23,2,2014,2,13,1
5,11446,8,21,2,2014,21,41,1
4,10437,9,20,2,2014,0,30,1
7,13899,5,9,2,2014,11,5,1
7,2398,2,9,2,2014,2,22,1
5,2623,5,7,2,2014,17,46,1
4,12598,6,6,2,2014,2,43,1
2,12481,3,4,2,2014,2,47,1
1,411,3,3,2,2014,5,20,1
7,3066,4,26,1,2014,16,0,1
7,7674,8,26,1,2014,0,1,1
6,263,1,25,1,2014,13,20,1
6,125,2,25,1,2014,12,15,1
6,3256,1,25,1,2014,10,5,1
5,14067,7,24,1,2014,16,0,1
5,1614,4,24,1,2014,5,31,1
1,12332,9,20,1,2014,20,21,1
7,6408,9,12,1,2014,19,47,1
6,55,2,11,1,2014,19,55,1
5,7994,7,10,1,2014,18,13,1
5,1383,7,10,1,2014,11,0,1
2,3474,3,7,1,2014,0,1,1
1,11675,4,6,1,2014,2,0,1
7,3973,4,29,12,2013,5,4,1
6,83,2,28,12,2013,22,45,1
6,4677,3,28,12,2013,19,22,1
6,4900,9,28,12,2013,0,14,1
3,14349,1,25,12,2013,18,50,1
3,2241,4,11,12,2013,14,58,1
6,12132,7,30,11,2013,0,55,1
4,1394,6,28,11,2013,3,45,1
3,5339,4,27,11,2013,10,45,1
1,83,2,25,11,2013,1,23,1
6,14609,3,16,11,2013,21,0,1
5,14638,3,15,11,2013,0,5,1
4,2783,4,14,11,2013,16,15,1
1,7056,5,11,11,2013,10,27,1
1,7056,5,11,11,2013,10,27,1
1,92,1,11,11,2013,10,0,1
1,6677,5,11,11,2013,6,0,1
1,4278,5,11,11,2013,5,50,1
6,8009,9,2,11,2013,23,5,1
6,14725,6,2,11,2013,10,6,1
2,3383,5,29,10,2013,23,0,1
1,12953,7,28,10,2013,18,33,1
6,1193,4,19,10,2013,7,1,1
5,638,4,18,10,2013,17,45,1
5,3010,1,18,10,2013,5,30,1
5,14878,2,18,10,2013,4,34,1
3,14682,6,16,10,2013,22,30,1
7,5491,3,6,10,2013,19,40,1
5,14968,3,4,10,2013,21,36,1
5,1177,2,4,10,2013,21,35,1
5,15002,9,4,10,2013,17,55,1
2,6764,3,1,10,2013,9,20,1
5,167,5,20,9,2013,10,2,1
4,3407,5,19,9,2013,6,33,1
3,15167,7,18,9,2013,19,14,1
3,1235,5,18,9,2013,13,30,1
3,499,2,18,9,2013,4,51,1
2,1235,5,17,9,2013,18,40,1
6,13544,9,7,9,2013,4,57,1
5,3293,7,6,9,2013,3,49,1
5,2652,6,6,9,2013,0,1,1
3,1587,2,4,9,2013,19,0,1
6,400,3,24,8,2013,9,20,1
5,3364,5,9,8,2013,23,30,1
5,12481,3,9,8,2013,11,15,1
5,13366,1,9,8,2013,6,30,1
2,9596,6,6,8,2013,22,45,1
1,5464,5,5,8,2013,4,55,1
7,8115,1,28,7,2013,11,9,1
3,1897,1,24,7,2013,23,23,1
2,15616,3,23,7,2013,19,41,1
2,176,1,23,7,2013,14,30,1
2,3844,5,23,7,2013,1,25,1
1,90,5,22,7,2013,17,25,1
1,3333,9,22,7,2013,2,0,1
7,83,2,14,7,2013,4,20,1
7,2706,10,14,7,2013,2,40,1
5,8824,4,12,7,2013,4,4,1
2,1383,7,9,7,2013,10,0,1
7,11972,5,30,6,2013,0,52,1
3,5932,5,26,6,2013,1,6,1
2,76,5,25,6,2013,5,16,1
1,1760,10,24,6,2013,23,30,1
6,3479,8,15,6,2013,8,37,1
5,1391,3,14,6,2013,14,0,1
3,922,9,12,6,2013,16,45,1
3,7784,2,12,6,2013,0,25,1
7,83,2,2,6,2013,22,5,1
5,15944,3,31,5,2013,4,10,1
2,93,7,28,5,2013,16,20,1
5,4326,3,17,5,2013,0,59,1
4,1760,10,16,5,2013,11,40,1
3,88,2,15,5,2013,10,15,1
7,4326,3,5,5,2013,22,55,1
7,125,2,5,5,2013,3,55,1
4,5239,1,2,5,2013,0,18,1
3,1973,9,1,5,2013,9,15,1
7,435,10,21,4,2013,22,40,1
6,5004,5,6,4,2013,7,20,1
4,528,10,4,4,2013,9,10,1
2,16248,8,2,4,2013,5,51,1
7,2643,9,24,3,2013,8,0,1
5,1394,6,22,3,2013,3,5,1
3,182,4,20,3,2013,1,0,1
7,15758,5,10,3,2013,5,15,1
6,6342,8,9,3,2013,21,45,1
6,8144,9,9,3,2013,3,9,1
4,8458,9,7,3,2013,0,1,1
3,501,4,6,3,2013,3,4,1
1,223,10,4,3,2013,20,58,1
1,435,10,4,3,2013,20,58,1
1,223,10,4,3,2013,20,21,1
1,1220,10,4,3,2013,19,36,1
1,1220,10,4,3,2013,19,33,1
1,1233,4,4,3,2013,12,9,1
7,10811,3,24,2,2013,5,0,1
6,476,9,23,2,2013,16,37,1
6,476,9,23,2,2013,16,37,1
6,323,9,23,2,2013,13,28,1
6,2058,1,23,2,2013,3,40,1
5,9902,8,22,2,2013,22,50,1
4,376,2,21,2,2013,0,40,1
2,11638,3,19,2,2013,22,0,1
6,2616,1,9,2,2013,8,28,1
5,12033,4,8,2,2013,17,44,1
4,8229,3,7,2,2013,21,39,1
2,6376,3,5,2,2013,14,0,1
1,13375,8,4,2,2013,23,10,1
7,254,5,27,1,2013,9,54,1
6,254,5,26,1,2013,7,45,1
6,6900,3,26,1,2013,6,43,1
6,2283,5,26,1,2013,2,5,1
3,1394,6,23,1,2013,5,0,1
2,272,8,22,1,2013,22,0,1
2,272,8,22,1,2013,22,0,1
1,4972,8,21,1,2013,12,0,1
1,5106,8,21,1,2013,2,0,1
7,2620,5,13,1,2013,22,55,1
5,10432,5,11,1,2013,2,35,1
4,7181,3,10,1,2013,22,14,1
4,621,3,10,1,2013,18,30,1
4,512,8,10,1,2013,7,55,1
3,1806,5,9,1,2013,5,25,1
2,1960,4,8,1,2013,10,40,1
2,2330,4,8,1,2013,8,53,1
7,10732,8,30,12,2012,22,46,1
6,779,2,29,12,2012,0,10,1
3,9337,3,26,12,2012,23,40,1
3,2455,1,26,12,2012,23,40,1
6,7738,8,15,12,2012,9,15,1
4,2579,2,13,12,2012,20,0,1
3,779,2,12,12,2012,15,30,1
3,53,1,12,12,2012,14,34,1
3,15077,5,12,12,2012,0,1,1
7,133,3,2,12,2012,17,20,1
5,4870,8,30,11,2012,10,6,1
3,16760,3,28,11,2012,17,30,1
2,7953,5,27,11,2012,7,30,1
1,6956,9,26,11,2012,20,0,1
4,424,1,15,11,2012,0,9,1
2,501,4,13,11,2012,15,43,1
2,501,4,13,11,2012,15,43,1
2,501,4,13,11,2012,15,43,1
7,5832,7,4,11,2012,1,6,1
3,12020,4,31,10,2012,20,0,1
1,1996,2,29,10,2012,1,30,1
1,1339,2,29,10,2012,0,30,1
5,2894,5,19,10,2012,2,43,1
2,8182,1,16,10,2012,3,29,1
2,15747,3,16,10,2012,1,6,1
1,2041,10,15,10,2012,0,45,1
6,9795,5,6,10,2012,4,20,1
3,9878,9,3,10,2012,7,30,1
2,1254,2,2,10,2012,7,50,1
7,1475,8,23,9,2012,22,0,1
6,10038,3,22,9,2012,22,0,1
6,259,5,22,9,2012,17,45,1
4,398,9,20,9,2012,18,17,1
3,125,2,19,9,2012,3,0,1
3,6811,3,19,9,2012,2,15,1
2,2255,5,18,9,2012,2,15,1
7,125,2,9,9,2012,13,23,1
7,821,10,9,9,2012,4,40,1
5,14918,7,7,9,2012,1,7,1
3,1808,9,5,9,2012,9,0,1
2,10674,3,4,9,2012,21,44,1
1,1284,4,3,9,2012,20,29,1
1,1150,2,3,9,2012,11,6,1
1,1150,2,3,9,2012,11,6,1
7,8989,3,26,8,2012,6,10,1
6,15446,3,25,8,2012,23,14,1
6,1918,1,25,8,2012,22,45,1
6,10649,8,25,8,2012,21,50,1
4,4578,3,9,8,2012,1,19,1
3,1906,3,8,8,2012,21,44,1
2,1236,4,7,8,2012,21,0,1
1,17437,3,6,8,2012,22,34,1
4,9271,2,26,7,2012,17,40,1
3,1263,2,25,7,2012,10,6,1
2,1464,3,24,7,2012,6,17,1
2,548,10,24,7,2012,0,1,1
1,5383,5,23,7,2012,2,18,1
6,7017,8,14,7,2012,12,18,1
5,5430,8,13,7,2012,19,10,1
5,125,2,13,7,2012,11,30,1
4,2455,1,12,7,2012,20,0,1
4,2263,9,12,7,2012,0,1,1
1,5729,3,9,7,2012,4,58,1
6,13829,8,30,6,2012,20,40,1
6,4897,7,30,6,2012,6,0,1
5,17560,3,29,6,2012,2,30,1
4,356,3,28,6,2012,1,59,1
2,1263,2,26,6,2012,15,30,1
1,1047,9,25,6,2012,3,35,1
1,10698,3,25,6,2012,2,50,1
1,11224,9,25,6,2012,1,6,1
7,46,2,17,6,2012,11,24,1
6,13504,8,16,6,2012,3,30,1
3,765,3,13,6,2012,20,0,1
3,761,6,13,6,2012,14,38,1
3,2150,3,13,6,2012,4,50,1
3,1117,4,13,6,2012,3,10,1
2,4086,1,12,6,2012,0,22,1
7,1042,3,20,5,2012,23,16,1
5,15695,7,18,5,2012,13,34,1
5,11904,9,18,5,2012,1,45,1
4,11904,9,17,5,2012,16,46,1
2,202,5,15,5,2012,15,44,1
1,4464,5,14,5,2012,21,27,1
1,4712,7,14,5,2012,4,0,1
4,17753,3,3,5,2012,23,8,1
1,4324,4,30,4,2012,21,30,1
1,3449,7,30,4,2012,2,5,1
2,398,9,17,4,2012,11,41,1
1,7281,9,16,4,2012,11,0,1
1,83,2,16,4,2012,2,7,1
7,755,4,8,4,2012,21,0,1
7,17833,3,8,4,2012,2,55,1
3,3135,8,4,4,2012,15,38,1
5,1567,5,23,3,2012,19,15,1
3,6558,8,21,3,2012,12,0,1
2,1531,6,20,3,2012,23,0,1
4,6867,2,8,3,2012,3,0,1
2,4470,9,6,3,2012,23,0,1
7,10685,3,26,2,2012,19,28,1
7,157,10,26,2,2012,15,0,1
7,643,4,26,2,2012,7,35,1
7,10692,3,26,2,2012,7,8,1
7,1012,4,26,2,2012,2,26,1
5,4960,7,24,2,2012,20,30,1
5,3087,7,24,2,2012,14,0,1
5,376,2,24,2,2012,8,0,1
3,6483,1,22,2,2012,21,56,1
7,2156,2,12,2,2012,22,35,1
2,8331,9,7,2,2012,20,5,1
4,1973,9,26,1,2012,13,0,1
1,1449,1,23,1,2012,8,0,1
7,8713,4,15,1,2012,5,0,1
6,2737,3,14,1,2012,3,15,1
6,6131,6,14,1,2012,1,54,1
5,2265,4,13,1,2012,22,12,1
5,158,2,13,1,2012,20,20,1
4,2868,7,12,1,2012,8,0,1
2,125,2,10,1,2012,19,55,1
2,125,2,10,1,2012,19,55,1
1,2318,4,9,1,2012,4,10,1
1,4815,3,9,1,2012,2,30,1
1,3029,3,26,12,2011,18,30,1
6,13463,4,17,12,2011,10,21,1
6,14998,1,17,12,2011,4,0,1
1,18180,3,12,12,2011,1,0,1
4,483,1,1,12,2011,14,57,1
4,16337,2,1,12,2011,14,0,1
3,64,4,30,11,2011,19,30,1
5,18226,3,18,11,2011,22,30,1
3,3486,2,16,11,2011,14,53,1
3,4031,3,16,11,2011,0,15,1
1,18173,3,14,11,2011,21,27,1
1,6888,3,14,11,2011,16,9,1
1,2868,7,14,11,2011,15,5,1
7,7920,2,6,11,2011,23,30,1
5,9405,4,4,11,2011,15,28,1
1,1042,3,31,10,2011,2,41,1
4,2868,7,20,10,2011,13,44,1
3,15791,7,19,10,2011,19,30,1
1,4317,4,3,10,2011,12,50,1
6,18351,3,24,9,2011,23,26,1
4,8680,4,22,9,2011,20,30,1
1,3007,8,19,9,2011,9,30,1
6,1350,3,10,9,2011,10,30,1
5,1803,8,9,9,2011,10,40,1
5,3665,4,9,9,2011,6,30,1
4,7225,9,8,9,2011,4,50,1
4,3757,4,8,9,2011,3,50,1
4,1507,10,8,9,2011,2,20,1
4,58,10,8,9,2011,2,15,1
3,15289,3,7,9,2011,6,2,1
2,2880,3,6,9,2011,23,0,1
5,10874,8,26,8,2011,16,32,1
4,10602,1,25,8,2011,18,20,1
4,5454,8,25,8,2011,8,54,1
3,2391,2,24,8,2011,18,30,1
1,2463,2,22,8,2011,19,57,1
4,5626,4,11,8,2011,13,35,1
4,6570,3,11,8,2011,6,0,1
2,765,3,9,8,2011,21,1,1
2,3050,1,9,8,2011,6,0,1
1,501,4,8,8,2011,9,22,1
5,16078,9,29,7,2011,18,10,1
7,198,1,17,7,2011,23,45,1
7,10567,8,17,7,2011,23,0,1
5,1519,1,15,7,2011,4,6,1
5,3205,1,15,7,2011,4,0,1
2,1428,3,12,7,2011,0,29,1
1,8489,8,11,7,2011,2,26,1
5,309,2,1,7,2011,10,23,1
6,9364,7,4,6,2011,21,0,1
6,2553,6,4,6,2011,20,2,1
6,10685,3,4,6,2011,3,16,1
6,6787,3,4,6,2011,0,41,1
5,1752,3,3,6,2011,16,19,1
4,125,2,19,5,2011,14,8,1
6,16036,8,7,5,2011,0,37,1
4,5784,9,5,5,2011,23,40,1
2,9249,3,3,5,2011,4,57,1
1,4841,9,2,5,2011,23,25,1
5,10373,7,22,4,2011,0,30,1
2,16176,8,19,4,2011,17,0,1
1,117,1,18,4,2011,13,15,1
1,6800,3,18,4,2011,0,27,1
7,2868,7,10,4,2011,16,0,1
7,6502,9,10,4,2011,9,20,1
7,11760,3,10,4,2011,4,27,1
5,872,2,8,4,2011,13,23,1
4,4599,1,7,4,2011,12,20,1
2,1771,5,5,4,2011,15,12,1
2,2868,7,5,4,2011,12,0,1
1,2519,8,4,4,2011,19,30,1
5,3637,9,25,3,2011,23,30,1
5,4410,4,25,3,2011,23,0,1
5,3844,5,11,3,2011,23,0,1
5,6072,3,11,3,2011,20,34,1
5,1673,5,11,3,2011,4,25,1
4,1280,4,10,3,2011,16,49,1
4,3974,5,10,2,2011,15,0,1
4,6376,3,10,2,2011,13,3,1
4,6376,3,10,2,2011,13,3,1
4,10071,9,10,2,2011,2,6,1
3,1808,9,9,2,2011,15,0,1
2,3727,10,8,2,2011,23,52,1
2,7590,4,8,2,2011,21,50,1
2,18858,9,8,2,2011,2,1,1
1,1991,10,7,2,2011,1,30,1
1,7019,5,7,2,2011,0,1,1
7,2330,4,30,1,2011,2,0,1
6,14940,7,29,1,2011,15,0,1
6,2601,3,29,1,2011,12,15,1
4,6356,3,27,1,2011,20,30,1
2,1729,5,25,1,2011,0,5,1
6,17917,3,15,1,2011,4,43,1
6,5389,5,15,1,2011,4,27,1
5,2042,3,14,1,2011,20,50,1
4,9205,8,13,1,2011,7,36,1
2,366,10,11,1,2011,21,15,1
2,12742,9,11,1,2011,18,16,1
7,12227,3,19,12,2010,6,30,1
3,4013,3,15,12,2010,13,15,1
7,6617,2,5,12,2010,10,18,1
6,1464,3,4,12,2010,4,23,1
7,15269,9,21,11,2010,23,48,1
6,13383,8,20,11,2010,0,33,1
5,6990,7,19,11,2010,1,0,1
3,6562,4,17,11,2010,19,30,1
3,7934,4,17,11,2010,0,20,1
3,7934,4,17,11,2010,0,20,1
2,16559,8,16,11,2010,22,22,1
2,785,8,16,11,2010,2,10,1
7,7350,3,7,11,2010,2,24,1
4,7738,8,4,11,2010,3,54,1
7,6333,8,24,10,2010,4,50,1
5,15493,3,22,10,2010,18,0,1
4,5112,10,21,10,2010,19,20,1
3,125,2,20,10,2010,21,33,1
2,3604,4,19,10,2010,3,41,1
2,5266,1,19,10,2010,1,15,1
6,10402,9,9,10,2010,22,9,1
3,18443,3,6,10,2010,20,13,1
1,8904,3,4,10,2010,20,4,1
7,2340,3,26,9,2010,20,0,1
7,18976,3,26,9,2010,7,12,1
7,5560,2,26,9,2010,0,30,1
6,125,2,25,9,2010,16,36,1
6,5785,4,25,9,2010,16,0,1
7,91,3,12,9,2010,22,19,1
4,14968,3,9,9,2010,23,22,1
2,14572,3,7,9,2010,21,30,1
1,1323,4,6,9,2010,0,11,1
7,5611,3,29,8,2010,4,5,1
5,338,1,27,8,2010,7,0,1
5,13557,3,27,8,2010,0,15,1
5,1096,3,27,8,2010,0,13,1
7,10578,3,15,8,2010,12,17,1
7,1555,2,15,8,2010,0,10,1
4,1784,8,12,8,2010,5,42,1
4,6100,8,12,8,2010,5,42,1
3,493,3,11,8,2010,22,16,1
2,2328,5,10,8,2010,12,40,1
2,2376,3,10,8,2010,2,20,1
7,3674,2,1,8,2010,22,49,1
4,3081,2,29,7,2010,4,0,1
7,5617,9,18,7,2010,18,0,1
7,10069,3,18,7,2010,4,36,1
3,12546,7,14,7,2010,16,35,1
1,19255,3,12,7,2010,7,29,1
7,3497,8,4,7,2010,5,50,1
3,4454,4,30,6,2010,3,50,1
2,6153,2,29,6,2010,7,0,1
1,2769,9,28,6,2010,4,30,1
5,643,4,18,6,2010,0,1,1
4,2243,7,17,6,2010,21,42,1
4,4584,3,17,6,2010,20,30,1
3,7850,3,16,6,2010,2,22,1
2,8697,3,15,6,2010,3,0,1
6,6453,7,5,6,2010,2,44,1
2,11640,4,1,6,2010,2,30,1
7,2807,5,23,5,2010,22,30,1
6,7944,1,22,5,2010,13,37,1
6,2765,5,22,5,2010,3,43,1
5,4309,8,21,5,2010,21,20,1
5,19318,3,21,5,2010,15,0,1
2,1123,3,18,5,2010,18,45,1
2,2763,5,18,5,2010,5,0,1
2,2763,5,18,5,2010,5,0,1
1,7517,2,17,5,2010,22,43,1
1,125,2,17,5,2010,11,45,1
6,125,2,8,5,2010,15,25,1
5,1284,4,7,5,2010,7,0,1
2,1606,2,4,5,2010,10,39,1
2,12437,3,4,5,2010,4,34,1
1,17,3,3,5,2010,23,53,1
1,1786,8,3,5,2010,11,25,1
1,8204,3,3,5,2010,3,55,1
5,19369,3,23,4,2010,23,29,1
4,1606,2,22,4,2010,15,20,1
2,125,2,20,4,2010,2,23,1
1,4317,4,19,4,2010,14,30,1
1,158,2,19,4,2010,2,29,1
7,1551,3,11,4,2010,22,18,1
6,10203,3,10,4,2010,14,42,1
6,158,2,10,4,2010,11,0,1
2,1220,10,6,4,2010,20,0,1
6,5279,3,27,3,2010,1,52,1
5,4815,3,26,3,2010,13,16,1
7,12925,8,14,3,2010,21,30,1
7,12914,8,14,3,2010,1,5,1
6,1345,1,13,3,2010,3,36,1
5,16155,7,12,3,2010,17,0,1
4,64,4,25,2,2010,14,29,1
4,8074,2,25,2,2010,5,40,1
4,10714,2,25,2,2010,5,38,1
7,10346,3,14,2,2010,16,24,1
2,234,6,9,2,2010,22,19,1
4,4524,5,28,1,2010,20,25,1
4,10285,4,28,1,2010,8,5,1
3,93,7,27,1,2010,1,15,1
5,2068,9,15,1,2010,1,0,1
4,2854,8,14,1,2010,18,40,1
1,15691,9,11,1,2010,16,38,1
1,209,4,11,1,2010,1,59,1
6,5592,3,26,12,2009,10,1,1
3,2718,6,23,12,2009,18,40,1
2,9357,9,22,12,2009,23,0,1
1,10962,7,21,12,2009,22,15,1
6,9851,6,12,12,2009,3,22,1
2,125,2,8,12,2009,18,29,1
7,10692,3,29,11,2009,19,35,1
6,2834,4,28,11,2009,21,0,1
4,8189,6,26,11,2009,2,25,1
4,3717,6,26,11,2009,2,22,1
2,7073,9,24,11,2009,21,30,1
1,15747,3,23,11,2009,22,3,1
7,2616,1,15,11,2009,3,7,1
5,3828,2,13,11,2009,21,54,1
4,3376,10,29,10,2009,20,45,1
4,15346,3,29,10,2009,1,45,1
1,2791,8,26,10,2009,10,30,1
6,9144,1,17,10,2009,20,0,1
5,19689,3,16,10,2009,6,2,1
5,7872,3,2,10,2009,2,40,1
4,10152,3,1,10,2009,18,45,1
3,4022,5,30,9,2009,17,0,1
2,8164,4,29,9,2009,15,40,1
7,1428,3,20,9,2009,14,50,1
7,19741,3,20,9,2009,4,49,1
6,1297,1,19,9,2009,8,51,1
6,6031,3,19,9,2009,6,45,1
6,9613,6,19,9,2009,0,56,1
1,8076,8,14,9,2009,0,45,1
7,6684,7,6,9,2009,14,0,1
5,12574,3,4,9,2009,12,55,1
5,7722,1,4,9,2009,3,0,1
3,8767,4,2,9,2009,21,30,1
3,2822,1,2,9,2009,14,0,1
1,13733,5,31,8,2009,15,23,1
6,1584,5,22,8,2009,10,0,1
6,1584,5,22,8,2009,10,0,1
4,16668,3,20,8,2009,17,20,1
4,17965,7,20,8,2009,7,12,1
4,19811,7,20,8,2009,3,14,1
2,5852,7,18,8,2009,17,10,1
2,19801,7,18,8,2009,16,15,1
2,13726,7,18,8,2009,6,14,1
1,125,2,17,8,2009,11,50,1
7,1079,5,26,7,2009,4,0,1
6,16118,5,25,7,2009,23,37,1
6,1305,1,25,7,2009,2,0,1
6,15178,5,25,7,2009,0,15,1
5,3546,2,24,7,2009,6,14,1
5,6794,5,24,7,2009,5,45,1
5,7738,8,24,7,2009,3,15,1
4,6794,5,23,7,2009,20,30,1
4,2671,5,23,7,2009,6,43,1
3,7325,7,22,7,2009,14,0,1
3,745,1,22,7,2009,5,15,1
2,15911,7,21,7,2009,2,53,1
6,233,8,11,7,2009,12,44,1
7,7021,8,28,6,2009,6,49,1
7,125,2,28,6,2009,5,30,1
4,5363,7,25,6,2009,3,45,1
3,2854,8,24,6,2009,19,18,1
5,1895,3,12,6,2009,2,6,1
2,600,3,9,6,2009,23,19,1
2,2080,2,9,6,2009,17,34,1
7,2551,8,31,5,2009,2,30,1
6,6115,3,30,5,2009,3,8,1
5,4442,3,29,5,2009,18,0,1
1,1002,8,25,5,2009,11,30,1
7,11945,6,17,5,2009,1,49,1
5,6617,2,15,5,2009,19,30,1
4,125,2,14,5,2009,20,24,1
