"day","address","location","date","month","year","hour","min","DRIVINGUNDERTHEINFLUENCE"
3,11562,4,6,8,2014,22,0,1
3,3714,7,6,8,2014,2,32,1
2,5686,8,5,8,2014,22,0,1
1,5775,7,4,8,2014,1,9,1
7,6889,7,27,7,2014,22,46,1
7,2390,9,27,7,2014,4,27,1
6,7268,7,26,7,2014,22,20,1
5,7582,4,25,7,2014,7,34,1
4,511,4,24,7,2014,2,13,1
3,11816,5,23,7,2014,1,49,1
2,7999,7,22,7,2014,0,41,1
5,125,2,11,7,2014,20,49,1
5,346,1,11,7,2014,2,52,1
4,11996,3,10,7,2014,18,45,1
3,7583,9,9,7,2014,9,50,1
3,2972,5,9,7,2014,9,23,1
3,12055,7,9,7,2014,0,54,1
6,1065,4,28,6,2014,19,42,1
3,7435,1,25,6,2014,1,30,1
1,3714,7,23,6,2014,1,28,1
7,4057,3,15,6,2014,1,42,1
4,12471,9,12,6,2014,1,0,1
2,7728,9,10,6,2014,23,9,1
5,12300,7,30,5,2014,22,46,1
5,7202,4,30,5,2014,0,11,1
4,7222,7,29,5,2014,3,30,1
3,10526,2,28,5,2014,22,2,1
6,1224,1,17,5,2014,0,20,1
4,125,2,15,5,2014,9,20,1
4,2450,3,15,5,2014,0,17,1
3,9574,6,14,5,2014,0,39,1
2,12867,3,13,5,2014,0,1,1
7,8578,4,4,5,2014,2,53,1
6,1812,3,3,5,2014,22,46,1
6,1573,2,3,5,2014,19,23,1
6,757,3,3,5,2014,19,0,1
6,1789,4,3,5,2014,16,28,1
4,3238,3,1,5,2014,23,30,1
7,1775,4,20,4,2014,0,22,1
6,1369,7,19,4,2014,20,50,1
6,8907,5,19,4,2014,2,40,1
6,771,1,19,4,2014,1,56,1
6,8006,7,19,4,2014,1,40,1
5,501,4,18,4,2014,21,37,1
1,11393,8,14,4,2014,20,29,1
7,4576,6,6,4,2014,21,22,1
6,13272,5,5,4,2014,22,49,1
6,13301,4,5,4,2014,4,25,1
6,4146,4,5,4,2014,2,30,1
6,7839,1,5,4,2014,0,36,1
5,2718,6,4,4,2014,16,49,1
4,979,4,3,4,2014,0,13,1
3,1314,2,2,4,2014,2,15,1
1,125,2,31,3,2014,19,23,1
7,5948,3,23,3,2014,2,41,1
7,5750,5,23,3,2014,2,12,1
7,8310,2,23,3,2014,1,54,1
6,13473,9,22,3,2014,2,50,1
5,10517,4,21,3,2014,13,27,1
3,7783,4,19,3,2014,0,45,1
2,13555,1,18,3,2014,2,30,1
1,6071,4,17,3,2014,22,37,1
1,709,7,17,3,2014,20,53,1
7,2374,1,9,3,2014,21,34,1
7,6338,6,9,3,2014,4,15,1
7,13599,8,9,3,2014,1,48,1
6,8889,3,8,3,2014,19,15,1
5,214,7,7,3,2014,19,25,1
7,3043,8,23,2,2014,22,42,1
7,3043,8,23,2,2014,22,42,1
7,10880,9,23,2,2014,18,34,1
7,8994,5,23,2,2014,0,2,1
6,5701,6,22,2,2014,0,30,1
6,5191,8,22,2,2014,0,1,1
6,5191,8,22,2,2014,0,1,1
5,11863,7,21,2,2014,3,34,1
4,6600,8,20,2,2014,19,43,1
3,12176,4,19,2,2014,4,16,1
2,1405,10,18,2,2014,17,13,1
2,7416,3,18,2,2014,0,40,1
1,8754,9,17,2,2014,18,50,1
1,9204,2,17,2,2014,16,50,1
1,2887,2,17,2,2014,16,12,1
1,13882,4,17,2,2014,4,28,1
7,2470,2,9,2,2014,23,26,1
7,13893,8,9,2,2014,20,23,1
7,13893,8,9,2,2014,20,23,1
6,4432,2,8,2,2014,3,45,1
4,9804,8,6,2,2014,7,25,1
4,5036,7,6,2,2014,5,47,1
3,13966,7,5,2,2014,19,49,1
3,3265,5,5,2,2014,14,40,1
2,989,9,4,2,2014,23,59,1
2,125,2,4,2,2014,15,30,1
2,2144,5,4,2,2014,0,38,1
1,2783,4,3,2,2014,16,31,1
7,11573,3,26,1,2014,1,19,1
5,6916,4,24,1,2014,23,30,1
1,548,10,20,1,2014,16,12,1
7,10715,6,12,1,2014,2,40,1
7,9623,3,12,1,2014,2,14,1
5,14205,2,27,12,2013,23,14,1
2,255,10,24,12,2013,16,34,1
1,1851,3,23,12,2013,19,0,1
6,79,1,14,12,2013,15,48,1
6,3561,3,14,12,2013,14,30,1
6,3893,8,14,12,2013,1,0,1
5,10287,8,13,12,2013,22,30,1
5,5549,3,13,12,2013,22,5,1
5,5483,10,13,12,2013,22,0,1
2,11,10,10,12,2013,17,16,1
1,990,1,9,12,2013,1,6,1
1,2614,8,9,12,2013,0,10,1
5,8105,4,29,11,2013,21,49,1
5,2352,5,29,11,2013,1,51,1
5,1837,2,29,11,2013,0,43,1
4,9545,6,28,11,2013,23,5,1
4,10437,9,28,11,2013,21,9,1
4,10366,1,28,11,2013,1,47,1
3,2719,4,27,11,2013,1,33,1
2,1841,8,26,11,2013,18,45,1
7,12108,8,17,11,2013,23,21,1
6,1010,9,16,11,2013,0,1,1
4,2409,2,14,11,2013,19,40,1
1,1951,2,11,11,2013,23,10,1
1,5820,4,11,11,2013,14,42,1
1,2520,8,11,11,2013,1,0,1
7,8310,2,3,11,2013,1,56,1
6,105,5,2,11,2013,3,29,1
5,125,2,1,11,2013,23,32,1
5,125,2,1,11,2013,23,32,1
5,4057,3,1,11,2013,20,8,1
5,2904,2,1,11,2013,19,43,1
5,1353,4,1,11,2013,1,58,1
4,3593,5,31,10,2013,17,8,1
4,1260,5,31,10,2013,1,2,1
2,1254,2,29,10,2013,0,22,1
7,14835,3,20,10,2013,9,15,1
7,3363,4,20,10,2013,2,8,1
6,5148,9,19,10,2013,23,17,1
6,435,10,19,10,2013,17,34,1
6,14859,8,19,10,2013,2,40,1
6,11891,6,19,10,2013,0,40,1
5,13100,4,18,10,2013,11,36,1
4,1757,3,17,10,2013,0,22,1
2,158,2,15,10,2013,17,33,1
1,1942,2,14,10,2013,16,54,1
7,1260,5,6,10,2013,22,22,1
7,7118,8,6,10,2013,22,0,1
6,3323,3,5,10,2013,18,20,1
6,12676,6,5,10,2013,0,50,1
5,125,2,4,10,2013,15,5,1
4,11511,4,3,10,2013,19,1,1
4,11511,4,3,10,2013,19,1,1
4,9120,7,3,10,2013,2,0,1
3,4841,9,2,10,2013,16,1,1
2,2818,4,1,10,2013,17,19,1
7,11352,4,22,9,2013,21,35,1
7,125,2,22,9,2013,1,34,1
6,9399,5,21,9,2013,2,35,1
6,3918,4,21,9,2013,2,22,1
6,3071,1,21,9,2013,0,58,1
5,11474,4,20,9,2013,1,11,1
4,454,1,19,9,2013,23,45,1
4,1347,8,19,9,2013,2,37,1
4,11820,7,19,9,2013,1,47,1
4,11820,7,19,9,2013,1,47,1
2,2862,10,17,9,2013,14,35,1
7,355,2,8,9,2013,2,55,1
5,654,1,6,9,2013,20,39,1
5,8886,7,6,9,2013,20,24,1
4,528,10,5,9,2013,0,7,1
3,8501,1,4,9,2013,23,40,1
3,7068,10,4,9,2013,17,55,1
2,7324,7,3,9,2013,0,42,1
1,3672,3,2,9,2013,14,44,1
1,13010,4,2,9,2013,13,45,1
7,11146,3,25,8,2013,1,1,1
6,4875,2,24,8,2013,21,43,1
5,5192,6,23,8,2013,22,11,1
5,3796,3,23,8,2013,17,38,1
2,328,10,20,8,2013,17,50,1
7,15455,4,11,8,2013,0,1,1
6,3893,8,10,8,2013,23,20,1
6,3893,8,10,8,2013,22,55,1
6,10494,2,10,8,2013,0,45,1
3,14182,8,7,8,2013,3,0,1
2,4287,6,6,8,2013,0,33,1
1,2821,2,5,8,2013,3,53,1
1,10711,4,5,8,2013,2,51,1
6,421,1,27,7,2013,3,42,1
6,343,4,27,7,2013,3,25,1
6,343,4,27,7,2013,3,25,1
6,3618,2,27,7,2013,2,37,1
5,14087,3,26,7,2013,20,39,1
4,1728,2,25,7,2013,23,35,1
4,4570,1,25,7,2013,10,10,1
3,1559,4,24,7,2013,3,29,1
3,10163,2,24,7,2013,3,8,1
2,822,3,23,7,2013,17,30,1
2,6671,4,23,7,2013,0,55,1
7,3351,4,14,7,2013,23,11,1
6,10715,6,13,7,2013,23,40,1
6,435,10,13,7,2013,19,7,1
6,435,10,13,7,2013,19,7,1
6,8097,3,13,7,2013,6,14,1
6,788,2,13,7,2013,2,34,1
6,5685,3,13,7,2013,0,14,1
5,5939,3,12,7,2013,23,20,1
5,125,2,12,7,2013,2,23,1
2,1416,2,9,7,2013,17,23,1
2,11334,7,9,7,2013,4,20,1
1,2706,10,8,7,2013,20,0,1
1,2706,10,8,7,2013,20,0,1
1,1108,4,8,7,2013,2,6,1
7,1525,4,30,6,2013,23,50,1
7,1157,2,30,6,2013,0,50,1
6,571,2,29,6,2013,23,43,1
6,125,2,29,6,2013,23,34,1
6,1157,2,29,6,2013,20,46,1
6,1157,2,29,6,2013,20,45,1
5,12152,5,28,6,2013,1,0,1
5,11497,7,28,6,2013,0,26,1
4,6525,2,27,6,2013,22,55,1
3,12063,3,26,6,2013,18,24,1
1,7492,9,24,6,2013,19,25,1
5,4672,5,14,6,2013,23,8,1
3,5252,6,12,6,2013,23,51,1
2,1563,7,11,6,2013,9,0,1
1,947,2,10,6,2013,23,5,1
1,3234,4,10,6,2013,22,41,1
7,289,4,2,6,2013,21,51,1
7,551,5,2,6,2013,19,45,1
7,5646,5,2,6,2013,2,5,1
6,6884,9,1,6,2013,23,39,1
6,2494,4,1,6,2013,17,11,1
5,349,2,31,5,2013,1,40,1
4,7851,5,30,5,2013,20,49,1
4,15956,4,30,5,2013,6,43,1
2,1224,1,28,5,2013,2,16,1
1,2396,10,27,5,2013,20,16,1
7,1759,7,19,5,2013,0,56,1
6,15997,3,18,5,2013,23,14,1
6,517,2,18,5,2013,14,0,1
6,3213,8,18,5,2013,13,30,1
2,209,4,14,5,2013,2,33,1
7,4556,4,5,5,2013,3,47,1
7,9786,2,5,5,2013,1,12,1
6,3893,8,4,5,2013,22,34,1
6,12773,8,4,5,2013,21,5,1
5,2862,10,3,5,2013,20,25,1
5,2862,10,3,5,2013,20,25,1
4,9947,5,2,5,2013,1,27,1
1,9296,8,29,4,2013,20,0,1
7,7622,2,21,4,2013,23,18,1
7,5445,8,21,4,2013,16,20,1
7,255,10,21,4,2013,9,57,1
6,6284,2,20,4,2013,23,43,1
5,1254,2,19,4,2013,1,43,1
3,2954,8,17,4,2013,10,11,1
1,164,4,15,4,2013,12,13,1
7,2445,2,7,4,2013,22,8,1
7,1091,10,7,4,2013,15,55,1
6,2484,10,6,4,2013,1,24,1
6,15971,8,6,4,2013,0,55,1
4,6533,2,4,4,2013,21,40,1
3,1954,10,3,4,2013,17,32,1
3,9387,6,3,4,2013,1,48,1
7,1288,3,24,3,2013,22,12,1
7,16078,9,24,3,2013,21,24,1
7,5696,2,24,3,2013,15,40,1
7,178,2,24,3,2013,2,26,1
5,2954,8,22,3,2013,20,25,1
4,2228,7,21,3,2013,0,48,1
2,1757,3,19,3,2013,23,43,1
2,888,8,19,3,2013,23,15,1
1,2472,8,18,3,2013,18,30,1
6,13686,6,9,3,2013,2,50,1
5,8739,8,8,3,2013,8,51,1
4,361,2,7,3,2013,12,45,1
3,4777,4,6,3,2013,3,2,1
2,2269,2,5,3,2013,23,45,1
2,6146,6,5,3,2013,9,40,1
1,6166,2,4,3,2013,16,11,1
1,13480,4,4,3,2013,6,37,1
1,5031,4,4,3,2013,1,19,1
7,10217,4,24,2,2013,17,23,1
7,6159,4,24,2,2013,0,48,1
5,11892,9,22,2,2013,2,1,1
4,2664,3,21,2,2013,23,22,1
4,947,2,21,2,2013,17,50,1
2,1393,10,19,2,2013,2,45,1
1,1172,4,18,2,2013,0,20,1
7,926,4,10,2,2013,18,4,1
7,232,4,10,2,2013,4,12,1
6,13447,4,9,2,2013,23,54,1
6,771,1,9,2,2013,23,33,1
6,189,2,9,2,2013,16,32,1
6,8021,3,9,2,2013,5,21,1
5,1323,4,8,2,2013,0,3,1
3,1788,7,6,2,2013,0,13,1
2,442,2,5,2,2013,23,10,1
1,548,10,4,2,2013,19,33,1
7,13224,5,27,1,2013,19,47,1
5,16607,9,25,1,2013,2,4,1
4,361,2,24,1,2013,12,10,1
4,9825,2,24,1,2013,0,38,1
3,16629,7,23,1,2013,10,48,1
2,5721,9,22,1,2013,16,52,1
7,37,2,13,1,2013,22,46,1
6,15339,9,12,1,2013,23,35,1
6,16658,3,12,1,2013,22,32,1
6,11594,3,12,1,2013,20,55,1
5,263,1,11,1,2013,23,24,1
3,499,2,9,1,2013,18,44,1
2,3926,2,8,1,2013,1,51,1
1,10901,3,7,1,2013,23,38,1
1,2874,9,7,1,2013,22,30,1
6,10659,4,29,12,2012,23,44,1
6,3893,8,29,12,2012,22,40,1
6,125,2,29,12,2012,21,30,1
6,10349,7,29,12,2012,20,4,1
5,6205,7,28,12,2012,1,12,1
4,4718,7,27,12,2012,22,30,1
4,6939,8,27,12,2012,15,12,1
4,1653,3,27,12,2012,8,42,1
1,4645,5,24,12,2012,18,0,1
7,2722,1,16,12,2012,1,15,1
7,2266,1,16,12,2012,1,10,1
7,2266,1,16,12,2012,1,0,1
7,11289,6,16,12,2012,0,21,1
5,4102,6,14,12,2012,1,7,1
4,2757,2,13,12,2012,21,34,1
3,5070,9,12,12,2012,11,17,1
3,870,4,12,12,2012,2,53,1
3,870,4,12,12,2012,2,38,1
2,2563,10,11,12,2012,12,18,1
1,9977,2,10,12,2012,15,15,1
7,4062,4,2,12,2012,20,17,1
7,363,2,2,12,2012,0,15,1
6,2119,10,1,12,2012,20,10,1
5,11975,9,30,11,2012,2,19,1
2,16893,9,27,11,2012,18,55,1
7,4769,4,18,11,2012,21,25,1
7,10793,6,18,11,2012,1,19,1
7,16927,9,18,11,2012,0,35,1
6,8210,3,17,11,2012,23,17,1
5,5130,4,16,11,2012,22,49,1
5,10645,6,16,11,2012,21,16,1
5,7838,4,16,11,2012,20,42,1
5,7623,4,16,11,2012,19,43,1
1,2193,8,12,11,2012,17,42,1
1,6338,6,12,11,2012,1,57,1
7,4876,3,4,11,2012,22,20,1
7,16994,7,4,11,2012,18,22,1
5,1692,6,2,11,2012,19,46,1
5,2074,5,2,11,2012,2,0,1
5,357,4,2,11,2012,1,54,1
3,7279,4,31,10,2012,15,0,1
2,10526,3,30,10,2012,2,26,1
6,727,4,20,10,2012,16,11,1
6,14380,8,20,10,2012,5,59,1
3,685,6,17,10,2012,23,50,1
2,8515,5,16,10,2012,22,42,1
2,17116,8,16,10,2012,22,25,1
2,17116,8,16,10,2012,22,25,1
2,4672,5,16,10,2012,21,42,1
2,2405,5,16,10,2012,16,52,1
5,11640,4,5,10,2012,21,29,1
3,3120,7,3,10,2012,18,52,1
3,2077,4,3,10,2012,0,23,1
7,7452,9,23,9,2012,2,5,1
6,788,2,22,9,2012,2,3,1
5,17224,6,21,9,2012,3,3,1
5,7317,3,21,9,2012,0,39,1
4,17233,9,20,9,2012,0,13,1
3,10814,7,19,9,2012,23,5,1
2,12773,8,18,9,2012,22,46,1
7,12279,9,9,9,2012,0,37,1
1,2119,10,3,9,2012,17,40,1
1,6890,4,3,9,2012,2,16,1
6,125,2,25,8,2012,4,32,1
5,829,1,24,8,2012,23,45,1
5,5514,2,24,8,2012,23,2,1
5,8813,3,24,8,2012,21,48,1
3,8030,4,22,8,2012,20,45,1
3,8691,4,22,8,2012,20,11,1
1,10412,9,20,8,2012,2,20,1
1,9332,7,20,8,2012,2,7,1
4,5572,9,9,8,2012,21,21,1
4,3176,7,9,8,2012,21,1,1
7,16966,7,29,7,2012,23,48,1
4,6019,7,26,7,2012,23,41,1
3,1083,10,25,7,2012,22,3,1
1,12488,5,23,7,2012,2,47,1
1,125,2,23,7,2012,1,42,1
7,8245,4,15,7,2012,18,50,1
5,4109,7,13,7,2012,22,20,1
5,7990,5,13,7,2012,1,41,1
2,7320,2,10,7,2012,1,15,1
7,2618,3,1,7,2012,8,19,1
6,2639,5,30,6,2012,19,52,1
6,6978,7,30,6,2012,18,59,1
6,2564,5,30,6,2012,18,15,1
5,1801,8,29,6,2012,2,29,1
5,1031,2,29,6,2012,1,52,1
3,11373,4,27,6,2012,18,23,1
2,6916,4,26,6,2012,22,52,1
7,6114,3,17,6,2012,22,29,1
7,4311,9,17,6,2012,4,0,1
7,11468,9,17,6,2012,2,29,1
6,1011,3,16,6,2012,17,29,1
6,2249,6,16,6,2012,3,28,1
6,5920,9,16,6,2012,3,18,1
6,1119,2,16,6,2012,0,36,1
4,471,9,14,6,2012,2,3,1
2,77,10,12,6,2012,1,18,1
1,10747,3,11,6,2012,0,15,1
7,4836,6,3,6,2012,23,14,1
7,17643,9,3,6,2012,18,23,1
7,7475,9,3,6,2012,1,26,1
4,501,4,31,5,2012,22,20,1
4,158,2,31,5,2012,0,25,1
3,17676,3,30,5,2012,1,11,1
2,5460,4,29,5,2012,0,55,1
1,1171,1,28,5,2012,23,24,1
1,1171,1,28,5,2012,23,24,1
1,17681,8,28,5,2012,20,5,1
7,1000,9,20,5,2012,22,43,1
7,1108,4,20,5,2012,17,35,1
7,8366,3,20,5,2012,5,55,1
6,2529,4,19,5,2012,12,18,1
6,2529,4,19,5,2012,12,18,1
5,1431,10,18,5,2012,20,24,1
5,435,10,18,5,2012,19,29,1
5,17111,9,18,5,2012,3,18,1
4,8674,5,17,5,2012,0,4,1
4,7154,2,17,5,2012,0,1,1
3,125,2,16,5,2012,3,9,1
2,8529,4,15,5,2012,1,34,1
1,12383,8,14,5,2012,0,24,1
7,3593,5,6,5,2012,17,20,1
7,13,3,6,5,2012,3,0,1
7,13,3,6,5,2012,3,0,1
7,4254,6,6,5,2012,2,28,1
7,654,1,6,5,2012,0,45,1
7,2996,3,6,5,2012,0,30,1
7,3281,2,6,5,2012,0,4,1
6,57,9,5,5,2012,22,41,1
6,277,10,5,5,2012,19,15,1
6,394,4,5,5,2012,18,6,1
5,9841,8,4,5,2012,22,19,1
5,3131,10,4,5,2012,20,42,1
1,442,2,30,4,2012,1,41,1
1,2904,2,30,4,2012,1,40,1
7,940,6,22,4,2012,23,38,1
7,605,6,22,4,2012,0,5,1
5,2611,2,20,4,2012,2,14,1
5,1421,9,20,4,2012,1,22,1
3,4503,8,18,4,2012,8,43,1
3,11634,9,18,4,2012,1,52,1
2,17821,7,17,4,2012,0,24,1
1,2536,3,16,4,2012,21,54,1
7,4346,1,8,4,2012,0,30,1
6,16850,9,7,4,2012,21,23,1
5,9825,2,6,4,2012,18,45,1
4,1822,4,5,4,2012,4,42,1
2,8716,9,3,4,2012,0,47,1
1,57,9,2,4,2012,6,39,1
7,2351,6,25,3,2012,23,37,1
7,1473,1,25,3,2012,18,44,1
7,4349,4,25,3,2012,1,17,1
6,5261,8,24,3,2012,23,59,1
6,4789,8,24,3,2012,22,19,1
4,16941,8,22,3,2012,22,36,1
7,6194,4,11,3,2012,23,33,1
7,1966,7,11,3,2012,23,28,1
7,28,4,11,3,2012,15,41,1
7,3641,2,11,3,2012,3,54,1
6,1474,4,10,3,2012,19,1,1
3,12860,6,7,3,2012,20,54,1
7,17863,6,26,2,2012,0,25,1
6,93,7,25,2,2012,1,27,1
6,1473,1,25,2,2012,1,11,1
5,119,6,24,2,2012,17,20,1
3,8845,6,22,2,2012,2,3,1
2,17238,6,21,2,2012,13,37,1
7,359,10,12,2,2012,20,10,1
7,3721,8,12,2,2012,10,25,1
7,10313,6,12,2,2012,4,55,1
6,6158,6,11,2,2012,3,28,1
5,3628,6,10,2,2012,23,49,1
5,15457,9,10,2,2012,0,17,1
3,11350,6,8,2,2012,2,23,1
1,3574,7,6,2,2012,21,11,1
7,9678,6,29,1,2012,22,8,1
7,7648,3,29,1,2012,0,20,1
6,4512,6,28,1,2012,21,47,1
5,2351,6,27,1,2012,23,19,1
4,7065,5,26,1,2012,19,45,1
3,3125,8,25,1,2012,16,59,1
3,6039,7,25,1,2012,0,24,1
2,1403,4,24,1,2012,18,41,1
2,2814,4,24,1,2012,2,1,1
1,1299,5,23,1,2012,2,15,1
1,3893,8,23,1,2012,1,40,1
7,6632,4,15,1,2012,18,22,1
7,480,9,15,1,2012,17,51,1
7,2646,5,15,1,2012,2,1,1
6,11183,3,14,1,2012,22,2,1
6,1368,2,14,1,2012,20,10,1
6,5479,5,14,1,2012,2,40,1
6,727,4,14,1,2012,2,5,1
6,829,1,14,1,2012,2,0,1
5,8959,8,13,1,2012,3,14,1
4,9502,3,12,1,2012,20,43,1
4,979,4,12,1,2012,5,0,1
4,5572,9,12,1,2012,3,35,1
7,11334,7,1,1,2012,21,18,1
7,1642,1,1,1,2012,20,20,1
7,956,10,1,1,2012,17,0,1
7,1406,4,1,1,2012,9,39,1
7,2113,9,1,1,2012,3,14,1
7,4432,2,1,1,2012,1,41,1
7,3045,9,1,1,2012,0,38,1
6,5384,5,31,12,2011,19,17,1
6,5411,6,31,12,2011,0,33,1
5,6736,7,30,12,2011,17,13,1
4,1263,2,29,12,2011,22,40,1
1,4280,4,26,12,2011,6,38,1
7,57,9,18,12,2011,22,13,1
7,7056,5,18,12,2011,19,57,1
7,4240,1,18,12,2011,0,1,1
5,10577,4,16,12,2011,20,40,1
2,7266,1,13,12,2011,18,0,1
2,3377,7,13,12,2011,0,47,1
7,1155,2,4,12,2011,22,2,1
7,223,10,4,12,2011,18,0,1
6,2987,10,3,12,2011,18,46,1
6,2987,10,3,12,2011,18,46,1
6,3170,8,3,12,2011,3,13,1
5,18191,7,2,12,2011,23,49,1
5,7331,2,2,12,2011,22,58,1
5,1500,4,2,12,2011,22,33,1
4,15771,8,1,12,2011,19,39,1
4,7999,7,1,12,2011,18,20,1
4,3742,8,1,12,2011,1,41,1
4,2563,10,1,12,2011,0,38,1
3,18209,9,30,11,2011,3,15,1
2,2993,1,29,11,2011,22,1,1
2,870,4,29,11,2011,15,38,1
1,13322,7,28,11,2011,23,51,1
5,3332,2,18,11,2011,2,5,1
3,16130,4,16,11,2011,22,33,1
2,3714,7,15,11,2011,0,28,1
6,2266,1,5,11,2011,23,37,1
6,2488,1,5,11,2011,12,53,1
3,6136,5,2,11,2011,7,45,1
2,17555,4,1,11,2011,22,31,1
