"day","address","location","date","month","year","hour","min","LIQUORLAWS"
5,8574,1,22,8,2014,23,50,1
7,6421,7,10,8,2014,1,24,1
6,125,2,9,8,2014,17,53,1
6,1967,3,9,8,2014,13,27,1
5,1156,8,8,8,2014,2,13,1
3,4156,4,6,8,2014,22,30,1
2,6313,3,5,8,2014,1,48,1
7,5215,3,27,7,2014,7,40,1
5,4740,2,25,7,2014,18,28,1
5,4740,2,25,7,2014,18,28,1
3,9813,5,23,7,2014,20,18,1
3,3708,4,23,7,2014,17,54,1
5,18,10,11,7,2014,11,55,1
5,3725,10,11,7,2014,11,45,1
3,5531,9,9,7,2014,22,52,1
2,6971,6,8,7,2014,17,0,1
7,1227,3,29,6,2014,3,49,1
6,1943,2,28,6,2014,15,16,1
1,5384,5,23,6,2014,1,36,1
7,554,10,1,6,2014,3,15,1
7,2016,6,18,5,2014,13,30,1
7,2016,6,18,5,2014,13,30,1
7,7887,4,18,5,2014,11,56,1
7,5844,5,18,5,2014,2,3,1
3,10563,4,14,5,2014,19,50,1
3,102,10,14,5,2014,17,13,1
4,1121,10,1,5,2014,16,39,1
4,9825,2,1,5,2014,12,11,1
3,102,10,30,4,2014,11,56,1
7,2946,6,20,4,2014,8,40,1
5,468,2,18,4,2014,17,59,1
3,907,6,16,4,2014,17,45,1
3,216,6,16,4,2014,10,29,1
3,9152,4,2,4,2014,10,31,1
2,363,2,1,4,2014,10,22,1
7,2300,3,23,3,2014,7,22,1
6,83,2,22,3,2014,12,51,1
3,912,10,19,3,2014,10,7,1
7,12734,9,9,3,2014,1,24,1
6,13602,9,8,3,2014,23,46,1
6,1562,9,8,3,2014,22,40,1
5,1520,5,7,3,2014,17,24,1
5,2909,2,7,3,2014,7,19,1
5,912,10,7,3,2014,6,25,1
4,7366,2,6,3,2014,13,45,1
4,125,2,6,3,2014,11,55,1
3,3736,3,5,3,2014,10,0,1
2,1091,10,4,3,2014,22,21,1
2,2096,8,4,3,2014,22,0,1
2,2096,8,4,3,2014,22,0,1
2,912,10,4,3,2014,7,39,1
5,5971,4,21,2,2014,21,58,1
4,6600,8,20,2,2014,19,43,1
3,8319,3,19,2,2014,22,22,1
5,12037,4,7,2,2014,14,0,1
3,125,2,5,2,2014,9,29,1
2,4156,4,4,2,2014,15,15,1
1,138,10,3,2,2014,11,8,1
7,5895,3,26,1,2014,15,28,1
5,501,4,24,1,2014,23,5,1
2,408,2,21,1,2014,18,38,1
5,3185,7,10,1,2014,23,20,1
5,3185,7,10,1,2014,23,20,1
5,14186,4,10,1,2014,22,53,1
3,9640,2,8,1,2014,10,42,1
7,2806,3,29,12,2013,17,12,1
6,13603,1,28,12,2013,1,17,1
5,6035,3,27,12,2013,15,59,1
4,1219,2,26,12,2013,21,36,1
4,1041,5,26,12,2013,16,30,1
1,872,2,9,12,2013,8,32,1
6,7757,4,30,11,2013,20,20,1
4,907,6,28,11,2013,13,59,1
3,14654,3,13,11,2013,21,17,1
2,2701,9,12,11,2013,11,0,1
1,1091,10,11,11,2013,16,24,1
1,762,9,11,11,2013,13,36,1
1,9640,2,11,11,2013,10,29,1
1,3736,3,11,11,2013,9,7,1
5,2159,10,1,11,2013,22,50,1
5,4712,7,1,11,2013,0,58,1
5,9702,7,1,11,2013,0,29,1
5,9702,7,1,11,2013,0,29,1
4,125,2,31,10,2013,23,49,1
4,1076,4,31,10,2013,20,35,1
3,2159,10,30,10,2013,7,53,1
4,3697,8,17,10,2013,22,41,1
3,1220,10,16,10,2013,12,47,1
3,363,2,16,10,2013,10,26,1
6,1010,9,5,10,2013,23,0,1
6,4345,2,5,10,2013,16,28,1
5,363,2,4,10,2013,14,6,1
1,872,2,30,9,2013,16,23,1
1,8771,2,30,9,2013,7,33,1
1,158,2,30,9,2013,0,57,1
6,15116,9,21,9,2013,1,20,1
5,12075,9,20,9,2013,17,47,1
4,2904,2,19,9,2013,23,26,1
3,4204,4,18,9,2013,16,30,1
2,7068,10,17,9,2013,22,57,1
7,355,2,8,9,2013,2,55,1
6,2265,4,7,9,2013,12,11,1
3,2233,6,4,9,2013,17,35,1
3,4726,10,4,9,2013,7,38,1
2,8223,2,3,9,2013,7,28,1
6,15347,9,24,8,2013,23,16,1
4,445,2,22,8,2013,9,46,1
3,2987,10,21,8,2013,15,47,1
3,15066,2,21,8,2013,10,33,1
1,3418,4,19,8,2013,12,12,1
1,912,10,19,8,2013,8,55,1
5,125,2,9,8,2013,19,45,1
4,622,6,8,8,2013,18,45,1
1,5082,4,5,8,2013,0,1,1
7,1202,6,28,7,2013,17,24,1
6,5808,3,27,7,2013,1,12,1
5,6027,8,26,7,2013,14,30,1
5,146,10,26,7,2013,8,19,1
4,8850,3,25,7,2013,21,27,1
3,4089,4,24,7,2013,12,23,1
7,213,4,14,7,2013,12,55,1
4,8954,4,11,7,2013,12,50,1
3,2414,3,10,7,2013,18,51,1
2,4880,2,9,7,2013,8,43,1
7,5209,1,30,6,2013,10,25,1
6,3600,1,29,6,2013,23,50,1
6,3600,1,29,6,2013,23,50,1
6,9144,1,29,6,2013,14,30,1
6,2882,1,29,6,2013,14,20,1
5,771,1,28,6,2013,23,40,1
5,2265,4,28,6,2013,19,25,1
3,9323,8,26,6,2013,21,30,1
1,3630,10,24,6,2013,11,33,1
6,155,2,15,6,2013,7,47,1
4,15066,2,13,6,2013,11,25,1
3,1693,1,12,6,2013,14,45,1
3,1967,3,12,6,2013,0,3,1
1,1255,6,10,6,2013,17,0,1
7,15627,5,2,6,2013,15,11,1
7,741,2,2,6,2013,13,0,1
5,269,1,31,5,2013,2,20,1
4,2600,9,30,5,2013,16,35,1
3,5267,3,29,5,2013,19,40,1
3,7604,4,29,5,2013,17,50,1
3,8555,2,29,5,2013,14,26,1
3,11675,4,29,5,2013,0,35,1
6,4156,4,18,5,2013,19,40,1
2,7938,9,14,5,2013,16,4,1
2,957,2,14,5,2013,15,51,1
2,713,4,14,5,2013,10,1,1
7,6534,5,5,5,2013,11,37,1
5,2717,5,3,5,2013,0,40,1
6,772,10,20,4,2013,17,10,1
2,3736,3,16,4,2013,15,51,1
2,800,4,16,4,2013,13,37,1
7,710,8,7,4,2013,15,33,1
6,15971,8,6,4,2013,0,55,1
7,1653,3,24,3,2013,17,47,1
7,14525,10,24,3,2013,13,6,1
7,511,4,10,3,2013,12,20,1
7,10642,8,10,3,2013,3,28,1
7,12734,9,10,3,2013,3,26,1
6,2153,2,9,3,2013,16,32,1
6,64,4,9,3,2013,16,9,1
6,14393,9,9,3,2013,2,55,1
6,4530,9,9,3,2013,2,29,1
5,10266,2,8,3,2013,16,52,1
3,114,8,6,3,2013,2,37,1
6,5749,9,23,2,2013,22,43,1
5,730,3,22,2,2013,16,31,1
4,1091,10,21,2,2013,13,11,1
4,88,2,21,2,2013,0,14,1
3,211,5,20,2,2013,14,0,1
7,1091,10,10,2,2013,15,57,1
5,211,5,8,2,2013,15,50,1
5,713,4,8,2,2013,9,25,1
2,15167,7,5,2,2013,22,57,1
2,1220,10,5,2,2013,11,46,1
1,2414,3,4,2,2013,17,1,1
7,764,6,27,1,2013,19,55,1
6,538,8,26,1,2013,23,58,1
2,3453,9,22,1,2013,21,58,1
4,15250,4,10,1,2013,13,14,1
1,3418,4,24,12,2012,14,27,1
6,764,6,15,12,2012,18,56,1
5,5946,9,14,12,2012,11,35,1
3,2221,9,12,12,2012,12,34,1
6,8895,3,17,11,2012,1,54,1
7,2963,3,4,11,2012,12,20,1
6,283,10,3,11,2012,22,50,1
5,912,10,2,11,2012,21,56,1
5,9680,3,2,11,2012,3,45,1
4,1091,10,1,11,2012,0,1,1
3,28,4,31,10,2012,23,36,1
3,28,4,31,10,2012,22,51,1
3,234,6,31,10,2012,22,19,1
3,872,2,31,10,2012,14,40,1
3,2706,10,31,10,2012,12,36,1
3,5262,10,17,10,2012,13,5,1
3,3708,4,3,10,2012,18,44,1
1,468,2,1,10,2012,14,17,1
6,83,2,22,9,2012,10,42,1
6,2414,3,22,9,2012,8,30,1
4,3294,9,20,9,2012,14,17,1
3,1012,4,19,9,2012,19,21,1
2,5583,9,18,9,2012,19,11,1
7,2904,2,9,9,2012,12,30,1
7,13036,3,26,8,2012,10,21,1
6,3708,4,25,8,2012,18,54,1
5,1343,4,24,8,2012,18,0,1
2,4084,7,21,8,2012,22,40,1
2,277,10,21,8,2012,19,35,1
2,3716,3,21,8,2012,14,39,1
6,13101,6,11,8,2012,19,34,1
3,485,2,8,8,2012,13,26,1
2,1306,2,7,8,2012,9,27,1
4,1408,8,26,7,2012,20,46,1
4,213,4,26,7,2012,12,8,1
1,17504,5,23,7,2012,0,48,1
5,872,2,13,7,2012,21,55,1
5,2300,3,13,7,2012,16,30,1
3,17573,8,27,6,2012,16,7,1
3,511,4,27,6,2012,15,13,1
3,64,4,27,6,2012,13,11,1
3,1236,4,27,6,2012,1,22,1
1,925,2,25,6,2012,20,45,1
1,925,2,25,6,2012,20,45,1
5,6773,7,15,6,2012,20,43,1
3,125,2,13,6,2012,22,14,1
1,1791,2,11,6,2012,10,13,1
7,92,1,3,6,2012,21,40,1
6,1722,2,2,6,2012,9,34,1
6,1620,10,2,6,2012,9,32,1
5,9095,7,1,6,2012,0,20,1
3,7764,4,30,5,2012,13,20,1
6,1010,9,19,5,2012,0,53,1
5,925,2,18,5,2012,19,40,1
5,925,2,18,5,2012,19,40,1
5,11351,3,18,5,2012,15,17,1
5,468,2,18,5,2012,12,15,1
4,12734,9,17,5,2012,23,23,1
3,361,2,16,5,2012,20,20,1
3,8493,6,16,5,2012,18,39,1
1,1042,3,14,5,2012,21,37,1
7,11223,5,6,5,2012,3,18,1
7,1562,9,6,5,2012,2,34,1
6,6212,4,5,5,2012,18,44,1
6,8698,8,5,5,2012,12,50,1
6,982,9,5,5,2012,0,49,1
6,17744,9,5,5,2012,0,18,1
5,1010,9,4,5,2012,22,51,1
3,361,2,2,5,2012,6,38,1
6,4530,9,21,4,2012,23,50,1
6,2265,4,21,4,2012,13,30,1
6,3320,4,21,4,2012,12,30,1
5,1298,2,20,4,2012,23,30,1
5,8030,4,20,4,2012,17,25,1
5,2575,9,20,4,2012,0,5,1
4,4712,7,19,4,2012,20,30,1
3,159,6,18,4,2012,19,47,1
4,5782,5,5,4,2012,20,33,1
3,213,4,4,4,2012,1,54,1
2,125,2,3,4,2012,17,38,1
1,44,6,2,4,2012,19,11,1
1,1093,6,2,4,2012,18,5,1
5,408,2,23,3,2012,21,38,1
5,2678,8,23,3,2012,16,41,1
3,1772,2,21,3,2012,10,7,1
7,9476,3,11,3,2012,19,20,1
6,12102,2,10,3,2012,12,53,1
5,3667,2,9,3,2012,22,52,1
5,595,7,9,3,2012,18,26,1
4,907,6,8,3,2012,16,39,1
4,3329,10,8,3,2012,11,10,1
6,1010,9,25,2,2012,22,45,1
6,771,1,25,2,2012,0,25,1
4,3424,1,23,2,2012,16,26,1
4,1224,1,23,2,2012,15,25,1
6,4839,3,11,2,2012,3,37,1
4,10078,7,9,2,2012,16,20,1
3,435,10,8,2,2012,14,25,1
2,1791,2,7,2,2012,19,15,1
1,3066,4,6,2,2012,15,45,1
7,37,2,29,1,2012,14,35,1
4,1255,6,26,1,2012,23,8,1
4,6420,2,26,1,2012,9,53,1
3,2096,8,25,1,2012,8,30,1
1,1925,1,23,1,2012,23,21,1
6,3426,5,14,1,2012,2,8,1
6,3620,2,14,1,2012,1,50,1
6,3708,4,14,1,2012,0,10,1
5,872,2,13,1,2012,21,2,1
5,1653,3,13,1,2012,20,58,1
5,1091,10,13,1,2012,18,27,1
7,10542,4,1,1,2012,9,0,1
4,6425,1,29,12,2011,23,17,1
2,14121,9,27,12,2011,19,18,1
2,3329,10,27,12,2011,14,37,1
7,893,10,18,12,2011,18,0,1
1,697,8,12,12,2011,23,14,1
6,28,4,3,12,2011,1,20,1
3,1061,4,30,11,2011,20,30,1
6,640,9,19,11,2011,21,45,1
5,979,4,18,11,2011,0,19,1
4,9023,8,17,11,2011,8,25,1
2,1808,9,15,11,2011,14,30,1
7,3418,4,6,11,2011,8,27,1
7,28,4,6,11,2011,1,55,1
6,11223,5,5,11,2011,2,30,1
5,44,6,4,11,2011,19,26,1
3,102,10,2,11,2011,15,36,1
2,830,10,1,11,2011,16,40,1
1,2183,9,31,10,2011,22,25,1
1,2183,9,31,10,2011,22,25,1
1,2183,9,31,10,2011,22,0,1
7,2792,4,23,10,2011,1,15,1
6,11372,6,22,10,2011,18,22,1
6,3340,4,22,10,2011,15,30,1
6,772,10,22,10,2011,2,18,1
5,283,10,21,10,2011,1,42,1
6,157,10,8,10,2011,0,1,1
6,8298,1,24,9,2011,23,25,1
5,11189,1,23,9,2011,20,55,1
4,1182,5,22,9,2011,9,25,1
3,164,4,21,9,2011,0,8,1
2,1606,2,20,9,2011,7,10,1
7,5192,6,11,9,2011,0,45,1
6,125,2,10,9,2011,18,10,1
6,125,2,10,9,2011,12,34,1
4,821,10,8,9,2011,9,16,1
2,1255,6,6,9,2011,20,16,1
2,7769,8,6,9,2011,13,20,1
2,511,4,6,9,2011,0,49,1
7,338,1,28,8,2011,0,9,1
5,7392,6,26,8,2011,23,37,1
5,102,10,26,8,2011,21,50,1
6,729,4,13,8,2011,2,30,1
4,1214,10,11,8,2011,9,49,1
1,22,10,8,8,2011,20,40,1
6,198,1,30,7,2011,11,30,1
6,499,2,30,7,2011,2,30,1
6,5783,2,16,7,2011,21,55,1
6,2706,10,16,7,2011,13,0,1
5,3856,4,15,7,2011,23,39,1
4,1136,4,14,7,2011,12,1,1
3,335,4,13,7,2011,19,41,1
6,3133,5,2,7,2011,21,2,1
6,1653,3,2,7,2011,15,1,1
5,1421,9,1,7,2011,21,55,1
1,14426,9,27,6,2011,0,50,1
5,10369,4,17,6,2011,8,8,1
4,138,10,16,6,2011,12,40,1
4,138,10,16,6,2011,12,40,1
3,1405,10,15,6,2011,15,30,1
3,1116,2,15,6,2011,10,15,1
2,1991,10,14,6,2011,22,10,1
2,4052,4,14,6,2011,17,15,1
7,1412,3,5,6,2011,0,2,1
6,2414,3,4,6,2011,17,18,1
5,125,2,3,6,2011,21,30,1
5,925,2,3,6,2011,20,21,1
5,823,2,3,6,2011,12,45,1
5,256,2,3,6,2011,12,0,1
5,256,2,3,6,2011,12,0,1
7,250,4,22,5,2011,17,4,1
5,125,2,20,5,2011,21,5,1
5,1524,3,20,5,2011,9,16,1
5,8353,2,20,5,2011,2,45,1
4,64,4,19,5,2011,19,26,1
2,907,6,17,5,2011,15,25,1
2,872,2,17,5,2011,8,4,1
1,10322,2,16,5,2011,11,45,1
4,7769,8,5,5,2011,20,0,1
3,511,4,4,5,2011,15,45,1
3,3965,3,4,5,2011,13,9,1
3,468,2,4,5,2011,10,14,1
6,810,7,23,4,2011,22,40,1
6,17690,1,23,4,2011,2,7,1
5,4377,1,22,4,2011,21,0,1
5,1255,6,22,4,2011,1,0,1
4,3047,8,21,4,2011,17,45,1
4,125,2,21,4,2011,15,42,1
3,945,6,20,4,2011,14,59,1
6,326,2,9,4,2011,17,18,1
6,326,2,9,4,2011,17,18,1
6,6074,2,9,4,2011,13,5,1
4,9313,4,7,4,2011,19,40,1
1,4936,6,21,3,2011,13,11,1
7,959,10,13,3,2011,23,35,1
7,2582,4,13,3,2011,0,1,1
6,5390,5,12,3,2011,16,2,1
6,11116,2,12,3,2011,12,30,1
6,5289,7,12,3,2011,12,0,1
6,9702,7,12,3,2011,10,50,1
6,495,7,12,3,2011,10,35,1
5,232,4,11,3,2011,8,4,1
4,37,2,10,3,2011,12,9,1
3,1406,4,9,3,2011,22,25,1
3,4140,10,9,3,2011,21,18,1
3,8771,2,9,3,2011,12,5,1
2,697,8,8,3,2011,23,57,1
7,9279,7,27,2,2011,16,0,1
7,11199,5,27,2,2011,11,35,1
7,1100,5,27,2,2011,11,15,1
7,6993,5,27,2,2011,10,10,1
6,1091,10,26,2,2011,9,45,1
5,7764,4,25,2,2011,22,22,1
5,2467,6,25,2,2011,11,35,1
4,979,4,24,2,2011,22,19,1
4,7354,6,24,2,2011,13,53,1
2,7467,4,22,2,2011,14,2,1
1,14275,2,21,2,2011,23,5,1
1,3844,5,21,2,2011,7,54,1
7,982,9,13,2,2011,0,17,1
4,336,1,10,2,2011,16,40,1
4,3762,1,10,2,2011,16,0,1
4,1095,5,10,2,2011,15,25,1
2,511,4,8,2,2011,12,26,1
2,3131,10,25,1,2011,20,30,1
2,4848,3,25,1,2011,20,12,1
7,3807,3,16,1,2011,23,21,1
6,14641,7,15,1,2011,22,30,1
6,771,1,15,1,2011,16,35,1
5,7764,4,14,1,2011,21,0,1
4,6051,6,13,1,2011,20,30,1
4,6420,2,13,1,2011,18,35,1
6,6313,3,1,1,2011,15,41,1
5,10546,2,31,12,2010,23,0,1
5,125,2,31,12,2010,18,2,1
5,3185,7,31,12,2010,0,19,1
4,5805,6,30,12,2010,13,37,1
3,3548,3,29,12,2010,15,31,1
3,5805,6,29,12,2010,14,59,1
2,2354,6,28,12,2010,7,13,1
1,1012,4,27,12,2010,22,32,1
1,9377,4,27,12,2010,10,7,1
4,8417,6,16,12,2010,11,49,1
3,2719,4,15,12,2010,23,13,1
3,125,2,15,12,2010,1,58,1
7,3856,4,5,12,2010,10,5,1
5,2467,6,3,12,2010,12,16,1
5,6827,6,3,12,2010,12,15,1
4,6483,1,2,12,2010,18,15,1
4,1791,2,2,12,2010,12,18,1
2,357,4,30,11,2010,15,42,1
2,357,4,30,11,2010,15,42,1
1,256,2,29,11,2010,0,32,1
7,927,1,21,11,2010,15,15,1
6,9199,3,20,11,2010,11,51,1
5,2868,7,19,11,2010,9,0,1
3,1974,1,17,11,2010,14,45,1
3,1100,5,17,11,2010,14,25,1
3,3786,1,17,11,2010,13,55,1
3,1012,4,17,11,2010,0,56,1
3,407,10,17,11,2010,0,30,1
4,4377,1,4,11,2010,0,10,1
3,1943,2,3,11,2010,23,17,1
3,601,9,3,11,2010,18,56,1
3,269,1,20,10,2010,18,25,1
3,6483,1,20,10,2010,18,0,1
3,208,1,20,10,2010,17,30,1
7,125,2,10,10,2010,12,55,1
6,10402,9,9,10,2010,22,9,1
5,2856,8,8,10,2010,14,42,1
2,1091,10,5,10,2010,18,53,1
6,1790,1,25,9,2010,18,20,1
4,10532,1,23,9,2010,18,18,1
2,957,2,21,9,2010,19,23,1
7,2838,2,12,9,2010,1,55,1
6,1090,4,11,9,2010,0,57,1
4,709,7,9,9,2010,17,20,1
4,9887,9,9,9,2010,16,40,1
4,3164,9,9,9,2010,15,50,1
4,721,5,9,9,2010,11,10,1
3,22,10,8,9,2010,20,40,1
3,22,10,8,9,2010,20,40,1
3,13638,7,8,9,2010,13,39,1
1,1090,4,6,9,2010,14,30,1
1,643,4,6,9,2010,13,30,1
1,277,10,6,9,2010,11,34,1
1,7944,1,6,9,2010,10,25,1
6,3329,10,28,8,2010,12,49,1
5,925,2,27,8,2010,21,0,1
5,6291,8,27,8,2010,19,0,1
4,1862,5,26,8,2010,9,55,1
7,220,4,15,8,2010,18,0,1
7,2397,6,15,8,2010,17,46,1
7,125,2,15,8,2010,11,47,1
6,6831,7,14,8,2010,19,57,1
6,3725,10,14,8,2010,13,10,1
3,1125,2,11,8,2010,14,57,1
2,2265,4,10,8,2010,15,16,1
7,189,2,1,8,2010,0,17,1
6,213,4,31,7,2010,18,38,1
6,3038,1,31,7,2010,14,14,1
5,2222,1,30,7,2010,21,23,1
3,1056,2,28,7,2010,19,10,1
3,125,2,28,7,2010,12,1,1
2,468,2,27,7,2010,16,26,1
2,102,10,27,7,2010,16,1,1
2,2153,2,27,7,2010,7,0,1
4,5085,8,15,7,2010,16,28,1
3,8278,4,14,7,2010,10,29,1
1,10531,4,12,7,2010,14,19,1
1,102,10,12,7,2010,8,3,1
7,93,7,4,7,2010,19,19,1
7,1431,10,4,7,2010,15,30,1
6,1204,2,3,7,2010,22,7,1
6,3725,10,3,7,2010,10,27,1
6,277,10,19,6,2010,19,35,1
6,7704,1,19,6,2010,16,0,1
5,17732,4,18,6,2010,18,49,1
7,9573,9,6,6,2010,2,14,1
6,1433,10,5,6,2010,3,40,1
5,1653,3,4,6,2010,10,15,1
4,3693,3,3,6,2010,11,52,1
4,102,10,3,6,2010,8,16,1
3,6114,3,2,6,2010,14,15,1
2,3300,4,1,6,2010,0,1,1
4,2725,4,20,5,2010,19,35,1
3,1091,10,19,5,2010,17,45,1
3,584,4,19,5,2010,17,18,1
3,5082,4,19,5,2010,13,50,1
2,4146,4,18,5,2010,17,46,1
2,282,6,18,5,2010,7,0,1
7,1606,2,9,5,2010,17,59,1
4,5107,10,6,5,2010,23,11,1
4,125,2,6,5,2010,15,0,1
4,2159,10,6,5,2010,12,46,1
3,1090,4,5,5,2010,22,20,1
3,1090,4,5,5,2010,22,20,1
3,10880,9,5,5,2010,13,55,1
3,15042,9,5,5,2010,13,35,1
3,907,6,5,5,2010,10,53,1
2,1039,5,4,5,2010,18,30,1
2,3036,8,4,5,2010,17,40,1
7,5239,1,25,4,2010,11,43,1
6,925,2,24,4,2010,21,5,1
6,3881,4,24,4,2010,19,20,1
5,164,4,23,4,2010,17,21,1
3,3418,4,21,4,2010,17,33,1
3,907,6,21,4,2010,17,32,1
2,1441,1,20,4,2010,19,56,1
2,97,2,20,4,2010,17,22,1
2,6836,5,20,4,2010,14,17,1
2,19380,9,20,4,2010,11,1,1
2,19380,9,20,4,2010,11,1,1
1,3881,4,19,4,2010,16,32,1
5,3708,4,9,4,2010,22,28,1
5,3708,4,9,4,2010,22,28,1
5,907,6,9,4,2010,19,27,1
6,12036,8,27,3,2010,18,3,1
6,11350,6,27,3,2010,14,0,1
6,1791,2,27,3,2010,2,19,1
4,361,2,25,3,2010,22,26,1
4,1954,10,25,3,2010,16,45,1
4,3308,4,25,3,2010,12,33,1
3,6662,8,24,3,2010,16,25,1
2,4062,4,23,3,2010,20,45,1
7,64,4,14,3,2010,15,15,1
7,4741,5,14,3,2010,13,45,1
7,9702,7,14,3,2010,3,10,1
6,213,4,13,3,2010,9,35,1
4,159,6,11,3,2010,20,50,1
4,511,4,11,3,2010,17,30,1
4,6001,4,11,3,2010,1,38,1
3,4441,5,10,3,2010,21,50,1
3,7977,8,10,3,2010,17,30,1
3,7769,8,10,3,2010,15,5,1
3,1957,8,10,3,2010,14,5,1
3,5751,8,10,3,2010,13,50,1
3,13003,8,10,3,2010,13,30,1
2,1012,4,9,3,2010,22,19,1
2,1012,4,9,3,2010,22,19,1
2,5751,8,9,3,2010,17,10,1
2,1957,8,9,3,2010,16,55,1
2,1334,3,9,3,2010,16,30,1
1,764,6,8,3,2010,19,15,1
5,220,4,26,2,2010,23,4,1
5,3875,2,26,2,2010,9,1,1
4,4550,2,25,2,2010,11,30,1
1,8580,8,22,2,2010,17,26,1
1,2904,2,22,2,2010,15,51,1
7,1950,2,14,2,2010,12,47,1
6,138,10,13,2,2010,10,28,1
5,9313,4,12,2,2010,20,0,1
4,1352,4,11,2,2010,15,25,1
4,511,4,11,2,2010,15,2,1
6,1721,2,30,1,2010,23,45,1
4,3856,4,28,1,2010,14,22,1
3,44,6,27,1,2010,22,6,1
3,3026,5,27,1,2010,15,40,1
3,1383,7,27,1,2010,13,46,1
1,3693,3,25,1,2010,13,44,1
7,83,2,17,1,2010,7,25,1
6,511,4,16,1,2010,13,8,1
3,1010,9,13,1,2010,20,26,1
3,138,10,13,1,2010,19,46,1
3,1673,5,13,1,2010,17,30,1
3,1039,5,13,1,2010,17,10,1
3,2383,5,13,1,2010,15,40,1
3,44,6,13,1,2010,15,30,1
2,8035,6,12,1,2010,10,39,1
7,501,4,27,12,2009,23,32,1
6,6569,2,26,12,2009,9,27,1
3,3376,10,23,12,2009,15,15,1
3,83,2,23,12,2009,8,28,1
1,9279,7,21,12,2009,2,25,1
3,6151,8,9,12,2009,19,0,1
3,1760,10,9,12,2009,18,50,1
6,1202,6,28,11,2009,18,57,1
6,2706,10,28,11,2009,14,29,1
1,1116,2,23,11,2009,10,52,1
6,2380,2,14,11,2009,23,20,1
6,872,2,14,11,2009,21,18,1
3,1662,4,11,11,2009,23,29,1
2,4549,9,10,11,2009,9,26,1
1,8340,5,9,11,2009,18,20,1
1,4528,5,9,11,2009,18,10,1
1,1100,5,9,11,2009,17,45,1
6,2907,4,31,10,2009,18,34,1
1,213,4,26,10,2009,17,33,1
1,4107,6,26,10,2009,6,26,1
7,7208,9,18,10,2009,22,4,1
2,1061,4,13,10,2009,1,2,1
6,3736,3,3,10,2009,10,0,1
5,1653,3,2,10,2009,14,32,1
4,4571,5,1,10,2009,20,55,1
4,6867,2,1,10,2009,13,15,1
3,303,8,30,9,2009,14,45,1
2,18300,2,29,9,2009,16,21,1
7,872,2,20,9,2009,9,36,1
7,1245,10,20,9,2009,8,23,1
5,15604,2,18,9,2009,22,55,1
3,872,2,16,9,2009,11,5,1
2,1879,3,15,9,2009,16,7,1
2,64,4,15,9,2009,12,40,1
2,2045,6,15,9,2009,12,30,1
1,2382,1,14,9,2009,18,10,1
1,5444,10,14,9,2009,17,40,1
1,366,10,14,9,2009,17,25,1
6,8493,6,5,9,2009,23,59,1
6,1850,4,5,9,2009,10,32,1
4,1301,1,3,9,2009,12,40,1
3,1836,4,2,9,2009,16,51,1
7,373,4,23,8,2009,21,26,1
7,455,2,23,8,2009,2,33,1
5,11107,7,21,8,2009,12,59,1
4,44,6,20,8,2009,15,0,1
3,7400,5,19,8,2009,6,15,1
3,3137,7,19,8,2009,5,25,1
1,1161,4,17,8,2009,18,40,1
1,10236,6,17,8,2009,13,5,1
1,4648,5,17,8,2009,0,10,1
5,2096,8,7,8,2009,14,16,1
5,83,2,7,8,2009,6,50,1
4,3466,1,6,8,2009,19,21,1
