"day","address","location","date","month","year","hour","min","SUICIDE"
4,3309,9,15,11,2012,17,0,1
2,829,1,13,11,2012,9,30,1
6,12107,7,3,11,2012,20,40,1
4,2848,2,1,11,2012,6,0,1
1,1665,4,29,10,2012,23,5,1
5,5606,4,19,10,2012,0,1,1
1,11644,9,15,10,2012,11,0,1
6,2340,3,6,10,2012,18,52,1
7,144,4,23,9,2012,10,55,1
5,8561,8,21,9,2012,18,30,1
4,7397,4,20,9,2012,17,0,1
3,11609,9,19,9,2012,21,0,1
6,14135,7,25,8,2012,19,48,1
6,826,4,11,8,2012,18,15,1
1,1095,5,6,8,2012,17,0,1
4,8594,3,26,7,2012,14,47,1
2,276,7,24,7,2012,13,21,1
1,3131,10,9,7,2012,9,30,1
6,9946,9,30,6,2012,13,37,1
5,1623,9,29,6,2012,2,9,1
4,4935,7,28,6,2012,18,33,1
3,4802,8,13,6,2012,14,0,1
3,14401,5,13,6,2012,6,35,1
3,501,4,30,5,2012,11,30,1
2,1256,7,15,5,2012,21,58,1
1,1352,4,30,4,2012,13,34,1
4,16574,8,19,4,2012,17,40,1
5,13338,8,23,3,2012,17,0,1
2,11086,8,6,3,2012,12,0,1
7,3204,8,26,2,2012,9,0,1
2,957,2,21,2,2012,22,52,1
4,1808,9,9,2,2012,9,45,1
7,326,2,1,1,2012,19,15,1
7,14222,6,1,1,2012,19,14,1
7,9046,5,1,1,2012,14,45,1
6,2832,6,31,12,2011,11,55,1
6,22,10,31,12,2011,1,15,1
5,2971,5,16,12,2011,3,51,1
3,5,8,30,11,2011,0,41,1
2,13557,3,15,11,2011,22,31,1
2,3653,9,15,11,2011,20,1,1
1,7068,10,14,11,2011,22,0,1
7,2096,8,6,11,2011,1,45,1
6,44,6,5,11,2011,15,51,1
5,1584,5,4,11,2011,17,0,1
4,1448,8,3,11,2011,18,40,1
2,9096,8,1,11,2011,0,1,1
1,8591,3,3,10,2011,19,25,1
1,76,5,3,10,2011,10,10,1
6,16677,4,24,9,2011,18,55,1
3,1682,8,21,9,2011,6,40,1
3,3131,10,7,9,2011,6,16,1
3,232,4,24,8,2011,11,0,1
1,2436,5,8,8,2011,12,0,1
7,3002,6,17,7,2011,2,10,1
6,3587,3,16,7,2011,10,0,1
2,5653,5,28,6,2011,18,0,1
2,13149,8,28,6,2011,9,0,1
1,18212,9,27,6,2011,19,30,1
6,599,9,18,6,2011,10,56,1
4,1963,7,16,6,2011,1,18,1
2,1284,4,14,6,2011,0,30,1
1,3158,4,13,6,2011,13,47,1
7,1473,1,22,5,2011,11,37,1
1,5208,1,16,5,2011,12,0,1
7,1753,7,8,5,2011,21,0,1
3,653,10,4,5,2011,9,0,1
2,7899,8,3,5,2011,14,0,1
6,2346,2,23,4,2011,17,49,1
6,4383,2,23,4,2011,12,20,1
5,213,4,22,4,2011,9,25,1
3,125,2,20,4,2011,7,20,1
5,653,10,8,4,2011,15,10,1
7,4016,4,27,3,2011,3,40,1
6,2121,9,26,3,2011,2,30,1
4,213,4,24,3,2011,14,0,1
4,213,4,24,3,2011,10,40,1
3,14028,6,23,3,2011,9,20,1
3,13269,9,23,3,2011,7,50,1
2,8322,7,22,2,2011,22,15,1
6,1176,8,12,2,2011,1,25,1
4,14447,7,27,1,2011,18,30,1
3,125,2,29,12,2010,17,22,1
1,6171,5,27,12,2010,21,30,1
5,10769,9,17,12,2010,2,0,1
3,8386,1,15,12,2010,10,0,1
7,357,4,5,12,2010,14,40,1
5,12593,1,3,12,2010,12,10,1
4,9137,8,18,11,2010,0,30,1
2,656,9,16,11,2010,17,50,1
7,125,2,7,11,2010,12,0,1
4,8117,5,21,10,2010,8,45,1
1,2999,6,18,10,2010,14,10,1
4,8261,9,7,10,2010,16,0,1
6,125,2,25,9,2010,16,36,1
7,4582,1,12,9,2010,12,0,1
7,7552,2,29,8,2010,2,25,1
3,6193,2,25,8,2010,1,1,1
7,1352,4,15,8,2010,11,5,1
6,1275,10,14,8,2010,21,0,1
3,4521,3,14,7,2010,20,30,1
6,15664,3,19,6,2010,14,0,1
1,125,2,14,6,2010,16,40,1
4,7524,5,3,6,2010,16,20,1
7,13705,9,23,5,2010,13,35,1
6,12974,6,22,5,2010,6,36,1
3,1001,9,19,5,2010,13,43,1
6,11102,2,8,5,2010,11,49,1
5,1525,4,7,5,2010,12,0,1
5,125,2,23,4,2010,20,0,1
5,5533,1,9,4,2010,23,13,1
2,6942,4,23,2,2010,8,0,1
2,5121,5,23,2,2010,6,55,1
5,1182,5,12,2,2010,16,0,1
4,534,4,28,1,2010,10,2,1
7,18666,9,29,11,2009,10,30,1
7,10427,9,1,11,2009,2,30,1
6,28,4,31,10,2009,11,30,1
5,17191,8,16,10,2009,12,0,1
4,1220,10,1,10,2009,3,2,1
5,501,4,18,9,2009,18,0,1
4,125,2,17,9,2009,11,10,1
7,3058,9,23,8,2009,13,45,1
4,7051,8,20,8,2009,7,0,1
4,5316,7,20,8,2009,6,30,1
3,10939,9,19,8,2009,9,40,1
3,406,4,19,8,2009,7,0,1
2,2214,1,18,8,2009,18,37,1
2,15869,8,18,8,2009,8,30,1
1,121,1,17,8,2009,16,19,1
7,1060,4,9,8,2009,19,0,1
7,501,4,9,8,2009,11,20,1
3,1352,4,5,8,2009,19,15,1
2,16966,7,4,8,2009,14,15,1
7,3906,5,12,7,2009,12,30,1
6,1556,5,11,7,2009,20,0,1
5,1404,7,10,7,2009,13,0,1
1,11771,1,8,6,2009,8,50,1
6,4612,6,30,5,2009,11,0,1
2,4308,8,26,5,2009,16,0,1
2,1661,7,26,5,2009,11,53,1
7,17816,3,17,5,2009,22,40,1
5,14573,8,15,5,2009,17,0,1
2,125,2,12,5,2009,15,33,1
4,1983,1,30,4,2009,22,50,1
4,879,8,16,4,2009,19,33,1
2,125,2,14,4,2009,21,26,1
5,11087,1,20,3,2009,19,0,1
5,11087,1,20,3,2009,19,0,1
5,11087,1,20,3,2009,19,0,1
5,9460,8,20,3,2009,19,0,1
1,1696,7,16,3,2009,2,0,1
7,4298,10,8,3,2009,18,0,1
6,3362,5,7,3,2009,12,0,1
5,2398,2,20,2,2009,19,49,1
1,4264,1,16,2,2009,8,30,1
4,9102,7,5,2,2009,7,24,1
5,4584,3,23,1,2009,10,0,1
5,7229,9,9,1,2009,18,41,1
3,15417,4,7,1,2009,13,40,1
1,2802,5,5,1,2009,15,46,1
7,939,5,28,12,2008,9,44,1
6,77,10,27,12,2008,15,0,1
4,9773,5,25,12,2008,20,20,1
2,2955,3,23,12,2008,17,56,1
5,10717,6,12,12,2008,4,40,1
4,5305,7,11,12,2008,11,0,1
2,4486,3,9,12,2008,0,1,1
5,13725,9,28,11,2008,19,46,1
5,530,8,28,11,2008,7,0,1
7,9228,4,16,11,2008,14,15,1
1,4560,4,10,11,2008,13,22,1
6,554,10,1,11,2008,18,10,1
5,1826,7,31,10,2008,1,30,1
2,653,10,28,10,2008,15,0,1
7,646,6,19,10,2008,6,10,1
2,9337,3,14,10,2008,18,31,1
7,13239,9,5,10,2008,1,40,1
3,7093,8,1,10,2008,18,0,1
4,239,6,18,9,2008,5,21,1
3,2887,2,17,9,2008,14,30,1
5,6787,3,22,8,2008,10,30,1
3,1352,4,20,8,2008,17,8,1
7,12283,4,27,7,2008,17,0,1
2,3502,2,22,7,2008,1,36,1
7,10521,4,13,7,2008,15,0,1
6,11915,8,12,7,2008,21,0,1
6,152,10,12,7,2008,11,8,1
6,6788,8,12,7,2008,0,5,1
3,10689,4,9,7,2008,6,55,1
7,2301,5,29,6,2008,10,45,1
6,6126,1,28,6,2008,10,58,1
4,6777,7,26,6,2008,13,0,1
3,125,2,25,6,2008,9,13,1
7,1370,8,15,6,2008,9,0,1
5,2285,5,16,5,2008,8,46,1
4,2848,2,1,5,2008,22,40,1
4,1367,1,1,5,2008,7,30,1
6,619,8,19,4,2008,0,55,1
3,2862,10,16,4,2008,1,0,1
4,4053,9,3,4,2008,19,50,1
2,1220,10,18,3,2008,22,0,1
7,8314,4,9,3,2008,21,9,1
7,1809,10,9,3,2008,18,43,1
7,20535,5,9,3,2008,9,0,1
5,3952,1,7,3,2008,17,0,1
6,8511,1,26,1,2008,23,1,1
6,20535,5,26,1,2008,11,35,1
5,318,6,25,1,2008,23,59,1
6,16126,2,12,1,2008,11,10,1
5,2546,1,11,1,2008,4,48,1
4,20535,5,10,1,2008,12,43,1
3,13215,7,26,12,2007,12,16,1
2,1943,2,25,12,2007,15,42,1
4,20535,5,15,11,2007,6,30,1
7,125,2,4,11,2007,20,30,1
6,8973,1,3,11,2007,23,0,1
5,20535,5,2,11,2007,12,51,1
2,408,2,30,10,2007,18,45,1
2,9963,8,16,10,2007,12,24,1
6,1977,9,6,10,2007,19,0,1
3,3892,2,3,10,2007,8,52,1
5,5826,1,21,9,2007,18,53,1
7,1806,5,9,9,2007,20,40,1
7,8660,5,9,9,2007,13,35,1
7,20535,5,9,9,2007,10,32,1
1,13592,9,3,9,2007,18,40,1
2,6323,5,7,8,2007,9,8,1
6,6453,7,28,7,2007,21,50,1
4,10072,8,26,7,2007,9,0,1
2,11971,2,10,7,2007,14,5,1
4,4732,8,28,6,2007,21,0,1
1,125,2,25,6,2007,16,8,1
7,3847,8,17,6,2007,9,40,1
6,3334,5,2,6,2007,15,25,1
5,998,5,4,5,2007,13,6,1
1,12946,7,16,4,2007,17,1,1
3,1044,4,4,4,2007,18,0,1
3,16126,2,4,4,2007,15,58,1
2,1431,10,3,4,2007,15,30,1
6,20535,5,24,3,2007,16,10,1
5,1352,4,23,3,2007,18,38,1
5,1352,4,23,3,2007,18,38,1
4,2265,4,22,3,2007,19,28,1
4,1245,10,22,3,2007,9,24,1
2,20535,5,6,3,2007,14,50,1
5,4086,1,23,2,2007,13,34,1
4,630,1,22,2,2007,11,40,1
4,366,10,8,2,2007,2,0,1
7,8767,4,28,1,2007,14,35,1
6,6126,1,27,1,2007,15,0,1
5,957,2,26,1,2007,21,8,1
2,6242,7,23,1,2007,21,0,1
1,20535,5,8,1,2007,16,17,1
7,13,3,31,12,2006,1,30,1
5,8131,5,29,12,2006,0,10,1
4,15240,3,28,12,2006,23,10,1
6,808,4,18,11,2006,5,10,1
3,19110,8,15,11,2006,9,42,1
2,4413,8,14,11,2006,1,13,1
6,13828,6,4,11,2006,12,0,1
4,1379,1,2,11,2006,13,30,1
2,7550,9,31,10,2006,22,0,1
1,40,1,2,10,2006,18,15,1
7,4086,1,24,9,2006,20,55,1
4,11539,9,21,9,2006,21,23,1
3,4576,6,20,9,2006,19,8,1
3,1473,1,6,9,2006,21,25,1
1,1599,6,4,9,2006,1,20,1
2,20535,5,22,8,2006,15,35,1
1,3777,9,21,8,2006,18,52,1
2,5550,8,25,7,2006,12,30,1
1,20535,5,24,7,2006,17,0,1
6,501,4,15,7,2006,17,0,1
3,20535,5,28,6,2006,16,54,1
2,11279,9,27,6,2006,7,30,1
1,12305,7,26,6,2006,21,0,1
1,12305,7,26,6,2006,21,0,1
6,4703,1,17,6,2006,10,0,1
4,5151,4,15,6,2006,21,26,1
5,4053,9,2,6,2006,19,0,1
1,6931,4,29,5,2006,18,40,1
4,1993,6,18,5,2006,7,5,1
3,21274,9,17,5,2006,19,30,1
1,20535,5,15,5,2006,12,3,1
3,5935,8,3,5,2006,2,10,1
5,12455,7,21,4,2006,18,0,1
6,9337,3,8,4,2006,22,40,1
4,514,5,6,4,2006,15,0,1
2,408,2,4,4,2006,19,54,1
3,20535,5,22,3,2006,13,59,1
4,9315,3,9,3,2006,9,30,1
7,11184,8,26,2,2006,19,35,1
2,10683,7,21,2,2006,20,50,1
5,15991,9,10,2,2006,20,8,1
5,6224,8,27,1,2006,16,30,1
3,18809,7,25,1,2006,18,45,1
1,3315,2,23,1,2006,8,0,1
5,8690,3,13,1,2006,21,0,1
6,6628,7,31,12,2005,15,20,1
2,4798,3,27,12,2005,0,1,1
4,5786,4,1,12,2005,22,5,1
4,290,1,1,12,2005,5,39,1
7,13493,1,20,11,2005,12,0,1
3,11934,7,16,11,2005,11,46,1
3,1600,6,19,10,2005,8,23,1
1,3611,3,19,9,2005,11,40,1
1,19822,9,19,9,2005,10,40,1
6,3725,10,10,9,2005,8,0,1
6,501,4,27,8,2005,15,11,1
6,1811,9,27,8,2005,1,0,1
3,20535,5,10,8,2005,9,50,1
4,952,2,28,7,2005,12,0,1
4,4435,3,28,7,2005,10,20,1
4,9046,5,14,7,2005,12,55,1
4,3131,10,14,7,2005,1,0,1
4,491,3,14,7,2005,0,14,1
1,7376,9,13,6,2005,16,30,1
7,158,2,5,6,2005,8,17,1
6,15314,9,4,6,2005,1,13,1
4,324,1,2,6,2005,13,5,1
5,7649,8,20,5,2005,9,44,1
4,4115,5,19,5,2005,19,21,1
1,7860,1,16,5,2005,14,0,1
1,133,3,16,5,2005,2,30,1
5,20535,5,6,5,2005,16,0,1
5,16126,2,6,5,2005,13,37,1
4,501,4,5,5,2005,15,26,1
1,11314,8,2,5,2005,15,16,1
7,20535,5,24,4,2005,7,36,1
5,2989,5,22,4,2005,21,30,1
3,14230,8,23,3,2005,20,38,1
6,16126,2,12,3,2005,7,2,1
5,20535,5,11,3,2005,16,20,1
4,8275,9,10,3,2005,12,5,1
2,20535,5,22,2,2005,14,50,1
7,1615,2,30,1,2005,12,0,1
5,3386,1,28,1,2005,15,0,1
4,20535,5,27,1,2005,13,19,1
6,121,1,25,12,2004,12,30,1
1,2725,4,20,12,2004,13,0,1
5,2894,2,10,12,2004,12,41,1
5,9289,9,10,12,2004,12,0,1
4,5084,1,9,12,2004,8,0,1
2,979,4,7,12,2004,11,25,1
4,2116,4,25,11,2004,1,0,1
1,3125,8,22,11,2004,20,29,1
7,8379,3,14,11,2004,11,50,1
6,7932,9,13,11,2004,8,10,1
4,20535,5,11,11,2004,13,36,1
3,8632,1,10,11,2004,22,50,1
2,357,4,9,11,2004,15,30,1
1,796,2,25,10,2004,12,0,1
6,10279,7,16,10,2004,22,40,1
5,1041,5,15,10,2004,3,45,1
4,83,2,16,9,2004,18,8,1
1,4870,8,13,9,2004,15,33,1
6,4994,4,4,9,2004,9,6,1
4,3574,7,2,9,2004,0,5,1
3,436,5,1,9,2004,19,45,1
5,22007,5,20,8,2004,15,58,1
2,2101,1,17,8,2004,11,46,1
4,3530,5,5,8,2004,2,0,1
6,2619,5,10,7,2004,16,0,1
5,7656,9,9,7,2004,18,34,1
5,2149,5,9,7,2004,16,49,1
1,16094,9,5,7,2004,16,53,1
6,1850,4,26,6,2004,9,23,1
6,310,8,29,5,2004,23,0,1
3,3271,8,26,5,2004,8,0,1
5,499,2,14,5,2004,8,24,1
4,12438,6,13,5,2004,21,20,1
4,8275,9,13,5,2004,11,40,1
3,10023,7,12,5,2004,8,45,1
3,4535,1,12,5,2004,5,50,1
1,22007,5,10,5,2004,15,10,1
7,4562,5,2,5,2004,16,0,1
7,125,2,2,5,2004,14,5,1
7,6848,8,18,4,2004,23,41,1
1,1041,5,12,4,2004,15,0,1
5,83,2,2,4,2004,8,5,1
1,21764,2,29,3,2004,19,17,1
7,21770,1,21,3,2004,10,52,1
4,2601,3,18,3,2004,0,48,1
3,363,2,17,3,2004,16,3,1
2,8027,8,16,3,2004,12,2,1
5,5088,7,9,1,2004,23,0,1
5,284,8,9,1,2004,16,45,1
1,7422,1,5,1,2004,21,20,1
3,1345,1,24,12,2003,11,45,1
2,2156,2,9,12,2003,13,40,1
1,501,4,8,12,2003,11,12,1
1,6421,7,8,12,2003,10,5,1
6,14641,7,29,11,2003,8,0,1
6,1983,1,29,11,2003,4,55,1
3,1041,5,26,11,2003,5,5,1
4,7096,1,13,11,2003,1,55,1
3,3553,6,12,11,2003,7,15,1
7,310,8,2,11,2003,14,50,1
6,5591,5,1,11,2003,11,33,1
1,2616,1,15,9,2003,23,48,1
1,501,4,15,9,2003,9,55,1
6,8423,8,6,9,2003,17,14,1
4,4016,4,4,9,2003,19,14,1
2,1338,4,2,9,2003,20,0,1
2,54,1,19,8,2003,21,0,1
4,4140,10,7,8,2003,16,5,1
7,16093,3,27,7,2003,19,54,1
7,1347,8,27,7,2003,3,0,1
2,21643,2,22,7,2003,17,30,1
1,7008,1,7,7,2003,13,45,1
1,9235,9,7,7,2003,12,3,1
6,15152,9,28,6,2003,20,20,1
6,1091,10,28,6,2003,16,57,1
5,1166,8,30,5,2003,22,17,1
5,5562,9,30,5,2003,7,40,1
2,2168,7,27,5,2003,19,50,1
2,125,2,27,5,2003,5,0,1
6,3566,5,17,5,2003,7,34,1
2,20439,7,13,5,2003,10,55,1
7,501,4,4,5,2003,11,55,1
3,1259,8,30,4,2003,18,50,1
3,5432,3,30,4,2003,18,32,1
7,1711,3,20,4,2003,1,0,1
5,7555,3,21,3,2003,19,0,1
2,1914,10,18,3,2003,0,1,1
1,12119,8,17,3,2003,11,0,1
4,501,4,6,3,2003,17,59,1
3,3981,7,19,2,2003,9,15,1
1,219,1,17,2,2003,18,1,1
4,15138,8,6,2,2003,0,8,1
3,4639,7,5,2,2003,21,22,1
3,17632,9,5,2,2003,10,34,1
2,4628,9,4,2,2003,9,30,1
1,8771,2,3,2,2003,14,45,1
6,8895,3,25,1,2003,15,50,1
4,1663,3,23,1,2003,12,19,1
3,23205,4,22,1,2003,19,11,1
5,199,8,26,7,2013,16,30,0
5,2241,4,24,9,2010,14,30,0
2,22010,3,30,9,2003,20,0,0
4,957,2,28,5,2009,8,50,0
6,2609,2,14,6,2008,18,30,0
6,125,2,29,7,2006,0,1,0
3,2932,5,15,4,2015,19,27,0
4,14880,2,19,10,2006,12,43,0
2,1994,3,28,4,2015,9,37,0
3,4896,6,23,3,2011,9,47,0
1,9807,9,26,7,2010,14,30,0
3,479,9,24,11,2004,15,43,0
1,1973,9,23,11,2009,15,15,0
2,6919,8,4,5,2010,15,58,0
4,2806,3,6,3,2003,13,26,0
3,3517,5,9,7,2008,9,41,0
7,2381,2,16,12,2012,17,0,0
1,1991,10,27,10,2008,13,50,0
7,2911,10,28,1,2007,22,50,0
4,15858,4,23,1,2003,22,0,0
4,2863,2,14,6,2007,22,30,0
7,156,2,17,7,2005,15,20,0
7,7519,1,6,4,2008,14,6,0
7,11958,4,8,2,2004,12,9,0
7,2436,5,7,10,2007,14,0,0
2,8640,3,27,5,2014,13,30,0
7,3987,9,27,7,2014,9,5,0
3,15868,8,21,9,2011,8,0,0
1,3419,8,23,7,2012,1,40,0
7,5135,1,22,5,2005,14,40,0
4,1214,10,18,4,2013,23,18,0
2,973,8,8,12,2009,6,15,0
3,125,2,13,7,2011,12,0,0
3,157,5,14,10,2009,3,0,0
7,2096,8,26,8,2007,20,48,0
1,6471,6,11,1,2010,21,50,0
7,908,10,15,8,2010,14,39,0
1,775,5,18,2,2008,23,31,0
1,1299,5,30,5,2005,19,22,0
5,6660,3,19,10,2007,10,45,0
7,4856,5,7,3,2004,12,0,0
4,3399,5,27,1,2005,17,42,0
3,4857,5,18,3,2015,8,42,0
6,643,4,8,10,2005,21,50,0
5,58,10,3,9,2004,22,0,0
1,7222,7,12,5,2008,19,50,0
7,7712,5,31,7,2005,9,40,0
7,13279,6,8,9,2013,22,45,0
2,1586,5,25,1,2011,22,3,0
6,2096,8,20,5,2006,15,0,0
5,12796,4,18,4,2003,10,47,0
1,125,2,2,8,2004,0,1,0
2,8223,2,7,9,2010,8,0,0
7,1590,7,14,12,2014,9,48,0
5,2720,10,15,1,2010,20,0,0
4,4093,2,20,2,2003,12,0,0
4,11837,3,7,8,2003,15,45,0
5,10673,7,20,9,2013,12,49,0
5,91,3,7,2,2014,2,30,0
1,3306,3,13,10,2014,4,0,0
6,10296,5,24,4,2010,17,0,0
4,772,10,19,8,2004,22,12,0
4,374,8,24,3,2011,22,17,0
7,1004,1,17,12,2006,17,55,0
2,15974,9,4,5,2010,17,0,0
7,2706,10,1,11,2009,11,0,0
2,435,10,22,2,2011,20,18,0
4,631,2,29,11,2012,16,0,0
6,5014,4,28,7,2007,10,20,0
1,6338,6,25,7,2011,15,49,0
5,3621,3,28,6,2013,22,7,0
3,5298,3,1,6,2005,11,53,0
4,4405,5,10,7,2003,1,45,0
5,5073,3,21,10,2005,15,0,0
3,1481,5,23,7,2003,18,45,0
2,9538,4,11,11,2014,13,50,0
5,4991,4,3,10,2014,12,0,0
5,363,2,30,5,2014,20,45,0
5,277,10,12,12,2003,2,15,0
1,512,8,25,7,2005,20,0,0
6,3416,9,4,6,2005,21,0,0
1,2118,5,11,6,2007,14,37,0
4,9093,4,22,3,2012,19,0,0
5,10675,1,23,9,2005,9,50,0
4,3752,5,6,9,2007,11,0,0
1,445,2,20,1,2014,0,40,0
5,139,2,7,4,2006,15,31,0
6,652,2,27,3,2010,20,0,0
5,11200,7,6,4,2007,16,30,0
3,8500,4,7,1,2009,20,45,0
1,2911,10,29,5,2006,16,30,0
1,6668,6,1,4,2013,2,0,0
7,359,10,3,11,2013,12,10,0
6,10518,7,29,1,2005,23,0,0
2,872,2,20,2,2007,0,15,0
2,52,5,21,8,2007,20,30,0
3,2198,9,4,4,2007,18,0,0
5,3722,1,20,2,2004,17,0,0
3,2490,3,28,6,2006,8,55,0
3,5379,8,4,9,2013,19,0,0
5,3124,2,25,7,2003,12,30,0
6,2367,1,26,7,2014,13,5,0
5,3426,5,6,8,2004,16,41,0
7,431,1,24,4,2011,13,30,0
1,6035,3,7,3,2011,23,0,0
6,2876,4,24,7,2004,16,56,0
5,1469,3,15,6,2007,19,0,0
2,1783,4,21,2,2012,20,0,0
1,5107,10,8,12,2014,20,0,0
7,1221,2,19,4,2015,1,30,0
7,8161,4,14,8,2005,8,30,0
7,14831,9,23,9,2012,2,0,0
6,2781,5,8,2,2003,20,30,0
4,8298,1,16,9,2004,1,45,0
5,2372,5,10,1,2014,0,1,0
3,10205,3,10,7,2013,9,30,0
7,9347,3,17,6,2012,22,50,0
5,3133,5,7,9,2012,1,56,0
2,15524,6,6,8,2013,2,26,0
3,6184,3,13,6,2007,23,0,0
1,3694,8,29,9,2008,23,0,0
1,22284,5,5,7,2004,16,0,0
2,7166,9,11,11,2008,13,30,0
6,15062,3,7,2,2009,23,0,0
6,213,4,3,7,2010,22,0,0
4,504,4,15,5,2008,23,0,0
3,4645,5,21,8,2013,10,24,0
5,925,2,16,5,2008,18,15,0
7,125,2,2,11,2008,13,30,0
5,12851,1,26,7,2013,19,26,0
1,10243,9,7,2,2005,21,0,0
1,7223,1,8,2,2010,11,0,0
2,4000,9,6,2,2007,18,15,0
7,7986,4,31,10,2004,9,45,0
3,9629,5,3,10,2007,10,0,0
5,12231,9,22,8,2008,15,0,0
5,5444,10,30,12,2011,13,53,0
2,10715,6,25,1,2005,6,40,0
7,7619,5,23,8,2009,7,10,0
4,653,10,17,5,2007,22,0,0
2,2666,3,30,11,2010,14,0,0
5,4256,2,15,7,2005,16,45,0
2,4167,6,25,11,2014,20,0,0
3,14134,4,6,4,2005,9,15,0
4,4770,2,3,5,2007,18,25,0
4,22836,3,20,2,2003,7,46,0
4,4111,10,30,12,2010,20,40,0
3,363,2,2,9,2009,14,25,0
1,1220,10,25,7,2011,11,30,0
3,17186,8,15,6,2005,12,0,0
7,12338,9,24,10,2010,1,30,0
2,2835,10,6,1,2009,7,25,0
1,125,2,12,11,2007,0,1,0
1,977,1,15,10,2012,13,30,0
3,5862,6,7,1,2009,13,10,0
3,926,4,21,8,2013,18,50,0
7,12257,8,16,1,2011,16,0,0
6,1276,4,28,11,2009,13,30,0
4,18597,3,26,1,2006,12,17,0
5,2400,10,27,6,2003,19,22,0
5,5598,3,30,11,2012,23,8,0
2,5241,5,25,11,2003,14,0,0
3,4446,2,16,9,2009,13,16,0
2,784,2,27,5,2008,15,0,0
2,4611,4,19,3,2013,17,0,0
6,223,10,3,5,2008,10,40,0
5,15579,3,11,8,2006,14,30,0
6,12520,3,3,5,2014,22,3,0
5,12152,5,13,11,2009,0,18,0
6,952,2,21,8,2004,16,18,0
7,125,2,16,6,2013,10,0,0
3,189,2,18,2,2004,0,1,0
3,13747,5,15,10,2008,23,0,0
2,638,4,25,11,2014,18,0,0
7,14896,8,23,3,2003,18,57,0
5,10709,9,5,9,2008,22,0,0
2,20886,8,7,1,2003,0,30,0
5,8406,7,14,12,2012,15,30,0
2,3688,10,5,9,2006,13,0,0
2,1567,5,5,10,2010,16,0,0
5,501,4,31,5,2013,17,40,0
5,408,2,30,12,2005,14,55,0
4,2445,2,10,7,2008,10,24,0
5,3101,1,6,9,2013,15,0,0
5,3640,9,2,5,2008,23,30,0
3,174,8,24,1,2007,6,55,0
2,4355,4,10,6,2003,14,15,0
6,4535,1,10,1,2015,22,30,0
6,435,10,21,8,2004,13,0,0
2,548,10,10,7,2012,17,8,0
2,151,5,24,6,2008,19,30,0
3,3419,8,28,12,2005,10,35,0
1,13366,1,8,1,2007,21,53,0
2,4231,9,12,1,2010,14,10,0
1,1340,7,28,10,2013,14,0,0
7,832,4,24,2,2013,1,15,0
1,3829,2,10,6,2013,9,15,0
