"day","address","location","date","month","year","hour","min","GAMBLING"
5,2118,5,8,8,2003,22,15,0
2,1685,8,27,5,2003,19,0,0
5,12350,8,19,10,2012,19,30,0
5,13567,7,11,3,2011,17,0,0
1,3177,8,12,11,2007,19,50,0
5,6420,2,9,9,2011,8,25,0
4,18083,6,1,12,2011,10,0,0
5,3776,5,6,2,2015,3,19,0
1,6916,4,17,10,2005,8,17,0
2,13482,9,1,6,2010,0,1,0
2,5710,5,16,9,2014,10,55,0
1,3024,7,27,9,2004,7,30,0
2,1077,4,2,9,2003,16,0,0
5,227,1,15,12,2006,0,22,0
3,6047,1,16,4,2008,17,50,0
1,125,2,16,3,2009,9,10,0
4,125,2,5,9,2013,11,45,0
4,2104,9,4,5,2006,17,30,0
5,5598,3,7,3,2008,14,35,0
1,77,10,9,1,2012,22,0,0
5,3493,5,12,12,2003,20,25,0
3,5603,5,14,6,2006,19,30,0
4,12113,2,28,6,2012,7,35,0
7,6334,6,28,7,2013,16,0,0
7,885,5,3,5,2015,16,0,0
5,7064,4,22,8,2008,8,15,0
5,3076,5,1,5,2009,0,1,0
3,83,2,29,11,2006,23,17,0
7,1790,1,8,9,2013,13,40,0
2,2706,10,8,2,2011,15,14,0
6,978,1,30,12,2006,2,21,0
6,2400,10,8,4,2006,17,55,0
3,1153,4,25,6,2003,11,16,0
5,4564,1,26,7,2013,8,0,0
6,125,2,18,11,2006,9,30,0
5,11055,9,16,6,2006,13,0,0
4,125,2,26,7,2007,16,0,0
6,1587,2,9,10,2010,17,0,0
4,631,2,3,4,2014,15,30,0
7,8195,9,6,11,2005,23,0,0
1,13499,3,25,7,2005,14,20,0
7,93,7,25,4,2010,13,33,0
1,9825,2,29,9,2008,13,25,0
5,36,2,23,4,2010,12,0,0
5,14592,1,11,7,2003,13,0,0
2,5580,5,22,2,2005,7,0,0
2,749,2,3,3,2015,5,13,0
2,3695,8,2,9,2008,20,0,0
2,11251,4,13,5,2003,22,1,0
1,2911,10,19,3,2007,23,15,0
2,6302,4,19,2,2013,3,41,0
2,2614,3,31,3,2015,13,2,0
7,11,10,3,6,2007,18,0,0
6,1224,1,27,6,2009,2,0,0
4,176,1,31,5,2012,13,30,0
1,3716,3,22,2,2010,15,16,0
1,3782,9,20,1,2014,12,28,0
1,2682,6,27,4,2009,14,11,0
6,36,2,5,4,2014,15,17,0
4,6129,7,30,12,2010,11,0,0
7,6303,5,31,10,2004,12,28,0
4,5107,10,2,12,2010,17,30,0
7,4718,7,25,1,2009,8,30,0
5,211,5,5,9,2014,21,0,0
1,764,6,8,12,2008,20,38,0
3,47,2,4,2,2015,23,0,0
7,27,5,25,1,2015,1,0,0
3,5423,5,11,6,2008,17,0,0
4,199,8,13,7,2006,0,1,0
4,125,2,12,8,2010,8,0,0
6,8590,3,13,12,2014,14,0,0
2,7161,8,24,6,2014,10,47,0
4,1409,6,2,12,2010,10,43,0
1,427,2,22,3,2010,6,45,0
3,4068,5,15,10,2008,19,0,0
5,38,10,5,10,2007,13,0,0
6,11455,4,7,2,2009,3,10,0
3,4425,8,8,9,2010,20,0,0
6,12096,5,9,9,2006,1,45,0
2,10558,8,6,1,2009,20,7,0
3,4298,10,18,2,2004,13,55,0
4,3629,4,18,9,2008,17,10,0
5,4729,1,8,8,2008,0,1,0
1,435,10,19,7,2004,19,0,0
1,408,2,4,8,2008,21,36,0
4,1150,2,3,10,2013,0,8,0
7,486,3,22,4,2012,9,6,0
2,363,2,30,9,2008,21,20,0
1,1473,1,16,8,2004,12,38,0
4,2064,2,23,1,2003,14,45,0
6,2442,8,3,5,2014,1,20,0
2,12806,9,23,8,2005,15,15,0
4,3806,5,24,8,2006,15,10,0
5,628,8,14,6,2013,20,30,0
7,7016,1,27,3,2011,17,30,0
4,6113,5,5,9,2013,12,0,0
3,8150,2,3,3,2004,20,30,0
3,8499,5,6,4,2005,18,0,0
7,4436,1,11,1,2015,0,1,0
5,414,2,5,9,2014,1,0,0
7,1406,4,1,1,2012,9,39,0
2,7051,8,22,12,2009,20,30,0
6,538,8,7,3,2015,21,30,0
4,716,5,14,5,2009,12,17,0
6,601,9,4,10,2003,18,30,0
6,21599,4,7,5,2005,8,53,0
6,10589,3,18,9,2004,19,44,0
4,14154,6,6,9,2007,13,30,0
1,1256,7,24,11,2003,7,1,0
4,10656,6,6,10,2005,10,0,0
3,8484,8,18,4,2012,9,50,0
1,2911,10,28,5,2007,4,27,0
1,4337,2,14,4,2014,19,25,0
3,4828,3,18,3,2015,15,41,0
1,125,2,27,10,2003,15,0,0
7,64,4,1,6,2014,17,16,0
2,2490,3,18,10,2011,13,0,0
4,10269,6,31,5,2012,14,45,0
5,6990,7,19,11,2010,1,0,0
6,10088,7,1,1,2011,0,1,0
1,27,5,13,6,2005,14,20,0
3,7764,4,11,6,2014,19,0,0
6,3918,4,31,5,2008,19,30,0
6,5611,3,16,11,2013,18,56,0
5,3725,10,25,1,2013,14,0,0
3,7320,2,30,4,2008,8,5,0
5,5239,1,9,4,2010,22,0,0
4,4057,3,11,3,2010,22,2,0
7,5633,8,10,8,2003,18,50,0
3,4110,2,28,5,2008,20,10,0
1,1868,5,17,3,2003,9,30,0
5,866,1,25,2,2005,21,45,0
5,8029,8,8,8,2008,15,50,0
5,10641,4,17,10,2008,13,58,0
1,8371,1,16,4,2007,12,20,0
6,7039,5,14,6,2008,0,10,0
1,10858,8,5,8,2013,20,55,0
1,1431,10,17,9,2007,2,0,0
4,7046,1,10,12,2009,21,21,0
6,138,2,10,1,2015,22,50,0
2,15010,7,6,8,2013,15,0,0
2,158,2,23,8,2011,17,28,0
7,17570,6,29,6,2008,1,59,0
6,5368,5,11,7,2009,22,49,0
7,1841,8,31,12,2006,23,30,0
6,5499,4,13,1,2007,17,0,0
5,1406,4,23,4,2010,0,1,0
5,22153,7,24,1,2003,15,15,0
5,9893,3,1,6,2012,21,0,0
6,11492,8,25,7,2009,0,1,0
5,125,2,20,3,2015,9,25,0
1,8223,2,3,10,2011,13,30,0
1,1791,2,29,4,2013,8,1,0
1,7259,5,6,8,2007,19,5,0
7,102,10,3,12,2006,20,40,0
6,5169,2,10,2,2007,22,10,0
1,1091,10,30,5,2011,20,5,0
2,6340,2,13,6,2006,20,0,0
2,276,7,6,3,2012,10,0,0
5,4086,1,5,4,2013,6,56,0
6,1475,8,8,9,2007,18,55,0
4,9618,2,11,7,2013,0,1,0
7,8809,4,13,2,2005,7,45,0
3,6409,5,29,4,2009,17,15,0
7,1462,4,27,6,2004,22,30,0
3,1351,8,7,2,2007,15,27,0
7,13183,9,10,4,2005,12,0,0
4,125,2,17,9,2009,13,50,0
5,5659,9,1,12,2006,8,0,0
7,1864,5,11,3,2012,12,53,0
7,7669,4,21,4,2013,15,0,0
6,83,2,25,1,2014,14,0,0
1,608,2,12,6,2006,19,25,0
3,6831,7,9,2,2005,15,29,0
2,2862,10,26,12,2006,8,15,0
4,5432,3,24,6,2004,21,0,0
6,2463,2,18,4,2015,17,45,0
6,905,5,21,5,2005,15,8,0
3,20963,3,20,8,2003,15,35,0
5,4165,6,13,7,2012,14,0,0
5,232,4,16,12,2005,13,0,0
5,3018,7,25,2,2005,0,1,0
5,139,2,18,4,2003,13,8,0
5,6766,9,6,2,2015,10,30,0
1,16098,8,18,3,2013,10,30,0
7,15762,5,19,10,2003,0,1,0
7,16204,8,26,8,2012,13,0,0
5,771,1,17,9,2004,23,15,0
1,3629,4,23,1,2012,9,7,0
2,2733,4,29,9,2009,13,0,0
3,3550,4,10,12,2003,13,35,0
3,7098,9,23,3,2011,20,0,0
2,4086,1,31,3,2015,17,16,0
3,730,3,8,8,2007,7,20,0
7,873,2,21,10,2007,13,40,0
6,489,2,27,8,2011,17,29,0
3,11008,6,8,1,2003,17,0,0
3,8447,6,20,2,2013,8,0,0
2,8867,7,14,9,2004,16,40,0
5,363,2,28,6,2013,9,9,0
4,1095,5,10,2,2005,6,0,0
7,152,10,19,10,2008,13,20,0
6,2855,1,25,8,2007,18,0,0
2,1091,10,21,1,2014,17,17,0
1,764,6,2,8,2004,12,9,0
6,1347,8,15,11,2003,23,25,0
7,2621,1,20,6,2010,1,26,0
7,4563,3,27,1,2013,16,0,0
1,125,2,30,9,2013,12,25,0
1,15452,6,4,8,2008,23,15,0
5,2897,5,3,4,2015,18,0,0
3,451,2,9,7,2008,23,31,0
1,7839,1,1,9,2008,15,0,0
2,22084,1,8,7,2003,11,35,0
1,5679,2,27,9,2004,10,25,0
2,13754,4,25,5,2004,16,20,0
4,3638,2,19,3,2009,2,15,0
5,14065,4,24,1,2014,17,3,0
1,501,4,20,8,2007,21,5,0
4,144,4,16,10,2014,12,25,0
1,705,5,23,12,2013,10,43,0
2,9326,5,13,4,2004,13,35,0
7,1742,1,19,4,2009,23,0,0
2,6162,7,27,10,2009,21,30,0
2,2472,8,27,10,2009,13,15,0
4,125,2,6,8,2009,14,42,0
1,8035,6,17,2,2014,8,0,0
2,714,2,3,9,2013,16,13,0
5,665,3,2,5,2008,23,0,0
5,1996,2,18,10,2013,23,0,0
3,2033,3,28,5,2008,16,0,0
1,6504,3,4,4,2005,19,42,0
6,141,6,15,6,2013,20,0,0
6,235,4,26,2,2005,21,0,0
7,4754,5,3,12,2006,19,0,0
7,7706,3,9,2,2003,7,3,0
7,715,5,15,11,2009,14,0,0
7,36,2,29,8,2010,14,0,0
3,1588,9,18,2,2015,13,0,0
5,1950,2,22,8,2014,16,59,0
7,12708,7,25,9,2005,15,0,0
2,7590,4,22,2,2011,22,0,0
5,3499,7,23,2,2007,18,0,0
5,511,4,8,4,2011,8,0,0
6,1804,5,24,8,2013,23,0,0
2,511,4,18,10,2011,19,46,0
4,5025,6,1,7,2010,20,22,0
1,13869,8,17,2,2014,16,30,0
3,125,2,4,8,2004,22,0,0
6,125,2,25,2,2006,1,26,0
4,6131,6,17,4,2003,23,30,0
7,2342,5,19,4,2015,11,0,0
3,15282,3,20,8,2008,8,30,0
2,2543,5,30,10,2012,15,35,0
4,6502,9,28,10,2004,17,5,0
1,2178,6,16,8,2004,16,0,0
5,3856,4,15,7,2011,23,39,0
6,3553,6,13,2,2010,19,30,0
2,101,4,21,1,2014,17,50,0
6,13859,6,4,4,2009,12,0,0
5,9891,8,5,4,2013,1,0,0
6,4515,8,29,12,2007,19,30,0
1,15169,3,21,2,2011,8,45,0
2,6978,7,27,4,2004,22,0,0
2,18596,9,31,5,2011,21,0,0
4,4930,1,30,6,2005,21,0,0
2,9438,4,16,5,2006,5,9,0
3,5368,5,1,10,2003,20,30,0
6,610,2,21,9,2013,21,0,0
7,9141,2,29,6,2008,0,5,0
3,9262,4,26,7,2006,19,30,0
6,12708,7,25,8,2012,16,30,0
5,1041,5,13,7,2007,20,52,0
4,4442,3,17,4,2008,9,40,0
7,7118,8,12,9,2010,17,0,0
6,13229,9,18,10,2008,15,15,0
3,530,8,30,5,2007,16,33,0
5,10917,5,9,1,2009,9,30,0
7,125,2,14,2,2010,14,0,0
7,361,2,19,6,2011,17,29,0
4,4047,3,20,10,2005,22,3,0
4,2470,2,5,5,2011,17,0,0
4,64,4,12,1,2006,12,55,0
1,8141,5,8,12,2014,17,0,0
7,7148,9,25,3,2007,19,0,0
1,9709,2,8,12,2008,10,0,0
1,182,4,15,10,2007,16,55,0
4,355,2,7,4,2011,0,15,0
6,2718,6,16,6,2012,12,40,0
5,7040,8,12,2,2010,22,25,0
4,5033,8,11,6,2009,8,26,0
3,17295,3,5,4,2006,23,10,0
4,408,2,9,2,2012,11,0,0
1,5004,5,28,4,2003,18,0,0
6,10101,9,9,2,2013,16,0,0
4,6706,9,3,10,2013,8,30,0
6,11478,7,12,6,2004,4,19,0
4,2678,8,15,7,2010,15,0,0
5,6463,1,16,4,2004,0,15,0
5,2173,7,30,7,2010,12,0,0
1,8132,6,12,12,2011,15,15,0
3,12128,9,22,2,2012,17,16,0
3,2325,5,3,4,2013,4,40,0
5,11958,4,26,8,2011,19,36,0
4,5603,5,19,2,2009,21,0,0
4,784,2,31,10,2013,21,0,0
5,5673,2,7,2,2003,23,0,0
4,3853,7,2,4,2015,14,30,0
3,7382,3,19,10,2011,16,48,0
5,7797,4,12,8,2011,23,24,0
1,1895,3,13,6,2011,16,38,0
5,5990,3,15,12,2006,7,7,0
1,7535,4,24,12,2007,23,22,0
3,3015,6,11,7,2007,13,35,0
5,7515,1,7,9,2007,20,0,0
5,125,2,9,2,2007,2,45,0
1,1816,2,11,11,2013,16,0,0
5,146,10,16,11,2007,13,55,0
1,77,10,17,4,2006,17,45,0
6,3132,10,7,5,2005,7,14,0
3,5016,5,29,4,2009,9,25,0
5,815,1,27,1,2006,10,15,0
6,982,9,27,8,2011,4,30,0
5,7270,5,28,5,2004,19,3,0
4,83,2,11,12,2003,12,40,0
4,11721,8,15,11,2007,13,14,0
4,15347,9,17,4,2008,19,30,0
6,1319,2,7,5,2005,23,10,0
1,4005,4,9,6,2003,22,30,0
5,125,2,9,7,2004,12,1,0
6,213,4,13,8,2005,8,33,0
5,14851,9,3,10,2003,22,0,0
3,14096,5,18,10,2006,15,0,0
1,7061,8,30,3,2009,15,52,0
5,105,5,13,7,2012,23,9,0
4,2891,5,1,6,2006,13,0,0
1,1399,10,1,10,2012,23,7,0
5,2410,9,19,11,2010,19,32,0
3,646,6,12,1,2005,15,20,0
3,3197,1,16,4,2014,21,56,0
4,13484,2,3,11,2011,12,0,0
4,98,4,3,4,2003,23,0,0
2,20361,2,17,4,2007,0,16,0
1,2381,2,7,1,2008,13,20,0
3,3691,6,21,9,2005,22,30,0
4,504,4,27,7,2006,23,50,0
7,772,10,22,2,2004,21,48,0
4,7954,5,30,6,2005,12,20,0
5,3604,4,9,3,2012,22,0,0
5,6184,3,20,2,2009,22,0,0
2,397,4,25,11,2014,17,0,0
2,7739,10,17,4,2012,21,33,0
4,5178,9,2,12,2010,22,41,0
6,4145,6,27,1,2007,21,0,0
5,2821,2,15,7,2011,15,0,0
6,20235,9,17,4,2004,17,0,0
3,2008,5,8,7,2009,22,30,0
1,7671,3,18,4,2005,19,27,0
4,1076,5,20,2,2003,2,45,0
6,7596,4,2,5,2009,20,30,0
1,1213,4,19,1,2004,15,52,0
1,1091,10,8,8,2011,12,48,0
7,435,10,25,9,2005,23,55,0
4,13179,2,9,1,2003,15,45,0
2,5734,9,3,3,2015,9,0,0
6,125,2,20,5,2006,19,15,0
1,1277,2,30,4,2007,19,35,0
7,125,2,16,7,2006,20,20,0
1,511,4,21,1,2013,12,0,0
7,14379,1,9,10,2005,8,15,0
3,5561,1,25,6,2008,11,30,0
7,2273,6,5,10,2014,16,0,0
4,802,4,11,8,2011,11,41,0
6,594,8,1,12,2007,13,25,0
6,435,10,27,6,2009,16,50,0
6,6031,3,11,9,2010,21,30,0
2,11040,7,8,7,2008,0,1,0
2,1889,3,1,4,2003,20,30,0
7,331,2,31,7,2011,1,0,0
3,2041,10,2,4,2008,1,35,0
1,437,1,16,2,2009,9,30,0
7,411,3,8,9,2013,9,25,0
4,8485,9,17,5,2012,14,40,0
3,3338,8,23,6,2004,13,30,0
1,7453,4,27,10,2014,19,7,0
7,7274,2,3,7,2005,3,5,0
6,11847,7,11,8,2012,21,30,0
3,8858,4,6,2,2013,17,58,0
4,1975,2,26,8,2010,9,21,0
1,3183,2,30,10,2006,18,39,0
5,5257,2,30,4,2004,8,30,0
6,1792,2,13,3,2010,22,30,0
3,8532,2,24,8,2005,18,1,0
5,3904,3,13,6,2014,23,40,0
1,428,4,27,10,2014,20,33,0
2,1986,2,3,5,2005,0,20,0
4,1683,9,21,4,2011,19,2,0
1,4363,6,2,4,2007,15,10,0
4,9236,7,20,10,2011,8,48,0
3,1884,3,19,10,2005,0,1,0
4,872,2,5,5,2005,16,30,0
2,10257,3,22,3,2005,17,0,0
3,6547,5,8,2,2006,13,0,0
6,125,2,20,3,2004,2,0,0
3,88,2,30,5,2012,12,6,0
2,9977,2,11,1,2005,10,11,0
2,6453,7,1,10,2013,14,0,0
3,1209,1,28,11,2007,0,50,0
2,2811,1,1,5,2012,0,1,0
7,2932,5,5,10,2003,5,10,0
2,2772,9,13,12,2011,13,0,0
3,2711,8,20,8,2014,13,38,0
5,3844,5,23,4,2010,15,18,0
6,554,10,4,4,2009,10,5,0
5,6121,1,20,2,2015,17,30,0
6,4745,8,2,12,2006,22,0,0
7,12878,9,7,9,2008,9,0,0
6,4101,9,1,12,2012,17,45,0
6,13030,2,14,1,2006,11,19,0
5,213,4,30,5,2008,13,18,0
4,1228,4,21,2,2013,20,42,0
1,10758,5,11,6,2007,13,0,0
5,627,3,5,11,2010,22,15,0
7,2701,9,28,8,2011,17,0,0
6,2382,1,2,11,2013,10,0,0
6,11594,3,22,10,2011,21,0,0
3,323,9,19,8,2009,20,45,0
1,1839,5,16,5,2011,13,59,0
7,501,4,5,10,2014,23,45,0
1,6122,2,15,10,2012,23,15,0
7,999,1,18,10,2009,1,30,0
2,1356,4,4,5,2010,16,29,0
2,5774,6,19,10,2010,13,0,0
1,7240,9,1,3,2004,23,0,0
3,7396,8,23,7,2003,17,8,0
5,430,1,9,3,2007,23,15,0
5,2433,3,7,3,2003,10,0,0
6,1809,10,20,4,2013,8,50,0
1,6287,4,11,7,2005,18,25,0
2,4240,1,17,3,2015,22,35,0
4,125,2,1,11,2012,0,4,0
5,9543,4,13,1,2012,19,41,0
7,672,1,24,8,2014,8,0,0
2,96,10,5,8,2014,21,53,0
2,704,2,20,3,2012,1,31,0
6,83,2,6,10,2007,18,36,0
7,4731,3,9,4,2006,19,40,0
3,13662,4,23,2,2005,4,10,0
5,125,2,6,2,2009,20,0,0
7,2303,5,19,4,2015,15,0,0
3,2453,5,31,10,2012,18,0,0
4,2954,8,27,12,2012,17,38,0
6,4988,4,19,4,2008,1,30,0
3,2835,10,15,6,2005,22,30,0
5,2548,8,12,2,2010,12,35,0
7,3307,4,23,3,2008,0,30,0
7,5412,4,16,11,2008,13,57,0
4,5625,8,31,10,2013,9,0,0
7,1291,1,24,8,2008,19,40,0
2,1950,2,30,10,2012,21,0,0
6,6072,3,22,8,2009,17,33,0
7,141,6,28,12,2014,1,30,0
4,14216,9,30,6,2011,12,45,0
4,2019,1,13,1,2005,5,20,0
4,888,8,3,5,2007,12,0,0
6,844,5,12,6,2004,20,0,0
4,2387,2,28,7,2011,22,10,0
4,2829,8,10,7,2008,20,38,0
6,10840,5,2,6,2012,22,21,0
2,554,10,18,10,2011,17,30,0
4,4478,4,15,6,2006,8,45,0
5,6282,1,16,5,2008,13,0,0
4,408,2,26,7,2012,11,53,0
4,263,1,31,10,2013,10,0,0
3,4878,2,28,7,2010,17,35,0
7,397,4,23,3,2003,10,0,0
5,7840,9,26,12,2014,8,0,0
1,3694,8,18,8,2008,0,1,0
2,1520,5,15,4,2003,19,5,0
7,2769,9,2,6,2013,23,0,0
6,4871,1,24,3,2012,9,42,0
4,497,8,30,10,2003,19,30,0
7,1991,10,8,3,2009,14,30,0
3,1416,2,1,12,2010,0,1,0
6,3317,1,10,7,2004,9,30,0
6,98,4,25,8,2007,1,10,0
1,925,2,23,6,2014,20,37,0
6,7325,7,17,4,2004,22,30,0
4,3993,3,7,4,2005,9,46,0
3,511,4,23,3,2005,15,12,0
7,979,4,27,12,2009,9,0,0
5,1012,4,6,3,2009,22,45,0
6,125,2,3,4,2004,16,34,0
1,2339,7,16,2,2009,12,0,0
5,7649,8,3,12,2010,6,30,0
2,14831,9,16,10,2007,12,5,0
7,10164,9,31,10,2004,18,41,0
3,263,1,19,5,2010,3,10,0
2,9537,5,11,11,2014,14,35,0
2,5067,4,27,5,2014,5,30,0
4,1351,8,13,12,2007,7,45,0
1,15752,4,16,2,2009,16,25,0
5,8701,1,22,10,2010,0,37,0
5,18622,3,18,9,2009,18,0,0
1,3120,7,23,1,2006,15,15,0
5,1116,2,24,8,2007,12,0,0
7,8723,1,24,3,2013,15,0,0
1,4689,5,17,2,2003,8,30,0
1,14380,8,16,5,2011,15,0,0
4,6184,3,11,3,2010,7,50,0
7,333,4,20,9,2009,4,35,0
1,7272,9,12,6,2006,20,0,0
2,644,1,17,2,2015,22,30,0
7,7148,9,25,1,2015,20,0,0
1,8609,5,3,10,2005,15,30,0
3,14182,8,28,11,2007,17,45,0
1,6077,2,12,12,2011,18,0,0
4,2998,9,7,8,2008,7,30,0
3,5430,4,24,12,2014,14,30,0
3,517,2,26,1,2005,17,18,0
5,9140,1,7,9,2007,13,5,0
1,10897,9,4,9,2006,21,0,0
2,422,9,8,2,2011,10,0,0
7,83,2,9,3,2003,19,5,0
2,559,6,9,8,2011,19,15,0
1,13182,9,18,8,2003,10,15,0
7,825,2,3,5,2015,19,30,0
1,567,5,11,5,2015,20,0,0
4,4524,5,16,11,2006,19,25,0
1,11799,9,14,11,2005,19,0,0
3,1257,5,19,10,2005,15,29,0
1,7397,4,29,3,2004,11,59,0
6,10145,3,13,3,2010,18,10,0
7,11458,3,15,11,2009,12,0,0
6,1943,2,29,6,2013,11,5,0
4,2614,8,4,9,2008,0,44,0
1,408,2,9,1,2012,15,20,0
3,501,4,21,3,2012,7,0,0
2,4672,5,26,7,2005,18,30,0
7,2539,8,6,5,2007,13,40,0
2,7347,7,7,1,2014,11,5,0
5,11000,5,14,12,2007,5,0,0
2,5139,2,4,9,2012,21,0,0
7,504,4,13,2,2011,17,40,0
3,468,2,14,7,2010,11,18,0
4,18,10,22,3,2007,23,10,0
1,8749,3,13,10,2003,3,35,0
4,5591,5,7,9,2006,13,25,0
2,621,3,8,7,2003,19,29,0
6,355,2,4,5,2013,17,0,0
3,644,1,19,9,2007,21,40,0
7,4184,8,13,8,2006,19,0,0
6,5514,2,13,3,2010,2,35,0
3,584,4,27,10,2004,17,45,0
