"day","address","location","date","month","year","hour","min","EMBEZZLEMENT"
4,673,10,1,5,2014,0,1,1
4,359,10,1,5,2014,0,1,1
3,4781,9,30,4,2014,12,0,1
1,2782,5,28,4,2014,8,30,1
1,13068,4,28,4,2014,8,30,1
4,714,2,17,4,2014,21,5,1
3,981,2,16,4,2014,8,0,1
4,1305,1,3,4,2014,12,0,1
4,6947,5,20,3,2014,22,30,1
1,1231,5,17,3,2014,14,51,1
3,3301,2,5,3,2014,21,40,1
3,10080,1,5,3,2014,9,0,1
1,1017,3,3,3,2014,19,2,1
6,1074,3,8,2,2014,12,0,1
5,305,9,24,1,2014,0,1,1
2,1625,2,21,1,2014,13,0,1
4,13032,3,9,1,2014,14,0,1
3,2367,1,8,1,2014,0,1,1
1,518,10,6,1,2014,11,0,1
6,408,2,28,12,2013,11,4,1
5,46,2,27,12,2013,0,1,1
4,3301,2,26,12,2013,12,0,1
2,323,9,24,12,2013,9,17,1
1,408,2,23,12,2013,22,40,1
1,125,2,23,12,2013,16,55,1
7,105,5,15,12,2013,18,15,1
7,2802,5,15,12,2013,0,1,1
2,1558,1,10,12,2013,9,30,1
1,601,9,9,12,2013,18,55,1
1,3937,4,9,12,2013,9,0,1
1,3711,1,9,12,2013,0,1,1
7,5646,5,1,12,2013,8,0,1
5,408,2,29,11,2013,11,54,1
1,196,5,25,11,2013,0,1,1
1,7684,3,25,11,2013,0,1,1
6,559,6,2,11,2013,12,0,1
5,346,1,1,11,2013,9,0,1
5,14480,7,1,11,2013,0,1,1
1,4926,2,28,10,2013,10,36,1
7,3491,4,20,10,2013,17,0,1
7,802,4,6,10,2013,13,0,1
7,1090,4,6,10,2013,13,0,1
5,7481,3,4,10,2013,7,15,1
3,2221,9,2,10,2013,15,30,1
2,9588,6,1,10,2013,8,0,1
2,1254,2,1,10,2013,7,0,1
2,1485,5,1,10,2013,0,1,1
3,9095,7,18,9,2013,17,0,1
4,3873,1,5,9,2013,0,1,1
2,2126,4,3,9,2013,11,30,1
4,408,2,22,8,2013,19,53,1
4,1966,7,22,8,2013,8,0,1
1,390,5,19,8,2013,0,1,1
5,7230,4,9,8,2013,12,0,1
5,5705,5,9,8,2013,9,0,1
7,13746,8,28,7,2013,15,0,1
2,5444,10,23,7,2013,9,0,1
2,528,10,23,7,2013,0,1,1
5,1019,5,28,6,2013,0,1,1
4,6166,2,27,6,2013,7,21,1
3,10238,5,26,6,2013,11,0,1
1,2556,1,24,6,2013,9,0,1
5,8008,7,14,6,2013,15,27,1
6,2483,1,1,6,2013,0,1,1
6,4954,1,1,6,2013,0,1,1
5,2822,1,31,5,2013,14,10,1
3,125,2,15,5,2013,0,1,1
1,517,2,13,5,2013,14,10,1
1,720,5,13,5,2013,10,43,1
5,1233,4,3,5,2013,22,14,1
3,1598,5,1,5,2013,0,1,1
1,727,4,29,4,2013,9,30,1
6,346,1,20,4,2013,13,0,1
5,359,10,19,4,2013,18,15,1
5,10602,1,19,4,2013,14,0,1
3,2944,2,17,4,2013,23,15,1
2,952,2,16,4,2013,0,1,1
1,11638,3,15,4,2013,10,0,1
5,2968,3,5,4,2013,0,1,1
1,13885,5,1,4,2013,12,0,1
1,346,1,1,4,2013,0,1,1
1,1913,5,1,4,2013,0,1,1
5,2064,2,22,3,2013,10,32,1
4,1406,4,21,3,2013,15,0,1
3,16313,3,20,3,2013,9,24,1
6,8533,2,9,3,2013,13,30,1
1,1975,2,4,3,2013,12,30,1
5,3729,5,22,2,2013,0,1,1
5,7145,2,8,2,2013,16,20,1
5,3300,4,8,2,2013,11,0,1
4,3677,2,7,2,2013,10,30,1
2,4132,7,5,2,2013,17,0,1
3,1094,2,26,12,2012,16,0,1
4,1345,1,13,12,2012,16,30,1
4,1233,4,13,12,2012,10,5,1
3,688,7,12,12,2012,16,30,1
2,12346,9,11,12,2012,9,0,1
6,6738,4,1,12,2012,0,1,1
7,1373,1,18,11,2012,9,0,1
7,102,10,18,11,2012,0,1,1
6,3339,5,17,11,2012,12,0,1
5,13024,2,16,11,2012,12,0,1
3,7469,5,14,11,2012,12,0,1
3,2064,2,14,11,2012,10,0,1
7,376,2,4,11,2012,20,20,1
4,10546,2,1,11,2012,0,1,1
6,8070,3,20,10,2012,14,0,1
5,601,9,19,10,2012,0,1,1
1,7021,8,15,10,2012,12,0,1
6,408,2,6,10,2012,12,0,1
2,64,4,2,10,2012,23,0,1
1,8456,5,1,10,2012,9,0,1
1,5876,2,1,10,2012,9,0,1
1,324,1,1,10,2012,0,1,1
6,359,10,22,9,2012,14,45,1
5,10440,4,21,9,2012,0,1,1
4,601,9,20,9,2012,17,35,1
4,601,9,20,9,2012,17,35,1
3,11899,1,19,9,2012,18,0,1
4,9588,6,9,8,2012,9,0,1
4,2365,5,9,8,2012,8,0,1
3,3713,8,8,8,2012,0,1,1
1,601,9,6,8,2012,0,1,1
5,14261,8,27,7,2012,12,0,1
4,283,10,26,7,2012,10,45,1
3,281,4,25,7,2012,12,0,1
1,5932,5,23,7,2012,13,19,1
1,4901,3,23,7,2012,10,15,1
6,359,10,14,7,2012,21,42,1
6,784,2,14,7,2012,19,0,1
5,12594,3,13,7,2012,14,0,1
2,870,4,10,7,2012,13,30,1
1,309,2,9,7,2012,21,0,1
1,8812,4,9,7,2012,13,0,1
7,8271,5,1,7,2012,12,0,1
7,1912,1,1,7,2012,8,0,1
4,4412,9,28,6,2012,12,0,1
4,544,8,28,6,2012,10,0,1
1,5479,5,25,6,2012,0,1,1
5,6222,9,15,6,2012,14,0,1
3,199,8,13,6,2012,20,0,1
2,323,9,12,6,2012,16,0,1
5,2064,2,1,6,2012,14,0,1
5,125,2,1,6,2012,12,0,1
5,55,2,1,6,2012,0,1,1
3,4777,4,30,5,2012,19,0,1
6,2974,9,5,5,2012,9,30,1
2,2058,1,1,5,2012,12,0,1
2,952,2,1,5,2012,9,0,1
1,4256,2,30,4,2012,17,0,1
1,5444,10,30,4,2012,12,18,1
1,98,4,16,4,2012,14,40,1
7,1942,2,8,4,2012,16,0,1
6,782,5,7,4,2012,22,0,1
5,979,4,23,3,2012,23,3,1
5,2654,1,9,3,2012,12,56,1
4,458,6,8,3,2012,12,0,1
4,268,1,8,3,2012,0,1,1
3,9790,9,22,2,2012,18,0,1
1,7935,8,20,2,2012,16,30,1
7,1162,1,12,2,2012,5,18,1
6,7704,1,28,1,2012,18,0,1
1,8523,7,23,1,2012,12,0,1
1,357,4,23,1,2012,8,5,1
6,3762,1,14,1,2012,0,1,1
4,14639,8,12,1,2012,12,0,1
2,7481,3,10,1,2012,11,56,1
1,1804,5,9,1,2012,14,4,1
7,1694,1,1,1,2012,9,0,1
7,4858,1,1,1,2012,9,0,1
7,981,2,1,1,2012,0,1,1
7,468,2,1,1,2012,0,1,1
7,1730,10,1,1,2012,0,1,1
6,4126,8,31,12,2011,18,0,1
5,359,10,30,12,2011,11,34,1
3,365,1,28,12,2011,19,36,1
3,2556,1,28,12,2011,12,0,1
6,727,4,17,12,2011,9,0,1
5,2868,7,16,12,2011,12,0,1
2,7481,3,13,12,2011,12,5,1
1,125,2,12,12,2011,12,17,1
7,2934,3,4,12,2011,15,39,1
3,601,9,30,11,2011,19,8,1
1,22,10,28,11,2011,15,33,1
1,363,2,28,11,2011,8,0,1
6,707,1,19,11,2011,19,35,1
5,346,1,18,11,2011,18,58,1
4,1233,4,17,11,2011,12,0,1
6,428,4,5,11,2011,0,1,1
5,992,1,4,11,2011,14,0,1
3,1966,7,2,11,2011,9,0,1
2,7989,1,1,11,2011,12,0,1
2,4149,3,1,11,2011,11,52,1
2,7506,5,1,11,2011,10,31,1
5,4993,5,21,10,2011,0,1,1
3,408,2,19,10,2011,14,0,1
6,359,10,8,10,2011,14,39,1
5,5539,9,7,10,2011,12,0,1
7,125,2,25,9,2011,0,1,1
5,1007,5,23,9,2011,12,0,1
6,93,7,10,9,2011,18,0,1
2,11943,1,6,9,2011,11,0,1
7,15402,9,14,8,2011,12,0,1
7,2473,2,14,8,2011,0,1,1
6,10496,9,13,8,2011,8,0,1
5,359,10,12,8,2011,14,37,1
5,46,2,12,8,2011,10,40,1
5,268,1,29,7,2011,13,42,1
1,166,10,25,7,2011,10,20,1
5,1595,9,15,7,2011,8,0,1
1,125,2,11,7,2011,0,1,1
5,688,7,1,7,2011,0,1,1
4,408,2,30,6,2011,12,0,1
1,12988,9,27,6,2011,18,30,1
1,5344,9,27,6,2011,10,24,1
2,359,10,14,6,2011,12,13,1
5,408,2,3,6,2011,19,30,1
4,1961,3,2,6,2011,0,1,1
3,28,4,1,6,2011,17,0,1
3,4470,9,1,6,2011,9,0,1
2,823,2,31,5,2011,1,0,1
7,17533,4,22,5,2011,15,0,1
6,1621,6,21,5,2011,19,30,1
6,5444,10,21,5,2011,12,9,1
5,1231,5,20,5,2011,12,0,1
5,428,4,6,5,2011,21,20,1
5,957,2,6,5,2011,12,0,1
3,379,1,4,5,2011,16,30,1
1,2096,8,2,5,2011,12,0,1
6,9330,1,23,4,2011,13,30,1
6,1525,4,23,4,2011,7,8,1
5,5444,10,22,4,2011,11,0,1
4,872,2,21,4,2011,18,0,1
3,3149,1,20,4,2011,12,0,1
6,926,4,9,4,2011,18,7,1
4,11203,4,7,4,2011,12,0,1
1,2593,2,4,4,2011,12,0,1
5,7230,4,25,3,2011,0,1,1
6,7116,6,12,3,2011,13,0,1
5,543,1,11,3,2011,0,1,1
5,1897,1,25,2,2011,12,0,1
2,7429,4,22,2,2011,10,40,1
1,359,10,21,2,2011,18,4,1
5,2791,8,11,2,2011,0,1,1
4,408,2,10,2,2011,14,0,1
3,15520,3,9,2,2011,1,29,1
2,307,3,8,2,2011,23,30,1
5,1741,6,28,1,2011,23,42,1
2,11683,9,25,1,2011,15,0,1
2,359,10,11,1,2011,15,57,1
2,10717,6,11,1,2011,8,0,1
6,408,2,1,1,2011,17,14,1
6,2170,5,1,1,2011,0,1,1
6,1918,1,1,1,2011,0,1,1
6,746,4,1,1,2011,0,1,1
6,1017,3,1,1,2011,0,1,1
6,2841,1,1,1,2011,0,1,1
1,7481,3,27,12,2010,17,55,1
1,15737,8,27,12,2010,12,0,1
1,2241,4,13,12,2010,22,5,1
1,1625,2,13,12,2010,12,0,1
6,365,1,4,12,2010,20,0,1
5,324,1,3,12,2010,14,0,1
4,14268,5,2,12,2010,8,0,1
2,438,6,30,11,2010,17,0,1
2,2314,1,30,11,2010,8,0,1
2,2314,1,30,11,2010,8,0,1
1,1094,2,29,11,2010,16,0,1
1,359,10,29,11,2010,10,0,1
7,3707,9,21,11,2010,12,0,1
2,1435,2,16,11,2010,20,56,1
7,559,6,7,11,2010,12,0,1
1,7854,1,1,11,2010,9,0,1
1,12027,9,1,11,2010,8,0,1
3,1550,1,20,10,2010,9,0,1
2,2781,5,19,10,2010,9,22,1
1,705,5,18,10,2010,0,1,1
7,365,1,10,10,2010,17,35,1
7,125,2,10,10,2010,12,0,1
6,1975,2,9,10,2010,12,29,1
5,897,2,24,9,2010,12,0,1
1,3555,4,20,9,2010,12,0,1
4,817,2,9,9,2010,12,0,1
4,4004,2,9,9,2010,0,1,1
5,408,2,27,8,2010,20,17,1
2,9028,9,24,8,2010,14,0,1
2,1305,1,24,8,2010,12,0,1
3,925,2,11,8,2010,19,30,1
2,38,10,10,8,2010,8,0,1
7,6273,2,1,8,2010,8,0,1
7,17156,3,1,8,2010,0,1,1
5,3735,2,30,7,2010,12,0,1
6,784,2,17,7,2010,8,0,1
6,15408,8,17,7,2010,0,1,1
5,7063,2,16,7,2010,17,0,1
3,392,4,14,7,2010,8,0,1
1,77,10,12,7,2010,22,15,1
4,568,4,1,7,2010,12,0,1
3,2332,2,16,6,2010,18,0,1
6,6470,8,5,6,2010,16,0,1
2,232,4,1,6,2010,13,30,1
2,3161,8,1,6,2010,12,0,1
2,357,4,1,6,2010,10,0,1
2,4898,5,1,6,2010,0,1,1
5,408,2,21,5,2010,12,0,1
3,5684,8,19,5,2010,16,34,1
1,5121,5,17,5,2010,0,1,1
7,12946,7,9,5,2010,12,0,1
1,9535,7,3,5,2010,15,0,1
7,408,2,25,4,2010,13,0,1
4,5630,3,22,4,2010,17,0,1
3,939,5,21,4,2010,18,30,1
2,3418,4,20,4,2010,0,1,1
2,668,5,23,3,2010,20,30,1
2,359,10,23,3,2010,1,51,1
2,359,10,23,3,2010,1,51,1
1,88,2,22,3,2010,16,9,1
6,1012,4,13,3,2010,21,30,1
4,867,1,11,3,2010,8,0,1
2,10023,7,9,3,2010,0,1,1
7,1441,1,28,2,2010,19,0,1
4,1150,2,25,2,2010,7,0,1
1,1462,4,22,2,2010,12,0,1
6,1780,4,13,2,2010,20,0,1
6,2944,2,30,1,2010,21,23,1
4,784,2,28,1,2010,17,32,1
3,4035,6,27,1,2010,15,0,1
2,896,2,26,1,2010,0,1,1
5,8667,5,15,1,2010,12,0,1
3,9675,3,13,1,2010,8,0,1
2,77,10,12,1,2010,17,30,1
1,185,2,11,1,2010,12,0,1
4,480,9,24,12,2009,14,0,1
3,8694,1,23,12,2009,10,52,1
3,14127,2,23,12,2009,0,1,1
1,4858,1,21,12,2009,12,0,1
5,981,2,11,12,2009,0,1,1
4,3483,4,10,12,2009,0,1,1
3,323,9,9,12,2009,18,44,1
6,6016,8,14,11,2009,15,6,1
6,13758,7,14,11,2009,14,31,1
2,19063,8,10,11,2009,17,0,1
6,408,2,31,10,2009,10,0,1
4,7182,3,29,10,2009,13,0,1
2,1304,5,27,10,2009,8,0,1
1,6018,5,26,10,2009,9,0,1
6,8877,7,17,10,2009,12,0,1
5,8556,4,16,10,2009,12,0,1
4,4696,1,15,10,2009,0,1,1
2,10710,9,13,10,2009,0,1,1
4,485,2,1,10,2009,0,1,1
4,1073,5,1,10,2009,0,1,1
4,6522,8,17,9,2009,10,30,1
4,1588,9,17,9,2009,9,0,1
3,10992,6,16,9,2009,0,1,1
7,784,2,6,9,2009,8,0,1
5,3406,1,4,9,2009,15,20,1
5,3406,1,4,9,2009,15,20,1
4,3351,4,3,9,2009,16,0,1
2,8211,2,1,9,2009,12,0,1
1,3116,1,31,8,2009,12,0,1
1,2273,6,31,8,2009,12,0,1
1,6027,8,31,8,2009,0,1,1
6,9670,8,22,8,2009,7,0,1
6,8086,9,22,8,2009,0,1,1
5,17066,9,21,8,2009,0,1,1
5,3507,5,21,8,2009,0,1,1
3,8035,6,19,8,2009,8,0,1
3,1622,5,19,8,2009,0,30,1
5,7293,3,7,8,2009,17,30,1
5,9341,9,7,8,2009,17,0,1
3,1012,4,5,8,2009,0,30,1
1,2862,10,3,8,2009,0,1,1
7,4183,8,12,7,2009,0,1,1
6,2950,3,11,7,2009,11,30,1
6,952,2,11,7,2009,0,1,1
5,6285,3,10,7,2009,11,15,1
3,14127,2,8,7,2009,15,0,1
3,15034,9,8,7,2009,10,0,1
6,1584,5,27,6,2009,17,0,1
3,2616,1,24,6,2009,6,0,1
2,4254,6,23,6,2009,17,15,1
7,2892,8,14,6,2009,10,0,1
5,36,2,12,6,2009,0,1,1
4,22,10,11,6,2009,12,0,1
2,5245,10,9,6,2009,19,30,1
2,5493,2,9,6,2009,0,1,1
1,1035,3,8,6,2009,0,1,1
5,600,3,29,5,2009,14,0,1
5,15487,7,29,5,2009,0,1,1
5,1062,5,29,5,2009,0,1,1
4,4332,8,14,5,2009,15,45,1
2,5684,8,12,5,2009,21,40,1
5,2622,2,1,5,2009,12,0,1
5,2622,2,1,5,2009,12,0,1
4,8767,4,30,4,2009,13,22,1
4,5876,2,30,4,2009,8,0,1
6,6571,6,4,4,2009,13,0,1
3,7516,1,1,4,2009,12,0,1
2,3937,4,31,3,2009,15,0,1
2,468,2,31,3,2009,0,1,1
1,6087,8,30,3,2009,0,1,1
4,2985,5,19,3,2009,15,0,1
4,97,2,19,3,2009,9,0,1
6,159,6,7,3,2009,14,9,1
2,7481,3,3,3,2009,13,58,1
2,7546,5,3,3,2009,0,1,1
1,207,9,2,3,2009,14,47,1
6,2014,3,21,2,2009,13,55,1
5,125,2,20,2,2009,0,1,1
2,1131,3,17,2,2009,23,15,1
3,3487,9,4,2,2009,8,0,1
2,1298,2,3,2,2009,8,0,1
1,5139,2,2,2,2009,12,0,1
3,9230,3,21,1,2009,0,1,1
2,2341,5,20,1,2009,22,0,1
2,218,8,20,1,2009,0,1,1
6,1584,5,10,1,2009,11,23,1
6,125,2,10,1,2009,0,1,1
5,1305,1,9,1,2009,0,1,1
4,5570,2,8,1,2009,19,0,1
3,615,1,7,1,2009,8,0,1
2,36,2,6,1,2009,11,0,1
1,4809,8,5,1,2009,15,30,1
1,125,2,5,1,2009,12,0,1
2,4879,1,23,12,2008,18,12,1
1,276,7,22,12,2008,14,20,1
5,717,2,12,12,2008,19,0,1
5,359,10,12,12,2008,15,50,1
5,1345,1,12,12,2008,0,1,1
4,125,2,11,12,2008,18,0,1
4,185,2,11,12,2008,0,1,1
2,1804,5,9,12,2008,12,0,1
2,3191,4,9,12,2008,0,1,1
6,3974,5,29,11,2008,21,0,1
2,1170,6,11,11,2008,12,40,1
1,1473,1,10,11,2008,12,0,1
6,5509,2,1,11,2008,8,0,1
5,713,4,31,10,2008,23,0,1
5,7182,3,31,10,2008,12,0,1
5,185,2,31,10,2008,12,0,1
2,926,4,28,10,2008,9,0,1
5,1880,2,17,10,2008,21,0,1
3,873,2,15,10,2008,12,0,1
3,672,1,15,10,2008,9,30,1
3,8097,3,15,10,2008,8,0,1
3,672,1,15,10,2008,0,1,1
3,672,1,15,10,2008,0,1,1
3,672,1,15,10,2008,0,1,1
3,672,1,15,10,2008,0,1,1
1,408,2,13,10,2008,11,53,1
5,559,6,3,10,2008,15,56,1
5,7173,7,3,10,2008,12,0,1
5,11056,6,3,10,2008,9,0,1
4,3735,2,2,10,2008,14,11,1
4,1224,1,2,10,2008,0,1,1
4,38,10,2,10,2008,0,1,1
3,2125,5,1,10,2008,0,1,1
3,6557,6,1,10,2008,0,1,1
3,412,9,1,10,2008,0,1,1
1,7646,3,29,9,2008,10,0,1
2,238,2,16,9,2008,17,45,1
7,12878,9,7,9,2008,9,0,1
6,146,10,6,9,2008,12,9,1
4,5602,5,4,9,2008,0,1,1
2,7008,1,2,9,2008,19,0,1
2,601,9,2,9,2008,0,1,1
2,3010,1,2,9,2008,0,1,1
1,1094,2,1,9,2008,15,42,1
1,12026,8,1,9,2008,9,0,1
1,3015,6,1,9,2008,8,0,1
7,3620,2,24,8,2008,23,55,1
4,7063,2,21,8,2008,10,0,1
5,1790,1,8,8,2008,12,0,1
5,394,4,8,8,2008,0,1,1
4,2971,5,7,8,2008,10,0,1
1,1153,4,4,8,2008,12,0,1
6,8440,1,26,7,2008,12,0,1
2,799,9,22,7,2008,10,0,1
6,7638,8,12,7,2008,10,0,1
1,183,5,7,7,2008,18,0,1
2,6785,5,24,6,2008,8,0,1
2,7928,4,24,6,2008,6,0,1
2,7519,1,24,6,2008,0,1,1
1,1550,1,23,6,2008,13,48,1
1,181,5,23,6,2008,0,1,1
3,1975,2,11,6,2008,13,30,1
2,14781,3,10,6,2008,0,1,1
7,926,4,1,6,2008,13,0,1
7,2100,9,1,6,2008,12,0,1
7,9560,4,1,6,2008,12,0,1
7,18302,3,1,6,2008,0,1,1
6,1287,2,31,5,2008,11,10,1
7,36,2,18,5,2008,20,30,1
3,3792,3,14,5,2008,14,45,1
2,2014,3,13,5,2008,9,0,1
4,408,2,1,5,2008,12,0,1
4,6483,1,1,5,2008,9,25,1
1,3974,5,28,4,2008,16,5,1
1,1297,1,28,4,2008,12,0,1
1,1254,2,28,4,2008,0,1,1
1,2289,1,28,4,2008,0,1,1
7,601,9,20,4,2008,9,0,1
5,967,4,18,4,2008,9,0,1
2,897,2,15,4,2008,9,0,1
1,2125,5,14,4,2008,0,1,1
7,9856,1,6,4,2008,12,0,1
6,6381,5,5,4,2008,23,0,1
3,2033,3,2,4,2008,0,1,1
2,2104,9,1,4,2008,8,0,1
2,200,2,1,4,2008,7,0,1
7,5479,5,23,3,2008,22,0,1
4,323,9,20,3,2008,12,0,1
3,1620,10,19,3,2008,9,30,1
6,363,2,8,3,2008,14,0,1
5,5742,2,7,3,2008,0,1,1
1,28,4,3,3,2008,0,1,1
7,7063,2,24,2,2008,10,0,1
6,1996,2,23,2,2008,0,1,1
5,323,9,22,2,2008,12,0,1
4,1473,1,21,2,2008,9,0,1
2,5493,2,19,2,2008,8,0,1
2,2058,1,5,2,2008,21,0,1
1,365,1,4,2,2008,19,27,1
6,17659,6,26,1,2008,0,1,1
5,4071,4,25,1,2008,12,0,1
1,7481,3,21,1,2008,10,1,1
6,9286,3,12,1,2008,0,1,1
1,4858,1,7,1,2008,0,1,1
6,1584,5,29,12,2007,0,1,1
4,18406,3,27,12,2007,13,0,1
1,11629,1,24,12,2007,15,17,1
6,9077,4,15,12,2007,16,0,1
5,4004,2,14,12,2007,15,33,1
5,714,2,14,12,2007,0,1,1
4,6533,2,13,12,2007,10,0,1
3,10129,5,12,12,2007,17,38,1
3,3898,2,12,12,2007,15,0,1
6,6507,6,1,12,2007,12,0,1
6,872,2,1,12,2007,12,0,1
5,502,5,30,11,2007,21,8,1
4,8386,1,29,11,2007,15,45,1
4,8303,8,29,11,2007,12,0,1
6,359,10,17,11,2007,19,40,1
6,5656,4,17,11,2007,17,55,1
6,374,8,17,11,2007,15,3,1
6,7481,3,17,11,2007,13,2,1
3,324,1,14,11,2007,16,0,1
3,6571,6,14,11,2007,12,0,1
1,1223,5,12,11,2007,17,0,1
5,11699,1,2,11,2007,14,30,1
5,3273,1,2,11,2007,11,0,1
4,16817,3,1,11,2007,16,33,1
4,4120,7,1,11,2007,0,1,1
4,428,4,1,11,2007,0,1,1
3,581,9,31,10,2007,12,0,1
3,7586,4,31,10,2007,12,0,1
3,4412,9,31,10,2007,8,0,1
2,9361,5,30,10,2007,16,30,1
1,392,4,29,10,2007,12,6,1
1,11629,1,29,10,2007,0,1,1
5,2170,5,19,10,2007,17,25,1
5,981,2,19,10,2007,8,0,1
4,1254,2,18,10,2007,0,1,1
1,1696,7,15,10,2007,0,1,1
6,866,1,6,10,2007,15,0,1
5,3497,8,5,10,2007,18,45,1
2,408,2,2,10,2007,12,0,1
1,323,9,1,10,2007,12,0,1
1,4674,5,1,10,2007,10,0,1
1,5352,9,1,10,2007,9,0,1
1,4769,4,1,10,2007,8,0,1
1,430,1,1,10,2007,0,1,1
6,5238,1,22,9,2007,0,1,1
5,1839,5,21,9,2007,14,30,1
4,15676,7,20,9,2007,12,0,1
3,6514,6,19,9,2007,15,0,1
1,1284,4,17,9,2007,11,0,1
1,229,5,17,9,2007,9,0,1
1,3624,1,17,9,2007,0,1,1
6,408,2,8,9,2007,16,56,1
6,125,2,8,9,2007,0,1,1
5,7985,4,7,9,2007,9,30,1
2,9453,5,4,9,2007,10,0,1
1,10164,9,3,9,2007,0,1,1
5,2008,5,24,8,2007,18,0,1
5,1604,2,24,8,2007,0,1,1
4,1790,1,23,8,2007,12,0,1
2,12628,4,21,8,2007,10,0,1
1,3762,1,20,8,2007,12,0,1
1,4086,1,20,8,2007,8,0,1
7,559,6,12,8,2007,16,40,1
5,1760,10,10,8,2007,21,30,1
4,726,1,9,8,2007,1,0,1
1,3974,5,6,8,2007,10,0,1
7,408,2,15,7,2007,15,37,1
7,714,2,15,7,2007,13,50,1
7,496,6,15,7,2007,12,0,1
7,408,2,15,7,2007,9,0,1
7,1767,4,1,7,2007,14,0,1
7,4101,9,1,7,2007,9,0,1
7,987,4,1,7,2007,8,0,1
6,1255,6,30,6,2007,19,45,1
5,408,2,29,6,2007,12,0,1
5,435,10,29,6,2007,1,3,1
4,6785,5,28,6,2007,0,1,1
3,3796,3,27,6,2007,14,0,1
5,20782,3,15,6,2007,20,6,1
5,18933,3,15,6,2007,14,28,1
1,1643,5,11,6,2007,15,30,1
1,1730,10,11,6,2007,14,0,1
1,449,8,11,6,2007,0,1,1
7,359,10,3,6,2007,19,48,1
5,696,7,1,6,2007,12,0,1
5,2311,5,1,6,2007,12,0,1
5,1986,2,1,6,2007,9,0,1
5,20603,7,1,6,2007,0,2,1
5,365,1,1,6,2007,0,1,1
5,2571,1,1,6,2007,0,1,1
5,12096,5,1,6,2007,0,1,1
7,5137,3,20,5,2007,19,0,1
4,359,10,17,5,2007,16,7,1
2,408,2,15,5,2007,18,11,1
7,9279,7,6,5,2007,13,0,1
6,745,1,5,5,2007,21,0,1
6,745,1,5,5,2007,21,0,1
2,9293,3,1,5,2007,12,0,1
2,12004,4,1,5,2007,0,1,1
2,907,6,1,5,2007,0,1,1
