"day","address","location","date","month","year","hour","min","BRIBERY"
7,1959,8,24,2,2013,11,0,1
6,779,2,9,2,2013,21,20,1
5,2393,8,25,1,2013,22,20,1
7,1547,3,30,12,2012,22,7,1
6,979,4,29,12,2012,11,48,1
1,2848,2,10,12,2012,23,0,1
7,1284,4,7,10,2012,17,8,1
6,9759,8,6,10,2012,19,30,1
5,4355,4,7,9,2012,21,30,1
1,1017,3,6,8,2012,14,0,1
6,6887,6,28,7,2012,0,28,1
5,14941,9,15,6,2012,21,30,1
5,896,2,1,6,2012,10,10,1
5,6638,1,18,5,2012,7,2,1
2,13163,3,15,5,2012,14,30,1
6,16208,3,5,5,2012,9,30,1
5,2563,10,4,5,2012,2,45,1
6,64,4,21,4,2012,14,12,1
7,125,2,8,4,2012,0,1,1
1,269,1,2,4,2012,23,0,1
1,64,4,2,4,2012,15,26,1
7,213,4,25,3,2012,16,25,1
5,8687,4,9,3,2012,16,45,1
2,7787,3,6,3,2012,13,5,1
5,125,2,10,2,2012,18,15,1
3,1235,5,8,2,2012,23,0,1
3,11089,4,25,1,2012,10,50,1
4,4336,9,12,1,2012,18,45,1
2,643,4,10,1,2012,3,4,1
2,3483,4,10,1,2012,1,15,1
1,779,2,9,1,2012,20,20,1
5,1769,3,2,12,2011,23,0,1
5,1769,3,2,12,2011,23,0,1
3,904,5,30,11,2011,19,58,1
2,6842,4,29,11,2011,15,45,1
1,3877,3,28,11,2011,9,30,1
4,4442,3,3,11,2011,10,30,1
2,6855,8,4,10,2011,16,28,1
4,5907,7,22,9,2011,21,30,1
5,1204,2,26,8,2011,23,0,1
4,2601,3,11,8,2011,18,15,1
2,1469,3,9,8,2011,14,30,1
1,1236,4,8,8,2011,2,20,1
7,5082,4,31,7,2011,22,15,1
2,5276,4,26,7,2011,11,47,1
3,1653,3,15,6,2011,14,53,1
3,927,1,18,5,2011,19,45,1
2,7371,9,17,5,2011,15,15,1
4,5211,3,7,4,2011,19,0,1
4,2452,1,24,3,2011,16,59,1
7,983,2,13,3,2011,4,10,1
4,8281,8,10,3,2011,15,20,1
3,7801,9,23,2,2011,5,0,1
7,14134,4,16,1,2011,23,0,1
7,139,2,16,1,2011,17,13,1
6,17807,9,15,1,2011,18,22,1
4,13560,8,13,1,2011,5,0,1
1,10206,9,10,1,2011,11,49,1
1,1483,8,27,12,2010,6,45,1
1,710,8,29,11,2010,14,20,1
7,6364,8,21,11,2010,7,0,1
4,7073,9,18,11,2010,9,49,1
3,490,2,17,11,2010,12,10,1
6,957,2,23,10,2010,21,0,1
4,2854,8,21,10,2010,0,1,1
2,548,10,19,10,2010,13,15,1
2,1351,8,21,9,2010,0,1,1
7,11553,3,12,9,2010,17,0,1
5,19144,4,10,9,2010,11,0,1
7,83,2,15,8,2010,22,19,1
4,3216,1,29,7,2010,12,0,1
2,6183,2,27,7,2010,10,30,1
5,125,2,2,7,2010,6,25,1
3,125,2,30,6,2010,10,30,1
6,222,5,19,6,2010,19,17,1
4,1041,5,17,6,2010,10,14,1
1,14521,8,14,6,2010,17,0,1
2,823,2,1,6,2010,14,25,1
4,8379,3,20,5,2010,14,0,1
2,6916,4,18,5,2010,3,51,1
3,7138,9,21,4,2010,8,0,1
2,4121,9,20,4,2010,21,40,1
3,8209,8,10,3,2010,14,3,1
1,13710,3,8,3,2010,16,29,1
7,1884,3,28,2,2010,12,7,1
7,163,7,14,2,2010,21,0,1
3,11640,4,27,1,2010,2,5,1
1,4032,3,25,1,2010,1,25,1
5,2345,3,25,12,2009,13,40,1
4,9766,7,26,11,2009,21,20,1
2,2706,10,24,11,2009,9,27,1
2,5261,8,13,10,2009,22,49,1
3,12,5,30,9,2009,11,0,1
3,24,8,30,9,2009,3,0,1
2,19794,8,1,9,2009,0,23,1
1,10565,9,31,8,2009,2,36,1
6,2156,2,8,8,2009,23,49,1
7,7434,4,26,7,2009,1,45,1
6,91,3,25,7,2009,9,40,1
7,3548,3,28,6,2009,20,30,1
5,4571,10,26,6,2009,9,35,1
5,8120,3,12,6,2009,11,30,1
1,5481,4,8,6,2009,5,45,1
1,205,8,11,5,2009,19,30,1
4,213,4,30,4,2009,23,38,1
3,83,2,18,3,2009,18,37,1
7,6084,3,11,1,2009,17,0,1
3,10201,3,7,1,2009,16,0,1
6,4715,3,15,11,2008,20,55,1
4,5821,4,16,10,2008,2,20,1
6,3348,5,20,9,2008,11,51,1
5,2274,7,19,9,2008,6,2,1
4,1722,2,18,9,2008,23,30,1
4,3191,4,18,9,2008,16,15,1
5,9121,9,22,8,2008,18,0,1
7,964,3,10,8,2008,18,0,1
6,459,8,9,8,2008,19,15,1
5,998,5,30,5,2008,12,38,1
6,213,4,17,5,2008,17,0,1
5,16919,8,16,5,2008,10,0,1
3,4510,5,14,5,2008,9,50,1
7,657,8,4,5,2008,1,15,1
4,808,4,1,5,2008,7,30,1
5,6100,8,21,3,2008,3,30,1
2,2571,1,18,3,2008,0,30,1
7,501,4,9,3,2008,12,30,1
6,269,1,9,2,2008,4,0,1
2,435,10,5,2,2008,2,39,1
4,8688,3,24,1,2008,17,0,1
6,3619,2,29,12,2007,3,18,1
6,18285,7,15,12,2007,11,0,1
3,5261,8,31,10,2007,1,10,1
7,5130,4,21,10,2007,17,0,1
5,4676,4,19,10,2007,12,0,1
2,8715,9,16,10,2007,20,38,1
4,5082,4,4,10,2007,19,15,1
6,5438,8,22,9,2007,23,30,1
4,58,10,9,8,2007,13,0,1
7,5826,1,29,7,2007,9,50,1
6,3132,10,28,7,2007,18,40,1
2,17085,3,10,7,2007,13,30,1
5,125,2,29,6,2007,9,30,1
5,2997,5,29,6,2007,1,0,1
7,4503,8,17,6,2007,5,0,1
4,4838,8,31,5,2007,22,10,1
3,125,2,30,5,2007,14,6,1
3,977,1,16,5,2007,13,15,1
2,4072,8,20,2,2007,16,20,1
4,855,4,8,2,2007,10,30,1
3,11363,8,7,2,2007,23,5,1
4,12436,8,25,1,2007,0,45,1
6,499,2,13,1,2007,22,33,1
6,7708,3,30,12,2006,15,10,1
1,2575,9,25,12,2006,19,55,1
7,12963,6,17,12,2006,19,40,1
3,310,8,29,11,2006,19,0,1
1,213,4,27,11,2006,16,30,1
1,6837,5,16,10,2006,14,33,1
5,7803,8,6,10,2006,15,40,1
3,6250,3,20,9,2006,12,0,1
2,1281,2,19,9,2006,19,20,1
5,363,2,25,8,2006,14,58,1
1,8665,6,21,8,2006,22,50,1
5,1233,4,11,8,2006,17,16,1
4,12409,3,10,8,2006,18,0,1
1,9560,4,29,5,2006,15,10,1
4,4008,7,4,5,2006,14,0,1
5,12802,3,24,2,2006,0,1,1
7,772,10,29,1,2006,23,25,1
5,7556,4,13,1,2006,18,40,1
2,646,6,10,1,2006,15,20,1
7,322,5,18,12,2005,20,0,1
7,4337,2,4,12,2005,7,53,1
3,550,3,16,11,2005,11,20,1
4,2641,4,20,10,2005,20,0,1
1,5828,6,3,10,2005,15,20,1
7,9950,4,25,9,2005,12,45,1
4,9417,8,22,9,2005,13,0,1
1,13994,3,5,9,2005,19,5,1
2,5130,4,9,8,2005,20,0,1
6,1919,8,18,6,2005,15,45,1
7,7118,8,5,6,2005,17,14,1
1,1920,5,30,5,2005,1,45,1
1,8212,8,16,5,2005,16,45,1
5,13393,4,6,5,2005,17,19,1
1,15634,8,2,5,2005,0,1,1
1,125,2,21,3,2005,15,15,1
3,5647,8,26,1,2005,18,30,1
2,310,8,11,1,2005,18,15,1
5,1103,5,29,10,2004,16,0,1
5,125,2,29,10,2004,12,0,1
2,20948,8,12,10,2004,8,0,1
1,4435,3,30,8,2004,13,0,1
1,2491,9,16,8,2004,13,40,1
7,1850,4,25,7,2004,22,0,1
7,2601,3,25,7,2004,12,45,1
4,4052,4,10,6,2004,14,55,1
2,1259,8,11,5,2004,21,30,1
5,4031,3,30,4,2004,23,0,1
1,619,8,26,4,2004,0,1,1
2,2737,3,30,3,2004,3,9,1
6,5772,8,20,3,2004,20,0,1
3,2077,4,18,2,2004,19,15,1
1,6189,3,16,2,2004,9,50,1
6,11638,3,7,2,2004,23,30,1
4,9478,9,22,1,2004,21,30,1
5,125,2,9,1,2004,11,0,1
2,144,4,23,12,2003,21,50,1
6,15758,5,13,12,2003,23,30,1
6,7385,4,13,12,2003,9,30,1
6,710,8,18,10,2003,22,51,1
4,14176,9,16,10,2003,17,0,1
7,1191,10,5,10,2003,22,45,1
5,186,10,19,9,2003,13,15,1
4,895,2,21,8,2003,10,0,1
2,14559,8,10,6,2003,16,20,1
3,9330,1,30,4,2003,21,45,1
2,1889,3,1,4,2003,20,30,1
5,735,4,7,2,2003,17,55,1
1,850,9,27,10,2003,14,20,0
1,46,2,27,6,2011,15,0,0
7,2326,1,27,2,2011,19,40,0
3,7180,5,23,7,2008,23,0,0
1,6624,4,5,4,2010,23,14,0
2,5685,3,14,5,2013,21,30,0
1,125,2,23,8,2010,22,0,0
7,4378,2,9,3,2008,2,0,0
6,3473,7,11,8,2012,14,20,0
7,2488,1,29,11,2009,3,15,0
1,6381,5,9,1,2006,15,30,0
4,1149,5,31,10,2013,21,0,0
6,125,2,30,7,2005,16,0,0
2,927,1,26,7,2005,13,0,0
7,88,2,14,8,2005,2,0,0
6,4093,2,12,1,2013,0,18,0
1,1162,3,2,4,2007,19,20,0
2,12273,3,7,1,2014,15,0,0
4,363,2,22,1,2009,10,49,0
3,1351,8,11,1,2012,19,47,0
4,35,8,29,10,2009,17,0,0
2,18497,8,28,4,2009,23,0,0
6,10557,8,5,9,2009,20,0,0
4,2005,6,27,7,2006,21,29,0
5,14389,6,3,4,2009,18,35,0
4,6483,1,23,8,2007,5,5,0
1,9652,3,21,3,2005,16,30,0
6,2275,2,2,6,2007,0,30,0
7,13225,6,22,2,2004,12,0,0
1,12700,2,28,11,2005,12,15,0
6,8596,9,16,5,2009,15,40,0
5,6683,3,23,3,2007,14,7,0
7,1431,10,6,11,2011,1,30,0
4,1172,4,20,10,2011,20,52,0
2,1446,6,3,4,2007,16,0,0
4,1760,10,27,1,2011,21,25,0
2,22043,2,30,3,2004,12,0,0
1,16129,8,14,5,2012,19,15,0
3,1399,10,26,5,2004,23,29,0
2,14533,3,2,4,2013,21,30,0
4,307,3,6,8,2009,17,6,0
5,7636,7,29,7,2011,6,15,0
5,1752,3,18,6,2010,13,55,0
6,2862,10,21,9,2013,16,16,0
4,957,2,15,11,2012,12,0,0
7,4432,2,23,2,2003,22,0,0
1,11269,3,26,4,2004,16,55,0
2,125,2,18,2,2014,21,25,0
7,2896,4,23,9,2007,8,18,0
3,125,2,11,11,2009,1,0,0
1,3477,5,22,8,2005,5,0,0
4,1091,10,11,12,2008,23,0,0
5,216,6,5,5,2006,16,30,0
2,4492,1,23,12,2003,12,0,0
2,146,10,16,10,2007,20,30,0
2,9775,9,14,10,2003,9,15,0
3,4571,10,12,6,2013,16,0,0
3,1042,3,21,8,2013,18,0,0
5,3527,4,23,2,2007,7,55,0
4,9205,8,10,3,2005,12,30,0
3,99,8,9,1,2013,17,30,0
1,369,5,8,8,2005,20,10,0
2,12282,4,15,5,2012,20,5,0
3,159,6,23,6,2004,10,45,0
7,3537,4,22,3,2015,21,14,0
6,125,2,1,7,2006,12,0,0
7,4602,3,26,2,2006,18,34,0
3,11074,8,11,1,2012,20,21,0
7,5945,4,4,12,2005,21,0,0
2,3171,4,12,1,2010,23,42,0
4,277,10,2,12,2010,9,7,0
3,870,4,8,7,2009,16,23,0
7,5971,4,11,3,2007,2,0,0
2,359,10,30,9,2003,15,40,0
4,1679,5,30,10,2014,10,30,0
3,7953,5,29,11,2006,14,35,0
5,20788,9,21,9,2007,16,0,0
4,366,10,26,8,2010,14,9,0
2,15213,7,21,1,2003,16,57,0
2,1298,2,23,7,2013,21,18,0
2,132,7,3,2,2015,18,0,0
4,1722,2,25,12,2014,9,45,0
3,12026,8,19,2,2003,1,0,0
5,717,2,7,2,2014,14,55,0
4,1150,2,16,9,2004,0,1,0
5,5026,1,5,10,2012,16,20,0
5,501,4,4,5,2007,16,40,0
7,220,4,11,4,2010,9,34,0
2,514,5,17,2,2004,20,30,0
2,96,10,22,7,2008,17,0,0
5,100,2,7,3,2008,0,1,0
6,3404,3,15,12,2012,17,0,0
4,9433,4,13,11,2014,17,25,0
4,7025,5,24,6,2004,8,0,0
5,11771,1,8,4,2011,21,45,0
1,4378,2,1,9,2008,12,1,0
3,7345,3,24,6,2009,20,27,0
5,5909,7,7,10,2011,17,15,0
2,4798,3,8,2,2005,23,50,0
2,213,4,12,11,2013,23,54,0
5,105,5,31,10,2014,19,48,0
5,5316,7,3,6,2011,19,30,0
3,20054,8,15,10,2003,17,52,0
7,907,6,29,1,2006,10,25,0
3,2572,7,18,10,2006,10,15,0
6,2322,9,6,3,2004,13,0,0
1,5649,3,10,1,2011,18,0,0
5,2755,2,4,4,2003,22,51,0
3,881,1,19,2,2003,6,15,0
7,5366,8,23,2,2003,9,0,0
4,1041,5,27,11,2003,11,8,0
1,2564,5,27,6,2005,0,35,0
2,601,9,9,3,2010,15,2,0
3,8223,2,24,2,2010,15,0,0
6,1431,10,4,5,2013,23,17,0
5,1299,5,6,3,2009,10,20,0
5,23,5,19,10,2007,7,30,0
2,10626,9,17,9,2013,18,30,0
3,6748,8,21,1,2004,14,30,0
3,2652,6,5,10,2011,21,49,0
7,1090,4,27,2,2005,16,0,0
5,1245,10,6,4,2012,1,45,0
7,435,10,13,1,2013,22,35,0
2,3382,6,25,6,2013,0,19,0
7,9762,7,1,1,2012,13,45,0
1,2601,3,31,10,2011,10,6,0
3,2911,10,28,11,2007,14,8,0
7,4315,4,11,3,2012,17,0,0
1,2289,1,21,1,2008,12,10,0
4,7540,5,20,5,2010,22,0,0
6,2624,1,17,12,2005,23,0,0
5,8393,2,14,5,2004,5,0,0
1,11362,3,27,10,2003,23,40,0
3,654,1,5,2,2014,17,15,0
4,3986,4,18,9,2003,18,0,0
6,13252,1,3,7,2010,16,5,0
1,9058,5,21,1,2013,22,10,0
5,139,2,22,8,2003,4,15,0
5,146,10,5,9,2014,10,37,0
1,545,3,15,5,2006,7,0,0
3,772,10,14,10,2009,17,8,0
3,3021,3,1,10,2014,21,30,0
1,909,4,7,2,2005,21,5,0
2,5208,1,11,6,2013,17,30,0
1,7288,6,27,4,2009,17,54,0
2,14513,8,23,7,2013,13,0,0
4,5995,6,26,1,2012,21,0,0
7,2041,10,4,12,2011,18,0,0
6,10527,8,22,5,2010,12,25,0
4,20952,3,20,4,2006,16,30,0
5,7850,3,1,5,2009,0,1,0
4,64,4,28,7,2011,9,0,0
2,125,2,8,3,2011,20,10,0
4,1202,6,14,6,2007,21,22,0
4,3073,2,25,11,2004,3,0,0
6,1284,4,30,5,2009,17,0,0
2,125,2,11,1,2005,15,0,0
3,908,10,7,7,2004,10,0,0
3,6951,7,25,6,2014,5,46,0
6,7376,9,17,10,2009,9,0,0
7,125,2,17,10,2004,10,30,0
1,9378,5,30,8,2004,18,0,0
7,862,5,20,9,2009,13,0,0
3,14091,3,18,9,2013,21,2,0
3,977,1,9,1,2008,17,30,0
2,6695,1,17,9,2013,17,35,0
3,2271,10,14,10,2009,19,15,0
3,3862,1,17,9,2008,18,30,0
4,3629,4,17,5,2007,16,2,0
6,5004,5,11,1,2014,3,30,0
1,2050,6,6,8,2012,3,10,0
5,6267,6,4,11,2011,20,0,0
6,3710,8,18,10,2008,13,45,0
5,2118,5,28,1,2011,22,40,0
4,1160,1,19,5,2011,8,30,0
6,1630,7,20,3,2004,19,25,0
1,2270,1,8,6,2009,11,0,0
1,5491,3,2,9,2013,11,35,0
6,328,10,30,1,2010,19,10,0
3,146,10,5,4,2006,14,0,0
3,1220,10,11,11,2009,15,0,0
2,6184,3,24,6,2008,21,50,0
6,6903,1,7,3,2009,12,15,0
4,672,1,9,1,2003,14,0,0
4,125,2,8,3,2007,10,45,0
4,601,9,26,6,2014,13,50,0
5,1189,8,11,3,2011,19,0,0
6,2253,1,22,8,2009,20,15,0
7,1541,3,22,2,2004,13,10,0
1,138,10,30,10,2006,16,40,0
3,18031,10,8,2,2006,16,0,0
5,138,10,23,1,2009,10,0,0
7,527,4,17,1,2010,19,38,0
7,9023,8,10,8,2014,3,28,0
5,1074,3,23,1,2004,22,0,0
5,10076,8,20,9,2013,16,45,0
1,4301,2,27,9,2004,10,0,0
4,363,2,8,9,2011,21,45,0
6,4167,6,21,9,2013,6,56,0
5,548,10,6,4,2007,19,25,0
7,125,2,6,11,2005,14,30,0
2,83,2,28,11,2006,22,10,0
5,18622,3,18,9,2009,18,0,0
7,10453,6,11,9,2011,2,11,0
4,303,8,23,1,2003,21,30,0
6,3716,3,24,8,2013,0,59,0
3,6474,5,16,9,2009,2,54,0
2,3049,5,15,4,2003,2,59,0
3,4458,1,24,12,2014,21,39,0
2,702,10,3,3,2015,19,0,0
4,3984,4,28,1,2010,4,0,0
5,4580,1,9,2,2007,18,0,0
1,1303,2,16,2,2004,13,30,0
5,11600,9,23,8,2013,13,26,0
2,8681,6,16,4,2013,22,30,0
1,10640,8,4,10,2010,7,51,0
1,11699,1,11,12,2006,16,0,0
5,1955,9,26,12,2008,10,45,0
4,7887,4,15,6,2006,11,12,0
4,21763,7,20,2,2003,13,0,0
5,1943,2,26,3,2010,8,0,0
4,21763,7,22,1,2004,11,30,0
3,12026,8,24,3,2010,13,22,0
2,6813,4,8,6,2004,20,11,0
7,666,2,30,12,2012,6,10,0
2,10461,3,31,5,2011,20,7,0
6,1284,4,27,2,2010,9,45,0
4,8823,3,4,9,2014,20,26,0
2,2331,8,27,5,2008,15,10,0
7,666,2,4,5,2014,23,22,0
1,2041,10,31,3,2008,17,25,0
4,36,2,3,4,2003,13,45,0
5,12250,7,24,2,2006,21,30,0
2,150,10,9,12,2008,12,0,0
5,653,10,2,5,2014,15,0,0
2,12135,1,25,11,2003,20,0,0
7,1510,4,27,2,2011,7,20,0
4,3011,1,3,6,2010,12,0,0
3,2652,6,24,3,2010,18,38,0
2,13334,7,19,8,2008,21,57,0
7,4612,6,21,4,2013,13,0,0
6,13116,8,19,4,2014,12,30,0
3,2332,2,3,9,2003,11,23,0
1,21893,3,24,11,2003,11,0,0
3,6421,7,5,2,2014,15,30,0
3,238,2,19,2,2003,4,0,0
6,213,4,12,2,2011,23,5,0
4,83,2,11,12,2003,12,40,0
2,4298,10,9,3,2010,7,0,0
5,13196,5,26,6,2009,21,0,0
3,6246,8,28,5,2014,20,0,0
4,17330,2,5,5,2011,14,48,0
3,1287,2,18,2,2015,12,43,0
5,22109,5,20,8,2004,14,45,0
5,4554,7,20,3,2015,21,35,0
5,1469,3,7,5,2010,15,30,0
4,908,10,8,1,2015,15,5,0
6,2891,5,16,6,2007,15,0,0
4,2096,8,17,10,2013,23,38,0
1,8642,8,13,6,2011,7,30,0
1,17461,8,15,9,2003,8,0,0
4,2782,5,21,8,2014,12,0,0
6,8363,8,6,4,2013,20,0,0
2,2641,4,27,12,2011,0,30,0
6,17536,8,21,4,2012,20,0,0
7,666,2,22,2,2015,17,0,0
7,643,4,16,7,2006,0,1,0
6,749,2,29,12,2012,0,5,0
1,93,7,29,4,2013,0,1,0
5,622,6,2,11,2007,10,0,0
2,9236,7,17,4,2012,18,30,0
7,5252,6,4,4,2004,12,58,0
4,12841,9,10,8,2006,19,16,0
1,12911,8,6,12,2004,10,40,0
3,14225,6,11,6,2003,7,0,0
1,11209,8,11,6,2012,16,25,0
7,5166,7,15,7,2007,10,55,0
2,64,4,4,5,2010,18,19,0
1,653,10,4,4,2011,4,37,0
2,3793,4,19,2,2008,18,30,0
1,832,4,5,1,2009,4,50,0
7,1233,4,24,10,2010,22,49,0
2,4436,1,25,11,2014,18,0,0
5,3456,8,3,11,2006,11,43,0
1,998,5,4,2,2013,18,10,0
7,9512,6,12,1,2014,21,0,0
2,1150,2,21,8,2007,18,20,0
2,125,2,1,4,2008,11,30,0
6,3250,1,15,11,2014,3,48,0
1,1912,1,21,3,2011,16,0,0
1,16151,8,31,3,2008,23,0,0
6,160,5,12,3,2011,10,0,0
7,2916,1,27,7,2003,14,15,0
2,40,1,31,3,2009,10,30,0
7,5356,2,11,8,2013,17,20,0
2,2019,10,1,9,2009,15,20,0
2,1191,10,9,12,2014,5,0,0
5,2719,4,18,11,2011,4,0,0
2,2945,3,25,11,2008,19,40,0
1,2077,4,7,1,2008,19,15,0
4,7033,8,4,9,2003,9,53,0
5,12759,6,25,7,2003,19,42,0
2,5117,3,21,8,2007,17,30,0
7,2972,5,12,9,2010,20,0,0
4,2868,7,24,3,2005,11,0,0
5,1372,5,9,9,2005,0,30,0
2,174,8,3,3,2015,12,0,0
4,9779,3,3,5,2007,13,0,0
3,2497,5,25,7,2007,19,30,0
2,323,9,28,10,2014,16,33,0
7,872,2,13,2,2005,15,0,0
4,3854,4,7,9,2006,22,18,0
2,18585,5,20,1,2004,13,45,0
2,9139,5,28,5,2013,7,30,0
4,13946,6,6,2,2014,22,45,0
3,3389,5,14,12,2011,9,30,0
7,983,2,21,9,2008,8,0,0
1,677,2,26,7,2010,12,0,0
2,4535,1,27,11,2012,18,55,0
5,1392,4,29,6,2012,0,56,0
1,7322,5,17,4,2006,15,30,0
3,36,2,4,3,2015,14,0,0
3,5130,4,10,12,2008,19,38,0
6,4041,6,11,3,2006,19,0,0
2,12332,9,21,1,2014,9,0,0
5,1496,5,7,3,2014,8,15,0
1,9501,3,14,11,2011,21,20,0
5,643,4,25,2,2011,16,0,0
3,2341,5,6,2,2008,15,0,0
3,5900,7,22,2,2006,23,0,0
3,21824,5,18,8,2004,8,40,0
1,4261,4,26,5,2008,17,11,0
7,356,3,13,7,2014,20,9,0
7,21785,10,22,2,2004,7,40,0
4,3207,8,5,8,2004,16,0,0
5,8204,3,24,1,2014,14,0,0
6,2037,5,23,3,2013,20,48,0
7,8481,4,10,2,2008,19,0,0
3,1721,2,23,6,2004,18,30,0
2,2255,5,3,2,2015,21,0,0
3,1506,7,2,11,2005,3,9,0
2,392,4,27,5,2014,0,10,0
7,872,2,17,1,2010,5,18,0
7,37,2,11,1,2004,11,0,0
7,3128,3,3,12,2006,0,45,0
7,8983,4,9,9,2007,16,10,0
6,297,8,28,11,2009,23,0,0
3,8751,2,1,6,2005,16,10,0
2,10747,3,16,9,2003,7,0,0
1,16495,7,18,2,2013,15,0,0
3,10296,5,16,6,2010,2,30,0
7,1864,5,29,8,2010,15,0,0
5,3576,5,26,7,2013,13,0,0
2,1352,4,2,10,2007,3,10,0
4,548,10,4,10,2012,11,48,0
2,863,1,30,9,2008,20,32,0
6,779,2,15,12,2007,19,45,0
3,358,6,19,5,2010,20,20,0
6,8040,8,6,9,2008,17,55,0
4,8089,1,29,6,2006,10,3,0
7,11837,3,6,5,2012,9,40,0
3,2594,8,17,10,2007,9,0,0
1,9592,3,14,6,2010,22,0,0
5,102,10,1,5,2015,14,23,0
1,3341,9,21,7,2014,13,0,0
6,500,1,28,8,2010,23,0,0
7,1752,3,15,1,2012,18,0,0
7,706,8,8,3,2009,23,31,0
4,10970,2,25,11,2004,1,30,0
4,88,2,29,4,2004,21,0,0
6,3734,1,15,11,2008,2,0,0
3,518,10,30,9,2009,12,50,0
6,7874,9,20,5,2006,15,30,0
6,5217,1,18,10,2014,19,4,0
5,8039,4,9,2,2007,2,35,0
3,1606,2,13,10,2004,12,40,0
5,5355,6,9,2,2007,18,0,0
1,4609,9,20,2,2006,9,0,0
2,1694,1,29,5,2012,12,30,0
1,1056,2,6,2,2012,0,25,0
1,7744,6,4,8,2008,11,0,0
3,8281,8,11,12,2013,0,50,0
7,16075,2,1,11,2009,20,0,0
6,896,2,15,11,2014,19,20,0
1,125,2,3,3,2003,22,0,0
4,1498,5,28,1,2010,19,0,0
5,12352,9,5,4,2013,13,0,0
7,14752,3,25,9,2005,21,0,0
2,2489,1,15,4,2014,13,15,0
4,2985,5,13,7,2006,16,55,0
2,4132,7,31,3,2015,10,0,0
7,8702,8,6,11,2011,15,38,0
1,10351,3,11,11,2013,22,0,0
5,4073,3,26,3,2010,14,3,0
7,6750,5,23,2,2003,16,0,0
4,1305,1,2,4,2015,13,30,0
2,13783,9,27,11,2007,19,10,0
1,548,10,23,7,2012,23,34,0
4,166,10,10,2,2005,20,30,0
1,125,2,27,6,2011,16,0,0
2,125,2,23,2,2010,10,40,0
1,125,2,17,9,2012,0,1,0
3,22208,5,12,11,2003,16,18,0
4,8245,4,4,9,2003,12,20,0
6,8645,8,9,8,2008,5,0,0
4,1812,3,6,3,2014,9,40,0
7,229,5,14,2,2010,2,5,0
3,44,6,23,7,2014,19,6,0
7,5223,1,20,5,2012,6,0,0
3,501,4,7,7,2004,15,57,0
6,554,10,8,9,2007,16,3,0
7,7804,8,15,1,2006,1,29,0
5,83,2,9,4,2010,9,30,0
4,1722,2,14,12,2006,13,55,0
6,2427,5,14,12,2013,0,30,0
3,2490,3,30,5,2007,15,0,0
3,28,4,6,9,2006,0,50,0
4,6003,6,4,9,2008,11,20,0
