"day","address","location","date","month","year","hour","min","FORGERYCOUNTERFEITING"
4,2744,6,8,1,2015,13,43,1
4,714,2,8,1,2015,9,25,1
3,408,2,7,1,2015,18,2,1
2,7704,1,6,1,2015,9,15,1
2,8034,4,6,1,2015,8,0,1
2,477,3,6,1,2015,0,21,1
1,872,2,5,1,2015,17,43,1
1,2236,4,5,1,2015,17,10,1
1,4703,1,5,1,2015,10,0,1
1,8114,3,5,1,2015,0,1,1
1,7076,8,5,1,2015,0,1,1
7,2367,1,28,12,2014,1,22,1
6,8168,3,27,12,2014,22,47,1
6,8185,4,27,12,2014,17,0,1
6,8199,9,27,12,2014,12,0,1
4,1220,10,25,12,2014,15,20,1
4,927,1,25,12,2014,15,15,1
4,3132,5,25,12,2014,2,20,1
3,3024,7,24,12,2014,15,30,1
3,259,5,24,12,2014,10,55,1
2,4225,1,23,12,2014,17,52,1
2,36,2,23,12,2014,17,30,1
2,6704,8,23,12,2014,15,0,1
1,1019,5,22,12,2014,17,42,1
1,3555,4,22,12,2014,10,22,1
6,363,2,13,12,2014,13,0,1
5,784,2,12,12,2014,17,0,1
5,8298,1,12,12,2014,16,0,1
4,8681,6,11,12,2014,23,30,1
4,160,5,11,12,2014,15,30,1
4,643,4,11,12,2014,15,9,1
3,7483,8,10,12,2014,12,0,1
3,538,8,10,12,2014,3,49,1
1,2214,1,8,12,2014,18,42,1
1,8876,9,8,12,2014,12,0,1
1,8877,7,8,12,2014,12,0,1
5,872,2,28,11,2014,17,52,1
5,146,10,28,11,2014,17,50,1
5,408,2,28,11,2014,15,30,1
5,964,3,28,11,2014,0,1,1
4,4015,2,27,11,2014,6,59,1
3,872,2,26,11,2014,20,36,1
3,9130,1,26,11,2014,12,0,1
3,392,4,26,11,2014,11,0,1
1,872,2,24,11,2014,10,58,1
5,88,2,14,11,2014,11,45,1
5,1790,1,14,11,2014,10,0,1
5,2502,7,14,11,2014,0,15,1
4,1019,5,13,11,2014,15,40,1
4,5464,5,13,11,2014,13,0,1
4,5464,5,13,11,2014,13,0,1
4,88,2,13,11,2014,10,45,1
1,1966,7,10,11,2014,21,40,1
1,507,5,10,11,2014,21,0,1
7,2838,2,2,11,2014,15,30,1
7,1470,1,2,11,2014,13,38,1
6,653,10,1,11,2014,9,0,1
4,1525,4,30,10,2014,13,35,1
4,1150,2,30,10,2014,6,0,1
3,6771,1,29,10,2014,13,47,1
3,1150,2,29,10,2014,11,38,1
3,125,2,29,10,2014,0,1,1
2,5415,2,28,10,2014,8,0,1
1,872,2,27,10,2014,14,23,1
1,9955,3,27,10,2014,0,1,1
1,88,2,27,10,2014,0,1,1
7,9890,5,19,10,2014,19,40,1
6,155,2,18,10,2014,15,0,1
5,213,4,17,10,2014,20,50,1
5,27,5,17,10,2014,15,57,1
4,2483,1,16,10,2014,15,40,1
4,1153,4,16,10,2014,11,35,1
3,1224,1,15,10,2014,23,45,1
3,10168,6,15,10,2014,19,0,1
3,1362,5,15,10,2014,15,0,1
3,2159,10,15,10,2014,14,18,1
3,2159,10,15,10,2014,14,18,1
2,2430,8,14,10,2014,12,0,1
2,4256,2,14,10,2014,8,0,1
1,8248,4,13,10,2014,12,0,1
7,1395,6,5,10,2014,16,57,1
7,93,7,5,10,2014,14,0,1
7,1234,3,5,10,2014,0,1,1
6,7008,1,4,10,2014,12,0,1
5,190,9,3,10,2014,21,30,1
5,5745,5,3,10,2014,16,45,1
5,1157,2,3,10,2014,12,0,1
4,10461,3,2,10,2014,17,0,1
4,359,10,2,10,2014,11,0,1
3,59,2,1,10,2014,17,30,1
2,2484,10,30,9,2014,23,10,1
2,270,2,30,9,2014,22,0,1
2,2052,4,30,9,2014,0,1,1
1,10574,8,29,9,2014,21,31,1
1,2769,9,29,9,2014,19,45,1
6,926,4,20,9,2014,14,22,1
6,1823,1,20,9,2014,13,10,1
6,1823,1,20,9,2014,13,10,1
5,408,2,19,9,2014,19,30,1
5,1153,4,19,9,2014,17,29,1
5,1730,10,19,9,2014,15,15,1
5,6527,2,19,9,2014,9,0,1
5,4311,9,19,9,2014,4,50,1
4,4311,9,18,9,2014,19,9,1
4,2156,2,18,9,2014,11,22,1
4,2156,2,18,9,2014,11,22,1
4,76,5,18,9,2014,0,1,1
3,392,4,17,9,2014,15,56,1
3,359,10,17,9,2014,8,0,1
2,872,2,16,9,2014,17,10,1
2,872,2,16,9,2014,17,10,1
2,392,4,16,9,2014,13,0,1
1,166,10,15,9,2014,12,45,1
1,4603,5,15,9,2014,9,55,1
5,1578,1,5,9,2014,17,30,1
5,7223,1,5,9,2014,12,30,1
5,7223,1,5,9,2014,12,30,1
4,7677,1,4,9,2014,19,12,1
4,451,2,4,9,2014,15,7,1
4,138,2,4,9,2014,8,20,1
3,7104,6,3,9,2014,17,30,1
3,10717,6,3,9,2014,12,0,1
2,11089,4,2,9,2014,15,0,1
1,759,5,1,9,2014,22,0,1
1,2243,7,1,9,2014,18,0,1
1,926,4,1,9,2014,16,30,1
1,4708,5,1,9,2014,7,0,1
7,672,1,24,8,2014,8,0,1
6,1729,5,23,8,2014,18,26,1
6,363,2,23,8,2014,14,30,1
6,166,10,23,8,2014,11,40,1
5,1420,1,22,8,2014,15,0,1
5,2372,5,22,8,2014,3,57,1
5,2372,5,22,8,2014,3,57,1
4,323,9,21,8,2014,13,0,1
4,11266,7,21,8,2014,12,0,1
3,5842,4,20,8,2014,13,30,1
2,853,2,19,8,2014,16,50,1
2,310,8,19,8,2014,14,2,1
2,5093,2,19,8,2014,9,0,1
7,1056,2,10,8,2014,2,58,1
5,11491,9,8,8,2014,15,15,1
5,6171,5,8,8,2014,8,0,1
4,6027,8,7,8,2014,18,30,1
4,1525,4,7,8,2014,13,53,1
2,1242,5,5,8,2014,10,39,1
6,872,2,26,7,2014,14,36,1
5,1331,4,25,7,2014,15,0,1
5,7609,7,25,7,2014,13,30,1
5,11747,5,25,7,2014,8,0,1
5,11753,5,25,7,2014,0,1,1
4,88,2,24,7,2014,9,15,1
4,88,2,24,7,2014,9,15,1
3,5658,5,23,7,2014,0,1,1
2,27,5,22,7,2014,15,0,1
2,4603,5,22,7,2014,11,0,1
2,366,10,22,7,2014,0,1,1
1,6313,3,21,7,2014,17,45,1
7,643,4,13,7,2014,17,31,1
7,644,1,13,7,2014,0,3,1
5,408,2,11,7,2014,19,20,1
5,2857,5,11,7,2014,16,19,1
5,125,2,11,7,2014,0,1,1
4,939,5,10,7,2014,10,45,1
2,7223,1,8,7,2014,12,0,1
2,5256,2,8,7,2014,9,0,1
1,4177,6,7,7,2014,8,0,1
1,12122,8,7,7,2014,0,1,1
7,1622,5,29,6,2014,13,40,1
4,594,8,26,6,2014,10,30,1
4,1019,5,26,6,2014,10,0,1
2,408,2,24,6,2014,15,29,1
1,176,1,23,6,2014,12,0,1
6,12410,9,14,6,2014,16,0,1
6,5444,10,14,6,2014,12,51,1
5,3526,5,13,6,2014,11,0,1
5,3526,5,13,6,2014,11,0,1
4,7569,9,12,6,2014,9,0,1
3,451,2,11,6,2014,0,1,1
2,394,4,10,6,2014,13,15,1
2,394,4,10,6,2014,13,15,1
2,392,4,10,6,2014,12,55,1
2,1969,4,10,6,2014,11,30,1
2,1975,2,10,6,2014,11,12,1
2,1932,2,10,6,2014,8,30,1
1,349,2,9,6,2014,15,55,1
1,12538,7,9,6,2014,12,0,1
7,1809,10,1,6,2014,0,1,1
6,4336,9,31,5,2014,12,19,1
3,3582,5,28,5,2014,18,10,1
3,12664,9,28,5,2014,14,0,1
3,7626,2,28,5,2014,0,32,1
2,5204,5,27,5,2014,16,0,1
2,2346,2,27,5,2014,12,0,1
2,979,4,27,5,2014,11,20,1
2,392,4,27,5,2014,0,10,1
2,392,4,27,5,2014,0,10,1
1,1407,1,26,5,2014,21,58,1
1,256,2,26,5,2014,14,48,1
1,125,2,26,5,2014,0,1,1
7,408,2,18,5,2014,14,25,1
6,1525,4,17,5,2014,20,0,1
6,666,2,17,5,2014,9,24,1
5,213,4,16,5,2014,9,33,1
4,3105,9,15,5,2014,19,50,1
3,7452,9,14,5,2014,15,0,1
3,10236,6,14,5,2014,14,0,1
3,125,2,14,5,2014,6,27,1
2,7190,8,13,5,2014,21,30,1
2,1761,1,13,5,2014,0,1,1
2,1119,2,13,5,2014,0,1,1
1,259,5,12,5,2014,13,40,1
1,2243,7,12,5,2014,0,1,1
7,12918,7,4,5,2014,0,1,1
6,4542,5,3,5,2014,19,45,1
5,653,10,2,5,2014,15,0,1
5,1790,1,2,5,2014,11,0,1
4,9230,3,1,5,2014,20,15,1
4,8893,8,1,5,2014,12,57,1
4,12997,5,1,5,2014,12,0,1
4,13001,9,1,5,2014,9,44,1
3,2236,4,30,4,2014,23,32,1
3,200,2,30,4,2014,17,0,1
3,139,2,30,4,2014,8,34,1
2,146,10,29,4,2014,15,15,1
2,9476,3,29,4,2014,12,0,1
1,5653,5,28,4,2014,9,10,1
1,935,1,28,4,2014,0,1,1
7,359,10,20,4,2014,21,26,1
6,594,8,19,4,2014,15,40,1
6,6143,1,19,4,2014,10,24,1
5,363,2,18,4,2014,23,33,1
4,4618,5,17,4,2014,21,40,1
4,1827,2,17,4,2014,15,0,1
4,1827,2,17,4,2014,15,0,1
4,510,1,17,4,2014,13,0,1
3,7023,7,16,4,2014,22,0,1
3,5553,4,16,4,2014,16,24,1
3,511,4,16,4,2014,6,10,1
3,213,4,16,4,2014,0,25,1
2,13222,6,15,4,2014,12,0,1
1,83,2,14,4,2014,19,30,1
6,1153,4,5,4,2014,13,39,1
5,408,2,4,4,2014,15,15,1
4,259,5,3,4,2014,15,0,1
4,1305,1,3,4,2014,12,0,1
4,3723,8,3,4,2014,9,0,1
3,1153,4,2,4,2014,14,31,1
3,183,5,2,4,2014,12,47,1
3,1220,10,2,4,2014,12,0,1
3,1446,6,2,4,2014,12,0,1
2,795,3,1,4,2014,17,0,1
2,9082,6,1,4,2014,7,0,1
1,6762,6,31,3,2014,22,0,1
1,927,1,31,3,2014,20,20,1
1,146,10,31,3,2014,12,49,1
1,2677,5,31,3,2014,0,1,1
6,11430,1,22,3,2014,21,49,1
6,2289,1,22,3,2014,15,30,1
6,5287,9,22,3,2014,12,0,1
6,1405,10,22,3,2014,9,35,1
5,1017,3,21,3,2014,20,30,1
5,872,2,21,3,2014,16,0,1
5,646,6,21,3,2014,11,40,1
3,12075,9,19,3,2014,16,40,1
1,2693,1,17,3,2014,15,30,1
7,347,8,9,3,2014,20,30,1
7,872,2,9,3,2014,10,0,1
6,1095,5,8,3,2014,13,45,1
6,2391,2,8,3,2014,3,30,1
6,2803,10,8,3,2014,2,25,1
5,59,2,7,3,2014,16,50,1
5,59,2,7,3,2014,16,50,1
5,59,2,7,3,2014,16,50,1
5,9247,8,7,3,2014,14,45,1
5,1204,2,7,3,2014,7,54,1
3,2289,1,5,3,2014,19,0,1
2,392,4,4,3,2014,17,50,1
2,259,5,4,3,2014,16,30,1
2,158,2,4,3,2014,13,53,1
2,3024,7,4,3,2014,11,45,1
2,1224,1,4,3,2014,2,0,1
2,1331,4,4,3,2014,0,1,1
1,3415,5,3,3,2014,14,16,1
7,1116,2,23,2,2014,15,45,1
6,939,5,22,2,2014,11,0,1
5,88,2,21,2,2014,17,0,1
5,1347,8,21,2,2014,14,36,1
5,1304,5,21,2,2014,8,58,1
4,9025,5,20,2,2014,0,1,1
3,926,4,19,2,2014,17,10,1
3,6288,4,19,2,2014,16,35,1
3,3355,7,19,2,2014,16,30,1
3,1089,2,19,2,2014,16,0,1
3,939,5,19,2,2014,15,25,1
3,1420,1,19,2,2014,13,55,1
3,3396,10,19,2,2014,5,0,1
2,643,4,18,2,2014,22,30,1
2,3355,7,18,2,2014,17,17,1
2,12682,8,18,2,2014,12,58,1
1,13868,6,17,2,2014,17,0,1
1,3355,7,17,2,2014,14,48,1
7,9813,5,9,2,2014,22,12,1
7,13898,8,9,2,2014,16,23,1
6,4496,9,8,2,2014,11,27,1
5,1351,8,7,2,2014,9,10,1
5,554,10,7,2,2014,0,1,1
4,27,5,6,2,2014,15,25,1
4,29,5,6,2,2014,11,30,1
4,386,2,6,2,2014,8,0,1
3,3619,2,5,2,2014,17,58,1
3,7774,7,5,2,2014,13,0,1
3,1429,10,5,2,2014,12,45,1
3,1220,10,5,2,2014,12,41,1
3,957,2,5,2,2014,11,25,1
3,11369,4,5,2,2014,0,1,1
2,4627,8,4,2,2014,17,30,1
2,13989,9,4,2,2014,16,1,1
2,248,7,4,2,2014,14,40,1
2,3725,10,4,2,2014,12,59,1
2,926,4,4,2,2014,12,55,1
1,29,5,3,2,2014,16,0,1
1,14007,5,3,2,2014,0,1,1
7,10641,4,26,1,2014,17,42,1
7,2289,1,26,1,2014,17,0,1
7,2372,5,26,1,2014,2,40,1
6,1305,1,25,1,2014,19,0,1
6,1884,3,25,1,2014,17,23,1
6,2803,10,25,1,2014,17,16,1
6,166,10,25,1,2014,16,45,1
6,166,10,25,1,2014,16,45,1
6,408,2,25,1,2014,15,17,1
6,408,2,25,1,2014,15,17,1
6,408,2,25,1,2014,15,17,1
6,1091,10,25,1,2014,12,37,1
5,939,5,24,1,2014,10,20,1
5,952,2,24,1,2014,0,1,1
4,939,5,23,1,2014,15,5,1
4,259,5,23,1,2014,9,2,1
3,538,8,22,1,2014,18,49,1
3,2803,10,22,1,2014,16,52,1
3,88,2,22,1,2014,15,35,1
3,601,9,22,1,2014,14,48,1
3,98,4,22,1,2014,8,30,1
3,14114,7,22,1,2014,0,1,1
2,1792,2,21,1,2014,22,10,1
2,2825,6,21,1,2014,16,45,1
2,872,2,21,1,2014,15,18,1
2,647,5,21,1,2014,3,25,1
1,6504,3,20,1,2014,19,30,1
1,408,2,20,1,2014,14,11,1
1,408,2,20,1,2014,14,11,1
1,13383,8,20,1,2014,12,0,1
1,361,2,20,1,2014,10,19,1
7,2671,5,12,1,2014,21,32,1
7,559,6,12,1,2014,19,41,1
7,340,6,12,1,2014,18,18,1
7,88,2,12,1,2014,1,3,1
6,2934,3,11,1,2014,16,30,1
6,3735,2,11,1,2014,14,7,1
5,3808,9,10,1,2014,20,45,1
5,6149,5,10,1,2014,18,40,1
5,77,10,10,1,2014,17,32,1
4,77,10,9,1,2014,23,2,1
4,5621,4,9,1,2014,14,45,1
3,2783,4,8,1,2014,14,40,1
3,966,3,8,1,2014,10,53,1
3,269,1,8,1,2014,8,0,1
2,2891,5,7,1,2014,23,7,1
2,146,10,7,1,2014,16,0,1
2,146,10,7,1,2014,16,0,1
2,1291,1,7,1,2014,13,0,1
2,435,10,7,1,2014,11,15,1
2,908,10,7,1,2014,0,1,1
2,2838,2,7,1,2014,0,1,1
1,77,10,6,1,2014,18,0,1
1,714,2,6,1,2014,14,45,1
1,171,1,6,1,2014,14,15,1
1,2096,8,6,1,2014,12,0,1
1,417,3,6,1,2014,10,30,1
1,3873,1,6,1,2014,9,0,1
7,211,5,29,12,2013,16,0,1
6,363,2,28,12,2013,16,46,1
6,5591,5,28,12,2013,12,54,1
6,3707,9,28,12,2013,12,0,1
6,992,1,28,12,2013,10,30,1
5,3844,5,27,12,2013,21,31,1
5,4935,7,27,12,2013,14,50,1
5,4935,7,27,12,2013,14,50,1
5,3551,2,27,12,2013,9,56,1
4,1304,5,26,12,2013,13,0,1
3,2119,10,25,12,2013,13,0,1
2,736,4,24,12,2013,8,18,1
7,6855,8,15,12,2013,21,0,1
7,408,2,15,12,2013,13,45,1
7,408,2,15,12,2013,13,45,1
7,736,4,15,12,2013,9,0,1
6,1154,9,14,12,2013,14,30,1
5,428,4,13,12,2013,18,0,1
5,4935,7,13,12,2013,17,15,1
5,4935,7,13,12,2013,17,15,1
5,1157,2,13,12,2013,11,20,1
4,1074,3,12,12,2013,18,4,1
4,14430,9,12,12,2013,0,1,1
3,256,2,11,12,2013,20,0,1
3,2483,1,11,12,2013,9,0,1
3,854,5,11,12,2013,0,1,1
3,5419,5,11,12,2013,0,1,1
2,1445,1,10,12,2013,18,18,1
1,2091,2,9,12,2013,12,10,1
7,14500,9,1,12,2013,0,19,1
7,8909,5,1,12,2013,0,1,1
6,2763,5,30,11,2013,18,37,1
6,1397,3,30,11,2013,14,35,1
6,2236,4,30,11,2013,3,6,1
5,12425,6,29,11,2013,15,8,1
5,908,10,29,11,2013,8,0,1
4,13366,1,28,11,2013,19,0,1
4,9682,8,28,11,2013,15,0,1
3,13366,1,27,11,2013,15,8,1
3,4760,2,27,11,2013,15,0,1
3,4709,5,27,11,2013,12,45,1
3,2739,2,27,11,2013,12,30,1
3,12348,8,27,11,2013,12,0,1
3,8044,9,27,11,2013,11,0,1
3,3194,8,27,11,2013,10,0,1
2,3024,7,26,11,2013,17,25,1
1,615,1,25,11,2013,17,45,1
1,3873,1,25,11,2013,16,0,1
1,9199,3,25,11,2013,11,18,1
6,644,1,16,11,2013,16,45,1
6,2989,5,16,11,2013,13,50,1
5,1533,5,15,11,2013,21,0,1
5,872,2,15,11,2013,18,44,1
5,1220,10,15,11,2013,12,0,1
5,1918,1,15,11,2013,11,40,1
3,83,2,13,11,2013,17,45,1
3,5082,4,13,11,2013,10,30,1
3,5113,8,13,11,2013,0,1,1
2,272,8,12,11,2013,14,34,1
2,872,2,12,11,2013,8,6,1
2,8535,5,12,11,2013,0,1,1
2,5070,9,12,11,2013,0,1,1
1,355,2,11,11,2013,16,17,1
1,2271,10,11,11,2013,13,24,1
5,7129,8,1,11,2013,11,0,1
5,338,1,1,11,2013,0,30,1
5,3219,3,1,11,2013,0,1,1
4,2904,2,31,10,2013,18,46,1
4,2985,5,31,10,2013,12,0,1
4,1897,1,31,10,2013,11,0,1
3,1363,3,30,10,2013,9,0,1
2,125,2,29,10,2013,21,40,1
2,872,2,29,10,2013,4,47,1
2,872,2,29,10,2013,4,47,1
2,511,4,29,10,2013,2,2,1
2,4321,3,29,10,2013,0,1,1
1,872,2,28,10,2013,17,37,1
1,88,2,28,10,2013,16,0,1
1,4321,3,28,10,2013,15,0,1
1,1286,1,28,10,2013,0,1,1
7,363,2,20,10,2013,18,29,1
7,4129,7,20,10,2013,12,0,1
7,8302,7,20,10,2013,0,30,1
6,177,10,19,10,2013,15,0,1
6,177,10,19,10,2013,15,0,1
6,256,2,19,10,2013,9,15,1
5,615,1,18,10,2013,17,30,1
5,1397,3,18,10,2013,16,42,1
5,1397,3,18,10,2013,16,42,1
5,1622,5,18,10,2013,12,0,1
4,2873,8,17,10,2013,10,0,1
4,2454,2,17,10,2013,0,1,1
3,2733,4,16,10,2013,12,0,1
3,125,2,16,10,2013,0,1,1
3,11066,9,16,10,2013,0,1,1
2,559,6,15,10,2013,13,50,1
2,2119,10,15,10,2013,0,1,1
2,10086,1,15,10,2013,0,1,1
1,125,2,14,10,2013,15,30,1
1,5444,10,14,10,2013,14,27,1
7,125,2,6,10,2013,13,30,1
7,1790,1,6,10,2013,12,0,1
6,1233,4,5,10,2013,20,45,1
6,2041,10,5,10,2013,16,16,1
5,408,2,4,10,2013,14,42,1
4,1030,2,3,10,2013,20,13,1
4,1730,10,3,10,2013,17,30,1
4,357,4,3,10,2013,14,18,1
4,2275,2,3,10,2013,13,0,1
4,4388,10,3,10,2013,0,59,1
4,7187,2,3,10,2013,0,1,1
3,4225,1,2,10,2013,21,30,1
3,1816,2,2,10,2013,15,30,1
2,594,8,1,10,2013,11,0,1
2,1150,2,1,10,2013,0,1,1
1,28,4,30,9,2013,13,45,1
7,619,8,22,9,2013,14,30,1
6,3708,4,21,9,2013,22,0,1
6,198,1,21,9,2013,17,50,1
6,198,1,21,9,2013,17,50,1
4,6149,5,19,9,2013,21,25,1
4,4095,7,19,9,2013,9,30,1
4,15158,9,19,9,2013,6,45,1
4,15158,9,19,9,2013,6,45,1
3,6551,7,18,9,2013,12,0,1
3,77,10,18,9,2013,8,7,1
1,8762,9,16,9,2013,16,55,1
1,1245,10,16,9,2013,10,19,1
7,534,4,8,9,2013,17,31,1
7,5812,9,8,9,2013,16,15,1
6,5215,3,7,9,2013,9,0,1
6,1383,7,7,9,2013,0,1,1
5,402,4,6,9,2013,14,30,1
5,301,2,6,9,2013,13,0,1
5,1595,9,6,9,2013,12,0,1
5,1595,9,6,9,2013,12,0,1
5,6027,8,6,9,2013,9,41,1
5,872,2,6,9,2013,9,23,1
5,741,2,6,9,2013,1,52,1
5,4487,3,6,9,2013,0,4,1
4,338,1,5,9,2013,23,39,1
4,15271,9,5,9,2013,15,0,1
4,1790,1,5,9,2013,9,42,1
3,1760,10,4,9,2013,15,0,1
3,7576,5,4,9,2013,12,0,1
3,643,4,4,9,2013,10,0,1
3,164,4,4,9,2013,8,23,1
3,1254,2,4,9,2013,0,1,1
2,2236,4,3,9,2013,17,0,1
2,981,2,3,9,2013,10,51,1
2,643,4,3,9,2013,10,25,1
2,643,4,3,9,2013,10,25,1
1,3744,6,2,9,2013,17,0,1
1,3317,1,2,9,2013,13,47,1
1,5014,4,2,9,2013,12,0,1
1,5014,4,2,9,2013,12,0,1
7,5925,4,25,8,2013,20,21,1
7,3550,4,25,8,2013,19,51,1
7,2397,6,25,8,2013,18,0,1
7,2397,6,25,8,2013,18,0,1
7,530,8,25,8,2013,16,55,1
6,872,2,24,8,2013,14,10,1
5,974,8,23,8,2013,17,54,1
5,872,2,23,8,2013,16,52,1
5,7260,7,23,8,2013,14,30,1
5,7260,7,23,8,2013,14,30,1
5,4378,2,23,8,2013,13,1,1
4,872,2,22,8,2013,23,39,1
4,15392,3,22,8,2013,16,50,1
4,6313,3,22,8,2013,13,6,1
3,5017,2,21,8,2013,21,30,1
3,5017,2,21,8,2013,21,30,1
3,15408,8,21,8,2013,8,0,1
2,408,2,20,8,2013,18,26,1
2,3834,2,20,8,2013,15,20,1
1,4657,4,19,8,2013,18,30,1
1,4657,4,19,8,2013,18,30,1
1,7819,4,19,8,2013,17,12,1
1,7819,4,19,8,2013,17,12,1
1,8114,3,19,8,2013,0,1,1
1,6962,5,19,8,2013,0,1,1
1,9846,8,19,8,2013,0,1,1
7,4603,5,11,8,2013,16,0,1
6,5812,9,10,8,2013,11,30,1
5,5190,10,9,8,2013,22,0,1
5,1255,6,9,8,2013,13,15,1
5,427,2,9,8,2013,12,0,1
5,220,4,9,8,2013,1,13,1
5,673,10,9,8,2013,0,1,1
4,15499,7,8,8,2013,16,0,1
3,2151,7,7,8,2013,0,1,1
1,926,4,5,8,2013,21,10,1
1,77,10,5,8,2013,8,0,1
7,1445,1,28,7,2013,15,30,1
7,824,1,28,7,2013,7,26,1
6,1790,1,27,7,2013,21,56,1
6,916,1,27,7,2013,14,30,1
6,714,2,27,7,2013,9,27,1
5,2821,2,26,7,2013,21,10,1
5,2023,5,26,7,2013,16,0,1
5,259,5,26,7,2013,13,24,1
5,2697,3,26,7,2013,12,0,1
5,3505,7,26,7,2013,12,0,1
4,146,10,25,7,2013,18,0,1
4,15592,6,25,7,2013,18,0,1
3,363,2,24,7,2013,10,12,1
3,872,2,24,7,2013,9,14,1
2,1298,2,23,7,2013,21,18,1
2,4225,1,23,7,2013,15,0,1
2,10587,1,23,7,2013,12,0,1
2,895,2,23,7,2013,1,29,1
1,908,10,22,7,2013,15,53,1
1,896,2,22,7,2013,14,50,1
