"day","address","location","date","month","year","hour","min","DISORDERLYCONDUCT"
5,999,1,11,7,2014,1,0,1
4,9742,4,10,7,2014,2,0,1
3,460,5,9,7,2014,13,25,1
2,9244,3,8,7,2014,3,45,1
7,408,2,29,6,2014,21,36,1
7,70,10,29,6,2014,17,1,1
7,216,6,29,6,2014,16,11,1
7,501,4,29,6,2014,11,54,1
7,1343,4,29,6,2014,1,55,1
6,1318,4,28,6,2014,11,53,1
5,468,2,27,6,2014,15,6,1
5,3781,8,27,6,2014,0,1,1
4,1202,6,12,6,2014,15,57,1
2,3736,3,10,6,2014,17,32,1
7,125,2,1,6,2014,18,30,1
7,501,4,1,6,2014,15,12,1
7,6266,4,1,6,2014,3,20,1
5,451,2,30,5,2014,18,2,1
5,363,2,30,5,2014,8,19,1
5,727,4,30,5,2014,0,45,1
5,554,10,30,5,2014,0,31,1
2,70,10,27,5,2014,11,12,1
1,1519,1,26,5,2014,2,27,1
6,125,2,17,5,2014,14,20,1
5,125,2,16,5,2014,23,25,1
3,512,8,14,5,2014,17,0,1
3,1334,3,14,5,2014,1,35,1
3,7167,4,14,5,2014,0,15,1
1,12868,4,12,5,2014,22,0,1
1,1226,4,12,5,2014,1,26,1
7,6811,3,4,5,2014,10,55,1
7,105,5,4,5,2014,3,15,1
4,4836,6,1,5,2014,16,37,1
7,831,4,20,4,2014,3,31,1
6,6425,1,19,4,2014,0,58,1
5,2414,3,18,4,2014,20,43,1
5,12894,4,18,4,2014,8,0,1
3,501,4,16,4,2014,16,3,1
3,3846,10,16,4,2014,8,45,1
5,13313,8,4,4,2014,21,0,1
5,8591,3,4,4,2014,18,8,1
4,213,4,3,4,2014,18,30,1
4,1061,4,3,4,2014,1,0,1
3,2881,5,2,4,2014,23,23,1
3,408,2,2,4,2014,17,15,1
6,213,4,22,3,2014,16,38,1
6,3463,5,22,3,2014,14,0,1
5,13477,2,21,3,2014,22,47,1
5,125,2,21,3,2014,22,35,1
4,6302,4,20,3,2014,0,5,1
2,1854,3,18,3,2014,15,0,1
1,1012,4,17,3,2014,23,20,1
1,1226,4,17,3,2014,2,45,1
7,1083,1,9,3,2014,19,0,1
7,13168,1,9,3,2014,2,20,1
6,133,3,8,3,2014,0,5,1
4,13672,1,6,3,2014,6,0,1
3,182,4,5,3,2014,18,43,1
3,1975,2,5,3,2014,17,23,1
3,1519,1,5,3,2014,2,15,1
7,568,4,23,2,2014,22,0,1
7,1760,10,23,2,2014,13,17,1
7,5156,4,23,2,2014,0,45,1
6,5531,9,22,2,2014,9,15,1
6,11591,4,22,2,2014,0,30,1
5,3856,4,21,2,2014,23,55,1
4,4214,10,20,2,2014,6,51,1
2,2620,5,18,2,2014,21,30,1
2,13811,9,18,2,2014,20,45,1
2,867,1,18,2,2014,15,0,1
1,4378,2,17,2,2014,9,12,1
7,13715,4,9,2,2014,18,30,1
6,501,4,8,2,2014,19,19,1
5,6917,4,7,2,2014,23,45,1
5,1347,8,7,2,2014,9,23,1
5,7230,4,7,2,2014,2,50,1
4,2680,4,6,2,2014,22,30,1
3,831,4,5,2,2014,2,16,1
2,5819,4,4,2,2014,23,45,1
1,7119,4,3,2,2014,18,0,1
7,501,4,26,1,2014,5,37,1
7,1397,3,26,1,2014,5,18,1
7,6690,4,26,1,2014,3,11,1
7,1504,4,26,1,2014,1,37,1
6,468,2,25,1,2014,14,0,1
6,1091,10,25,1,2014,12,37,1
4,5773,4,23,1,2014,3,40,1
3,907,6,22,1,2014,15,58,1
3,831,4,22,1,2014,0,54,1
2,14127,2,21,1,2014,7,48,1
1,14127,2,20,1,2014,8,47,1
7,501,4,12,1,2014,10,5,1
7,2192,10,12,1,2014,8,26,1
6,92,1,11,1,2014,1,0,1
4,887,7,9,1,2014,8,21,1
5,14334,4,27,12,2013,1,30,1
5,10236,6,13,12,2013,8,6,1
4,936,4,12,12,2013,2,20,1
2,1975,2,10,12,2013,9,34,1
5,5015,1,29,11,2013,9,45,1
4,3066,4,28,11,2013,10,30,1
2,3308,4,26,11,2013,3,21,1
1,1730,10,25,11,2013,17,50,1
1,2822,1,25,11,2013,16,5,1
1,9356,4,25,11,2013,3,9,1
1,14595,4,25,11,2013,1,45,1
6,9684,2,16,11,2013,23,30,1
5,2541,3,15,11,2013,22,35,1
5,3364,5,15,11,2013,8,15,1
3,14654,3,13,11,2013,21,17,1
3,7704,1,13,11,2013,10,45,1
3,3255,5,13,11,2013,8,40,1
2,4415,5,12,11,2013,10,0,1
5,483,1,1,11,2013,11,0,1
2,7704,1,29,10,2013,13,0,1
7,784,2,20,10,2013,18,41,1
7,8812,4,20,10,2013,18,0,1
7,2393,8,20,10,2013,14,50,1
7,2045,6,20,10,2013,0,1,1
3,125,2,16,10,2013,13,7,1
3,8039,4,16,10,2013,0,10,1
1,44,6,14,10,2013,19,38,1
7,338,1,6,10,2013,1,59,1
7,338,1,6,10,2013,1,19,1
6,927,1,5,10,2013,13,19,1
4,282,6,3,10,2013,8,0,1
2,10742,5,1,10,2013,6,49,1
6,1957,8,21,9,2013,19,26,1
5,1806,5,20,9,2013,0,30,1
4,3362,5,19,9,2013,19,15,1
3,511,4,18,9,2013,22,40,1
3,2868,7,18,9,2013,12,0,1
3,855,4,18,9,2013,9,30,1
3,1975,2,18,9,2013,9,16,1
7,357,4,8,9,2013,0,42,1
6,2016,6,7,9,2013,1,0,1
5,872,2,6,9,2013,13,33,1
5,8318,1,6,9,2013,2,42,1
5,1789,4,6,9,2013,0,5,1
4,1024,1,5,9,2013,19,53,1
4,12784,8,5,9,2013,6,0,1
3,2988,3,4,9,2013,8,0,1
7,125,2,25,8,2013,18,5,1
7,15336,3,25,8,2013,15,17,1
6,125,2,24,8,2013,13,28,1
4,1408,8,22,8,2013,18,0,1
1,7864,9,19,8,2013,15,0,1
6,925,2,10,8,2013,15,35,1
6,907,6,10,8,2013,11,5,1
6,501,4,10,8,2013,4,50,1
5,4341,2,9,8,2013,9,16,1
4,1098,2,8,8,2013,7,16,1
3,3782,9,7,8,2013,23,45,1
2,1091,10,6,8,2013,15,0,1
2,2398,2,6,8,2013,10,38,1
2,9636,2,6,8,2013,10,22,1
1,2534,4,5,8,2013,8,36,1
1,1662,4,5,8,2013,5,22,1
7,1202,6,28,7,2013,17,24,1
7,2722,1,28,7,2013,12,22,1
7,2420,8,28,7,2013,2,10,1
6,1345,1,27,7,2013,13,0,1
6,2910,1,27,7,2013,10,0,1
5,6173,8,26,7,2013,0,1,1
4,9678,6,25,7,2013,18,0,1
4,11254,2,25,7,2013,7,0,1
4,11254,2,25,7,2013,6,45,1
3,10236,6,24,7,2013,8,16,1
1,2153,2,22,7,2013,2,4,1
7,3003,9,14,7,2013,17,21,1
7,9875,7,14,7,2013,8,15,1
7,1483,8,14,7,2013,3,35,1
6,823,2,13,7,2013,18,2,1
6,1135,4,13,7,2013,2,35,1
4,4451,3,11,7,2013,11,22,1
4,5483,10,11,7,2013,6,40,1
3,3708,4,10,7,2013,16,30,1
3,1091,10,10,7,2013,5,56,1
2,4298,10,9,7,2013,5,58,1
1,704,2,8,7,2013,0,1,1
7,3396,10,30,6,2013,17,41,1
7,2265,4,30,6,2013,17,19,1
7,765,3,30,6,2013,11,14,1
6,2811,1,29,6,2013,0,1,1
5,10696,8,28,6,2013,21,55,1
1,4052,4,24,6,2013,18,46,1
1,237,4,24,6,2013,1,45,1
7,8017,7,16,6,2013,22,45,1
7,144,4,16,6,2013,11,45,1
6,870,4,15,6,2013,18,3,1
6,1584,5,15,6,2013,2,5,1
3,138,10,12,6,2013,7,31,1
2,7838,4,11,6,2013,5,0,1
1,11009,8,10,6,2013,19,3,1
1,1255,6,10,6,2013,17,0,1
7,2265,4,2,6,2013,15,56,1
6,1213,4,1,6,2013,18,4,1
5,870,4,31,5,2013,22,49,1
2,259,5,28,5,2013,21,15,1
2,1656,4,28,5,2013,0,1,1
1,5971,4,27,5,2013,22,45,1
7,9849,6,19,5,2013,14,30,1
7,957,2,19,5,2013,2,0,1
6,355,2,18,5,2013,15,28,1
6,1236,4,18,5,2013,2,0,1
5,4378,2,17,5,2013,1,10,1
4,870,4,16,5,2013,23,45,1
2,8852,1,14,5,2013,16,33,1
7,6616,8,5,5,2013,18,9,1
7,5941,4,5,5,2013,8,55,1
7,1224,1,5,5,2013,2,14,1
3,15092,9,1,5,2013,9,10,1
2,6156,1,30,4,2013,16,39,1
2,2948,4,30,4,2013,15,33,1
2,408,2,30,4,2013,14,59,1
2,16115,3,30,4,2013,6,50,1
6,4947,2,20,4,2013,10,20,1
6,9163,9,20,4,2013,0,1,1
5,11009,8,19,4,2013,22,15,1
3,5211,3,17,4,2013,0,1,1
2,3619,2,16,4,2013,10,17,1
2,58,10,16,4,2013,9,50,1
2,831,4,16,4,2013,1,41,1
7,5276,4,7,4,2013,0,22,1
6,5156,4,6,4,2013,2,25,1
5,899,4,5,4,2013,21,55,1
5,1254,2,5,4,2013,20,30,1
4,867,1,4,4,2013,11,45,1
3,8046,3,3,4,2013,7,25,1
2,4142,6,2,4,2013,22,24,1
2,673,10,2,4,2013,14,45,1
2,2428,5,2,4,2013,8,48,1
1,2814,4,1,4,2013,23,0,1
1,8529,4,1,4,2013,1,11,1
1,8529,4,1,4,2013,0,40,1
7,1656,4,24,3,2013,23,21,1
6,501,4,23,3,2013,23,40,1
6,831,4,23,3,2013,1,58,1
6,831,4,23,3,2013,0,44,1
5,1236,4,22,3,2013,1,0,1
1,16335,6,18,3,2013,11,30,1
7,8698,8,10,3,2013,18,20,1
5,3066,4,8,3,2013,21,32,1
5,435,10,8,3,2013,5,15,1
4,4727,7,7,3,2013,11,40,1
4,1955,9,7,3,2013,8,30,1
3,1220,10,6,3,2013,6,40,1
3,70,10,6,3,2013,5,45,1
2,125,2,5,3,2013,11,9,1
2,157,10,5,3,2013,6,46,1
2,4627,8,5,3,2013,6,40,1
2,3394,5,5,3,2013,6,31,1
2,8227,1,5,3,2013,2,10,1
1,407,5,4,3,2013,9,7,1
7,6420,2,24,2,2013,8,30,1
7,10833,7,24,2,2013,1,31,1
7,832,4,24,2,2013,1,15,1
7,6639,4,24,2,2013,0,45,1
6,4832,4,23,2,2013,23,0,1
5,185,2,22,2,2013,13,42,1
5,4531,4,22,2,2013,1,30,1
4,4537,1,21,2,2013,23,50,1
4,3773,3,21,2,2013,18,0,1
4,3394,5,21,2,2013,6,3,1
4,7668,4,21,2,2013,2,35,1
3,1220,10,20,2,2013,13,0,1
3,672,1,20,2,2013,12,0,1
3,1091,10,20,2,2013,6,14,1
2,618,2,19,2,2013,13,30,1
2,5067,4,19,2,2013,12,0,1
2,653,10,19,2,2013,6,45,1
2,1220,10,19,2,2013,6,32,1
2,157,10,19,2,2013,6,21,1
2,1567,5,19,2,2013,6,9,1
2,6302,4,19,2,2013,3,41,1
1,1662,4,18,2,2013,23,20,1
1,1459,5,18,2,2013,6,0,1
7,2945,3,10,2,2013,19,0,1
3,355,2,6,2,2013,17,39,1
3,772,10,6,2,2013,10,2,1
2,831,4,5,2,2013,23,30,1
2,3394,5,5,2,2013,7,28,1
2,1245,10,5,2,2013,7,14,1
1,744,10,4,2,2013,6,35,1
1,1091,10,4,2,2013,6,16,1
7,2090,1,27,1,2013,14,0,1
6,2718,6,26,1,2013,15,37,1
6,2616,1,26,1,2013,8,35,1
5,8219,5,25,1,2013,18,20,1
4,157,10,24,1,2013,6,28,1
3,2041,10,23,1,2013,6,52,1
3,1567,5,23,1,2013,6,47,1
2,2041,10,22,1,2013,6,53,1
2,3131,10,22,1,2013,6,25,1
5,131,1,11,1,2013,10,30,1
4,238,2,10,1,2013,23,11,1
4,8119,8,10,1,2013,18,30,1
4,1699,7,10,1,2013,15,45,1
3,2680,4,9,1,2013,22,30,1
3,125,2,9,1,2013,11,22,1
3,2041,10,9,1,2013,6,4,1
2,12288,6,8,1,2013,8,45,1
2,1567,5,8,1,2013,6,50,1
2,3725,10,8,1,2013,5,45,1
2,727,4,8,1,2013,0,28,1
1,3725,10,7,1,2013,5,53,1
6,1752,3,29,12,2012,13,0,1
6,8529,4,29,12,2012,2,47,1
5,899,4,28,12,2012,23,45,1
5,784,2,28,12,2012,22,50,1
5,784,2,28,12,2012,22,37,1
5,5820,4,28,12,2012,3,19,1
5,1662,4,28,12,2012,0,22,1
4,1662,4,27,12,2012,22,30,1
4,1650,3,27,12,2012,18,44,1
4,5483,10,27,12,2012,6,0,1
4,5483,10,27,12,2012,5,59,1
3,1091,10,26,12,2012,6,15,1
3,38,10,26,12,2012,5,49,1
6,7423,1,15,12,2012,2,31,1
5,1172,4,14,12,2012,0,47,1
4,899,4,13,12,2012,23,59,1
4,3725,10,13,12,2012,9,24,1
4,821,10,13,12,2012,8,55,1
4,653,10,13,12,2012,8,27,1
4,2041,10,13,12,2012,5,58,1
2,157,10,11,12,2012,7,2,1
2,1091,10,11,12,2012,6,7,1
2,2041,10,11,12,2012,5,48,1
1,1091,10,10,12,2012,7,40,1
1,38,10,10,12,2012,7,9,1
7,1156,8,2,12,2012,15,55,1
7,501,4,2,12,2012,12,15,1
6,2357,4,1,12,2012,15,57,1
6,7378,8,1,12,2012,7,40,1
5,3382,6,30,11,2012,20,1,1
5,501,4,30,11,2012,13,30,1
4,157,10,29,11,2012,6,38,1
4,1245,10,29,11,2012,5,50,1
3,157,10,28,11,2012,6,50,1
3,1091,10,28,11,2012,5,53,1
3,831,4,28,11,2012,1,20,1
2,3395,8,27,11,2012,17,43,1
2,3725,10,27,11,2012,8,37,1
1,1099,2,26,11,2012,11,30,1
1,7397,4,26,11,2012,0,42,1
7,15089,8,18,11,2012,19,30,1
7,15089,8,18,11,2012,19,30,1
7,907,6,18,11,2012,18,50,1
7,10240,5,18,11,2012,9,35,1
6,6226,6,17,11,2012,23,29,1
6,8947,2,17,11,2012,22,18,1
5,13575,9,16,11,2012,0,47,1
4,1012,4,15,11,2012,14,20,1
3,259,5,14,11,2012,22,22,1
2,385,3,13,11,2012,18,15,1
2,501,4,13,11,2012,8,0,1
2,366,10,13,11,2012,5,55,1
2,831,4,13,11,2012,5,11,1
1,8039,4,12,11,2012,2,50,1
7,6525,2,4,11,2012,1,40,1
6,729,4,3,11,2012,23,50,1
6,729,4,3,11,2012,23,50,1
6,4220,1,3,11,2012,22,5,1
6,11845,8,3,11,2012,17,8,1
5,9207,6,2,11,2012,2,30,1
5,899,4,2,11,2012,2,4,1
4,14214,4,1,11,2012,16,45,1
1,772,10,29,10,2012,7,30,1
7,3735,2,21,10,2012,23,50,1
6,7486,1,20,10,2012,12,0,1
5,2154,9,19,10,2012,16,0,1
5,937,1,19,10,2012,14,40,1
5,468,2,19,10,2012,6,5,1
4,5156,4,18,10,2012,1,30,1
4,4531,4,18,10,2012,1,7,1
3,744,10,17,10,2012,7,55,1
3,1091,10,17,10,2012,6,31,1
3,5819,4,17,10,2012,4,49,1
2,13899,5,16,10,2012,8,20,1
2,939,5,16,10,2012,6,50,1
1,5853,1,15,10,2012,8,0,1
1,157,10,15,10,2012,7,4,1
1,908,10,15,10,2012,6,39,1
1,4140,10,15,10,2012,5,48,1
7,1428,3,7,10,2012,16,7,1
7,125,2,7,10,2012,3,43,1
6,17153,8,6,10,2012,12,35,1
5,2693,1,5,10,2012,14,0,1
5,5994,5,5,10,2012,13,14,1
4,10732,8,4,10,2012,8,20,1
3,3196,9,3,10,2012,8,20,1
3,3394,5,3,10,2012,6,12,1
2,1255,6,2,10,2012,22,25,1
2,157,10,2,10,2012,6,43,1
2,38,10,2,10,2012,5,50,1
1,102,10,1,10,2012,7,11,1
1,1567,5,1,10,2012,6,52,1
1,3394,5,1,10,2012,6,30,1
1,5483,10,1,10,2012,6,11,1
1,8039,4,1,10,2012,3,46,1
1,10608,4,1,10,2012,2,3,1
7,1656,4,23,9,2012,3,21,1
7,1224,1,23,9,2012,0,59,1
5,15156,5,21,9,2012,7,45,1
3,870,4,19,9,2012,19,20,1
3,653,10,19,9,2012,7,41,1
3,5483,10,19,9,2012,6,1,1
2,157,10,18,9,2012,6,40,1
2,138,10,18,9,2012,6,7,1
2,5483,10,18,9,2012,5,47,1
1,1255,6,17,9,2012,16,15,1
1,3148,5,17,9,2012,12,0,1
1,1862,5,17,9,2012,11,0,1
1,548,10,17,9,2012,6,24,1
1,102,10,17,9,2012,6,8,1
1,5483,10,17,9,2012,5,50,1
7,11009,8,9,9,2012,12,35,1
6,5220,5,8,9,2012,14,5,1
5,156,2,7,9,2012,17,0,1
5,8223,2,7,9,2012,11,31,1
5,13715,4,7,9,2012,1,0,1
3,5483,10,5,9,2012,7,19,1
2,1567,5,4,9,2012,13,0,1
2,157,10,4,9,2012,13,0,1
2,366,10,4,9,2012,7,27,1
1,12518,1,3,9,2012,15,0,1
7,4125,4,26,8,2012,21,24,1
6,939,5,25,8,2012,12,54,1
5,6376,3,24,8,2012,8,15,1
5,501,4,24,8,2012,7,35,1
4,6035,3,23,8,2012,8,0,1
3,8223,2,22,8,2012,17,5,1
3,2883,5,22,8,2012,8,50,1
2,1567,5,21,8,2012,13,0,1
2,138,10,21,8,2012,13,0,1
2,70,10,21,8,2012,7,19,1
2,70,10,21,8,2012,7,6,1
2,15089,8,21,8,2012,1,49,1
1,4571,10,20,8,2012,6,17,1
1,3881,4,20,8,2012,1,17,1
6,146,10,11,8,2012,17,27,1
5,1445,1,10,8,2012,9,15,1
5,977,1,10,8,2012,8,25,1
4,5483,10,9,8,2012,13,0,1
3,408,2,8,8,2012,10,27,1
2,2046,2,7,8,2012,22,35,1
2,744,10,7,8,2012,5,51,1
1,1567,5,6,8,2012,13,0,1
1,1567,5,6,8,2012,5,51,1
6,125,2,28,7,2012,2,0,1
5,15937,2,27,7,2012,12,30,1
5,2811,1,27,7,2012,10,46,1
4,222,5,26,7,2012,15,17,1
3,11099,1,25,7,2012,7,50,1
3,1567,5,25,7,2012,5,49,1
2,3854,4,24,7,2012,23,15,1
2,125,2,24,7,2012,18,31,1
2,125,2,24,7,2012,18,31,1
2,3394,5,24,7,2012,5,53,1
1,6667,8,23,7,2012,22,0,1
1,125,2,23,7,2012,6,39,1
1,1567,5,23,7,2012,5,57,1
1,908,10,23,7,2012,5,44,1
7,64,4,15,7,2012,15,22,1
7,263,1,15,7,2012,12,11,1
6,10587,1,14,7,2012,15,42,1
4,653,10,12,7,2012,13,0,1
3,361,2,11,7,2012,19,45,1
3,3394,5,11,7,2012,13,0,1
3,1567,5,11,7,2012,6,0,1
2,499,2,10,7,2012,14,2,1
2,772,10,10,7,2012,9,10,1
2,1220,10,10,7,2012,8,10,1
1,6086,1,9,7,2012,23,24,1
1,5016,5,9,7,2012,10,20,1
1,1823,1,9,7,2012,8,48,1
1,1396,5,9,7,2012,7,8,1
1,772,10,9,7,2012,6,41,1
1,3394,5,9,7,2012,6,8,1
5,939,5,29,6,2012,7,23,1
4,2717,5,28,6,2012,9,15,1
1,16165,8,25,6,2012,19,54,1
7,2391,2,17,6,2012,1,41,1
6,6036,1,16,6,2012,16,0,1
6,300,5,16,6,2012,2,45,1
5,349,2,15,6,2012,9,29,1
5,2398,2,15,6,2012,7,16,1
4,2398,2,14,6,2012,7,18,1
4,1662,4,14,6,2012,6,44,1
3,157,10,13,6,2012,6,35,1
2,44,6,12,6,2012,23,6,1
2,4364,1,12,6,2012,19,30,1
2,157,10,12,6,2012,6,19,1
2,3394,5,12,6,2012,5,40,1
1,3394,5,11,6,2012,5,44,1
1,2252,2,11,6,2012,3,40,1
5,9163,9,1,6,2012,23,30,1
5,468,2,1,6,2012,11,56,1
4,208,1,31,5,2012,22,2,1
4,125,2,31,5,2012,16,45,1
3,2398,2,30,5,2012,18,0,1
3,237,4,30,5,2012,17,57,1
3,237,4,30,5,2012,17,57,1
3,1091,10,30,5,2012,6,48,1
3,17675,10,30,5,2012,6,26,1
3,157,10,30,5,2012,6,14,1
3,3394,5,30,5,2012,5,55,1
2,952,2,29,5,2012,8,15,1
2,5483,10,29,5,2012,6,29,1
2,5483,10,29,5,2012,6,14,1
2,1567,5,29,5,2012,5,44,1
1,1567,5,28,5,2012,6,17,1
1,157,10,28,5,2012,5,56,1
7,11009,8,20,5,2012,11,40,1
4,3053,1,17,5,2012,14,45,1
4,2398,2,17,5,2012,12,34,1
3,5820,4,16,5,2012,23,0,1
3,1567,5,16,5,2012,6,10,1
3,157,10,16,5,2012,5,47,1
3,1431,10,16,5,2012,0,30,1
2,3394,5,15,5,2012,6,22,1
2,157,10,15,5,2012,5,45,1
1,220,4,14,5,2012,22,9,1
1,3180,10,14,5,2012,8,50,1
1,1656,4,14,5,2012,2,10,1
6,357,4,5,5,2012,10,0,1
5,3951,7,4,5,2012,16,45,1
4,146,10,3,5,2012,11,0,1
4,1275,10,3,5,2012,6,56,1
4,157,10,3,5,2012,5,47,1
3,157,10,2,5,2012,5,49,1
2,3394,5,1,5,2012,13,0,1
2,4571,10,1,5,2012,6,20,1
2,157,10,1,5,2012,6,7,1
2,157,10,1,5,2012,5,42,1
2,8525,9,1,5,2012,0,1,1
1,3716,3,30,4,2012,13,0,1
1,3394,5,30,4,2012,6,19,1
1,157,10,30,4,2012,6,6,1
1,1567,5,30,4,2012,5,52,1
6,13979,6,21,4,2012,18,0,1
6,1656,4,21,4,2012,3,30,1
6,4818,9,21,4,2012,0,1,1
5,1172,4,20,4,2012,23,30,1
5,4179,6,20,4,2012,15,0,1
5,1179,5,20,4,2012,12,6,1
4,2987,10,19,4,2012,13,0,1
4,2706,10,19,4,2012,5,43,1
3,527,4,18,4,2012,23,45,1
3,7249,4,18,4,2012,19,47,1
3,1202,6,18,4,2012,16,29,1
3,1091,10,18,4,2012,13,0,1
3,6867,2,18,4,2012,7,37,1
3,772,10,18,4,2012,6,3,1
2,125,2,17,4,2012,13,0,1
2,1091,10,17,4,2012,13,0,1
2,1220,10,17,4,2012,13,0,1
2,744,10,17,4,2012,6,53,1
2,1091,10,17,4,2012,5,41,1
2,1751,6,17,4,2012,4,30,1
