"day","address","location","date","month","year","hour","min","SECONDARYCODES"
3,223,10,18,3,2015,15,0,1
3,4841,9,18,3,2015,13,15,1
3,1786,8,18,3,2015,10,30,1
3,1080,8,18,3,2015,2,30,1
3,4877,9,18,3,2015,2,11,1
2,4403,7,17,3,2015,20,30,1
2,1576,4,17,3,2015,12,55,1
2,3007,8,17,3,2015,12,0,1
2,4976,9,17,3,2015,9,0,1
2,4995,9,17,3,2015,1,30,1
2,4995,9,17,3,2015,1,0,1
2,4999,8,17,3,2015,0,35,1
1,2725,4,16,3,2015,21,0,1
1,2330,4,16,3,2015,19,4,1
1,4657,4,16,3,2015,15,0,1
7,1460,3,8,3,2015,18,20,1
7,5154,3,8,3,2015,17,28,1
7,5155,9,8,3,2015,17,1,1
7,5099,6,8,3,2015,11,0,1
7,3066,4,8,3,2015,10,0,1
7,5206,5,8,3,2015,7,40,1
7,137,8,8,3,2015,4,0,1
7,3796,3,8,3,2015,0,30,1
6,148,5,7,3,2015,20,0,1
6,907,6,7,3,2015,4,30,1
6,5326,9,7,3,2015,3,10,1
6,77,10,7,3,2015,0,1,1
5,5357,9,6,3,2015,22,10,1
5,3054,1,6,3,2015,16,35,1
5,468,2,6,3,2015,16,12,1
5,2265,4,6,3,2015,15,9,1
5,5409,9,6,3,2015,15,0,1
5,1595,9,6,3,2015,13,43,1
5,1631,9,6,3,2015,12,52,1
5,853,2,6,3,2015,11,0,1
5,2393,8,6,3,2015,9,0,1
5,438,6,6,3,2015,7,0,1
5,1347,8,6,3,2015,6,0,1
5,5280,4,6,3,2015,6,0,1
4,657,8,5,3,2015,23,0,1
4,5481,4,5,3,2015,21,45,1
4,3842,1,5,3,2015,20,25,1
4,5486,3,5,3,2015,20,10,1
4,4801,5,5,3,2015,18,5,1
4,772,10,5,3,2015,18,0,1
4,146,10,5,3,2015,14,28,1
4,4603,5,5,3,2015,11,16,1
4,1792,2,5,3,2015,8,30,1
4,220,4,5,3,2015,5,0,1
4,5539,9,5,3,2015,2,45,1
4,2342,5,5,3,2015,0,1,1
3,5554,2,4,3,2015,22,0,1
3,323,9,4,3,2015,14,0,1
3,5649,3,4,3,2015,0,5,1
3,4468,8,4,3,2015,0,1,1
2,92,1,3,3,2015,21,20,1
2,4442,3,3,3,2015,17,14,1
2,4745,8,3,3,2015,16,0,1
2,5706,9,3,3,2015,15,52,1
2,1808,9,3,3,2015,14,10,1
2,4995,9,3,3,2015,6,10,1
2,146,10,3,3,2015,0,42,1
1,1957,8,2,3,2015,23,41,1
1,2233,6,2,3,2015,23,25,1
1,5766,6,2,3,2015,20,52,1
1,959,10,2,3,2015,20,0,1
1,5785,4,2,3,2015,19,24,1
1,654,1,2,3,2015,17,44,1
1,5800,8,2,3,2015,17,0,1
1,70,10,2,3,2015,12,0,1
1,5826,1,2,3,2015,10,20,1
7,4575,3,22,2,2015,21,29,1
7,5862,6,22,2,2015,21,0,1
7,125,2,22,2,2015,20,5,1
7,5889,8,22,2,2015,17,19,1
7,256,2,22,2,2015,13,0,1
7,887,7,22,2,2015,12,30,1
7,115,8,22,2,2015,10,15,1
7,5572,9,22,2,2015,4,51,1
7,1519,1,22,2,2015,0,15,1
6,1347,8,21,2,2015,22,45,1
6,1914,10,21,2,2015,21,18,1
6,6000,5,21,2,2015,17,55,1
6,323,9,21,2,2015,16,0,1
6,125,2,21,2,2015,14,30,1
6,993,3,21,2,2015,13,44,1
6,2328,5,21,2,2015,12,59,1
6,6043,9,21,2,2015,10,0,1
6,4319,4,21,2,2015,9,30,1
6,3001,1,21,2,2015,0,4,1
5,550,3,20,2,2015,23,15,1
5,6084,3,20,2,2015,22,3,1
5,408,2,20,2,2015,12,20,1
5,6183,2,20,2,2015,0,1,1
4,6213,3,19,2,2015,18,45,1
4,600,3,19,2,2015,17,0,1
4,653,10,19,2,2015,10,0,1
4,2143,8,19,2,2015,3,43,1
3,682,10,18,2,2015,22,30,1
3,1932,2,18,2,2015,18,0,1
3,1176,8,18,2,2015,17,55,1
3,872,2,18,2,2015,15,38,1
3,2535,4,18,2,2015,15,10,1
3,960,9,18,2,2015,15,0,1
3,6333,3,18,2,2015,13,30,1
3,1351,8,18,2,2015,11,7,1
3,5785,4,18,2,2015,6,45,1
3,427,2,18,2,2015,2,0,1
2,782,5,17,2,2015,21,30,1
2,2951,8,17,2,2015,21,4,1
2,374,8,17,2,2015,20,29,1
2,6409,5,17,2,2015,15,45,1
2,4870,8,17,2,2015,15,30,1
2,2060,4,17,2,2015,11,30,1
2,779,2,17,2,2015,9,0,1
2,6451,8,17,2,2015,3,30,1
2,2041,10,17,2,2015,0,25,1
2,979,4,17,2,2015,0,1,1
1,2620,5,16,2,2015,15,10,1
1,5397,8,16,2,2015,13,25,1
1,349,2,16,2,2015,13,0,1
1,2854,8,16,2,2015,9,50,1
7,1004,1,8,2,2015,23,0,1
7,1220,10,8,2,2015,21,2,1
7,2365,5,8,2,2015,20,17,1
7,198,1,8,2,2015,20,9,1
7,1342,9,8,2,2015,9,0,1
7,560,8,8,2,2015,1,20,1
6,511,4,7,2,2015,23,30,1
6,1074,3,7,2,2015,11,5,1
6,4512,6,7,2,2015,10,55,1
5,1334,3,6,2,2015,18,37,1
5,4841,9,6,2,2015,14,45,1
5,6773,7,6,2,2015,7,0,1
4,2041,10,5,2,2015,17,25,1
4,1361,5,5,2,2015,16,30,1
4,221,8,5,2,2015,12,0,1
4,6837,5,5,2,2015,11,38,1
4,491,3,5,2,2015,7,0,1
4,2328,5,5,2,2015,6,30,1
4,6557,6,5,2,2015,3,15,1
3,374,8,4,2,2015,22,7,1
3,1403,4,4,2,2015,18,50,1
3,2848,2,4,2,2015,15,45,1
3,6939,8,4,2,2015,8,53,1
3,4888,3,4,2,2015,5,55,1
2,720,5,3,2,2015,18,30,1
2,6989,3,3,2,2015,17,0,1
2,1786,8,3,2,2015,14,30,1
2,111,10,3,2,2015,14,13,1
2,7004,1,3,2,2015,13,15,1
2,756,3,3,2,2015,11,25,1
2,3936,8,3,2,2015,9,0,1
2,7024,8,3,2,2015,8,11,1
1,5491,3,2,2,2015,22,46,1
1,1431,10,2,2,2015,20,20,1
1,7061,8,2,2,2015,20,0,1
1,7076,8,2,2,2015,18,15,1
1,2620,5,2,2,2015,16,0,1
1,1226,4,2,2,2015,15,50,1
1,1284,4,2,2,2015,14,30,1
1,2868,7,2,2,2015,12,0,1
1,125,2,2,2,2015,11,0,1
1,1460,3,2,2,2015,10,0,1
1,7112,9,2,2,2015,9,36,1
1,1955,9,2,2,2015,7,50,1
1,146,10,2,2,2015,0,20,1
1,872,2,2,2,2015,0,1,1
7,2400,10,25,1,2015,21,24,1
7,7144,1,25,1,2015,20,54,1
7,3654,8,25,1,2015,18,26,1
7,7169,4,25,1,2015,14,41,1
6,870,4,24,1,2015,17,26,1
6,133,3,24,1,2015,16,31,1
6,5305,7,24,1,2015,2,45,1
6,125,2,24,1,2015,2,29,1
5,125,2,23,1,2015,22,15,1
5,125,2,23,1,2015,22,5,1
5,213,4,23,1,2015,20,19,1
5,166,10,23,1,2015,18,42,1
5,1506,7,23,1,2015,15,36,1
5,92,1,23,1,2015,11,45,1
5,829,1,23,1,2015,4,0,1
4,657,8,22,1,2015,23,58,1
4,628,8,22,1,2015,22,46,1
4,213,4,22,1,2015,14,9,1
4,5744,8,22,1,2015,13,41,1
4,1653,3,22,1,2015,7,41,1
4,5537,7,22,1,2015,4,21,1
3,2891,5,21,1,2015,22,44,1
3,1808,9,21,1,2015,14,10,1
3,7463,9,21,1,2015,12,39,1
3,1016,4,21,1,2015,11,43,1
3,7472,8,21,1,2015,9,24,1
3,232,4,21,1,2015,5,10,1
2,3242,3,20,1,2015,23,35,1
2,220,4,20,1,2015,16,47,1
2,4958,8,20,1,2015,14,35,1
2,5160,7,20,1,2015,10,0,1
2,213,4,20,1,2015,8,0,1
2,4576,6,20,1,2015,7,30,1
1,3474,3,19,1,2015,18,45,1
1,39,3,19,1,2015,16,50,1
1,125,2,19,1,2015,16,0,1
1,495,7,19,1,2015,13,0,1
1,823,2,19,1,2015,13,0,1
1,2854,8,19,1,2015,11,0,1
1,6406,2,19,1,2015,8,0,1
7,7524,5,11,1,2015,20,25,1
7,1150,2,11,1,2015,16,31,1
7,7663,8,11,1,2015,16,11,1
7,125,2,11,1,2015,15,50,1
7,125,2,11,1,2015,15,50,1
7,146,10,11,1,2015,13,15,1
7,7672,8,11,1,2015,13,14,1
7,208,1,11,1,2015,8,0,1
6,158,2,10,1,2015,19,6,1
6,2074,5,10,1,2015,15,24,1
6,853,2,10,1,2015,15,8,1
6,6115,3,10,1,2015,15,5,1
6,627,3,10,1,2015,14,15,1
6,7732,4,10,1,2015,13,53,1
6,363,2,10,1,2015,12,3,1
6,1449,1,10,1,2015,9,42,1
6,656,9,10,1,2015,5,0,1
6,3903,8,10,1,2015,4,38,1
5,3483,4,9,1,2015,21,0,1
5,38,10,9,1,2015,16,21,1
5,3708,4,9,1,2015,15,54,1
5,126,8,9,1,2015,15,0,1
5,3611,3,9,1,2015,8,0,1
4,7846,3,8,1,2015,20,0,1
4,7846,3,8,1,2015,20,0,1
4,4478,4,8,1,2015,17,30,1
4,7617,7,8,1,2015,8,40,1
3,146,10,7,1,2015,23,35,1
3,57,9,7,1,2015,7,18,1
3,2225,5,7,1,2015,2,30,1
2,7975,2,6,1,2015,22,45,1
2,628,8,6,1,2015,21,34,1
2,7992,2,6,1,2015,19,36,1
2,979,4,6,1,2015,18,56,1
2,4478,4,6,1,2015,11,0,1
1,3773,3,5,1,2015,18,47,1
1,323,9,5,1,2015,15,46,1
1,3548,3,5,1,2015,15,6,1
1,8078,7,5,1,2015,13,0,1
1,1645,9,5,1,2015,10,30,1
1,4400,1,5,1,2015,6,30,1
1,8110,8,5,1,2015,1,18,1
1,430,1,5,1,2015,1,18,1
1,478,1,5,1,2015,0,28,1
7,2265,4,28,12,2014,19,24,1
7,1156,8,28,12,2014,10,20,1
7,22,10,28,12,2014,2,2,1
7,8156,4,28,12,2014,1,45,1
6,118,2,27,12,2014,23,10,1
6,2648,3,27,12,2014,18,18,1
6,4298,10,27,12,2014,18,0,1
6,125,2,27,12,2014,13,42,1
6,2862,10,27,12,2014,13,0,1
6,6240,3,27,12,2014,10,45,1
6,2097,3,27,12,2014,1,48,1
5,8226,9,26,12,2014,21,30,1
5,517,2,26,12,2014,12,0,1
5,2974,9,26,12,2014,9,30,1
4,3469,9,25,12,2014,23,22,1
3,5121,5,24,12,2014,20,35,1
3,1004,1,24,12,2014,16,13,1
3,3016,9,24,12,2014,14,50,1
3,484,2,24,12,2014,12,4,1
2,548,10,23,12,2014,21,30,1
2,77,10,23,12,2014,18,30,1
2,2483,1,23,12,2014,17,50,1
1,8454,3,22,12,2014,23,0,1
1,7415,4,22,12,2014,15,47,1
1,8495,7,22,12,2014,10,56,1
7,8483,1,14,12,2014,21,34,1
6,6736,7,13,12,2014,10,25,1
6,1732,3,13,12,2014,10,15,1
6,8600,8,13,12,2014,9,0,1
6,4291,8,13,12,2014,3,0,1
6,8614,8,13,12,2014,1,36,1
6,356,3,13,12,2014,1,0,1
5,4888,3,12,12,2014,23,40,1
5,643,4,12,12,2014,15,39,1
5,8663,8,12,12,2014,12,0,1
4,2601,3,11,12,2014,22,40,1
4,5793,6,11,12,2014,18,32,1
4,2702,6,11,12,2014,17,45,1
4,2616,1,11,12,2014,12,0,1
4,1144,6,11,12,2014,10,40,1
4,8344,7,11,12,2014,9,30,1
4,7850,3,11,12,2014,6,0,1
3,3198,8,10,12,2014,22,15,1
3,3153,6,10,12,2014,19,39,1
3,4545,8,10,12,2014,19,10,1
3,8741,7,10,12,2014,18,24,1
3,1461,3,10,12,2014,8,45,1
3,8780,9,10,12,2014,7,40,1
2,2790,3,9,12,2014,19,40,1
2,119,6,9,12,2014,16,21,1
2,2091,2,9,12,2014,13,55,1
2,125,2,9,12,2014,13,8,1
2,2143,8,9,12,2014,10,30,1
2,1383,7,9,12,2014,10,0,1
2,853,2,9,12,2014,9,45,1
2,125,2,9,12,2014,9,10,1
1,2262,2,8,12,2014,8,30,1
1,7535,4,8,12,2014,7,30,1
7,1090,4,30,11,2014,23,20,1
7,1942,2,30,11,2014,19,0,1
7,8915,3,30,11,2014,18,40,1
7,608,2,30,11,2014,18,40,1
7,213,4,30,11,2014,16,25,1
7,8928,9,30,11,2014,12,30,1
7,6317,6,30,11,2014,10,15,1
6,8955,8,29,11,2014,20,0,1
6,361,2,29,11,2014,16,50,1
6,13,3,29,11,2014,11,18,1
6,8987,7,29,11,2014,1,0,1
5,599,9,28,11,2014,20,0,1
5,599,9,28,11,2014,20,0,1
5,6459,8,28,11,2014,19,8,1
5,3548,3,28,11,2014,17,40,1
5,435,10,28,11,2014,8,25,1
5,2167,2,28,11,2014,5,0,1
4,9043,7,27,11,2014,21,37,1
4,619,8,27,11,2014,18,50,1
4,2899,8,27,11,2014,17,26,1
4,870,4,27,11,2014,17,20,1
4,2620,5,27,11,2014,15,45,1
4,9071,7,27,11,2014,11,0,1
4,3035,3,27,11,2014,0,47,1
2,4344,1,25,11,2014,18,45,1
2,2340,3,25,11,2014,18,0,1
1,1533,5,24,11,2014,23,45,1
1,6053,1,24,11,2014,21,10,1
1,656,9,24,11,2014,14,35,1
1,9238,9,24,11,2014,10,0,1
1,125,2,24,11,2014,9,45,1
1,4995,9,24,11,2014,7,57,1
7,9285,8,16,11,2014,13,0,1
7,1103,5,16,11,2014,0,1,1
6,9319,8,15,11,2014,19,0,1
6,1914,10,15,11,2014,18,19,1
6,408,2,15,11,2014,16,40,1
6,582,3,15,11,2014,16,0,1
6,6222,9,15,11,2014,15,0,1
6,5889,8,15,11,2014,3,0,1
5,5837,4,14,11,2014,20,0,1
5,4263,8,14,11,2014,12,50,1
5,8713,4,14,11,2014,6,32,1
4,1120,9,13,11,2014,18,30,1
4,1818,5,13,11,2014,17,51,1
4,366,10,13,11,2014,8,39,1
4,4880,2,13,11,2014,0,1,1
3,133,3,12,11,2014,23,45,1
3,5960,3,12,11,2014,23,40,1
3,2454,2,12,11,2014,20,30,1
3,9468,3,12,11,2014,19,35,1
3,1016,4,12,11,2014,11,30,1
2,83,2,11,11,2014,18,20,1
1,8255,7,10,11,2014,21,30,1
1,2454,2,10,11,2014,11,53,1
1,5145,8,10,11,2014,9,29,1
1,9588,6,10,11,2014,9,25,1
7,5987,3,2,11,2014,22,2,1
7,2085,5,2,11,2014,16,0,1
7,5611,3,2,11,2014,15,40,1
7,234,6,2,11,2014,14,55,1
7,9626,3,2,11,2014,14,2,1
7,3618,2,2,11,2014,12,25,1
7,9628,8,2,11,2014,12,21,1
7,9629,5,2,11,2014,12,0,1
7,1347,8,2,11,2014,0,50,1
6,4581,9,1,11,2014,21,30,1
6,5397,8,1,11,2014,18,39,1
6,1020,5,1,11,2014,17,15,1
6,9687,8,1,11,2014,12,0,1
6,6731,8,1,11,2014,4,0,1
6,2155,4,1,11,2014,3,0,1
6,6150,6,1,11,2014,0,1,1
5,6129,7,31,10,2014,22,15,1
5,256,2,31,10,2014,21,35,1
5,363,2,31,10,2014,14,53,1
5,125,2,31,10,2014,7,0,1
4,2382,1,30,10,2014,23,0,1
4,349,2,30,10,2014,22,0,1
4,146,10,30,10,2014,21,30,1
4,128,8,30,10,2014,8,0,1
4,2598,2,30,10,2014,2,33,1
4,2365,5,30,10,2014,0,1,1
3,7008,1,29,10,2014,22,0,1
3,7374,3,29,10,2014,17,0,1
3,7017,8,29,10,2014,9,17,1
3,4838,8,29,10,2014,2,10,1
3,9864,7,29,10,2014,1,0,1
3,1224,1,29,10,2014,0,12,1
2,2263,9,28,10,2014,21,50,1
2,9909,8,28,10,2014,10,19,1
2,5943,9,28,10,2014,2,0,1
1,3904,3,27,10,2014,19,48,1
1,2060,4,27,10,2014,15,0,1
1,5454,8,27,10,2014,0,1,1
7,4264,1,19,10,2014,22,30,1
7,2309,2,19,10,2014,21,15,1
7,4669,5,19,10,2014,21,0,1
7,9975,7,19,10,2014,17,40,1
6,298,9,18,10,2014,22,0,1
6,8379,3,18,10,2014,9,0,1
5,3862,1,17,10,2014,23,0,1
5,1808,9,17,10,2014,14,55,1
5,4717,5,17,10,2014,13,30,1
5,289,4,17,10,2014,9,30,1
4,2907,4,16,10,2014,22,0,1
4,222,5,16,10,2014,19,0,1
4,1107,2,16,10,2014,16,30,1
4,4312,7,16,10,2014,16,0,1
4,1786,8,16,10,2014,15,30,1
4,1772,2,16,10,2014,15,25,1
4,5077,9,16,10,2014,12,0,1
3,976,4,15,10,2014,22,12,1
3,4841,9,15,10,2014,14,45,1
3,4366,7,15,10,2014,9,0,1
3,3898,2,15,10,2014,6,0,1
2,2868,7,14,10,2014,22,40,1
2,1895,3,14,10,2014,21,11,1
2,10206,9,14,10,2014,20,45,1
2,2478,8,14,10,2014,18,9,1
2,10220,9,14,10,2014,18,0,1
2,125,2,14,10,2014,9,30,1
2,600,3,14,10,2014,7,30,1
1,6076,8,13,10,2014,21,47,1
1,7160,3,13,10,2014,16,13,1
1,125,2,13,10,2014,15,0,1
1,6130,9,13,10,2014,14,50,1
7,3914,8,5,10,2014,21,37,1
7,2330,4,5,10,2014,21,21,1
7,146,10,5,10,2014,21,0,1
7,10306,9,5,10,2014,18,45,1
7,10311,6,5,10,2014,16,5,1
7,232,4,5,10,2014,13,26,1
7,3900,5,5,10,2014,6,44,1
7,386,2,5,10,2014,2,20,1
6,6303,5,4,10,2014,23,45,1
6,5211,3,4,10,2014,19,51,1
6,512,8,4,10,2014,16,0,1
6,3489,1,4,10,2014,12,25,1
6,10389,7,4,10,2014,10,30,1
6,10397,9,4,10,2014,8,0,1
6,10398,8,4,10,2014,7,10,1
6,2945,3,4,10,2014,2,30,1
6,7567,8,4,10,2014,0,25,1
5,2060,4,3,10,2014,17,0,1
5,146,10,3,10,2014,7,8,1
4,870,4,2,10,2014,20,45,1
4,1588,9,2,10,2014,10,0,1
4,2868,7,2,10,2014,9,45,1
4,119,6,2,10,2014,9,11,1
4,823,2,2,10,2014,5,0,1
4,277,10,2,10,2014,5,0,1
4,1869,8,2,10,2014,1,30,1
3,3211,3,1,10,2014,21,35,1
3,10511,9,1,10,2014,16,0,1
3,10423,6,1,10,2014,12,0,1
3,277,10,1,10,2014,3,50,1
3,1144,6,1,10,2014,2,0,1
2,1850,4,30,9,2014,15,40,1
2,125,2,30,9,2014,11,44,1
2,10300,9,30,9,2014,10,28,1
2,4841,9,30,9,2014,10,11,1
1,4626,9,29,9,2014,21,18,1
1,6725,9,29,9,2014,19,39,1
1,5680,8,29,9,2014,18,30,1
1,621,3,29,9,2014,14,40,1
1,656,9,29,9,2014,12,32,1
1,10602,1,29,9,2014,9,0,1
1,296,8,29,9,2014,0,1,1
7,826,4,21,9,2014,23,25,1
7,6915,7,21,9,2014,21,45,1
7,10635,3,21,9,2014,18,0,1
7,3577,6,21,9,2014,2,0,1
6,125,2,20,9,2014,0,1,1
5,5532,3,19,9,2014,22,40,1
5,935,1,19,9,2014,14,0,1
5,10738,9,19,9,2014,10,30,1
5,10749,8,19,9,2014,0,15,1
5,1119,2,19,9,2014,0,5,1
4,3694,8,18,9,2014,18,0,1
4,1958,3,18,9,2014,16,23,1
3,146,10,17,9,2014,22,5,1
3,4705,5,17,9,2014,22,0,1
3,402,4,17,9,2014,20,5,1
3,1154,9,17,9,2014,16,45,1
3,511,4,17,9,2014,10,40,1
3,5398,1,17,9,2014,7,55,1
3,4053,9,17,9,2014,4,0,1
3,6020,2,17,9,2014,4,0,1
3,4768,1,17,9,2014,0,20,1
2,10814,7,16,9,2014,23,45,1
2,2559,5,16,9,2014,20,30,1
2,1435,2,16,9,2014,17,45,1
2,6386,4,16,9,2014,17,10,1
2,2330,4,16,9,2014,16,2,1
2,2365,5,16,9,2014,15,25,1
2,4841,9,16,9,2014,12,15,1
2,105,5,16,9,2014,9,0,1
2,4312,7,16,9,2014,8,0,1
1,5390,5,15,9,2014,20,4,1
1,5016,5,15,9,2014,17,40,1
1,3855,5,15,9,2014,16,45,1
1,4734,8,15,9,2014,15,20,1
1,1975,2,15,9,2014,12,0,1
1,1203,2,15,9,2014,10,53,1
1,411,3,15,9,2014,9,30,1
7,10912,8,7,9,2014,12,0,1
7,653,10,7,9,2014,6,27,1
6,643,4,6,9,2014,23,15,1
6,91,3,6,9,2014,8,30,1
5,2945,3,5,9,2014,21,39,1
5,211,5,5,9,2014,21,0,1
5,1254,2,5,9,2014,12,30,1
5,4022,5,5,9,2014,0,5,1
4,5851,3,4,9,2014,20,35,1
4,3328,7,4,9,2014,15,30,1
4,125,2,4,9,2014,14,0,1
4,6881,6,4,9,2014,13,10,1
4,2854,8,4,9,2014,12,30,1
4,1786,8,4,9,2014,9,35,1
4,511,4,4,9,2014,7,40,1
4,465,4,4,9,2014,1,41,1
3,5120,8,3,9,2014,22,26,1
3,5559,3,3,9,2014,19,50,1
3,870,4,3,9,2014,16,57,1
3,1449,1,3,9,2014,14,30,1
3,11060,3,3,9,2014,14,0,1
3,5206,5,3,9,2014,13,30,1
3,201,6,3,9,2014,12,55,1
3,1588,9,3,9,2014,10,0,1
2,2935,4,2,9,2014,22,53,1
2,9835,8,2,9,2014,22,30,1
2,146,10,2,9,2014,17,30,1
2,870,4,2,9,2014,16,58,1
2,1808,9,2,9,2014,11,0,1
2,4445,9,2,9,2014,8,55,1
2,6428,8,2,9,2014,2,0,1
1,2911,10,1,9,2014,22,30,1
1,10676,5,1,9,2014,15,14,1
1,3120,7,1,9,2014,9,0,1
1,3120,7,1,9,2014,9,0,1
7,2627,2,24,8,2014,19,25,1
7,511,4,24,8,2014,16,0,1
7,5119,1,24,8,2014,8,0,1
6,545,3,23,8,2014,21,30,1
6,8363,8,23,8,2014,16,0,1
6,495,7,23,8,2014,13,55,1
6,466,6,23,8,2014,11,0,1
