"day","address","location","date","month","year","hour","min","FAMILYOFFENSES"
5,501,4,19,4,2013,15,15,1
5,501,4,19,4,2013,15,15,1
5,1138,3,5,4,2013,11,28,1
4,501,4,21,3,2013,14,20,1
2,1220,10,5,3,2013,13,44,1
4,125,2,7,2,2013,23,52,1
2,501,4,22,1,2013,9,50,1
2,501,4,22,1,2013,9,50,1
5,501,4,28,12,2012,16,40,1
1,356,3,24,12,2012,11,0,1
3,6566,3,12,12,2012,2,0,1
2,501,4,11,12,2012,15,7,1
1,501,4,10,12,2012,15,56,1
1,501,4,10,12,2012,15,56,1
3,501,4,28,11,2012,13,40,1
6,1588,9,17,11,2012,10,0,1
4,501,4,18,10,2012,15,15,1
1,77,10,15,10,2012,0,30,1
3,501,4,3,10,2012,13,3,1
5,501,4,21,9,2012,16,33,1
5,501,4,7,9,2012,11,27,1
3,392,4,5,9,2012,12,19,1
1,4086,1,3,9,2012,1,1,1
7,9596,6,26,8,2012,19,10,1
6,5907,7,25,8,2012,18,0,1
6,12013,4,25,8,2012,13,44,1
4,501,4,23,8,2012,15,15,1
3,12861,8,22,8,2012,12,2,1
2,1284,4,21,8,2012,15,0,1
1,501,4,20,8,2012,19,48,1
3,501,4,8,8,2012,18,40,1
2,1092,9,7,8,2012,10,0,1
6,7690,5,14,7,2012,20,20,1
4,501,4,12,7,2012,18,41,1
3,5684,8,27,6,2012,7,15,1
1,1042,3,25,6,2012,1,6,1
7,4395,3,3,6,2012,11,0,1
7,501,4,22,4,2012,15,26,1
4,174,8,19,4,2012,11,34,1
3,4001,8,18,4,2012,13,0,1
3,5389,5,4,4,2012,19,0,1
3,9674,8,4,4,2012,13,0,1
4,70,10,22,3,2012,16,43,1
1,501,4,19,3,2012,15,20,1
6,965,1,28,1,2012,18,37,1
1,11400,6,23,1,2012,1,15,1
4,9816,8,12,1,2012,14,40,1
3,501,4,28,12,2011,15,21,1
5,501,4,2,12,2011,15,48,1
7,4001,8,20,11,2011,19,0,1
2,501,4,15,11,2011,15,55,1
1,17026,7,31,10,2011,15,23,1
1,501,4,17,10,2011,11,50,1
7,11314,8,9,10,2011,14,46,1
5,501,4,7,10,2011,11,0,1
5,501,4,7,10,2011,10,0,1
6,16184,1,24,9,2011,15,1,1
4,4308,8,22,9,2011,20,14,1
2,501,4,20,9,2011,9,55,1
6,501,4,10,9,2011,11,43,1
5,232,4,9,9,2011,19,20,1
6,8120,3,27,8,2011,14,0,1
4,11007,7,25,8,2011,13,44,1
2,630,1,28,6,2011,12,0,1
2,6046,3,31,5,2011,15,27,1
5,1255,6,6,5,2011,14,38,1
2,1054,3,19,4,2011,7,35,1
4,7464,7,7,4,2011,11,10,1
4,7464,7,7,4,2011,11,10,1
2,1156,8,22,3,2011,15,30,1
5,125,2,11,3,2011,7,0,1
6,5948,3,12,2,2011,4,30,1
1,501,4,7,2,2011,7,0,1
3,7571,6,15,12,2010,19,18,1
2,2790,3,14,12,2010,19,50,1
4,18,10,2,12,2010,18,45,1
3,5754,6,17,11,2010,20,5,1
2,894,7,2,11,2010,17,50,1
7,1220,10,10,10,2010,16,0,1
5,70,10,8,10,2010,0,1,1
2,9074,7,5,10,2010,18,50,1
7,653,10,26,9,2010,14,0,1
2,805,4,21,9,2010,17,25,1
6,8352,3,11,9,2010,11,8,1
3,438,6,8,9,2010,22,30,1
7,1483,8,29,8,2010,17,32,1
3,10285,4,25,8,2010,12,0,1
2,11957,1,24,8,2010,14,0,1
6,3782,9,14,8,2010,18,40,1
5,277,10,13,8,2010,1,0,1
4,501,4,12,8,2010,10,30,1
2,385,3,10,8,2010,22,0,1
1,501,4,9,8,2010,0,1,1
5,501,4,30,7,2010,12,30,1
4,38,10,29,7,2010,17,0,1
7,7550,9,18,7,2010,17,38,1
3,4435,3,14,7,2010,13,45,1
1,501,4,12,7,2010,12,30,1
5,1233,4,2,7,2010,13,20,1
2,136,5,29,6,2010,17,0,1
3,125,2,16,6,2010,11,35,1
7,957,2,6,6,2010,18,30,1
3,12269,9,5,5,2010,10,43,1
1,1692,6,19,4,2010,14,45,1
7,11761,8,11,4,2010,21,25,1
4,1080,8,25,3,2010,8,30,1
5,6908,1,12,3,2010,9,15,1
3,14152,9,10,3,2010,2,0,1
6,91,3,27,2,2010,16,45,1
6,1256,7,13,2,2010,15,32,1
1,3014,9,8,2,2010,10,29,1
1,3290,4,25,1,2010,1,50,1
6,772,10,12,12,2009,22,36,1
3,10552,3,9,12,2009,0,40,1
1,1135,4,7,12,2009,17,45,1
5,5744,8,30,10,2009,21,10,1
7,1489,8,18,10,2009,8,30,1
5,501,4,16,10,2009,13,44,1
5,1080,8,16,10,2009,13,0,1
3,4140,10,14,10,2009,15,0,1
6,2945,3,3,10,2009,20,0,1
5,72,6,2,10,2009,0,1,1
7,772,10,20,9,2009,22,51,1
5,470,8,18,9,2009,5,5,1
2,2589,4,15,9,2009,21,30,1
6,867,1,5,9,2009,16,45,1
6,8097,3,5,9,2009,0,30,1
5,361,2,4,9,2009,19,0,1
3,2156,2,2,9,2009,22,25,1
1,4301,2,31,8,2009,6,56,1
5,501,4,21,8,2009,11,20,1
4,392,4,20,8,2009,2,15,1
1,501,4,17,8,2009,11,37,1
4,11768,10,6,8,2009,11,30,1
2,102,10,4,8,2009,22,14,1
2,102,10,4,8,2009,22,14,1
2,125,2,21,7,2009,16,18,1
5,7686,3,10,7,2009,0,1,1
2,501,4,9,6,2009,14,32,1
1,5491,3,8,6,2009,7,38,1
7,5633,8,17,5,2009,9,30,1
5,9280,7,15,5,2009,22,0,1
5,9280,7,15,5,2009,22,0,1
6,1991,10,18,4,2009,14,26,1
5,263,1,3,4,2009,21,30,1
4,6706,9,19,3,2009,9,0,1
5,366,10,6,3,2009,20,12,1
5,501,4,23,1,2009,14,25,1
1,6916,4,19,1,2009,22,0,1
4,1157,2,8,1,2009,18,17,1
1,1752,3,5,1,2009,10,12,1
6,125,2,27,12,2008,15,0,1
2,12692,7,23,12,2008,9,0,1
6,2652,6,13,12,2008,16,0,1
1,841,2,8,12,2008,13,20,1
4,6324,7,27,11,2008,1,24,1
1,501,4,24,11,2008,16,6,1
1,501,4,24,11,2008,13,15,1
6,3153,6,15,11,2008,20,0,1
1,501,4,27,10,2008,14,0,1
2,657,8,14,10,2008,0,1,1
5,501,4,5,9,2008,14,59,1
5,501,4,25,7,2008,16,7,1
6,9412,6,12,7,2008,1,55,1
4,851,3,10,7,2008,22,0,1
6,501,4,28,6,2008,0,1,1
1,501,4,23,6,2008,12,40,1
2,875,3,10,6,2008,12,0,1
7,559,6,4,5,2008,14,54,1
5,7575,6,18,4,2008,12,0,1
4,8759,3,17,4,2008,20,29,1
4,4958,8,17,4,2008,8,40,1
2,957,2,1,4,2008,22,30,1
2,301,2,1,4,2008,1,31,1
7,8594,3,23,3,2008,18,0,1
5,3872,3,7,3,2008,19,0,1
1,501,4,3,3,2008,10,18,1
1,12350,8,18,2,2008,14,0,1
1,512,8,21,1,2008,13,0,1
1,233,8,21,1,2008,9,0,1
5,501,4,28,12,2007,8,46,1
3,1220,10,12,12,2007,23,55,1
2,125,2,11,12,2007,17,0,1
6,10042,8,1,12,2007,0,1,1
6,1694,1,17,11,2007,3,10,1
4,6788,8,15,11,2007,0,1,1
5,501,4,2,11,2007,14,20,1
4,392,4,1,11,2007,16,50,1
3,501,4,17,10,2007,14,0,1
6,594,8,25,8,2007,23,34,1
3,5668,9,22,8,2007,15,0,1
5,501,4,10,8,2007,9,39,1
4,146,10,9,8,2007,6,5,1
3,2652,6,25,7,2007,12,0,1
3,2652,6,25,7,2007,12,0,1
3,2652,6,25,7,2007,12,0,1
7,9397,4,15,7,2007,8,0,1
2,501,4,10,7,2007,14,50,1
1,6502,9,9,7,2007,14,11,1
4,1690,2,28,6,2007,19,18,1
3,942,3,27,6,2007,17,15,1
4,501,4,14,6,2007,16,45,1
2,8651,4,1,5,2007,0,1,1
5,501,4,23,3,2007,14,1,1
3,2616,1,21,3,2007,19,42,1
3,12477,8,21,3,2007,13,47,1
3,9507,8,21,3,2007,13,5,1
6,3177,8,10,3,2007,18,29,1
4,744,10,8,3,2007,15,10,1
2,9316,9,6,3,2007,0,1,1
5,125,2,23,2,2007,20,2,1
5,9751,3,23,2,2007,10,30,1
2,438,6,20,2,2007,0,1,1
1,64,4,5,2,2007,0,1,1
6,19008,8,27,1,2007,15,0,1
2,203,2,23,1,2007,17,49,1
7,3611,3,31,12,2006,0,30,1
6,15670,7,30,12,2006,22,0,1
6,4848,3,30,12,2006,14,0,1
7,10207,3,17,12,2006,20,0,1
1,20515,9,11,12,2006,9,7,1
5,9095,7,1,12,2006,21,59,1
3,6622,4,29,11,2006,17,0,1
7,2143,8,19,11,2006,18,0,1
2,5475,8,14,11,2006,9,26,1
7,501,4,5,11,2006,11,48,1
7,17051,6,24,9,2006,16,41,1
5,5292,3,22,9,2006,19,0,1
5,501,4,22,9,2006,14,0,1
3,501,4,20,9,2006,14,37,1
2,1682,8,19,9,2006,12,25,1
7,1287,2,10,9,2006,14,0,1
3,1080,8,6,9,2006,16,20,1
7,1841,8,30,7,2006,21,15,1
6,2267,2,29,7,2006,13,35,1
2,1960,4,25,7,2006,23,40,1
1,501,4,24,7,2006,15,14,1
2,501,4,11,7,2006,14,45,1
2,9652,3,11,7,2006,14,0,1
1,8812,4,26,6,2006,0,1,1
5,3548,3,16,6,2006,7,0,1
7,501,4,4,6,2006,15,20,1
3,1729,5,31,5,2006,18,45,1
4,501,4,4,5,2006,15,20,1
3,70,10,3,5,2006,15,0,1
1,501,4,1,5,2006,15,29,1
5,9453,5,21,4,2006,16,30,1
2,6075,8,18,4,2006,10,29,1
2,232,4,4,4,2006,19,35,1
1,12758,9,3,4,2006,19,12,1
6,4631,9,25,3,2006,21,30,1
6,4631,9,25,3,2006,21,30,1
2,501,4,7,3,2006,13,0,1
4,12802,3,23,2,2006,19,35,1
1,501,4,20,2,2006,17,50,1
1,9132,8,20,2,2006,12,0,1
7,1449,1,12,2,2006,13,0,1
6,6459,8,11,2,2006,13,45,1
1,501,4,6,2,2006,19,0,1
1,4615,9,6,2,2006,0,1,1
7,7599,6,29,1,2006,13,17,1
1,872,2,23,1,2006,17,8,1
5,2393,8,13,1,2006,14,57,1
4,12784,8,12,1,2006,21,8,1
3,8318,1,11,1,2006,22,49,1
3,9259,3,11,1,2006,13,0,1
2,2179,3,10,1,2006,12,30,1
2,14529,9,10,1,2006,0,1,1
7,6779,4,1,1,2006,8,41,1
5,3860,3,30,12,2005,15,0,1
2,779,2,27,12,2005,15,0,1
6,3792,3,3,12,2005,10,28,1
5,3177,8,2,12,2005,23,14,1
2,8490,3,29,11,2005,19,0,1
4,13339,8,17,11,2005,23,25,1
2,233,8,1,11,2005,7,0,1
7,4268,1,25,9,2005,22,49,1
6,11817,9,24,9,2005,0,58,1
3,501,4,21,9,2005,7,58,1
5,501,4,26,8,2005,10,1,1
1,649,9,22,8,2005,23,39,1
5,2824,4,12,8,2005,7,0,1
3,2341,5,10,8,2005,21,0,1
5,582,3,15,7,2005,11,15,1
1,5063,9,11,7,2005,21,40,1
1,4767,3,11,7,2005,19,25,1
3,501,4,1,6,2005,6,51,1
2,2835,10,31,5,2005,20,0,1
2,2835,10,31,5,2005,20,0,1
5,233,8,8,4,2005,19,26,1
4,3751,3,24,3,2005,22,30,1
2,5280,4,22,3,2005,17,0,1
7,14026,4,13,3,2005,17,0,1
6,6660,3,12,3,2005,7,30,1
5,12909,4,11,3,2005,17,0,1
2,872,2,8,2,2005,19,20,1
2,2795,1,8,2,2005,10,52,1
6,356,3,29,1,2005,18,23,1
6,7478,3,29,1,2005,16,47,1
4,2099,5,27,1,2005,12,18,1
2,5986,3,25,1,2005,2,36,1
1,435,10,24,1,2005,18,25,1
1,4156,4,24,1,2005,11,26,1
3,211,5,12,1,2005,14,7,1
7,3131,10,26,12,2004,20,35,1
6,15053,8,25,12,2004,12,0,1
4,7005,8,23,12,2004,16,30,1
4,3611,3,23,12,2004,6,0,1
6,10625,9,11,12,2004,19,17,1
3,6153,2,24,11,2004,6,40,1
7,1428,3,14,11,2004,17,55,1
2,6997,6,9,11,2004,14,22,1
5,4205,7,29,10,2004,19,1,1
3,13782,8,13,10,2004,3,30,1
2,2945,3,12,10,2004,22,10,1
7,21763,7,3,10,2004,4,32,1
5,1224,1,1,10,2004,0,1,1
2,28,4,28,9,2004,12,10,1
6,7596,4,18,9,2004,8,22,1
3,3404,3,15,9,2004,15,8,1
2,1895,3,14,9,2004,7,40,1
1,501,4,13,9,2004,10,20,1
7,8987,7,5,9,2004,17,30,1
7,2761,9,5,9,2004,10,0,1
6,11817,9,4,9,2004,18,30,1
5,22056,8,3,9,2004,17,0,1
4,5401,3,2,9,2004,20,5,1
3,9748,3,1,9,2004,14,30,1
3,1131,3,18,8,2004,11,43,1
2,4445,9,3,8,2004,18,20,1
4,277,10,22,7,2004,15,15,1
3,741,2,21,7,2004,21,8,1
3,2267,2,21,7,2004,1,55,1
2,8235,9,20,7,2004,0,1,1
7,1474,4,11,7,2004,13,0,1
1,6821,8,5,7,2004,15,0,1
3,6158,6,23,6,2004,18,57,1
4,18,10,27,5,2004,19,0,1
1,1919,8,24,5,2004,20,0,1
4,3529,9,13,5,2004,15,0,1
2,1331,4,11,5,2004,14,38,1
2,9287,3,27,4,2004,1,20,1
6,9101,8,17,4,2004,15,0,1
4,88,2,4,3,2004,21,0,1
3,4189,8,3,3,2004,14,15,1
7,4462,3,22,2,2004,11,34,1
5,277,10,20,2,2004,16,32,1
3,12087,5,4,2,2004,2,0,1
2,9607,2,3,2,2004,10,41,1
3,323,9,21,1,2004,15,18,1
2,13393,4,20,1,2004,10,30,1
1,2267,2,19,1,2004,10,10,1
6,21764,2,10,1,2004,10,20,1
4,21785,2,8,1,2004,13,49,1
4,5466,8,8,1,2004,12,0,1
3,10099,3,7,1,2004,9,0,1
7,21903,1,28,12,2003,19,0,1
5,501,4,26,12,2003,10,40,1
5,501,4,26,12,2003,10,40,1
4,6874,7,11,12,2003,15,30,1
3,10110,1,10,12,2003,13,0,1
2,4088,4,9,12,2003,12,0,1
6,1422,7,29,11,2003,11,12,1
3,6386,4,26,11,2003,2,45,1
4,125,2,13,11,2003,0,1,1
5,5851,3,17,10,2003,10,25,1
3,3180,10,1,10,2003,9,44,1
2,22010,3,30,9,2003,20,0,1
2,501,4,30,9,2003,13,37,1
4,4205,7,18,9,2003,9,30,1
4,2126,4,18,9,2003,8,41,1
1,3275,2,15,9,2003,20,0,1
7,23,5,7,9,2003,3,58,1
6,8687,4,6,9,2003,18,0,1
4,1704,2,4,9,2003,13,0,1
3,501,4,3,9,2003,14,5,1
5,8220,6,8,8,2003,9,28,1
2,22135,6,5,8,2003,23,23,1
1,3729,5,4,8,2003,18,55,1
6,2055,1,12,7,2003,21,18,1
2,459,8,8,7,2003,10,20,1
4,7008,1,12,6,2003,22,35,1
3,21792,3,11,6,2003,13,0,1
2,2267,2,10,6,2003,15,29,1
7,22044,8,1,6,2003,22,0,1
6,9842,9,31,5,2003,8,25,1
4,11,10,29,5,2003,13,49,1
2,21777,3,27,5,2003,13,0,1
1,4435,3,12,5,2003,11,40,1
7,435,10,4,5,2003,7,2,1
5,125,2,2,5,2003,19,30,1
3,3781,8,30,4,2003,23,33,1
5,2600,9,18,4,2003,13,0,1
5,2804,4,18,4,2003,8,47,1
3,191,3,16,4,2003,10,0,1
2,13663,7,15,4,2003,11,0,1
2,9207,6,1,4,2003,12,0,1
7,7079,4,23,3,2003,1,30,1
2,23143,3,18,3,2003,12,0,1
7,2393,8,9,3,2003,10,30,1
6,1615,2,8,3,2003,10,55,1
2,408,2,4,3,2003,17,15,1
6,594,8,22,2,2003,8,0,1
5,3059,8,21,2,2003,20,57,1
5,3945,8,21,2,2003,8,31,1
3,559,6,19,2,2003,12,45,1
3,4841,9,19,2,2003,10,45,1
7,604,8,9,2,2003,15,0,1
7,1379,1,9,2,2003,10,0,1
5,3561,3,7,2,2003,14,15,1
4,713,4,6,2,2003,1,0,1
1,9602,3,3,2,2003,19,30,1
7,8127,3,26,1,2003,21,13,1
7,6197,5,26,1,2003,12,0,1
5,756,3,24,1,2003,10,55,1
3,23206,8,22,1,2003,14,45,1
1,21132,2,16,10,2006,10,50,0
1,3337,4,6,2,2012,11,0,0
3,4885,6,3,10,2007,19,15,0
2,13480,4,11,12,2012,19,15,0
1,979,4,7,12,2009,1,0,0
7,6213,3,8,9,2013,20,0,0
5,15292,3,11,6,2004,23,0,0
4,5794,9,4,9,2014,9,30,0
3,199,8,17,11,2010,17,30,0
4,310,8,14,7,2011,16,56,0
3,8831,7,24,3,2010,19,4,0
1,11,10,15,10,2007,15,0,0
5,141,6,26,12,2003,16,0,0
2,648,2,18,3,2014,11,45,0
4,7243,1,24,3,2005,0,30,0
4,70,10,3,5,2012,15,0,0
3,908,10,5,5,2010,11,40,0
5,9548,1,20,2,2009,22,13,0
3,269,1,17,5,2006,17,0,0
4,939,5,16,4,2015,17,0,0
5,548,10,5,9,2008,13,35,0
7,18335,9,3,7,2005,18,0,0
6,4767,3,22,3,2008,15,21,0
6,1245,10,24,1,2009,18,51,0
6,17485,4,3,11,2007,22,0,0
1,15175,8,21,3,2011,18,0,0
6,19032,8,6,11,2010,0,30,0
7,125,2,9,8,2009,10,0,0
3,2271,10,11,1,2012,18,45,0
2,2231,4,18,3,2014,6,0,0
1,3796,3,9,8,2010,19,30,0
7,7465,9,14,2,2010,2,33,0
4,4712,7,12,1,2012,22,30,0
6,2235,4,25,7,2009,16,0,0
3,2144,5,21,2,2007,23,0,0
3,5527,5,12,5,2004,10,49,0
4,6267,6,28,11,2013,16,10,0
3,7142,3,18,2,2004,17,35,0
5,133,3,8,9,2006,9,0,0
4,1581,6,7,2,2013,20,30,0
2,2904,2,5,10,2010,23,30,0
4,70,10,15,11,2007,8,15,0
2,11570,6,13,11,2012,9,30,0
3,2342,5,18,4,2007,18,0,0
3,115,8,16,11,2005,5,25,0
4,772,10,19,5,2005,11,50,0
6,6497,1,13,8,2011,15,25,0
2,283,10,10,1,2012,22,15,0
3,13,3,9,7,2014,16,0,0
6,2016,6,7,2,2009,6,41,0
1,7886,4,14,10,2013,11,0,0
7,14023,5,18,6,2006,19,26,0
5,15554,3,29,7,2005,19,0,0
1,3259,1,23,12,2013,8,0,0
7,12574,3,1,6,2003,7,0,0
3,5941,4,27,12,2006,7,25,0
4,7667,9,8,1,2009,21,0,0
2,144,4,8,7,2003,17,50,0
1,4856,5,27,12,2010,18,45,0
6,2381,2,10,9,2005,12,45,0
1,2091,2,30,9,2013,8,45,0
7,12359,3,15,7,2012,9,9,0
5,19068,9,30,11,2007,13,30,0
1,54,1,14,4,2003,22,0,0
2,957,2,27,4,2004,7,10,0
3,1757,3,10,3,2010,15,5,0
2,15826,4,7,7,2009,20,45,0
4,408,2,12,6,2014,17,30,0
1,10983,8,19,9,2005,18,0,0
1,18944,4,10,5,2004,23,39,0
5,12830,4,7,5,2010,8,10,0
4,5764,5,6,2,2003,15,0,0
5,12830,4,21,4,2006,3,0,0
3,11640,4,27,11,2013,14,28,0
7,36,2,18,5,2008,13,20,0
7,1507,10,27,2,2005,4,20,0
2,234,6,20,8,2013,18,32,0
6,125,2,21,8,2004,0,1,0
2,213,4,30,4,2013,8,22,0
2,13979,6,28,6,2005,12,36,0
3,1351,8,20,2,2013,13,30,0
4,16960,8,9,2,2006,7,30,0
7,9777,6,20,10,2013,2,30,0
6,10926,7,25,9,2010,12,20,0
1,2512,1,23,6,2014,13,30,0
6,444,5,13,8,2005,22,0,0
5,11380,8,10,8,2012,17,11,0
7,213,4,6,6,2010,4,30,0
3,714,2,29,5,2013,12,30,0
1,8092,3,10,5,2004,22,0,0
1,10130,9,23,6,2014,0,25,0
6,735,4,30,10,2004,9,0,0
1,2254,4,29,4,2013,10,23,0
3,2497,5,9,8,2006,13,5,0
7,1606,2,3,7,2005,9,23,0
7,125,2,30,12,2012,12,0,0
6,5017,2,22,10,2011,20,0,0
4,6237,6,11,12,2003,7,30,0
3,6403,3,1,11,2006,3,0,0
1,6667,8,3,2,2014,7,14,0
5,3725,10,15,12,2006,13,40,0
5,6689,5,7,3,2014,15,0,0
4,2544,4,5,8,2004,14,21,0
3,872,2,4,4,2007,12,0,0
1,13002,3,22,2,2010,0,1,0
3,376,2,20,4,2011,16,8,0
7,2236,4,18,4,2004,0,17,0
1,125,2,9,7,2007,0,30,0
3,125,2,9,2,2011,17,45,0
3,93,7,31,10,2007,15,27,0
2,3315,2,11,12,2007,10,57,0
1,2602,1,9,11,2009,20,26,0
4,2010,5,18,4,2013,11,30,0
2,501,4,8,7,2014,1,54,0
5,9023,8,17,12,2010,11,50,0
5,187,7,27,6,2014,20,0,0
3,1557,9,23,8,2006,16,20,0
5,666,2,7,3,2014,19,0,0
2,8117,5,8,2,2011,0,5,0
2,618,2,9,8,2005,21,7,0
1,11553,3,17,3,2014,22,0,0
6,6006,7,21,2,2015,16,20,0
2,7603,3,9,6,2009,20,46,0
2,1443,5,2,9,2008,21,50,0
2,11313,3,19,9,2006,13,24,0
2,2601,3,5,3,2013,9,36,0
7,6086,1,22,5,2005,21,55,0
1,2110,5,24,7,2006,14,20,0
6,483,1,12,7,2003,10,15,0
7,4035,6,12,2,2012,11,0,0
5,346,1,18,11,2011,18,58,0
2,9538,4,11,11,2014,13,50,0
7,83,2,8,2,2015,17,20,0
7,8073,8,17,5,2009,5,22,0
7,411,3,8,5,2011,13,55,0
5,233,8,19,5,2006,19,47,0
5,10426,5,12,8,2005,13,0,0
6,16499,8,9,4,2005,21,24,0
3,1550,1,29,9,2004,12,0,0
7,9640,2,9,3,2003,14,20,0
4,5134,6,23,9,2010,11,45,0
2,4925,1,13,11,2012,16,0,0
4,4609,9,27,11,2003,14,55,0
4,2683,3,25,8,2005,19,40,0
4,3875,2,18,3,2004,21,48,0
4,10101,9,20,3,2014,8,0,0
1,511,4,2,9,2013,8,45,0
3,912,10,16,11,2011,15,0,0
3,83,2,16,9,2009,8,11,0
2,354,10,30,9,2008,13,54,0
4,8580,8,2,12,2010,23,30,0
6,4574,8,29,11,2003,14,29,0
4,3712,6,6,3,2014,2,30,0
6,390,5,16,11,2013,0,1,0
2,1807,6,8,1,2013,23,45,0
2,5004,5,24,6,2008,7,20,0
4,8984,3,21,8,2003,14,0,0
2,6420,2,12,10,2004,11,6,0
2,17821,7,17,4,2012,0,24,0
3,6313,3,3,9,2014,10,27,0
4,125,2,6,3,2014,0,1,0
4,5709,1,30,6,2005,13,0,0
1,600,3,11,6,2007,18,50,0
7,11373,4,5,9,2004,23,45,0
1,3492,4,6,3,2006,20,35,0
3,2734,8,16,4,2003,13,35,0
1,4571,5,21,6,2004,23,19,0
7,12542,8,28,12,2003,22,50,0
5,2688,10,31,10,2008,22,30,0
4,1525,4,1,12,2011,19,0,0
6,5324,1,13,12,2003,1,47,0
6,3884,2,7,9,2013,10,5,0
6,8690,3,10,1,2004,12,0,0
3,13240,5,22,1,2003,21,29,0
2,9875,7,28,10,2014,21,58,0
1,435,10,7,7,2008,21,40,0
6,5206,5,10,3,2007,0,15,0
6,5907,7,22,3,2003,18,0,0
5,1162,1,6,9,2013,22,46,0
4,157,10,16,11,2006,13,0,0
4,2054,7,24,7,2014,18,30,0
4,3938,8,2,9,2004,10,0,0
7,2269,2,14,1,2007,18,0,0
7,10593,9,6,5,2007,18,30,0
2,4090,1,9,12,2014,0,1,0
2,4326,3,13,4,2004,5,0,0
3,3842,1,23,6,2004,18,30,0
2,2398,2,12,6,2007,22,0,0
5,6765,4,6,2,2015,11,0,0
4,7949,9,3,4,2003,3,40,0
5,7663,8,9,1,2009,13,40,0
6,2989,5,8,10,2005,21,45,0
2,1590,7,16,9,2003,8,55,0
7,1428,3,7,9,2008,12,0,0
4,3131,10,3,11,2005,20,0,0
3,3396,10,12,11,2008,17,25,0
6,3667,2,16,7,2005,17,45,0
6,7397,4,25,9,2010,19,0,0
5,11740,2,3,4,2009,8,20,0
3,15067,8,12,12,2007,10,30,0
1,213,4,13,11,2006,10,37,0
2,138,10,22,12,2009,10,0,0
4,3827,1,17,11,2005,15,0,0
6,628,8,8,10,2005,21,28,0
1,6916,4,2,2,2009,9,23,0
4,1615,2,1,12,2005,21,50,0
5,8408,9,15,7,2011,12,0,0
2,9025,5,18,8,2009,6,15,0
1,4909,1,16,4,2012,15,0,0
4,2792,4,29,5,2014,19,45,0
4,115,8,8,1,2009,15,36,0
6,3535,3,22,3,2003,22,0,0
3,2099,5,29,5,2013,20,10,0
5,5545,5,15,6,2012,15,0,0
4,22015,2,20,3,2003,17,55,0
6,2442,8,24,2,2007,22,45,0
6,2855,1,16,7,2011,1,45,0
4,5333,5,3,4,2003,9,45,0
