"day","address","location","date","month","year","hour","min","PROSTITUTION"
2,644,1,25,11,2014,19,0,1
2,644,1,25,11,2014,19,0,1
2,644,1,25,11,2014,18,20,1
2,644,1,25,11,2014,18,20,1
2,644,1,25,11,2014,18,20,1
2,644,1,25,11,2014,18,20,1
2,644,1,25,11,2014,18,20,1
2,644,1,25,11,2014,16,30,1
2,644,1,25,11,2014,16,30,1
2,644,1,25,11,2014,16,30,1
2,644,1,25,11,2014,16,30,1
2,644,1,25,11,2014,16,30,1
2,644,1,25,11,2014,15,30,1
2,644,1,25,11,2014,15,30,1
2,644,1,25,11,2014,15,30,1
2,644,1,25,11,2014,15,30,1
2,644,1,25,11,2014,15,30,1
2,644,1,25,11,2014,15,0,1
2,644,1,25,11,2014,15,0,1
2,644,1,25,11,2014,15,0,1
2,644,1,25,11,2014,14,0,1
2,644,1,25,11,2014,14,0,1
2,644,1,25,11,2014,14,0,1
2,644,1,25,11,2014,13,30,1
2,644,1,25,11,2014,13,30,1
2,644,1,25,11,2014,13,30,1
2,644,1,25,11,2014,13,20,1
2,644,1,25,11,2014,13,20,1
2,644,1,25,11,2014,13,20,1
1,872,2,24,11,2014,1,2,1
7,1656,4,16,11,2014,23,15,1
2,9538,4,11,11,2014,13,50,1
2,7486,1,11,11,2014,13,43,1
5,1662,4,31,10,2014,1,37,1
4,831,4,30,10,2014,22,15,1
3,927,1,15,10,2014,23,57,1
5,1172,4,3,10,2014,9,0,1
5,6577,5,3,10,2014,0,57,1
3,644,1,1,10,2014,3,30,1
3,831,4,1,10,2014,3,0,1
2,5544,4,30,9,2014,23,0,1
2,831,4,30,9,2014,22,10,1
1,1856,4,29,9,2014,23,15,1
1,6690,4,29,9,2014,22,30,1
1,1662,4,29,9,2014,22,0,1
1,527,4,29,9,2014,15,7,1
4,1662,4,18,9,2014,19,56,1
3,1172,4,3,9,2014,23,49,1
3,5819,4,3,9,2014,22,30,1
5,1024,10,22,8,2014,1,18,1
4,511,4,21,8,2014,2,0,1
3,899,4,20,8,2014,23,57,1
3,3359,4,20,8,2014,23,40,1
3,3359,4,20,8,2014,23,40,1
1,125,2,18,8,2014,12,0,1
1,125,2,18,8,2014,12,0,1
7,6917,4,27,7,2014,22,30,1
6,2025,1,26,7,2014,1,35,1
5,3980,8,25,7,2014,12,0,1
2,5782,5,22,7,2014,12,35,1
2,125,2,22,7,2014,11,0,1
1,1662,4,21,7,2014,0,1,1
6,959,10,12,7,2014,2,20,1
5,927,1,11,7,2014,23,30,1
5,11988,4,11,7,2014,0,40,1
5,11988,4,11,7,2014,0,40,1
4,927,1,10,7,2014,23,0,1
4,9742,4,10,7,2014,2,0,1
3,2382,1,9,7,2014,1,15,1
4,644,1,12,6,2014,23,54,1
4,644,1,12,6,2014,23,54,1
4,927,1,12,6,2014,18,2,1
7,6266,4,1,6,2014,3,20,1
7,2315,1,1,6,2014,2,14,1
5,10333,9,30,5,2014,21,39,1
5,10333,9,30,5,2014,21,39,1
5,7943,1,30,5,2014,17,40,1
5,7943,1,30,5,2014,17,40,1
5,727,4,30,5,2014,0,45,1
4,1024,1,29,5,2014,23,28,1
4,5773,4,29,5,2014,11,40,1
3,1996,2,28,5,2014,22,40,1
3,1996,2,28,5,2014,22,40,1
2,1996,2,27,5,2014,21,0,1
6,1024,10,17,5,2014,2,45,1
5,293,5,16,5,2014,23,0,1
3,7167,4,14,5,2014,0,15,1
3,7167,4,14,5,2014,0,15,1
7,831,4,20,4,2014,3,31,1
3,1656,4,16,4,2014,23,52,1
3,1656,4,16,4,2014,22,51,1
3,5820,4,16,4,2014,2,0,1
2,4531,4,15,4,2014,1,53,1
2,6294,1,15,4,2014,0,7,1
4,746,4,3,4,2014,22,0,1
4,746,4,3,4,2014,22,0,1
4,1061,4,3,4,2014,1,0,1
2,9915,9,1,4,2014,11,14,1
5,5773,4,21,3,2014,22,44,1
5,5773,4,21,3,2014,22,44,1
5,958,4,21,3,2014,22,15,1
5,5773,4,21,3,2014,21,4,1
5,5773,4,21,3,2014,21,4,1
5,5773,4,21,3,2014,20,38,1
4,6695,1,20,3,2014,22,24,1
4,6695,1,20,3,2014,22,24,1
4,5695,1,20,3,2014,1,35,1
4,5695,1,20,3,2014,1,35,1
4,6302,4,20,3,2014,0,5,1
5,977,1,7,3,2014,14,0,1
5,125,2,7,3,2014,13,30,1
4,644,1,6,3,2014,23,41,1
2,959,10,4,3,2014,23,2,1
7,568,4,23,2,2014,22,0,1
7,2792,4,23,2,2014,18,2,1
7,5156,4,23,2,2014,0,45,1
6,11591,4,22,2,2014,0,30,1
5,2483,1,21,2,2014,23,24,1
4,5773,4,20,2,2014,20,48,1
4,5773,4,20,2,2014,20,48,1
4,5773,4,20,2,2014,20,15,1
4,5773,4,20,2,2014,20,15,1
4,5773,4,20,2,2014,19,51,1
4,5773,4,20,2,2014,19,51,1
4,5773,4,20,2,2014,19,5,1
4,5773,4,20,2,2014,19,5,1
3,1040,1,19,2,2014,0,57,1
1,747,2,17,2,2014,0,18,1
5,6917,4,7,2,2014,23,45,1
5,3327,4,7,2,2014,22,30,1
5,3327,4,7,2,2014,22,30,1
5,3259,1,7,2,2014,17,59,1
5,7230,4,7,2,2014,2,50,1
5,7230,4,7,2,2014,2,50,1
4,1583,4,6,2,2014,23,30,1
4,1583,4,6,2,2014,23,30,1
4,2680,4,6,2,2014,22,30,1
4,2405,1,6,2,2014,20,2,1
4,2405,5,6,2,2014,19,24,1
4,2405,5,6,2,2014,19,24,1
3,6695,1,5,2,2014,21,53,1
3,6695,1,5,2,2014,21,53,1
3,6695,1,5,2,2014,18,15,1
3,6695,1,5,2,2014,18,15,1
3,831,4,5,2,2014,2,16,1
2,5819,4,4,2,2014,23,45,1
1,5773,4,3,2,2014,20,19,1
1,5773,4,3,2,2014,20,19,1
1,5773,4,3,2,2014,19,38,1
1,5773,4,3,2,2014,19,38,1
1,958,4,3,2,2014,19,13,1
1,14004,9,3,2,2014,12,0,1
7,6690,4,26,1,2014,3,11,1
7,1504,4,26,1,2014,1,37,1
5,958,4,24,1,2014,19,25,1
5,958,4,24,1,2014,19,25,1
4,2405,5,23,1,2014,21,25,1
4,2405,5,23,1,2014,21,25,1
4,5773,4,23,1,2014,3,40,1
3,3788,4,22,1,2014,23,5,1
3,831,4,22,1,2014,0,54,1
2,927,1,21,1,2014,23,20,1
2,927,1,21,1,2014,23,20,1
2,2260,4,21,1,2014,4,18,1
7,831,4,12,1,2014,23,30,1
7,831,4,12,1,2014,22,10,1
6,7397,4,11,1,2014,22,40,1
5,5773,4,10,1,2014,20,31,1
5,5773,4,10,1,2014,20,31,1
5,5773,4,10,1,2014,19,20,1
5,5773,4,10,1,2014,19,20,1
4,6695,5,9,1,2014,22,49,1
4,6695,5,9,1,2014,22,49,1
4,6695,5,9,1,2014,22,23,1
4,6695,5,9,1,2014,21,30,1
4,6695,5,9,1,2014,21,30,1
1,999,1,6,1,2014,0,5,1
7,5820,4,29,12,2013,0,30,1
7,527,4,29,12,2013,0,1,1
6,192,1,28,12,2013,23,30,1
6,5971,4,28,12,2013,23,30,1
6,192,1,28,12,2013,23,30,1
6,3312,1,28,12,2013,4,44,1
6,644,1,28,12,2013,0,58,1
6,5773,4,28,12,2013,0,50,1
5,14334,4,27,12,2013,1,30,1
5,14334,4,27,12,2013,1,30,1
5,3308,4,13,12,2013,3,40,1
4,936,4,12,12,2013,2,20,1
4,936,4,12,12,2013,2,20,1
2,1017,3,10,12,2013,17,15,1
1,5773,4,9,12,2013,19,23,1
2,2270,1,26,11,2013,19,34,1
2,3308,4,26,11,2013,3,21,1
2,3308,4,26,11,2013,3,21,1
2,3308,4,26,11,2013,3,21,1
2,644,1,26,11,2013,2,15,1
1,9356,4,25,11,2013,3,9,1
1,551,5,25,11,2013,2,20,1
1,14595,4,25,11,2013,1,45,1
7,1284,4,17,11,2013,23,30,1
7,936,4,17,11,2013,23,25,1
7,936,4,17,11,2013,23,25,1
4,2405,5,14,11,2013,22,0,1
4,2405,5,14,11,2013,22,0,1
4,5156,4,14,11,2013,19,44,1
4,5156,4,14,11,2013,19,44,1
3,2405,5,13,11,2013,21,55,1
3,2405,5,13,11,2013,21,55,1
3,6695,5,13,11,2013,21,5,1
3,6695,5,13,11,2013,21,5,1
3,6695,5,13,11,2013,20,30,1
3,6695,5,13,11,2013,20,30,1
2,958,4,12,11,2013,20,20,1
2,958,4,12,11,2013,20,20,1
2,14672,9,12,11,2013,19,46,1
2,958,4,12,11,2013,19,40,1
2,5773,4,12,11,2013,18,18,1
6,2534,4,2,11,2013,1,30,1
6,7074,4,2,11,2013,0,40,1
6,7074,4,2,11,2013,0,40,1
5,899,4,1,11,2013,0,45,1
5,899,4,1,11,2013,0,45,1
5,1560,4,1,11,2013,0,15,1
5,1560,4,1,11,2013,0,15,1
5,343,4,1,11,2013,0,1,1
5,343,4,1,11,2013,0,1,1
4,3629,4,31,10,2013,22,50,1
4,333,4,31,10,2013,2,43,1
3,6695,5,30,10,2013,21,50,1
3,6695,5,30,10,2013,21,50,1
3,6695,1,30,10,2013,20,21,1
3,6695,1,30,10,2013,20,21,1
3,14774,3,30,10,2013,16,20,1
3,14774,3,30,10,2013,16,20,1
2,1722,2,29,10,2013,20,50,1
2,1808,9,29,10,2013,9,35,1
4,5773,4,17,10,2013,19,32,1
3,899,4,16,10,2013,2,48,1
3,899,4,16,10,2013,2,48,1
3,831,4,16,10,2013,1,30,1
3,8039,4,16,10,2013,0,10,1
1,7886,4,14,10,2013,11,0,1
4,4531,4,3,10,2013,1,30,1
3,5773,4,2,10,2013,17,41,1
2,13093,4,1,10,2013,4,15,1
2,6065,4,1,10,2013,0,20,1
6,1656,4,21,9,2013,22,30,1
6,7397,4,21,9,2013,1,40,1
5,1656,4,20,9,2013,23,0,1
5,2814,4,20,9,2013,1,0,1
3,4355,4,18,9,2013,12,46,1
5,1789,4,6,9,2013,0,5,1
4,4891,4,5,9,2013,2,30,1
4,2675,4,5,9,2013,0,1,1
4,2675,4,5,9,2013,0,1,1
5,8063,4,23,8,2013,0,50,1
5,8063,4,23,8,2013,0,50,1
3,5015,1,21,8,2013,21,44,1
3,5015,1,21,8,2013,20,30,1
2,5789,4,20,8,2013,16,17,1
6,527,4,10,8,2013,5,33,1
1,2534,4,5,8,2013,8,36,1
1,1662,4,5,8,2013,5,22,1
7,8687,4,28,7,2013,2,20,1
7,8687,4,28,7,2013,2,20,1
6,644,1,27,7,2013,2,26,1
6,2330,4,27,7,2013,2,20,1
6,1960,4,27,7,2013,0,5,1
6,1960,4,27,7,2013,0,5,1
5,4891,4,26,7,2013,1,59,1
4,831,4,25,7,2013,2,35,1
2,6695,5,23,7,2013,1,55,1
2,6695,5,23,7,2013,1,55,1
2,2405,5,23,7,2013,1,10,1
2,2405,5,23,7,2013,0,15,1
1,5773,4,22,7,2013,2,0,1
1,5773,4,22,7,2013,2,0,1
1,5773,4,22,7,2013,0,14,1
1,5773,4,22,7,2013,0,14,1
1,6695,5,22,7,2013,0,1,1
1,6695,5,22,7,2013,0,1,1
7,5156,4,14,7,2013,1,51,1
6,13321,4,13,7,2013,2,0,1
6,13321,4,13,7,2013,2,0,1
5,7230,4,12,7,2013,23,30,1
5,7230,4,12,7,2013,23,30,1
5,10608,4,12,7,2013,1,20,1
5,2906,4,12,7,2013,0,15,1
5,2906,4,12,7,2013,0,15,1
4,7442,4,11,7,2013,1,45,1
4,7442,4,11,7,2013,1,45,1
3,831,4,10,7,2013,4,29,1
3,125,2,10,7,2013,1,0,1
3,125,2,10,7,2013,1,0,1
4,5773,4,27,6,2013,22,35,1
4,5773,4,27,6,2013,22,35,1
3,621,3,26,6,2013,1,0,1
2,5773,4,25,6,2013,22,3,1
2,958,4,25,6,2013,21,14,1
2,958,4,25,6,2013,21,14,1
2,5773,4,25,6,2013,18,30,1
2,5773,4,25,6,2013,18,30,1
1,237,4,24,6,2013,1,45,1
6,5773,4,15,6,2013,0,47,1
6,5773,4,15,6,2013,0,47,1
6,5773,4,15,6,2013,0,5,1
6,5773,4,15,6,2013,0,5,1
5,5773,4,14,6,2013,22,54,1
5,5773,4,14,6,2013,22,54,1
5,2879,5,14,6,2013,1,48,1
5,2879,5,14,6,2013,1,48,1
3,1304,5,12,6,2013,2,31,1
2,5454,8,11,6,2013,14,37,1
2,7838,4,11,6,2013,5,0,1
1,1662,4,10,6,2013,22,55,1
1,4083,4,10,6,2013,5,45,1
1,831,4,10,6,2013,1,35,1
6,6695,5,1,6,2013,1,55,1
6,6695,5,1,6,2013,1,55,1
6,125,2,1,6,2013,1,10,1
6,125,2,1,6,2013,1,10,1
6,6695,5,1,6,2013,0,15,1
6,6695,5,1,6,2013,0,15,1
5,6695,5,31,5,2013,23,30,1
5,6695,5,31,5,2013,23,30,1
5,831,4,31,5,2013,1,0,1
5,831,4,31,5,2013,1,0,1
4,2683,1,30,5,2013,20,20,1
4,5014,4,30,5,2013,5,40,1
4,2025,1,30,5,2013,3,0,1
3,3478,4,29,5,2013,23,15,1
3,3478,4,29,5,2013,23,15,1
3,6695,5,29,5,2013,22,15,1
3,6695,5,29,5,2013,22,15,1
3,1191,10,29,5,2013,19,35,1
3,1191,10,29,5,2013,19,35,1
3,1191,10,29,5,2013,18,30,1
2,5773,4,28,5,2013,22,30,1
2,5773,4,28,5,2013,22,30,1
2,5773,4,28,5,2013,21,55,1
2,5773,4,28,5,2013,21,55,1
2,5773,4,28,5,2013,18,8,1
2,2563,10,28,5,2013,17,37,1
2,1656,4,28,5,2013,0,1,1
1,5971,4,27,5,2013,22,45,1
7,5773,4,19,5,2013,0,21,1
6,6690,4,18,5,2013,23,38,1
6,1236,4,18,5,2013,2,0,1
6,1236,4,18,5,2013,2,0,1
6,1236,4,18,5,2013,0,52,1
6,1236,4,18,5,2013,0,52,1
5,831,4,17,5,2013,23,45,1
5,831,4,17,5,2013,23,45,1
3,8529,4,15,5,2013,4,0,1
2,5014,4,14,5,2013,5,40,1
7,5941,4,5,5,2013,8,55,1
7,4952,5,5,5,2013,1,50,1
1,6779,4,29,4,2013,2,10,1
1,6779,4,29,4,2013,2,10,1
6,831,4,20,4,2013,2,15,1
6,831,4,20,4,2013,2,15,1
6,831,4,20,4,2013,1,15,1
6,831,4,20,4,2013,1,15,1
6,831,4,20,4,2013,0,50,1
6,831,4,20,4,2013,0,50,1
6,831,4,20,4,2013,0,5,1
6,831,4,20,4,2013,0,5,1
5,831,4,19,4,2013,23,30,1
5,831,4,19,4,2013,23,30,1
4,831,4,18,4,2013,22,40,1
4,831,4,18,4,2013,22,40,1
4,5773,4,18,4,2013,19,10,1
4,5773,4,18,4,2013,19,10,1
4,5773,4,18,4,2013,18,40,1
4,7668,4,18,4,2013,8,13,1
3,546,5,17,4,2013,2,59,1
3,2680,4,17,4,2013,2,33,1
2,6695,1,16,4,2013,22,40,1
2,6695,5,16,4,2013,21,45,1
2,6695,5,16,4,2013,21,45,1
2,2488,1,16,4,2013,18,30,1
2,831,4,16,4,2013,1,41,1
7,5276,4,7,4,2013,0,22,1
6,5156,4,6,4,2013,2,25,1
5,899,4,5,4,2013,21,55,1
1,2814,4,1,4,2013,23,0,1
1,8529,4,1,4,2013,1,11,1
1,8529,4,1,4,2013,0,40,1
7,1656,4,24,3,2013,23,21,1
6,831,4,23,3,2013,2,20,1
6,831,4,23,3,2013,2,20,1
6,831,4,23,3,2013,1,58,1
6,831,4,23,3,2013,1,58,1
6,831,4,23,3,2013,0,44,1
6,831,4,23,3,2013,0,44,1
6,1236,4,23,3,2013,0,11,1
6,1236,4,23,3,2013,0,11,1
5,1236,4,22,3,2013,23,9,1
5,1236,4,22,3,2013,23,9,1
5,548,10,22,3,2013,16,0,1
5,1236,4,22,3,2013,1,0,1
4,1323,4,21,3,2013,3,10,1
4,1323,4,21,3,2013,3,10,1
3,1075,4,20,3,2013,23,40,1
3,4531,4,20,3,2013,2,20,1
3,8670,4,20,3,2013,0,30,1
3,8670,4,20,3,2013,0,30,1
2,6695,5,19,3,2013,22,5,1
2,2889,10,19,3,2013,19,40,1
2,2889,10,19,3,2013,19,40,1
2,1191,10,19,3,2013,18,50,1
2,1191,10,19,3,2013,18,50,1
1,831,4,18,3,2013,23,55,1
5,771,1,8,3,2013,23,0,1
3,831,4,6,3,2013,23,20,1
3,831,4,6,3,2013,23,20,1
3,831,4,6,3,2013,22,46,1
3,831,4,6,3,2013,22,46,1
2,4111,10,5,3,2013,18,40,1
2,13173,4,5,3,2013,0,10,1
7,831,4,24,2,2013,23,42,1
7,832,4,24,2,2013,1,15,1
7,6639,4,24,2,2013,0,45,1
6,831,4,23,2,2013,1,50,1
6,831,4,23,2,2013,1,50,1
6,831,4,23,2,2013,1,6,1
6,831,4,23,2,2013,1,6,1
6,831,4,23,2,2013,0,15,1
5,3961,4,22,2,2013,23,30,1
5,3961,4,22,2,2013,23,30,1
5,831,4,22,2,2013,23,0,1
5,831,4,22,2,2013,23,0,1
5,6639,4,22,2,2013,18,0,1
5,4531,4,22,2,2013,1,30,1
4,7668,4,21,2,2013,2,35,1
4,7668,4,21,2,2013,2,35,1
4,1656,4,21,2,2013,0,30,1
4,1656,4,21,2,2013,0,30,1
4,1172,4,21,2,2013,0,16,1
4,1172,4,21,2,2013,0,16,1
3,831,4,20,2,2013,19,20,1
3,831,4,20,2,2013,19,20,1
3,1656,4,20,2,2013,1,5,1
3,1656,4,20,2,2013,1,5,1
2,10608,4,19,2,2013,23,28,1
2,10608,4,19,2,2013,23,28,1
2,125,2,19,2,2013,22,25,1
2,125,2,19,2,2013,22,25,1
2,1656,4,19,2,2013,22,8,1
2,1656,4,19,2,2013,22,8,1
2,1191,10,19,2,2013,19,55,1
2,2889,10,19,2,2013,19,0,1
2,2889,10,19,2,2013,19,0,1
2,6302,4,19,2,2013,3,41,1
2,1656,4,19,2,2013,2,23,1
2,1656,4,19,2,2013,2,23,1
1,1662,4,18,2,2013,23,20,1
7,5156,4,10,2,2013,22,33,1
7,5156,4,10,2,2013,22,33,1
6,144,4,9,2,2013,8,0,1
6,1236,4,9,2,2013,2,6,1
6,1236,4,9,2,2013,2,6,1
6,1236,4,9,2,2013,1,27,1
6,1236,4,9,2,2013,1,27,1
6,831,4,9,2,2013,0,55,1
6,831,4,9,2,2013,0,55,1
6,831,4,9,2,2013,0,1,1
6,831,4,9,2,2013,0,1,1
5,831,4,8,2,2013,23,45,1
5,831,4,8,2,2013,23,45,1
5,831,4,8,2,2013,22,56,1
5,831,4,8,2,2013,22,56,1
4,3131,10,7,2,2013,13,36,1
4,3131,10,7,2,2013,13,36,1
4,644,1,7,2,2013,2,50,1
3,1172,4,6,2,2013,23,30,1
3,6695,5,6,2,2013,22,48,1
3,6695,5,6,2,2013,22,48,1
3,2889,10,6,2,2013,21,5,1
3,2889,10,6,2,2013,21,5,1
2,831,4,5,2,2013,23,30,1
2,1656,4,5,2,2013,0,1,1
2,1656,4,5,2,2013,0,1,1
6,2405,5,26,1,2013,2,5,1
6,2405,5,26,1,2013,0,50,1
6,2405,5,26,1,2013,0,50,1
5,6695,5,25,1,2013,23,50,1
5,1729,5,25,1,2013,22,50,1
5,1236,4,25,1,2013,1,48,1
4,13562,7,24,1,2013,14,10,1
3,2405,5,23,1,2013,22,7,1
3,2405,5,23,1,2013,22,7,1
3,5773,4,23,1,2013,19,10,1
3,220,4,23,1,2013,1,40,1
2,6695,5,22,1,2013,22,50,1
2,6695,5,22,1,2013,22,50,1
2,5773,4,22,1,2013,20,0,1
2,5773,4,22,1,2013,20,0,1
2,5773,4,22,1,2013,19,15,1
2,5773,4,22,1,2013,19,15,1
5,831,4,11,1,2013,22,23,1
5,5773,4,11,1,2013,19,30,1
5,1236,4,11,1,2013,1,3,1
4,1656,4,10,1,2013,1,22,1
4,1656,4,10,1,2013,1,22,1
3,2680,4,9,1,2013,22,30,1
3,2680,4,9,1,2013,22,30,1
2,2405,5,8,1,2013,22,15,1
2,6695,5,8,1,2013,21,40,1
2,6695,5,8,1,2013,21,40,1
2,5773,4,8,1,2013,19,25,1
2,5773,4,8,1,2013,19,25,1
2,5773,4,8,1,2013,18,55,1
2,727,4,8,1,2013,0,28,1
7,1656,4,30,12,2012,22,28,1
7,1656,4,30,12,2012,22,28,1
6,1504,4,29,12,2012,23,35,1
6,8529,4,29,12,2012,2,47,1
6,3854,4,29,12,2012,0,1,1
5,899,4,28,12,2012,23,45,1
5,125,2,28,12,2012,16,0,1
5,125,2,28,12,2012,16,0,1
5,5820,4,28,12,2012,3,19,1
5,5820,4,28,12,2012,3,19,1
5,1662,4,28,12,2012,0,22,1
4,1662,4,27,12,2012,22,30,1
4,5773,4,27,12,2012,21,48,1
4,5773,4,27,12,2012,21,48,1
4,5773,4,27,12,2012,18,50,1
4,5773,4,27,12,2012,18,50,1
4,4204,4,27,12,2012,1,0,1
4,4204,4,27,12,2012,1,0,1
6,6695,5,15,12,2012,1,11,1
6,2405,5,15,12,2012,0,37,1
6,2405,5,15,12,2012,0,37,1
6,6695,5,15,12,2012,0,5,1
6,6695,5,15,12,2012,0,5,1
5,2405,5,14,12,2012,23,33,1
5,1172,4,14,12,2012,1,50,1
5,1172,4,14,12,2012,1,50,1
5,7397,4,14,12,2012,1,5,1
5,7397,4,14,12,2012,1,5,1
4,899,4,13,12,2012,23,59,1
3,5773,4,12,12,2012,19,40,1
3,5773,4,12,12,2012,19,40,1
3,5773,4,12,12,2012,19,0,1
3,5773,4,12,12,2012,19,0,1
2,5773,4,11,12,2012,22,22,1
2,5773,4,11,12,2012,21,35,1
2,5773,4,11,12,2012,21,0,1
2,5773,4,11,12,2012,21,0,1
2,5773,4,11,12,2012,17,55,1
4,3803,4,29,11,2012,1,50,1
4,5156,4,29,11,2012,0,55,1
3,1236,4,28,11,2012,23,10,1
3,1236,4,28,11,2012,23,10,1
3,831,4,28,11,2012,1,20,1
2,5820,4,27,11,2012,23,32,1
2,5820,4,27,11,2012,23,32,1
2,6695,5,27,11,2012,21,59,1
2,6695,5,27,11,2012,21,59,1
2,1191,10,27,11,2012,19,0,1
2,1191,10,27,11,2012,19,0,1
2,1191,10,27,11,2012,18,50,1
2,1558,1,27,11,2012,1,45,1
1,7397,4,26,11,2012,0,42,1
7,7397,4,18,11,2012,2,25,1
7,5034,3,18,11,2012,1,26,1
6,6695,5,17,11,2012,2,10,1
6,6695,5,17,11,2012,2,10,1
6,8895,3,17,11,2012,1,54,1
6,6695,5,17,11,2012,1,15,1
6,6695,5,17,11,2012,1,15,1
6,6695,5,17,11,2012,0,15,1
5,6695,5,16,11,2012,23,20,1
5,6695,5,16,11,2012,23,20,1
4,2405,5,15,11,2012,22,44,1
4,831,4,15,11,2012,19,25,1
4,831,4,15,11,2012,19,25,1
4,4280,4,15,11,2012,1,50,1
4,5156,4,15,11,2012,0,31,1
4,5156,4,15,11,2012,0,31,1
3,8529,4,14,11,2012,23,0,1
3,8529,4,14,11,2012,4,5,1
2,6695,5,13,11,2012,22,27,1
2,6695,5,13,11,2012,22,27,1
2,1191,10,13,11,2012,19,5,1
2,1191,10,13,11,2012,18,30,1
2,1191,10,13,11,2012,18,30,1
2,831,4,13,11,2012,5,11,1
2,6690,4,13,11,2012,0,46,1
2,6690,4,13,11,2012,0,46,1
1,1236,4,12,11,2012,23,33,1
1,1236,4,12,11,2012,23,33,1
1,8039,4,12,11,2012,2,50,1
1,14595,4,12,11,2012,0,10,1
1,14595,4,12,11,2012,0,10,1
6,10040,4,3,11,2012,22,25,1
6,10040,4,3,11,2012,22,25,1
5,899,4,2,11,2012,2,4,1
2,2405,5,30,10,2012,22,25,1
2,2405,5,30,10,2012,22,25,1
2,2405,5,30,10,2012,21,45,1
2,2889,10,30,10,2012,19,30,1
2,2889,10,30,10,2012,18,37,1
2,2889,10,30,10,2012,18,37,1
5,2405,5,19,10,2012,21,9,1
5,2405,5,19,10,2012,21,9,1
5,14595,4,19,10,2012,1,30,1
5,14595,4,19,10,2012,1,30,1
5,4280,4,19,10,2012,1,7,1
5,8529,4,19,10,2012,1,0,1
5,8529,4,19,10,2012,1,0,1
4,1236,4,18,10,2012,23,14,1
4,1236,4,18,10,2012,23,14,1
4,5156,4,18,10,2012,1,30,1
4,4531,4,18,10,2012,1,7,1
3,6695,5,17,10,2012,21,49,1
3,1191,10,17,10,2012,19,25,1
3,1191,10,17,10,2012,19,25,1
3,1191,10,17,10,2012,18,20,1
3,5819,4,17,10,2012,4,49,1
2,831,4,16,10,2012,22,20,1
2,831,4,16,10,2012,22,20,1
2,1662,4,16,10,2012,21,45,1
2,1662,4,16,10,2012,21,45,1
2,1191,10,16,10,2012,19,34,1
2,1191,10,16,10,2012,19,34,1
2,8939,4,16,10,2012,0,59,1
7,125,2,7,10,2012,3,43,1
4,5156,4,4,10,2012,1,40,1
3,2270,1,3,10,2012,19,3,1
2,1129,4,2,10,2012,2,20,1
2,1129,4,2,10,2012,2,20,1
2,6916,4,2,10,2012,1,30,1
1,2683,1,1,10,2012,12,0,1
1,8039,4,1,10,2012,3,46,1
1,10608,4,1,10,2012,2,3,1
7,1656,4,23,9,2012,3,21,1
4,2891,5,20,9,2012,21,0,1
3,6695,5,19,9,2012,22,5,1
3,6695,5,19,9,2012,22,5,1
3,6695,5,19,9,2012,0,35,1
2,2405,5,18,9,2012,23,2,1
