"day","address","location","date","month","year","hour","min","RUNAWAY"
4,6706,9,17,10,2013,19,30,1
6,6706,9,5,10,2013,10,45,1
5,1449,1,4,10,2013,18,45,1
5,114,8,4,10,2013,9,0,1
4,6706,9,3,10,2013,8,30,1
2,8695,1,1,10,2013,12,0,1
1,803,6,30,9,2013,19,30,1
1,6706,9,30,9,2013,10,0,1
6,803,6,21,9,2013,17,15,1
6,6706,9,21,9,2013,11,30,1
6,6102,1,21,9,2013,11,0,1
5,6706,9,20,9,2013,9,6,1
4,1645,9,19,9,2013,12,30,1
4,6706,9,19,9,2013,11,30,1
4,6706,9,19,9,2013,10,30,1
3,6706,9,18,9,2013,6,56,1
1,9236,7,16,9,2013,22,0,1
7,6706,9,8,9,2013,8,52,1
6,803,6,7,9,2013,12,30,1
6,6706,9,7,9,2013,10,0,1
2,656,9,3,9,2013,15,45,1
4,144,4,22,8,2013,9,40,1
4,756,3,22,8,2013,9,15,1
2,756,3,20,8,2013,12,40,1
5,8763,8,9,8,2013,12,0,1
1,803,6,5,8,2013,18,40,1
7,656,9,28,7,2013,13,0,1
3,144,4,24,7,2013,20,53,1
1,144,4,22,7,2013,16,45,1
1,656,9,8,7,2013,15,35,1
6,3808,9,29,6,2013,9,45,1
3,2419,8,26,6,2013,18,0,1
3,803,6,26,6,2013,10,0,1
2,501,4,25,6,2013,13,17,1
6,2811,1,15,6,2013,15,0,1
3,1304,5,12,6,2013,2,31,1
5,144,4,31,5,2013,19,40,1
4,144,4,30,5,2013,20,20,1
4,4576,6,30,5,2013,8,30,1
7,144,4,5,5,2013,14,50,1
2,144,4,30,4,2013,17,15,1
2,125,2,30,4,2013,11,0,1
3,803,6,17,4,2013,21,52,1
2,4576,6,16,4,2013,21,30,1
1,803,6,15,4,2013,17,30,1
1,2433,3,15,4,2013,10,25,1
6,1161,4,6,4,2013,14,0,1
4,144,4,4,4,2013,15,15,1
3,144,4,3,4,2013,17,34,1
3,144,4,3,4,2013,17,34,1
2,656,9,2,4,2013,15,30,1
2,4326,3,2,4,2013,7,30,1
1,1631,9,1,4,2013,11,30,1
1,6706,9,1,4,2013,7,30,1
7,689,7,24,3,2013,20,30,1
7,689,7,24,3,2013,20,30,1
7,4487,3,24,3,2013,9,45,1
6,144,4,23,3,2013,15,30,1
6,2490,3,23,3,2013,11,41,1
3,631,2,20,3,2013,23,40,1
3,803,6,20,3,2013,17,14,1
3,144,4,20,3,2013,15,30,1
3,144,4,20,3,2013,15,30,1
2,144,4,19,3,2013,15,30,1
2,2868,7,19,3,2013,7,30,1
1,1131,3,18,3,2013,18,0,1
3,4656,8,6,3,2013,20,0,1
2,501,4,5,3,2013,19,40,1
2,499,2,5,3,2013,18,30,1
2,434,6,5,3,2013,8,30,1
1,803,6,4,3,2013,6,45,1
6,803,6,23,2,2013,18,15,1
1,144,4,18,2,2013,15,30,1
5,6706,9,8,2,2013,23,10,1
5,803,6,8,2,2013,21,0,1
5,9752,8,8,2,2013,15,15,1
5,6706,9,8,2,2013,10,19,1
2,803,6,5,2,2013,22,43,1
2,3015,6,5,2,2013,17,30,1
1,3749,9,4,2,2013,21,30,1
1,144,4,4,2,2013,20,56,1
1,144,4,4,2,2013,19,30,1
1,803,6,4,2,2013,19,0,1
1,144,4,4,2,2013,18,30,1
1,144,4,4,2,2013,16,40,1
1,803,6,4,2,2013,15,45,1
1,144,4,4,2,2013,14,40,1
1,126,8,4,2,2013,14,15,1
5,501,4,25,1,2013,21,45,1
5,501,4,25,1,2013,21,45,1
4,4576,6,24,1,2013,7,30,1
3,6095,4,23,1,2013,13,7,1
2,1369,7,22,1,2013,9,18,1
1,11391,6,21,1,2013,15,0,1
7,2490,3,13,1,2013,18,45,1
5,803,6,11,1,2013,16,0,1
5,803,6,11,1,2013,8,0,1
2,6184,3,8,1,2013,23,0,1
2,803,6,8,1,2013,11,45,1
5,144,4,28,12,2012,23,25,1
4,803,6,27,12,2012,8,20,1
1,2490,3,24,12,2012,13,25,1
6,803,6,15,12,2012,22,30,1
3,803,6,12,12,2012,15,30,1
3,803,6,12,12,2012,5,0,1
2,1331,4,11,12,2012,21,1,1
1,8596,9,10,12,2012,17,30,1
7,64,4,2,12,2012,15,0,1
6,803,6,1,12,2012,13,0,1
6,2490,3,1,12,2012,12,57,1
4,144,4,29,11,2012,0,55,1
3,1695,3,28,11,2012,9,0,1
5,6184,3,16,11,2012,22,0,1
4,3923,3,15,11,2012,15,5,1
4,6184,3,15,11,2012,11,30,1
4,4319,4,1,11,2012,7,0,1
3,6224,8,31,10,2012,6,30,1
2,144,4,30,10,2012,22,40,1
2,6916,4,30,10,2012,13,0,1
1,14547,9,29,10,2012,8,0,1
1,1351,8,29,10,2012,7,15,1
5,4576,6,19,10,2012,17,0,1
5,14241,8,19,10,2012,7,0,1
4,8687,4,18,10,2012,0,10,1
2,144,4,16,10,2012,21,15,1
2,803,6,16,10,2012,8,45,1
2,6184,3,16,10,2012,7,0,1
2,6184,3,16,10,2012,7,0,1
7,144,4,7,10,2012,12,54,1
6,6184,3,6,10,2012,10,0,1
5,5103,8,5,10,2012,0,1,1
3,1399,10,3,10,2012,9,40,1
1,144,4,1,10,2012,14,55,1
1,6184,3,1,10,2012,14,0,1
1,144,4,1,10,2012,11,50,1
1,17199,4,1,10,2012,11,0,1
6,2221,9,22,9,2012,14,30,1
6,4487,3,22,9,2012,11,30,1
5,6184,3,21,9,2012,19,0,1
5,144,4,21,9,2012,9,35,1
5,2955,3,21,9,2012,8,0,1
4,803,6,20,9,2012,8,0,1
1,689,7,17,9,2012,20,0,1
1,6518,7,17,9,2012,18,0,1
1,6706,9,17,9,2012,12,48,1
6,501,4,8,9,2012,13,30,1
5,4998,4,7,9,2012,16,15,1
3,5193,3,5,9,2012,22,30,1
2,5206,5,4,9,2012,23,0,1
2,144,4,4,9,2012,20,55,1
2,8255,7,4,9,2012,11,30,1
1,144,4,3,9,2012,21,5,1
1,1369,7,3,9,2012,18,45,1
1,8680,4,3,9,2012,18,0,1
6,8352,3,25,8,2012,19,0,1
5,144,4,24,8,2012,19,16,1
5,803,6,24,8,2012,9,45,1
5,803,6,24,8,2012,9,45,1
4,11008,6,23,8,2012,13,40,1
3,144,4,22,8,2012,11,10,1
3,803,6,22,8,2012,7,45,1
2,11008,6,21,8,2012,18,30,1
7,2490,3,12,8,2012,16,0,1
6,11008,6,11,8,2012,16,40,1
4,11008,6,9,8,2012,18,20,1
4,144,4,9,8,2012,16,20,1
4,144,4,9,8,2012,14,0,1
7,803,6,29,7,2012,6,32,1
5,6184,3,27,7,2012,8,0,1
4,2328,5,26,7,2012,18,35,1
4,803,6,26,7,2012,3,0,1
3,803,6,25,7,2012,14,0,1
7,803,6,15,7,2012,10,0,1
6,11008,6,14,7,2012,13,40,1
2,11008,6,10,7,2012,21,40,1
2,4125,4,10,7,2012,20,0,1
2,9315,3,10,7,2012,9,0,1
2,803,6,10,7,2012,8,45,1
7,1711,3,1,7,2012,20,0,1
7,6762,6,1,7,2012,18,0,1
6,4487,3,30,6,2012,12,0,1
6,4487,3,30,6,2012,12,0,1
6,4656,8,30,6,2012,0,1,1
4,1692,6,28,6,2012,15,50,1
3,1711,3,27,6,2012,20,0,1
3,4487,3,27,6,2012,11,0,1
2,144,4,26,6,2012,16,30,1
1,501,4,25,6,2012,19,0,1
1,144,4,25,6,2012,18,40,1
6,6184,3,16,6,2012,14,30,1
5,4576,6,15,6,2012,18,0,1
5,125,2,15,6,2012,11,25,1
5,10121,3,15,6,2012,9,0,1
4,2490,3,14,6,2012,17,0,1
3,174,8,13,6,2012,23,0,1
1,64,4,11,6,2012,17,0,1
7,803,6,3,6,2012,19,0,1
6,2490,3,2,6,2012,19,18,1
6,2490,3,2,6,2012,17,0,1
3,631,2,30,5,2012,23,45,1
3,803,6,30,5,2012,2,15,1
6,803,6,19,5,2012,18,0,1
5,803,6,18,5,2012,15,0,1
4,4998,4,17,5,2012,8,0,1
3,4478,4,16,5,2012,20,48,1
2,144,4,15,5,2012,9,0,1
2,144,4,15,5,2012,9,0,1
7,144,4,6,5,2012,14,35,1
7,191,3,6,5,2012,13,15,1
6,357,4,5,5,2012,2,39,1
5,4261,4,4,5,2012,16,30,1
4,6184,3,3,5,2012,10,45,1
3,803,6,2,5,2012,7,0,1
2,144,4,1,5,2012,18,40,1
2,144,4,1,5,2012,12,10,1
1,736,4,30,4,2012,7,45,1
5,689,7,20,4,2012,13,30,1
5,144,4,20,4,2012,10,30,1
5,125,2,20,4,2012,8,0,1
5,17199,4,20,4,2012,7,45,1
5,965,1,20,4,2012,7,0,1
4,6184,3,19,4,2012,13,0,1
4,11008,6,19,4,2012,10,30,1
3,2676,9,18,4,2012,7,30,1
2,13586,5,17,4,2012,21,0,1
2,8828,7,17,4,2012,8,23,1
2,803,6,17,4,2012,4,0,1
2,803,6,17,4,2012,4,0,1
7,4661,8,8,4,2012,18,0,1
7,144,4,25,3,2012,13,20,1
6,803,6,24,3,2012,19,20,1
4,6184,3,22,3,2012,11,30,1
7,1369,7,11,3,2012,17,45,1
7,4487,3,11,3,2012,10,0,1
6,2490,3,10,3,2012,17,15,1
5,6661,3,9,3,2012,7,45,1
5,6661,3,9,3,2012,7,45,1
5,6661,3,9,3,2012,7,45,1
4,2490,3,8,3,2012,17,30,1
4,6184,3,8,3,2012,10,30,1
4,631,2,8,3,2012,0,1,1
3,5729,3,7,3,2012,16,30,1
2,6092,3,6,3,2012,8,45,1
2,5486,3,6,3,2012,5,45,1
1,2490,3,5,3,2012,21,45,1
5,2749,9,24,2,2012,18,45,1
4,803,6,23,2,2012,10,45,1
4,803,6,23,2,2012,10,45,1
4,6184,3,23,2,2012,9,30,1
4,6184,3,23,2,2012,9,15,1
3,803,6,22,2,2012,8,0,1
2,689,7,21,2,2012,8,30,1
2,144,4,21,2,2012,1,50,1
7,6184,3,12,2,2012,22,0,1
7,11008,6,12,2,2012,9,0,1
6,10687,4,11,2,2012,17,16,1
6,144,4,11,2,2012,16,28,1
5,6184,3,10,2,2012,22,45,1
5,2490,3,10,2,2012,18,0,1
5,14114,7,10,2,2012,14,0,1
5,6184,3,10,2,2012,9,0,1
5,11442,3,10,2,2012,7,30,1
1,11008,6,6,2,2012,10,0,1
6,357,4,28,1,2012,18,30,1
6,6184,3,28,1,2012,15,0,1
6,6184,3,28,1,2012,11,0,1
3,803,6,25,1,2012,12,0,1
3,756,3,25,1,2012,10,30,1
2,534,4,24,1,2012,20,0,1
2,1233,4,24,1,2012,19,30,1
1,2490,3,23,1,2012,19,0,1
7,631,2,15,1,2012,0,1,1
6,6184,3,14,1,2012,0,15,1
5,1369,7,13,1,2012,15,15,1
3,144,4,11,1,2012,15,40,1
2,6184,3,10,1,2012,18,30,1
1,517,2,9,1,2012,18,30,1
7,1291,1,1,1,2012,18,30,1
7,1291,1,1,1,2012,18,30,1
7,7347,7,1,1,2012,13,0,1
6,4984,1,31,12,2011,17,30,1
6,4984,1,31,12,2011,17,30,1
6,4984,1,31,12,2011,17,30,1
6,4984,1,31,12,2011,17,30,1
2,105,5,27,12,2011,19,28,1
1,689,7,26,12,2011,20,13,1
6,144,4,17,12,2011,22,30,1
6,144,4,17,12,2011,14,40,1
6,6184,3,17,12,2011,11,0,1
6,144,4,17,12,2011,4,40,1
5,5148,9,16,12,2011,8,30,1
4,4203,6,15,12,2011,14,0,1
3,6916,4,14,12,2011,12,10,1
1,803,6,12,12,2011,12,0,1
7,144,4,4,12,2011,15,43,1
7,803,6,4,12,2011,11,50,1
6,12990,2,3,12,2011,8,0,1
5,3497,8,2,12,2011,9,0,1
2,144,4,29,11,2011,15,29,1
2,803,6,29,11,2011,15,0,1
2,11008,6,29,11,2011,7,0,1
1,144,4,28,11,2011,14,15,1
6,144,4,19,11,2011,9,25,1
4,6184,3,17,11,2011,22,30,1
3,803,6,16,11,2011,21,0,1
3,756,3,16,11,2011,14,30,1
7,144,4,6,11,2011,18,18,1
7,11008,6,6,11,2011,18,5,1
7,9357,9,6,11,2011,13,0,1
7,144,4,6,11,2011,12,28,1
7,6184,3,6,11,2011,10,0,1
3,1369,7,2,11,2011,12,30,1
2,1369,7,1,11,2011,14,50,1
2,125,2,1,11,2011,5,30,1
1,144,4,31,10,2011,17,51,1
1,7871,3,31,10,2011,17,45,1
1,9337,3,31,10,2011,10,0,1
1,3487,9,31,10,2011,8,10,1
6,11008,6,22,10,2011,22,0,1
6,803,6,22,10,2011,11,0,1
4,144,4,20,10,2011,16,26,1
4,144,4,20,10,2011,14,30,1
4,11008,6,20,10,2011,13,0,1
4,803,6,20,10,2011,7,0,1
4,803,6,20,10,2011,5,30,1
3,144,4,19,10,2011,19,0,1
2,11008,6,18,10,2011,17,30,1
2,144,4,18,10,2011,14,48,1
7,11008,6,9,10,2011,19,0,1
5,2490,3,7,10,2011,12,15,1
4,803,6,6,10,2011,23,10,1
3,2490,3,5,10,2011,21,0,1
3,3007,8,5,10,2011,9,45,1
1,4998,4,3,10,2011,15,30,1
7,4576,6,25,9,2011,12,0,1
6,11008,6,24,9,2011,20,30,1
5,4487,3,23,9,2011,18,30,1
7,144,4,11,9,2011,19,35,1
5,803,6,9,9,2011,20,30,1
2,5907,7,6,9,2011,7,20,1
1,2267,2,5,9,2011,15,30,1
1,14703,7,5,9,2011,7,25,1
6,144,4,27,8,2011,18,30,1
5,144,4,26,8,2011,14,18,1
5,803,6,26,8,2011,11,45,1
4,631,2,25,8,2011,20,0,1
4,631,2,25,8,2011,18,0,1
4,144,4,25,8,2011,10,35,1
1,2828,8,22,8,2011,20,50,1
5,15112,6,12,8,2011,20,0,1
5,144,4,12,8,2011,12,35,1
2,144,4,9,8,2011,9,7,1
1,144,4,8,8,2011,10,38,1
1,144,4,8,8,2011,10,38,1
6,2490,3,30,7,2011,22,0,1
6,2490,3,30,7,2011,9,0,1
3,882,3,27,7,2011,16,40,1
3,144,4,27,7,2011,12,50,1
3,2490,3,27,7,2011,0,15,1
2,803,6,26,7,2011,9,0,1
1,713,4,25,7,2011,16,0,1
1,803,6,25,7,2011,10,0,1
6,2490,3,16,7,2011,19,0,1
6,2490,3,16,7,2011,19,0,1
5,560,8,15,7,2011,19,0,1
5,7281,9,15,7,2011,8,25,1
4,656,9,14,7,2011,19,0,1
2,144,4,12,7,2011,20,24,1
7,14895,7,3,7,2011,15,20,1
7,803,6,3,7,2011,11,0,1
6,6184,3,2,7,2011,21,5,1
6,1074,3,2,7,2011,7,30,1
4,2490,3,30,6,2011,11,5,1
3,144,4,29,6,2011,19,40,1
3,2490,3,29,6,2011,10,30,1
2,2490,3,28,6,2011,11,35,1
6,4576,6,18,6,2011,15,15,1
4,125,2,16,6,2011,10,15,1
4,779,2,16,6,2011,3,0,1
2,10175,8,14,6,2011,18,0,1
1,735,4,13,6,2011,16,45,1
7,2490,3,5,6,2011,18,35,1
7,656,9,5,6,2011,11,50,1
7,5253,6,5,6,2011,9,30,1
4,14547,9,2,6,2011,11,0,1
3,13134,3,1,6,2011,7,0,1
2,2490,3,31,5,2011,16,0,1
6,631,2,21,5,2011,0,20,1
5,656,9,20,5,2011,13,45,1
4,1850,4,19,5,2011,13,30,1
3,3153,6,18,5,2011,6,45,1
1,2490,3,16,5,2011,14,30,1
6,11008,6,7,5,2011,19,0,1
4,2862,10,5,5,2011,18,45,1
4,2854,8,5,5,2011,13,0,1
3,803,6,4,5,2011,3,28,1
2,3932,3,3,5,2011,6,30,1
6,10161,8,23,4,2011,20,0,1
5,803,6,22,4,2011,8,55,1
4,803,6,21,4,2011,15,0,1
3,803,6,20,4,2011,9,30,1
3,631,2,20,4,2011,8,0,1
3,803,6,20,4,2011,6,20,1
5,803,6,8,4,2011,19,20,1
5,7693,8,8,4,2011,17,30,1
3,97,2,6,4,2011,9,0,1
3,10644,9,6,4,2011,8,0,1
2,144,4,5,4,2011,19,10,1
2,2490,3,5,4,2011,9,36,1
1,2815,3,4,4,2011,15,21,1
1,6522,8,4,4,2011,10,0,1
7,803,6,27,3,2011,22,0,1
6,2150,3,26,3,2011,14,54,1
5,144,4,25,3,2011,17,25,1
4,144,4,24,3,2011,21,32,1
1,144,4,21,3,2011,19,32,1
1,4576,6,21,3,2011,18,30,1
1,144,4,21,3,2011,17,40,1
7,126,8,13,3,2011,20,0,1
5,803,6,11,3,2011,5,30,1
5,144,4,11,3,2011,0,5,1
4,211,5,10,3,2011,15,8,1
5,803,6,25,2,2011,6,30,1
4,125,2,24,2,2011,12,20,1
2,9166,4,22,2,2011,8,0,1
1,2981,8,21,2,2011,22,0,1
1,13787,3,21,2,2011,15,0,1
1,1369,7,21,2,2011,14,15,1
7,144,4,13,2,2011,2,50,1
6,144,4,12,2,2011,18,15,1
5,3153,6,28,1,2011,21,0,1
4,126,8,27,1,2011,18,0,1
4,2679,6,27,1,2011,16,15,1
4,2490,3,27,1,2011,10,0,1
3,16574,8,26,1,2011,21,20,1
3,1369,7,26,1,2011,15,45,1
3,144,4,26,1,2011,11,14,1
1,9629,5,24,1,2011,21,0,1
1,803,6,24,1,2011,7,49,1
7,1352,4,16,1,2011,17,55,1
7,1352,4,16,1,2011,17,55,1
3,656,9,12,1,2011,8,0,1
1,11669,4,10,1,2011,22,0,1
6,125,2,1,1,2011,17,58,1
5,2490,3,31,12,2010,23,0,1
5,125,2,31,12,2010,11,0,1
5,16098,8,31,12,2010,9,10,1
1,1611,3,27,12,2010,17,0,1
1,11008,6,27,12,2010,0,15,1
7,97,2,19,12,2010,20,0,1
6,144,4,18,12,2010,21,35,1
4,511,4,16,12,2010,16,0,1
4,144,4,16,12,2010,15,13,1
3,434,6,15,12,2010,18,50,1
5,803,6,3,12,2010,18,30,1
4,460,5,2,12,2010,8,5,1
4,3932,3,2,12,2010,7,30,1
3,1352,4,1,12,2010,16,50,1
1,12628,4,29,11,2010,17,30,1
1,14134,4,29,11,2010,11,0,1
7,125,2,21,11,2010,15,5,1
5,16312,8,19,11,2010,7,30,1
4,12757,7,18,11,2010,22,0,1
3,10644,9,17,11,2010,17,0,1
2,1306,2,16,11,2010,7,40,1
5,631,2,5,11,2010,15,59,1
4,213,4,4,11,2010,17,0,1
4,126,8,4,11,2010,9,0,1
3,9205,8,3,11,2010,8,0,1
2,803,6,2,11,2010,7,30,1
5,11008,6,22,10,2010,17,0,1
5,1803,8,22,10,2010,8,25,1
2,803,6,19,10,2010,13,0,1
2,17197,8,19,10,2010,7,0,1
1,8341,5,18,10,2010,15,36,1
5,2490,3,8,10,2010,23,0,1
5,11008,6,8,10,2010,8,40,1
1,2254,4,4,10,2010,7,30,1
6,803,6,25,9,2010,22,30,1
6,144,4,25,9,2010,19,45,1
6,7397,4,25,9,2010,19,0,1
5,11008,6,24,9,2010,23,15,1
1,2490,3,20,9,2010,15,35,1
6,501,4,11,9,2010,13,50,1
3,3161,8,8,9,2010,15,30,1
1,803,6,6,9,2010,9,5,1
5,9741,5,27,8,2010,11,16,1
4,2312,3,26,8,2010,7,0,1
3,12356,3,25,8,2010,0,8,1
2,144,4,24,8,2010,19,5,1
7,2880,3,15,8,2010,20,28,1
5,13920,9,13,8,2010,10,0,1
4,4576,6,12,8,2010,19,0,1
4,144,4,12,8,2010,18,40,1
1,803,6,9,8,2010,18,30,1
1,10273,7,9,8,2010,15,0,1
6,6683,3,31,7,2010,9,0,1
4,144,4,29,7,2010,16,55,1
3,803,6,28,7,2010,9,30,1
2,10644,9,27,7,2010,11,30,1
1,3855,5,26,7,2010,21,30,1
1,2490,3,26,7,2010,11,35,1
5,2490,3,16,7,2010,19,0,1
4,8687,4,15,7,2010,0,10,1
3,803,6,14,7,2010,10,0,1
7,4736,3,4,7,2010,11,0,1
6,8274,4,3,7,2010,18,0,1
5,125,2,2,7,2010,20,0,1
4,2318,4,1,7,2010,11,39,1
3,803,6,30,6,2010,11,48,1
1,144,4,28,6,2010,19,40,1
7,621,3,20,6,2010,23,30,1
4,125,2,17,6,2010,18,24,1
2,4576,6,15,6,2010,12,55,1
6,7955,4,5,6,2010,9,0,1
5,2490,3,4,6,2010,22,0,1
4,5216,1,3,6,2010,21,56,1
4,4576,6,3,6,2010,7,30,1
2,2329,1,1,6,2010,19,0,1
2,803,6,1,6,2010,17,0,1
2,5955,8,1,6,2010,8,0,1
2,803,6,1,6,2010,2,0,1
1,125,2,31,5,2010,16,45,1
7,89,1,23,5,2010,14,0,1
5,2318,4,21,5,2010,21,0,1
5,1595,9,21,5,2010,8,15,1
4,3226,6,20,5,2010,18,0,1
4,15252,4,20,5,2010,17,33,1
4,803,6,20,5,2010,15,15,1
4,227,1,20,5,2010,7,40,1
1,1369,7,17,5,2010,19,0,1
5,3120,7,7,5,2010,11,30,1
5,1392,4,7,5,2010,8,0,1
4,3121,4,6,5,2010,17,0,1
4,13633,9,6,5,2010,11,0,1
3,803,6,5,5,2010,18,0,1
1,243,3,3,5,2010,17,30,1
7,11008,6,25,4,2010,11,30,1
6,1136,4,24,4,2010,8,30,1
2,6524,8,20,4,2010,19,0,1
2,3808,9,20,4,2010,0,1,1
1,803,6,19,4,2010,13,0,1
1,803,6,19,4,2010,4,50,1
1,2598,2,19,4,2010,2,13,1
6,2604,8,27,3,2010,19,0,1
5,2345,3,26,3,2010,8,0,1
3,1369,7,24,3,2010,18,0,1
3,11008,6,24,3,2010,7,40,1
7,144,4,14,3,2010,20,30,1
7,11008,6,14,3,2010,12,0,1
6,5311,8,13,3,2010,15,0,1
4,1135,4,11,3,2010,6,0,1
3,4576,6,10,3,2010,7,50,1
1,7244,9,8,3,2010,17,0,1
1,756,3,8,3,2010,12,0,1
7,144,4,28,2,2010,9,20,1
6,2880,3,27,2,2010,21,0,1
1,6102,1,22,2,2010,16,30,1
1,4998,4,22,2,2010,11,0,1
7,803,6,14,2,2010,3,0,1
4,461,9,11,2,2010,7,30,1
