"day","address","location","date","month","year","hour","min","TRESPASS"
6,7207,9,24,1,2015,21,6,1
6,7207,9,24,1,2015,21,6,1
6,232,4,24,1,2015,18,9,1
6,5464,5,24,1,2015,10,45,1
5,213,4,23,1,2015,17,49,1
5,648,2,23,1,2015,14,5,1
5,3150,3,23,1,2015,2,58,1
5,501,4,23,1,2015,1,48,1
4,5876,2,22,1,2015,9,36,1
4,501,4,22,1,2015,7,40,1
4,2855,1,22,1,2015,7,30,1
4,7417,2,22,1,2015,7,12,1
3,3331,2,21,1,2015,9,31,1
2,232,4,20,1,2015,16,0,1
2,7519,1,20,1,2015,15,55,1
2,1918,1,20,1,2015,15,30,1
2,501,4,20,1,2015,13,19,1
2,4358,9,20,1,2015,7,0,1
2,1154,9,20,1,2015,3,0,1
1,1445,1,19,1,2015,20,30,1
1,927,1,19,1,2015,10,40,1
1,3890,6,19,1,2015,6,0,1
1,7619,5,19,1,2015,5,30,1
1,1012,4,19,1,2015,0,12,1
7,390,5,11,1,2015,20,19,1
6,998,5,10,1,2015,21,0,1
6,132,7,10,1,2015,19,43,1
6,7745,4,10,1,2015,9,20,1
5,1287,2,9,1,2015,23,0,1
5,438,6,9,1,2015,20,0,1
5,772,10,9,1,2015,14,32,1
5,3396,10,9,1,2015,8,40,1
5,1208,10,9,1,2015,3,9,1
4,7878,6,8,1,2015,13,34,1
4,54,1,8,1,2015,9,40,1
4,125,2,8,1,2015,9,38,1
4,1809,10,8,1,2015,8,30,1
4,7894,2,8,1,2015,7,1,1
4,7895,1,8,1,2015,7,0,1
4,2944,2,8,1,2015,2,45,1
3,2609,2,7,1,2015,18,35,1
3,554,10,7,1,2015,11,49,1
3,7960,2,7,1,2015,8,50,1
3,1790,1,7,1,2015,7,30,1
2,4680,6,6,1,2015,14,0,1
2,924,5,6,1,2015,6,23,1
1,3934,2,5,1,2015,21,17,1
1,83,2,5,1,2015,11,20,1
1,1214,10,5,1,2015,5,56,1
1,518,10,5,1,2015,4,29,1
7,323,9,28,12,2014,13,30,1
7,1555,2,28,12,2014,11,16,1
7,540,5,28,12,2014,7,30,1
7,501,4,28,12,2014,3,35,1
6,125,2,27,12,2014,4,0,1
5,8217,1,26,12,2014,23,50,1
5,5466,8,26,12,2014,22,29,1
5,501,4,26,12,2014,4,50,1
4,3131,10,25,12,2014,16,50,1
4,8304,8,25,12,2014,5,0,1
3,927,1,24,12,2014,23,58,1
3,1613,9,24,12,2014,21,0,1
3,5431,6,24,12,2014,14,0,1
3,1150,2,24,12,2014,13,44,1
3,1334,3,24,12,2014,13,0,1
2,268,1,23,12,2014,21,40,1
2,5169,2,23,12,2014,12,8,1
2,3346,8,23,12,2014,12,0,1
2,7784,2,23,12,2014,11,0,1
2,3582,5,23,12,2014,10,51,1
1,1913,5,22,12,2014,14,40,1
1,3762,1,22,12,2014,14,20,1
1,708,1,22,12,2014,8,55,1
1,8006,7,22,12,2014,8,50,1
7,2159,10,14,12,2014,22,0,1
7,1428,3,14,12,2014,16,53,1
7,349,2,14,12,2014,15,39,1
6,755,4,13,12,2014,23,8,1
6,3164,9,13,12,2014,15,0,1
6,8587,9,13,12,2014,14,30,1
6,1839,5,13,12,2014,10,55,1
6,1235,5,13,12,2014,8,0,1
6,3384,9,13,12,2014,7,24,1
6,4291,8,13,12,2014,3,0,1
5,4888,3,12,12,2014,23,40,1
5,518,10,12,12,2014,5,55,1
3,568,4,10,12,2014,23,18,1
3,8736,8,10,12,2014,19,25,1
3,716,5,10,12,2014,17,0,1
3,6750,5,10,12,2014,7,35,1
3,8597,9,10,12,2014,1,20,1
3,927,1,10,12,2014,0,5,1
1,717,2,8,12,2014,18,10,1
1,88,2,8,12,2014,15,35,1
1,4513,2,8,12,2014,8,30,1
7,501,4,30,11,2014,21,48,1
7,58,10,30,11,2014,18,0,1
7,8597,9,30,11,2014,17,30,1
7,8931,9,30,11,2014,10,0,1
6,8931,9,29,11,2014,17,0,1
5,408,2,28,11,2014,19,45,1
5,4561,3,28,11,2014,13,10,1
4,376,2,27,11,2014,23,39,1
4,926,4,27,11,2014,19,19,1
4,2151,7,27,11,2014,8,4,1
2,2543,5,25,11,2014,17,0,1
2,5566,8,25,11,2014,16,15,1
2,119,6,25,11,2014,9,0,1
1,1760,10,24,11,2014,20,5,1
1,501,4,24,11,2014,2,19,1
7,501,4,16,11,2014,22,37,1
7,9266,7,16,11,2014,20,33,1
7,862,5,16,11,2014,2,0,1
6,8384,2,15,11,2014,23,0,1
6,2667,9,15,11,2014,17,36,1
6,4341,2,15,11,2014,13,0,1
6,3404,3,15,11,2014,12,8,1
6,2667,9,15,11,2014,12,0,1
6,8436,2,15,11,2014,7,25,1
6,812,5,15,11,2014,0,32,1
5,2667,9,14,11,2014,12,30,1
5,3653,9,14,11,2014,9,55,1
5,2667,9,14,11,2014,8,30,1
5,1162,1,14,11,2014,7,30,1
3,468,2,12,11,2014,11,46,1
3,2483,1,12,11,2014,2,5,1
2,501,4,11,11,2014,13,0,1
2,3384,9,11,11,2014,9,55,1
2,7621,5,11,11,2014,7,15,1
1,501,4,10,11,2014,18,50,1
1,745,1,10,11,2014,10,0,1
1,501,4,10,11,2014,4,0,1
1,501,4,10,11,2014,3,54,1
1,744,10,10,11,2014,3,5,1
7,501,4,2,11,2014,2,2,1
6,897,2,1,11,2014,11,41,1
2,501,4,28,10,2014,21,15,1
2,1162,1,28,10,2014,2,20,1
2,501,4,28,10,2014,0,1,1
1,2790,3,27,10,2014,11,56,1
7,1404,7,19,10,2014,21,10,1
7,157,10,19,10,2014,17,15,1
7,9981,2,19,10,2014,16,43,1
7,8187,8,19,10,2014,12,15,1
7,1635,1,19,10,2014,8,40,1
7,1220,10,19,10,2014,3,15,1
6,568,4,18,10,2014,20,43,1
6,3521,8,18,10,2014,20,14,1
6,379,1,18,10,2014,19,43,1
6,4618,5,18,10,2014,13,0,1
5,115,8,17,10,2014,21,35,1
5,222,5,17,10,2014,9,14,1
5,860,4,17,10,2014,8,35,1
5,1407,1,17,10,2014,8,0,1
5,5908,1,17,10,2014,6,50,1
4,1360,4,16,10,2014,21,40,1
4,1287,2,16,10,2014,21,30,1
4,9617,5,16,10,2014,21,0,1
4,10143,9,16,10,2014,12,0,1
4,9441,1,16,10,2014,9,30,1
4,10151,5,16,10,2014,7,30,1
4,501,4,16,10,2014,5,10,1
3,349,2,15,10,2014,14,27,1
3,10182,6,15,10,2014,12,30,1
3,10198,1,15,10,2014,4,45,1
2,784,2,14,10,2014,23,30,1
2,28,4,14,10,2014,19,48,1
2,501,4,14,10,2014,19,12,1
1,144,4,13,10,2014,23,56,1
1,10254,3,13,10,2014,21,7,1
1,779,2,13,10,2014,20,0,1
1,10268,8,13,10,2014,15,23,1
1,6166,2,13,10,2014,9,35,1
1,2268,2,13,10,2014,6,30,1
7,208,1,5,10,2014,17,15,1
7,1823,1,5,10,2014,7,0,1
6,2096,8,4,10,2014,17,0,1
6,4709,5,4,10,2014,16,20,1
5,979,4,3,10,2014,22,26,1
5,7249,4,3,10,2014,19,54,1
5,7152,4,3,10,2014,18,15,1
4,3378,3,2,10,2014,3,27,1
3,366,10,1,10,2014,14,12,1
3,3567,6,1,10,2014,8,0,1
3,795,3,1,10,2014,2,0,1
2,465,4,30,9,2014,17,55,1
2,277,10,30,9,2014,8,14,1
1,358,6,29,9,2014,17,46,1
1,10595,9,29,9,2014,11,50,1
1,10005,5,29,9,2014,10,45,1
1,36,2,29,9,2014,7,1,1
7,4736,3,21,9,2014,11,30,1
6,784,2,20,9,2014,18,24,1
6,2783,4,20,9,2014,16,0,1
6,392,4,20,9,2014,7,0,1
5,6504,3,19,9,2014,14,45,1
5,358,6,19,9,2014,12,4,1
5,7827,4,19,9,2014,11,30,1
5,2041,10,19,9,2014,8,19,1
5,358,6,19,9,2014,7,30,1
4,2101,1,18,9,2014,16,40,1
4,60,5,18,9,2014,14,0,1
4,8544,5,18,9,2014,6,49,1
4,1259,8,18,9,2014,3,20,1
4,501,4,18,9,2014,1,58,1
3,158,2,17,9,2014,14,41,1
3,1917,2,17,9,2014,8,42,1
3,1917,2,17,9,2014,8,25,1
3,6571,6,17,9,2014,8,0,1
3,1917,2,17,9,2014,7,34,1
1,305,9,15,9,2014,13,16,1
1,9199,3,15,9,2014,8,6,1
1,4609,9,15,9,2014,7,16,1
7,8006,7,7,9,2014,12,1,1
6,3396,10,6,9,2014,20,30,1
6,3933,7,6,9,2014,14,17,1
6,83,2,6,9,2014,12,45,1
6,77,10,6,9,2014,9,0,1
5,927,1,5,9,2014,19,30,1
5,22,10,5,9,2014,19,0,1
5,1287,2,5,9,2014,14,21,1
5,501,4,5,9,2014,4,17,1
4,1261,9,4,9,2014,20,0,1
4,11035,9,4,9,2014,7,45,1
4,4836,6,4,9,2014,2,38,1
4,6095,4,4,9,2014,0,32,1
3,1460,3,3,9,2014,11,38,1
2,2706,10,2,9,2014,22,37,1
2,122,4,2,9,2014,18,0,1
2,202,5,2,9,2014,13,45,1
2,455,2,2,9,2014,13,21,1
2,1941,1,2,9,2014,3,0,1
1,3619,2,1,9,2014,21,0,1
1,1780,4,1,9,2014,20,18,1
7,1593,2,24,8,2014,23,26,1
7,8381,9,24,8,2014,17,0,1
7,644,1,24,8,2014,14,30,1
7,1918,1,24,8,2014,1,4,1
5,4062,4,22,8,2014,15,40,1
5,7799,4,22,8,2014,11,6,1
4,6058,1,21,8,2014,16,0,1
4,6504,3,21,8,2014,12,53,1
4,7799,4,21,8,2014,9,8,1
4,11273,6,21,8,2014,2,0,1
3,1969,4,20,8,2014,13,17,1
3,615,1,20,8,2014,9,28,1
2,2331,8,19,8,2014,18,0,1
2,501,4,19,8,2014,15,45,1
2,365,1,19,8,2014,14,45,1
2,7960,2,19,8,2014,14,30,1
2,359,10,19,8,2014,14,15,1
2,144,4,19,8,2014,0,51,1
1,11373,4,18,8,2014,12,50,1
7,11138,5,10,8,2014,20,0,1
7,7764,4,10,8,2014,18,23,1
7,501,4,10,8,2014,16,41,1
7,8892,1,10,8,2014,16,4,1
7,4086,1,10,8,2014,8,10,1
7,77,10,10,8,2014,2,12,1
6,3570,1,9,8,2014,20,52,1
6,6261,7,9,8,2014,17,50,1
6,10578,3,9,8,2014,11,12,1
5,737,5,8,8,2014,19,0,1
5,701,9,8,8,2014,18,0,1
5,355,2,8,8,2014,2,0,1
4,1111,1,7,8,2014,19,29,1
4,408,2,7,8,2014,17,8,1
4,27,5,7,8,2014,13,30,1
4,4696,1,7,8,2014,13,0,1
4,1259,8,7,8,2014,12,28,1
4,1912,1,7,8,2014,5,0,1
3,6811,3,6,8,2014,22,15,1
3,4019,4,6,8,2014,12,5,1
3,3567,6,6,8,2014,11,44,1
3,1969,4,6,8,2014,5,32,1
3,11590,8,6,8,2014,3,35,1
3,5518,4,6,8,2014,1,50,1
2,102,10,5,8,2014,14,10,1
2,501,4,5,8,2014,1,50,1
1,4848,3,4,8,2014,13,40,1
1,6158,6,4,8,2014,7,46,1
7,2559,5,27,7,2014,15,30,1
6,4062,4,26,7,2014,19,0,1
6,1941,1,26,7,2014,15,43,1
5,927,1,25,7,2014,20,0,1
5,11723,8,25,7,2014,19,10,1
5,1895,3,25,7,2014,18,0,1
5,13,3,25,7,2014,14,38,1
5,6787,3,25,7,2014,12,21,1
5,1790,1,25,7,2014,9,0,1
3,324,1,23,7,2014,19,40,1
3,1664,1,23,7,2014,8,15,1
3,3794,3,23,7,2014,3,10,1
2,98,4,22,7,2014,16,23,1
2,1525,4,22,7,2014,7,39,1
2,55,2,22,7,2014,7,0,1
2,6738,4,22,7,2014,2,7,1
1,2382,1,21,7,2014,22,10,1
1,125,2,21,7,2014,10,52,1
1,3532,3,21,7,2014,9,52,1
1,927,1,21,7,2014,3,35,1
7,125,2,13,7,2014,15,45,1
6,548,10,12,7,2014,15,45,1
6,2222,1,12,7,2014,15,28,1
6,468,2,12,7,2014,10,30,1
6,501,4,12,7,2014,0,10,1
5,11961,3,11,7,2014,23,3,1
5,4186,1,11,7,2014,20,10,1
5,501,4,11,7,2014,6,0,1
4,9471,4,10,7,2014,16,35,1
4,144,4,10,7,2014,10,15,1
4,7852,5,10,7,2014,9,30,1
4,3773,3,10,7,2014,9,25,1
4,408,2,10,7,2014,9,0,1
3,1029,5,9,7,2014,15,54,1
3,1664,1,9,7,2014,8,0,1
2,501,4,8,7,2014,15,59,1
1,12115,2,7,7,2014,8,8,1
1,277,10,7,7,2014,6,41,1
7,309,2,29,6,2014,10,45,1
7,501,4,29,6,2014,9,6,1
7,501,4,29,6,2014,9,6,1
6,779,2,28,6,2014,23,30,1
6,501,4,28,6,2014,10,50,1
6,211,5,28,6,2014,5,11,1
5,3376,10,27,6,2014,18,30,1
5,468,2,27,6,2014,15,6,1
5,12220,9,27,6,2014,14,0,1
5,7852,5,27,6,2014,8,0,1
5,5276,4,27,6,2014,2,8,1
5,9262,4,27,6,2014,0,1,1
4,1367,1,26,6,2014,18,14,1
4,6079,4,26,6,2014,9,45,1
3,4435,3,25,6,2014,13,26,1
3,2370,1,25,6,2014,10,40,1
2,263,1,24,6,2014,18,45,1
2,7852,5,24,6,2014,10,30,1
2,2917,1,24,6,2014,10,0,1
2,2891,5,24,6,2014,7,22,1
2,7068,10,24,6,2014,2,18,1
1,784,2,23,6,2014,16,30,1
1,741,2,23,6,2014,14,32,1
1,232,4,23,6,2014,13,54,1
7,408,2,15,6,2014,13,8,1
7,2563,10,15,6,2014,9,45,1
7,501,4,15,6,2014,7,28,1
7,927,1,15,6,2014,1,33,1
6,220,4,14,6,2014,23,28,1
6,12407,8,14,6,2014,19,0,1
6,583,4,14,6,2014,17,50,1
6,821,10,14,6,2014,15,0,1
6,1042,3,14,6,2014,12,15,1
5,1287,2,13,6,2014,22,30,1
5,11742,3,13,6,2014,9,20,1
5,9415,4,13,6,2014,4,51,1
4,501,4,12,6,2014,23,40,1
4,125,2,12,6,2014,23,40,1
4,455,2,12,6,2014,10,7,1
3,925,2,11,6,2014,23,30,1
2,125,2,10,6,2014,21,57,1
2,501,4,10,6,2014,6,0,1
1,727,4,9,6,2014,19,38,1
1,1848,3,9,6,2014,12,10,1
7,501,4,1,6,2014,15,12,1
7,1039,5,1,6,2014,12,35,1
7,12571,8,1,6,2014,12,0,1
7,3224,2,1,6,2014,10,32,1
7,779,2,1,6,2014,0,10,1
7,12580,8,1,6,2014,0,1,1
6,157,10,31,5,2014,13,45,1
5,666,2,30,5,2014,11,30,1
5,4708,5,30,5,2014,3,21,1
4,4840,1,29,5,2014,19,50,1
4,3656,5,29,5,2014,10,55,1
4,8352,3,29,5,2014,9,53,1
4,771,1,29,5,2014,2,18,1
3,737,5,28,5,2014,10,35,1
2,745,1,27,5,2014,19,40,1
2,7159,5,27,5,2014,19,20,1
2,1531,6,27,5,2014,13,20,1
2,1162,1,27,5,2014,2,0,1
1,826,4,26,5,2014,18,4,1
1,3396,10,26,5,2014,13,57,1
1,9676,8,26,5,2014,13,0,1
1,3881,4,26,5,2014,5,0,1
7,747,2,18,5,2014,18,55,1
7,2222,1,18,5,2014,18,3,1
7,8932,7,18,5,2014,13,0,1
7,355,2,18,5,2014,12,50,1
7,12159,1,18,5,2014,11,50,1
7,501,4,18,5,2014,0,44,1
7,1017,3,18,5,2014,0,1,1
6,779,2,17,5,2014,23,0,1
6,303,8,17,5,2014,18,40,1
6,232,4,17,5,2014,14,54,1
6,125,2,17,5,2014,6,20,1
5,4799,5,16,5,2014,22,45,1
5,156,2,16,5,2014,20,30,1
5,1567,5,16,5,2014,18,0,1
5,5412,4,16,5,2014,10,5,1
5,379,1,16,5,2014,6,30,1
4,146,10,15,5,2014,11,57,1
4,1208,10,15,5,2014,11,17,1
4,1224,1,15,5,2014,1,28,1
3,18,10,14,5,2014,22,20,1
3,538,8,14,5,2014,12,35,1
3,9422,5,14,5,2014,9,45,1
2,2807,5,13,5,2014,17,0,1
2,12859,8,13,5,2014,12,30,1
2,7797,4,13,5,2014,12,0,1
2,779,2,13,5,2014,9,50,1
2,3619,2,13,5,2014,8,51,1
1,737,5,12,5,2014,22,20,1
1,12874,3,12,5,2014,19,10,1
1,8583,9,12,5,2014,14,0,1
1,2270,1,12,5,2014,10,30,1
1,227,1,12,5,2014,8,30,1
7,501,4,4,5,2014,18,13,1
6,6246,8,3,5,2014,23,47,1
6,4039,3,3,5,2014,16,55,1
6,392,4,3,5,2014,14,30,1
6,3570,1,3,5,2014,12,40,1
6,4993,5,3,5,2014,11,30,1
5,939,5,2,5,2014,20,38,1
5,408,2,2,5,2014,17,2,1
5,3529,9,2,5,2014,17,0,1
5,1593,2,2,5,2014,11,42,1
5,11831,9,2,5,2014,9,0,1
4,1220,10,1,5,2014,16,10,1
4,1897,1,1,5,2014,14,24,1
4,501,4,1,5,2014,4,39,1
4,1722,2,1,5,2014,0,1,1
3,1567,5,30,4,2014,20,42,1
3,9766,7,30,4,2014,18,0,1
2,157,5,29,4,2014,10,55,1
2,4840,1,29,4,2014,9,35,1
1,408,2,28,4,2014,16,45,1
1,8298,1,28,4,2014,11,42,1
7,5927,4,20,4,2014,12,10,1
7,2946,6,20,4,2014,8,40,1
7,554,10,20,4,2014,4,27,1
6,501,4,19,4,2014,21,12,1
6,3396,10,19,4,2014,14,16,1
5,501,4,18,4,2014,13,24,1
4,5164,4,17,4,2014,23,45,1
4,1664,1,17,4,2014,12,15,1
4,644,1,17,4,2014,6,20,1
3,1094,2,16,4,2014,20,31,1
3,4836,6,16,4,2014,11,33,1
3,581,9,16,4,2014,8,50,1
3,1664,1,16,4,2014,6,0,1
2,1622,5,15,4,2014,23,2,1
2,927,1,15,4,2014,13,45,1
2,280,3,15,4,2014,13,7,1
2,11166,7,15,4,2014,7,45,1
2,359,10,15,4,2014,2,20,1
1,83,2,14,4,2014,20,18,1
1,501,4,14,4,2014,16,48,1
1,8794,5,14,4,2014,12,0,1
7,3711,1,6,4,2014,23,45,1
7,1284,4,6,4,2014,23,34,1
7,3331,2,6,4,2014,20,19,1
7,451,2,6,4,2014,18,39,1
7,22,10,6,4,2014,18,11,1
6,3604,4,5,4,2014,22,51,1
6,408,2,5,4,2014,22,38,1
6,36,2,5,4,2014,15,17,1
5,10710,9,4,4,2014,12,20,1
4,210,1,3,4,2014,18,0,1
4,11100,8,3,4,2014,16,8,1
4,359,10,3,4,2014,15,46,1
4,83,2,3,4,2014,0,9,1
3,2367,1,2,4,2014,19,0,1
3,3872,3,2,4,2014,6,50,1
2,13393,4,1,4,2014,21,29,1
2,6164,1,1,4,2014,21,0,1
2,2652,6,1,4,2014,18,37,1
2,5525,1,1,4,2014,12,15,1
1,6898,3,31,3,2014,18,25,1
1,280,3,31,3,2014,16,15,1
1,417,3,31,3,2014,15,20,1
1,4777,4,31,3,2014,11,15,1
1,939,5,31,3,2014,9,19,1
1,552,4,31,3,2014,6,4,1
1,4528,5,31,3,2014,2,59,1
7,411,3,23,3,2014,14,0,1
7,11313,3,23,3,2014,10,34,1
7,9395,2,23,3,2014,9,10,1
6,1932,2,22,3,2014,22,20,1
6,468,2,22,3,2014,19,29,1
6,518,10,22,3,2014,8,10,1
5,2192,10,21,3,2014,20,1,1
5,6230,5,21,3,2014,6,30,1
4,753,2,20,3,2014,22,0,1
4,280,3,20,3,2014,19,37,1
4,939,5,20,3,2014,6,10,1
4,501,4,20,3,2014,1,25,1
3,11961,3,19,3,2014,23,59,1
3,359,10,19,3,2014,15,45,1
3,559,6,19,3,2014,13,45,1
2,501,4,18,3,2014,20,38,1
2,643,4,18,3,2014,12,35,1
2,1525,4,18,3,2014,11,15,1
2,501,4,18,3,2014,7,42,1
2,1203,2,18,3,2014,7,11,1
1,4853,8,17,3,2014,22,45,1
1,501,4,17,3,2014,20,50,1
1,4004,2,17,3,2014,16,15,1
1,648,2,17,3,2014,12,10,1
1,166,10,17,3,2014,11,35,1
1,6986,7,17,3,2014,0,52,1
7,1397,3,9,3,2014,23,0,1
7,1039,5,9,3,2014,18,55,1
7,10254,3,9,3,2014,17,15,1
7,408,2,9,3,2014,16,45,1
7,1694,1,9,3,2014,13,12,1
7,227,1,9,3,2014,9,11,1
6,2370,1,8,3,2014,18,15,1
6,326,2,8,3,2014,6,20,1
6,885,5,8,3,2014,0,20,1
5,1293,9,7,3,2014,15,45,1
5,11961,3,7,3,2014,13,52,1
5,13366,1,7,3,2014,12,30,1
5,10181,7,7,3,2014,10,15,1
5,8618,9,7,3,2014,3,30,1
4,5746,3,6,3,2014,17,0,1
4,8337,5,6,3,2014,14,27,1
3,4288,1,5,3,2014,20,0,1
2,6020,2,4,3,2014,21,57,1
2,105,5,4,3,2014,13,9,1
2,5016,5,4,3,2014,11,10,1
2,5397,8,4,3,2014,9,30,1
2,2204,5,4,3,2014,7,30,1
1,125,2,3,3,2014,16,25,1
1,8211,2,3,3,2014,7,30,1
7,408,2,23,2,2014,17,49,1
7,4766,4,23,2,2014,14,34,1
7,5355,6,23,2,2014,11,0,1
7,22,10,23,2,2014,9,0,1
7,3103,2,23,2,2014,3,0,1
6,6986,7,22,2,2014,23,56,1
6,263,1,22,2,2014,18,40,1
6,427,2,22,2,2014,15,0,1
6,468,2,22,2,2014,13,10,1
6,8477,5,22,2,2014,3,0,1
5,2332,2,21,2,2014,18,30,1
5,2563,10,21,2,2014,17,20,1
5,538,8,21,2,2014,16,20,1
5,4052,4,21,2,2014,5,0,1
