"day","address","location","date","month","year","hour","min","KIDNAPPING"
5,435,10,9,1,2015,1,35,1
4,693,2,8,1,2015,12,28,1
3,2178,6,7,1,2015,3,0,1
1,8110,8,5,1,2015,1,18,1
5,4709,5,26,12,2014,2,55,1
2,8376,6,23,12,2014,23,45,1
1,8495,7,22,12,2014,10,56,1
7,829,1,14,12,2014,22,30,1
7,6092,3,14,12,2014,20,0,1
6,13,3,13,12,2014,9,30,1
5,7512,5,12,12,2014,18,0,1
3,1938,3,10,12,2014,22,0,1
3,4140,10,10,12,2014,18,55,1
3,924,5,10,12,2014,16,0,1
3,8780,9,10,12,2014,7,40,1
2,39,3,9,12,2014,14,30,1
2,772,10,9,12,2014,5,0,1
1,8773,8,8,12,2014,19,11,1
1,1284,4,8,12,2014,17,54,1
1,6143,1,8,12,2014,11,3,1
1,7535,4,8,12,2014,7,30,1
5,2156,2,28,11,2014,18,0,1
4,8767,4,27,11,2014,0,24,1
3,9115,8,26,11,2014,16,1,1
3,7850,3,26,11,2014,14,40,1
3,5840,8,26,11,2014,12,48,1
3,4062,4,26,11,2014,12,30,1
2,138,2,25,11,2014,18,10,1
2,1042,3,25,11,2014,4,50,1
1,9244,3,24,11,2014,8,45,1
1,1406,4,24,11,2014,0,30,1
7,46,2,16,11,2014,19,30,1
6,2325,5,15,11,2014,1,45,1
5,9203,8,14,11,2014,22,0,1
5,9380,8,14,11,2014,15,45,1
5,4129,7,14,11,2014,15,30,1
5,8713,4,14,11,2014,6,32,1
3,1620,10,12,11,2014,17,0,1
3,1567,5,12,11,2014,17,0,1
2,9538,4,11,11,2014,13,50,1
2,9538,4,11,11,2014,13,50,1
1,1935,5,10,11,2014,23,41,1
1,8255,7,10,11,2014,21,30,1
1,9576,9,10,11,2014,15,0,1
7,6408,9,2,11,2014,3,9,1
6,1790,1,1,11,2014,18,0,1
6,1647,5,1,11,2014,2,29,1
6,9698,1,1,11,2014,1,20,1
6,9701,6,1,11,2014,0,30,1
5,3081,2,31,10,2014,18,51,1
5,2891,5,31,10,2014,8,30,1
2,254,5,28,10,2014,20,30,1
2,2620,5,28,10,2014,15,20,1
1,1263,2,27,10,2014,21,54,1
1,2357,4,27,10,2014,2,30,1
7,9956,5,19,10,2014,23,52,1
7,4669,5,19,10,2014,21,0,1
5,1547,3,17,10,2014,19,0,1
5,277,10,17,10,2014,11,2,1
3,213,4,15,10,2014,0,1,1
3,939,5,15,10,2014,0,1,1
2,3553,6,14,10,2014,20,30,1
2,397,4,14,10,2014,11,17,1
2,7745,4,14,10,2014,8,53,1
6,3396,10,4,10,2014,17,0,1
6,10389,7,4,10,2014,10,30,1
5,1567,5,3,10,2014,16,30,1
1,1653,3,29,9,2014,7,20,1
7,8437,2,21,9,2014,19,15,1
7,8318,1,21,9,2014,18,45,1
6,159,6,20,9,2014,1,29,1
4,927,1,18,9,2014,21,45,1
3,1337,5,17,9,2014,23,50,1
3,1233,4,17,9,2014,9,0,1
2,2534,4,16,9,2014,14,10,1
1,7533,8,15,9,2014,15,19,1
7,1895,3,7,9,2014,22,0,1
6,4899,3,6,9,2014,22,10,1
6,1884,3,6,9,2014,17,45,1
6,2384,5,6,9,2014,0,30,1
5,189,2,5,9,2014,21,36,1
5,189,2,5,9,2014,21,36,1
4,643,4,4,9,2014,21,40,1
4,435,10,4,9,2014,17,20,1
4,5794,9,4,9,2014,9,30,1
4,5794,9,4,9,2014,9,30,1
4,2610,8,4,9,2014,3,0,1
3,2044,7,3,9,2014,16,30,1
3,2044,7,3,9,2014,16,30,1
3,924,5,3,9,2014,13,0,1
2,2935,4,2,9,2014,22,53,1
1,5499,4,1,9,2014,23,10,1
1,5499,4,1,9,2014,23,10,1
1,8101,4,1,9,2014,3,3,1
1,5943,9,1,9,2014,0,1,1
7,9491,2,24,8,2014,18,50,1
7,11158,8,24,8,2014,14,30,1
7,7000,1,24,8,2014,12,0,1
7,76,5,24,8,2014,6,0,1
6,545,3,23,8,2014,21,30,1
5,4993,5,22,8,2014,18,0,1
4,1742,1,21,8,2014,6,45,1
3,10640,8,20,8,2014,8,0,1
1,11361,7,18,8,2014,17,30,1
1,125,2,18,8,2014,15,20,1
6,6436,7,9,8,2014,23,0,1
6,1101,7,9,8,2014,15,12,1
6,4874,3,9,8,2014,10,0,1
6,1545,8,9,8,2014,9,0,1
6,2848,2,9,8,2014,9,0,1
5,27,5,8,8,2014,15,0,1
4,125,2,7,8,2014,18,25,1
3,3794,3,6,8,2014,12,23,1
2,6164,1,5,8,2014,6,10,1
2,6164,1,5,8,2014,6,10,1
2,4122,1,5,8,2014,3,0,1
1,3281,2,4,8,2014,16,45,1
1,403,7,4,8,2014,15,17,1
1,5959,9,4,8,2014,10,30,1
6,2025,1,26,7,2014,1,35,1
5,5959,9,25,7,2014,22,0,1
5,9125,9,25,7,2014,16,30,1
5,863,1,25,7,2014,10,45,1
4,11762,9,24,7,2014,16,45,1
4,1682,8,24,7,2014,4,15,1
1,6125,1,21,7,2014,21,0,1
7,1129,4,13,7,2014,6,11,1
7,11929,3,13,7,2014,1,0,1
7,11929,3,13,7,2014,1,0,1
6,5526,3,12,7,2014,23,5,1
6,5186,1,12,7,2014,13,0,1
4,12018,7,10,7,2014,7,10,1
3,12037,4,9,7,2014,17,59,1
3,5993,8,9,7,2014,11,15,1
2,10015,2,8,7,2014,21,0,1
2,2810,2,8,7,2014,7,30,1
1,10229,4,7,7,2014,22,0,1
1,1449,1,7,7,2014,14,25,1
1,6683,3,7,7,2014,8,0,1
1,7236,6,7,7,2014,7,42,1
7,8154,2,29,6,2014,19,30,1
7,8154,2,29,6,2014,19,30,1
6,5168,8,28,6,2014,17,20,1
6,2119,10,28,6,2014,15,30,1
5,974,8,27,6,2014,9,30,1
5,158,2,27,6,2014,3,38,1
4,158,2,26,6,2014,20,0,1
4,2765,5,26,6,2014,5,0,1
3,3860,3,25,6,2014,10,0,1
2,6001,4,24,6,2014,22,0,1
1,7038,3,23,6,2014,14,15,1
7,5318,5,15,6,2014,13,25,1
6,1042,3,14,6,2014,12,15,1
4,7017,8,12,6,2014,21,20,1
3,7955,4,11,6,2014,16,0,1
3,731,2,11,6,2014,14,39,1
3,713,4,11,6,2014,12,30,1
1,3860,3,9,6,2014,13,0,1
1,354,10,9,6,2014,1,30,1
7,8423,8,1,6,2014,13,22,1
7,4869,3,1,6,2014,13,15,1
6,12062,8,31,5,2014,15,0,1
6,12062,8,31,5,2014,15,0,1
6,628,8,31,5,2014,3,15,1
5,4673,4,30,5,2014,23,30,1
5,22,10,30,5,2014,22,30,1
5,4601,1,30,5,2014,19,0,1
5,2995,5,30,5,2014,2,0,1
3,7499,8,28,5,2014,23,41,1
2,12700,2,27,5,2014,14,0,1
2,12700,2,27,5,2014,14,0,1
2,9620,6,27,5,2014,9,11,1
1,4461,1,26,5,2014,23,45,1
1,411,3,26,5,2014,12,48,1
1,10260,7,26,5,2014,3,18,1
1,528,10,26,5,2014,0,30,1
7,3223,7,18,5,2014,13,0,1
7,125,2,18,5,2014,11,0,1
6,198,1,17,5,2014,3,15,1
6,198,1,17,5,2014,3,15,1
5,2365,5,16,5,2014,1,15,1
4,1259,8,15,5,2014,23,47,1
4,708,1,15,5,2014,15,20,1
4,3769,5,15,5,2014,0,30,1
3,197,7,14,5,2014,19,0,1
2,326,2,13,5,2014,4,0,1
2,3630,10,13,5,2014,0,12,1
1,105,5,12,5,2014,7,20,1
7,5726,8,4,5,2014,15,0,1
7,3987,9,4,5,2014,10,40,1
7,6159,4,4,5,2014,6,15,1
6,3376,10,3,5,2014,20,30,1
6,83,2,3,5,2014,16,30,1
6,6811,3,3,5,2014,5,30,1
6,522,2,3,5,2014,1,0,1
3,141,6,30,4,2014,18,0,1
2,13040,3,29,4,2014,16,30,1
1,538,8,28,4,2014,19,0,1
7,713,4,20,4,2014,17,0,1
6,8600,8,19,4,2014,21,0,1
6,6683,3,19,4,2014,16,6,1
5,13149,8,18,4,2014,11,0,1
4,3180,10,17,4,2014,0,1,1
3,5820,4,16,4,2014,2,0,1
1,223,10,14,4,2014,23,0,1
1,13244,9,14,4,2014,2,0,1
1,3637,9,14,4,2014,1,33,1
7,8471,4,6,4,2014,17,0,1
5,3711,1,4,4,2014,21,35,1
3,13376,9,2,4,2014,18,0,1
3,125,2,2,4,2014,0,10,1
7,4535,1,23,3,2014,0,25,1
6,3396,10,22,3,2014,18,0,1
6,88,2,22,3,2014,13,52,1
5,7534,6,21,3,2014,18,0,1
5,744,10,21,3,2014,14,50,1
3,13514,3,19,3,2014,23,5,1
6,272,8,8,3,2014,23,21,1
6,5308,8,8,3,2014,21,45,1
6,13614,4,8,3,2014,19,0,1
5,1935,5,7,3,2014,18,30,1
5,5808,3,7,3,2014,14,0,1
4,3147,9,6,3,2014,11,30,1
4,10038,3,6,3,2014,0,48,1
3,125,2,5,3,2014,7,30,1
3,4993,5,5,3,2014,0,1,1
2,8923,2,4,3,2014,22,15,1
2,621,3,4,3,2014,0,10,1
1,13226,8,3,3,2014,21,20,1
1,548,10,3,3,2014,1,30,1
7,102,10,23,2,2014,15,0,1
7,657,8,23,2,2014,12,0,1
5,12325,6,21,2,2014,9,40,1
4,7536,6,20,2,2014,9,0,1
2,8570,3,18,2,2014,7,45,1
1,1895,3,17,2,2014,14,35,1
1,8591,3,17,2,2014,0,1,1
7,46,2,9,2,2014,3,0,1
6,779,2,8,2,2014,0,14,1
5,528,10,7,2,2014,20,45,1
5,504,4,7,2,2014,19,30,1
5,504,4,7,2,2014,19,30,1
5,1408,8,7,2,2014,9,30,1
2,1979,4,4,2,2014,23,0,1
2,1806,5,4,2,2014,23,0,1
2,7935,8,4,2,2014,19,0,1
2,1408,8,4,2,2014,13,0,1
2,5454,8,4,2,2014,11,30,1
7,3956,1,26,1,2014,11,0,1
7,11015,8,26,1,2014,2,0,1
6,1407,1,25,1,2014,0,6,1
6,1407,1,25,1,2014,0,6,1
5,1786,8,24,1,2014,15,30,1
4,979,4,23,1,2014,8,20,1
3,8996,8,22,1,2014,1,0,1
2,939,5,21,1,2014,19,30,1
1,619,8,20,1,2014,7,10,1
1,3054,1,20,1,2014,2,16,1
7,14161,9,12,1,2014,16,30,1
7,3351,4,12,1,2014,3,10,1
7,13,3,12,1,2014,0,1,1
6,13404,8,11,1,2014,10,0,1
5,14192,1,10,1,2014,20,30,1
5,13,3,10,1,2014,9,0,1
4,887,7,9,1,2014,8,21,1
3,3057,4,8,1,2014,3,0,1
7,280,3,29,12,2013,16,40,1
7,1576,4,29,12,2013,0,30,1
6,11839,3,28,12,2013,20,0,1
6,1403,4,28,12,2013,12,0,1
6,10461,3,28,12,2013,9,0,1
4,777,3,26,12,2013,12,0,1
4,9580,4,26,12,2013,12,0,1
3,501,4,25,12,2013,7,7,1
3,501,4,25,12,2013,7,7,1
1,1760,10,23,12,2013,9,0,1
7,6634,1,15,12,2013,2,0,1
7,14389,6,15,12,2013,0,3,1
5,13,3,13,12,2013,9,0,1
4,5945,4,12,12,2013,14,30,1
3,538,8,11,12,2013,22,33,1
3,1801,8,11,12,2013,10,30,1
2,1407,1,10,12,2013,23,25,1
2,12957,8,10,12,2013,22,0,1
1,2012,9,9,12,2013,18,0,1
7,1904,2,1,12,2013,18,51,1
7,3237,5,1,12,2013,12,0,1
6,12346,9,30,11,2013,15,20,1
5,6474,5,29,11,2013,19,39,1
5,125,2,29,11,2013,18,0,1
4,1235,5,28,11,2013,15,50,1
3,14569,9,27,11,2013,11,15,1
1,4594,3,25,11,2013,17,50,1
4,1399,10,14,11,2013,5,15,1
4,7214,7,14,11,2013,2,30,1
3,1119,2,13,11,2013,23,50,1
3,125,2,13,11,2013,17,0,1
3,125,2,13,11,2013,17,0,1
3,2596,2,13,11,2013,15,30,1
2,2546,1,12,11,2013,21,10,1
2,6027,8,12,11,2013,20,0,1
2,6027,8,12,11,2013,20,0,1
1,2666,3,11,11,2013,19,45,1
1,4031,3,11,11,2013,17,30,1
1,4031,3,11,11,2013,17,30,1
1,9674,8,11,11,2013,12,39,1
1,8849,4,11,11,2013,8,30,1
7,704,2,3,11,2013,17,36,1
7,8423,8,3,11,2013,9,24,1
7,3218,8,3,11,2013,8,14,1
7,3218,8,3,11,2013,8,14,1
6,8732,4,2,11,2013,23,12,1
6,3396,10,2,11,2013,7,10,1
5,7368,7,1,11,2013,9,0,1
5,6697,8,1,11,2013,2,0,1
4,4734,8,31,10,2013,18,0,1
4,4668,1,31,10,2013,14,30,1
4,5603,5,31,10,2013,8,0,1
4,8907,5,31,10,2013,4,5,1
3,14774,3,30,10,2013,16,20,1
2,1808,9,29,10,2013,9,35,1
2,957,2,29,10,2013,1,30,1
2,1760,10,29,10,2013,0,1,1
1,1353,4,28,10,2013,22,16,1
7,27,5,20,10,2013,13,51,1
7,6522,8,20,10,2013,5,15,1
7,1002,8,20,10,2013,2,40,1
6,13939,8,19,10,2013,11,30,1
6,853,2,19,10,2013,2,40,1
5,125,2,18,10,2013,10,30,1
3,4815,3,16,10,2013,15,30,1
3,5275,4,16,10,2013,12,30,1
3,125,2,16,10,2013,7,30,1
2,4762,5,15,10,2013,22,27,1
2,11014,4,15,10,2013,17,58,1
2,2385,4,15,10,2013,11,0,1
2,213,4,15,10,2013,0,31,1
1,2194,3,14,10,2013,9,20,1
6,70,10,5,10,2013,17,0,1
5,1091,10,4,10,2013,17,0,1
5,1091,10,4,10,2013,17,0,1
5,310,8,4,10,2013,13,0,1
5,2896,4,4,10,2013,9,0,1
4,653,10,3,10,2013,18,10,1
4,924,5,3,10,2013,2,0,1
3,15034,9,2,10,2013,21,0,1
3,6722,1,2,10,2013,5,27,1
2,5,8,1,10,2013,19,30,1
1,741,2,30,9,2013,22,0,1
1,2593,2,30,9,2013,9,0,1
7,779,2,22,9,2013,7,30,1
6,7702,5,21,9,2013,21,55,1
6,957,2,21,9,2013,8,24,1
5,11834,5,20,9,2013,14,15,1
4,3222,5,19,9,2013,7,44,1
3,125,2,18,9,2013,18,8,1
2,10486,8,17,9,2013,22,50,1
2,83,2,17,9,2013,19,30,1
2,873,2,17,9,2013,3,45,1
1,2862,10,16,9,2013,23,50,1
1,8561,8,16,9,2013,23,8,1
1,13025,9,16,9,2013,0,30,1
7,10486,8,8,9,2013,2,30,1
6,83,2,7,9,2013,18,0,1
6,12360,7,7,9,2013,17,0,1
6,14360,8,7,9,2013,1,30,1
5,2575,9,6,9,2013,21,0,1
5,10857,8,6,9,2013,17,0,1
4,875,3,5,9,2013,20,30,1
4,1769,3,5,9,2013,20,0,1
3,7005,8,4,9,2013,21,30,1
3,5911,8,4,9,2013,8,0,1
1,1525,4,2,9,2013,21,0,1
1,2945,3,2,9,2013,16,2,1
1,220,4,2,9,2013,5,0,1
7,2319,3,25,8,2013,21,0,1
7,6731,8,25,8,2013,5,30,1
6,70,10,24,8,2013,18,30,1
6,14692,9,24,8,2013,11,45,1
6,1331,4,24,8,2013,5,20,1
6,125,2,24,8,2013,0,1,1
5,690,3,23,8,2013,19,54,1
5,5797,4,23,8,2013,19,9,1
4,10880,9,22,8,2013,16,30,1
4,13050,9,22,8,2013,3,0,1
3,4703,1,21,8,2013,22,15,1
3,1041,5,21,8,2013,17,0,1
2,506,8,20,8,2013,19,5,1
2,506,8,20,8,2013,19,5,1
2,9799,6,20,8,2013,10,45,1
2,9799,6,20,8,2013,10,45,1
1,3803,4,19,8,2013,2,45,1
6,644,1,10,8,2013,23,51,1
6,13,3,10,8,2013,17,0,1
6,3783,4,10,8,2013,4,19,1
6,5826,1,10,8,2013,2,0,1
6,13,3,10,8,2013,0,1,1
4,2091,2,8,8,2013,19,16,1
3,1091,10,7,8,2013,23,0,1
3,13671,7,7,8,2013,13,0,1
3,125,2,7,8,2013,5,50,1
2,5309,8,6,8,2013,18,25,1
1,6020,2,5,8,2013,10,30,1
7,435,10,28,7,2013,21,30,1
7,3356,3,28,7,2013,12,0,1
6,15109,8,27,7,2013,4,0,1
4,913,9,25,7,2013,8,45,1
3,114,8,24,7,2013,22,35,1
3,6214,1,24,7,2013,20,3,1
3,2831,4,24,7,2013,8,25,1
1,4020,4,22,7,2013,23,30,1
1,2571,1,22,7,2013,19,35,1
1,554,10,22,7,2013,1,30,1
1,6504,3,22,7,2013,0,17,1
7,977,1,14,7,2013,9,35,1
7,12403,4,14,7,2013,2,3,1
5,1676,2,12,7,2013,23,20,1
7,6691,6,30,6,2013,19,30,1
7,15011,9,30,6,2013,2,40,1
7,552,4,30,6,2013,1,0,1
6,653,10,29,6,2013,14,23,1
6,14446,2,29,6,2013,11,55,1
5,534,4,28,6,2013,17,40,1
5,3367,5,28,6,2013,3,0,1
4,7524,5,27,6,2013,15,0,1
4,7848,3,27,6,2013,1,30,1
3,1284,4,26,6,2013,8,15,1
2,1012,4,25,6,2013,20,0,1
2,5891,8,25,6,2013,18,40,1
1,10742,5,24,6,2013,3,4,1
1,6639,4,24,6,2013,2,57,1
7,2400,10,16,6,2013,21,50,1
7,12122,8,16,6,2013,19,0,1
7,4140,10,16,6,2013,18,45,1
7,1977,9,16,6,2013,1,30,1
7,1977,9,16,6,2013,1,30,1
6,141,6,15,6,2013,20,0,1
6,5139,2,15,6,2013,2,25,1
5,6338,6,14,6,2013,14,30,1
4,301,2,13,6,2013,2,0,1
3,9307,3,12,6,2013,20,45,1
3,8275,9,12,6,2013,14,40,1
3,6978,7,12,6,2013,4,0,1
6,213,4,1,6,2013,21,0,1
6,2862,10,1,6,2013,16,0,1
6,1679,5,1,6,2013,0,30,1
5,5464,5,31,5,2013,19,0,1
5,15946,3,31,5,2013,0,1,1
4,435,10,30,5,2013,19,30,1
4,435,10,30,5,2013,19,30,1
3,1445,1,29,5,2013,12,0,1
1,5700,8,27,5,2013,0,33,1
7,310,8,19,5,2013,20,0,1
7,3716,3,19,5,2013,19,45,1
7,8963,1,19,5,2013,19,0,1
7,2341,5,19,5,2013,16,20,1
5,6926,4,17,5,2013,23,23,1
5,2697,3,17,5,2013,21,0,1
5,2697,3,17,5,2013,21,0,1
5,2697,3,17,5,2013,21,0,1
5,1822,4,17,5,2013,16,55,1
4,1656,4,16,5,2013,0,40,1
2,1682,8,14,5,2013,17,0,1
1,11301,6,13,5,2013,21,0,1
1,125,2,13,5,2013,16,0,1
7,4505,9,5,5,2013,21,58,1
7,628,8,5,5,2013,11,50,1
6,2972,5,4,5,2013,21,10,1
4,102,10,2,5,2013,18,45,1
4,6751,3,2,5,2013,13,0,1
4,6751,3,2,5,2013,13,0,1
4,1220,10,2,5,2013,7,30,1
3,8954,4,1,5,2013,20,2,1
3,3120,7,1,5,2013,13,0,1
3,83,2,1,5,2013,1,30,1
7,4517,3,21,4,2013,19,0,1
7,4517,3,21,4,2013,19,0,1
7,964,3,21,4,2013,14,18,1
6,2270,1,20,4,2013,2,41,1
3,2739,2,17,4,2013,14,0,1
3,772,10,17,4,2013,0,1,1
1,234,6,15,4,2013,12,0,1
1,6609,9,15,4,2013,0,55,1
1,1323,4,15,4,2013,0,6,1
6,1235,5,6,4,2013,6,0,1
5,277,10,5,4,2013,20,0,1
5,2868,7,5,4,2013,12,40,1
5,2868,7,5,4,2013,12,40,1
5,932,5,5,4,2013,3,40,1
4,9678,6,4,4,2013,7,0,1
2,8242,5,2,4,2013,14,0,1
1,979,4,1,4,2013,23,59,1
1,1679,5,1,4,2013,4,30,1
6,4140,10,23,3,2013,19,10,1
6,1615,2,23,3,2013,12,12,1
6,16277,4,23,3,2013,2,0,1
6,13493,1,23,3,2013,2,0,1
4,7906,8,21,3,2013,21,45,1
4,7429,4,21,3,2013,18,0,1
3,16317,9,20,3,2013,3,0,1
2,3630,10,19,3,2013,19,0,1
2,5356,2,19,3,2013,14,50,1
1,9884,7,18,3,2013,20,0,1
1,8812,4,18,3,2013,17,0,1
1,7130,2,18,3,2013,12,0,1
1,6634,1,18,3,2013,1,0,1
6,13063,4,9,3,2013,5,0,1
6,14134,4,9,3,2013,2,30,1
5,3711,1,8,3,2013,2,0,1
4,16376,3,7,3,2013,23,40,1
4,125,2,7,3,2013,16,36,1
4,125,2,7,3,2013,16,36,1
3,4584,3,6,3,2013,3,47,1
3,4584,3,6,3,2013,3,47,1
2,5483,10,5,3,2013,20,15,1
1,2064,2,4,3,2013,7,45,1
7,9236,7,24,2,2013,22,25,1
7,293,5,24,2,2013,3,0,1
4,91,3,21,2,2013,0,1,1
3,11638,3,20,2,2013,22,25,1
3,831,4,20,2,2013,19,20,1
1,16494,5,18,2,2013,15,40,1
1,5611,3,18,2,2013,9,0,1
7,3396,10,10,2,2013,21,0,1
7,1791,2,10,2,2013,19,5,1
7,497,8,10,2,2013,14,0,1
7,497,8,10,2,2013,14,0,1
5,9230,3,8,2,2013,15,0,1
5,9230,3,8,2,2013,15,0,1
5,6767,7,8,2,2013,12,10,1
4,7607,8,7,2,2013,17,0,1
4,1810,1,7,2,2013,12,0,1
2,12110,7,5,2,2013,18,0,1
2,9444,4,5,2,2013,3,0,1
5,1808,9,25,1,2013,11,12,1
4,125,2,24,1,2013,10,30,1
4,125,2,24,1,2013,10,30,1
3,147,5,23,1,2013,18,0,1
2,3600,1,22,1,2013,2,0,1
1,13224,5,21,1,2013,0,1,1
7,14052,4,13,1,2013,20,0,1
6,9950,4,12,1,2013,17,35,1
4,3637,9,10,1,2013,13,0,1
3,16694,8,9,1,2013,19,0,1
3,6329,4,9,1,2013,0,20,1
2,125,2,8,1,2013,15,38,1
2,3396,10,8,1,2013,15,0,1
1,2191,1,7,1,2013,22,0,1
1,110,7,7,1,2013,0,30,1
7,666,2,30,12,2012,6,10,1
5,125,2,28,12,2012,16,0,1
5,1263,2,28,12,2012,2,0,1
4,16754,9,27,12,2012,20,30,1
4,139,2,27,12,2012,14,30,1
4,3488,4,27,12,2012,13,45,1
2,644,1,25,12,2012,6,35,1
1,12273,3,24,12,2012,20,30,1
1,3396,10,24,12,2012,11,28,1
7,631,2,16,12,2012,9,0,1
5,2398,2,14,12,2012,16,0,1
5,7179,1,14,12,2012,14,55,1
4,158,2,13,12,2012,15,39,1
4,2122,7,13,12,2012,1,30,1
3,4617,3,12,12,2012,16,0,1
3,5431,6,12,12,2012,8,0,1
6,10124,4,1,12,2012,1,30,1
4,3519,2,29,11,2012,6,24,1
1,3376,10,26,11,2012,22,50,1
1,7725,4,26,11,2012,22,0,1
7,16913,7,18,11,2012,22,40,1
7,14696,8,18,11,2012,7,30,1
6,554,10,17,11,2012,12,30,1
4,435,10,15,11,2012,22,15,1
1,979,4,12,11,2012,0,1,1
6,4107,6,3,11,2012,2,0,1
2,501,4,30,10,2012,10,0,1
7,6860,8,21,10,2012,1,0,1
5,2639,5,19,10,2012,15,0,1
3,1156,8,17,10,2012,13,55,1
7,125,2,7,10,2012,15,0,1
6,9759,8,6,10,2012,19,30,1
4,1017,3,4,10,2012,7,0,1
2,7838,4,2,10,2012,23,0,1
2,939,5,2,10,2012,3,45,1
6,9977,2,22,9,2012,21,0,1
5,12726,7,21,9,2012,21,25,1
4,5890,5,20,9,2012,15,15,1
7,10424,3,9,9,2012,21,0,1
7,125,2,9,9,2012,14,0,1
6,3376,10,8,9,2012,4,15,1
5,3161,8,7,9,2012,14,16,1
3,3376,10,5,9,2012,1,0,1
2,9629,5,4,9,2012,20,58,1
2,5744,8,4,9,2012,20,0,1
2,3300,4,4,9,2012,0,1,1
1,12950,6,3,9,2012,5,0,1
5,10958,4,24,8,2012,22,50,1
4,3540,7,23,8,2012,3,0,1
3,4661,8,22,8,2012,13,35,1
1,17373,9,20,8,2012,17,45,1
1,5695,1,20,8,2012,10,0,1
6,4524,5,11,8,2012,20,0,1
6,3923,3,11,8,2012,10,0,1
5,1061,4,10,8,2012,21,30,1
2,1736,5,7,8,2012,13,25,1
2,6469,5,7,8,2012,4,0,1
6,1182,5,28,7,2012,10,0,1
1,9034,4,23,7,2012,9,0,1
7,851,3,15,7,2012,12,0,1
5,1752,3,13,7,2012,13,0,1
4,8885,9,12,7,2012,0,1,1
1,538,8,9,7,2012,22,0,1
7,17539,8,1,7,2012,22,55,1
7,1760,10,1,7,2012,17,0,1
7,1469,3,1,7,2012,2,50,1
6,2031,8,30,6,2012,21,25,1
5,9741,5,29,6,2012,16,30,1
4,17153,8,28,6,2012,14,0,1
3,3751,3,27,6,2012,19,0,1
2,11316,6,26,6,2012,0,10,1
1,3993,3,25,6,2012,23,10,1
1,403,7,25,6,2012,20,30,1
1,2535,4,25,6,2012,1,0,1
7,1427,1,17,6,2012,2,15,1
5,673,10,15,6,2012,21,0,1
3,363,2,13,6,2012,4,0,1
7,6408,9,3,6,2012,22,15,1
7,1004,1,3,6,2012,18,15,1
6,7886,4,2,6,2012,1,35,1
5,666,2,1,6,2012,0,1,1
4,501,4,31,5,2012,22,20,1
3,1091,10,30,5,2012,18,0,1
1,811,9,28,5,2012,18,0,1
7,4222,6,20,5,2012,18,48,1
6,619,8,19,5,2012,20,40,1
6,17700,1,19,5,2012,0,45,1
5,5591,5,18,5,2012,18,0,1
