"day","address","location","date","month","year","hour","min","PORNOGRAPHYOBSCENEMAT"
7,5602,5,19,11,2006,18,0,0
7,8308,9,23,10,2011,17,0,0
2,1516,4,12,5,2009,0,5,0
3,601,9,25,6,2008,15,59,0
2,14963,5,31,5,2011,1,10,0
7,8639,5,27,12,2009,20,0,0
5,2271,10,17,6,2005,8,25,0
2,10338,4,18,4,2006,1,50,0
6,925,2,27,12,2008,21,30,0
1,9126,3,5,3,2012,14,30,0
3,3202,7,7,2,2007,19,25,0
5,3172,5,27,11,2009,0,1,0
1,213,4,5,3,2007,10,42,0
1,534,4,29,9,2014,18,0,0
5,3952,1,20,3,2015,13,30,0
4,125,2,13,11,2008,23,0,0
3,365,1,7,3,2012,14,0,0
3,403,7,19,3,2014,9,29,0
2,4388,10,6,1,2004,12,10,0
4,6916,4,12,7,2007,6,49,0
3,125,2,20,8,2003,14,50,0
4,2787,7,16,4,2015,20,15,0
5,59,2,15,6,2012,19,31,0
5,164,4,15,6,2007,21,50,0
4,8283,8,16,9,2004,15,0,0
4,15069,3,19,4,2007,13,30,0
5,1850,4,12,8,2011,20,36,0
1,97,2,8,3,2010,20,50,0
4,125,2,1,11,2012,0,4,0
7,11780,8,30,1,2011,0,15,0
4,1709,9,10,2,2011,0,4,0
2,1452,6,14,10,2014,14,51,0
2,1620,10,24,8,2010,15,31,0
6,896,2,6,9,2008,15,10,0
1,77,10,4,4,2011,19,30,0
4,8489,8,25,6,2009,20,0,0
7,771,1,16,11,2008,0,28,0
2,5960,3,2,4,2013,8,0,0
3,1427,1,4,8,2004,2,30,0
2,8217,1,24,12,2013,8,50,0
2,14149,3,26,1,2010,1,5,0
4,1704,2,29,11,2007,12,0,0
5,5456,4,15,7,2005,3,0,0
4,1162,1,9,3,2006,8,45,0
