"day","address","location","date","month","year","hour","min","RECOVEREDVEHICLE"
7,14,3,20,10,2013,18,5,1
5,691,5,18,10,2013,22,33,1
5,3234,4,18,10,2013,20,26,1
5,8934,3,18,10,2013,10,38,1
5,14879,3,18,10,2013,3,6,1
4,1546,8,17,10,2013,21,3,1
4,5623,6,17,10,2013,15,25,1
2,4943,7,15,10,2013,11,23,1
2,2270,1,15,10,2013,9,13,1
1,10702,3,14,10,2013,4,1,1
7,14956,9,6,10,2013,18,18,1
6,52,5,5,10,2013,20,22,1
5,14968,3,4,10,2013,21,36,1
4,10998,9,3,10,2013,17,26,1
4,15019,6,3,10,2013,16,15,1
4,91,3,3,10,2013,14,12,1
4,898,2,3,10,2013,12,22,1
4,9077,4,3,10,2013,9,23,1
4,825,2,3,10,2013,3,7,1
3,12201,8,2,10,2013,19,42,1
3,15038,8,2,10,2013,17,58,1
2,14633,7,1,10,2013,17,0,1
2,5054,2,1,10,2013,5,6,1
2,5054,2,1,10,2013,5,6,1
1,12632,8,30,9,2013,22,38,1
1,12732,4,30,9,2013,22,25,1
1,1399,10,30,9,2013,21,23,1
1,1492,4,30,9,2013,11,38,1
1,4691,5,30,9,2013,11,28,1
1,13358,8,30,9,2013,9,40,1
1,10575,9,30,9,2013,8,23,1
7,3548,3,22,9,2013,17,15,1
6,8229,3,21,9,2013,0,23,1
5,12835,9,20,9,2013,14,18,1
5,10673,7,20,9,2013,12,49,1
5,15136,8,20,9,2013,11,13,1
4,454,1,19,9,2013,23,45,1
4,13372,8,19,9,2013,19,30,1
4,4736,3,19,9,2013,16,24,1
2,7917,9,17,9,2013,12,11,1
2,11261,8,17,9,2013,11,47,1
1,8379,3,16,9,2013,14,5,1
1,125,2,16,9,2013,13,41,1
1,8989,3,16,9,2013,13,22,1
7,3920,1,8,9,2013,21,47,1
7,14378,9,8,9,2013,14,0,1
7,9688,8,8,9,2013,13,25,1
7,8989,3,8,9,2013,10,37,1
7,14546,8,8,9,2013,10,0,1
7,7382,3,8,9,2013,6,1,1
6,8179,5,7,9,2013,14,55,1
5,7850,3,6,9,2013,18,39,1
5,1161,4,6,9,2013,16,57,1
4,11659,3,5,9,2013,13,10,1
2,9275,4,3,9,2013,23,17,1
2,7231,3,3,9,2013,15,40,1
2,14205,2,3,9,2013,0,7,1
1,7412,4,2,9,2013,22,42,1
1,4191,9,2,9,2013,1,37,1
1,5321,8,2,9,2013,0,16,1
7,2609,2,25,8,2013,21,0,1
7,538,8,25,8,2013,16,38,1
7,1942,2,25,8,2013,14,39,1
7,11424,8,25,8,2013,13,29,1
7,13899,5,25,8,2013,7,45,1
6,8824,4,24,8,2013,8,0,1
5,8640,3,23,8,2013,20,19,1
5,92,1,23,8,2013,16,43,1
5,15374,8,23,8,2013,14,15,1
5,908,10,23,8,2013,11,44,1
5,1550,1,23,8,2013,10,41,1
5,1831,5,23,8,2013,10,3,1
5,8977,8,23,8,2013,4,35,1
4,6616,8,22,8,2013,11,6,1
4,1209,1,22,8,2013,10,35,1
3,13168,1,21,8,2013,21,28,1
3,11659,3,21,8,2013,11,34,1
3,5634,5,21,8,2013,9,22,1
3,9345,8,21,8,2013,7,40,1
2,4805,8,20,8,2013,12,33,1
2,15423,7,20,8,2013,10,35,1
2,1732,3,20,8,2013,8,42,1
2,14943,9,20,8,2013,1,6,1
1,4851,9,19,8,2013,18,41,1
1,15436,9,19,8,2013,9,16,1
7,840,5,11,8,2013,14,28,1
6,2222,1,10,8,2013,15,50,1
6,13253,4,10,8,2013,13,2,1
6,15473,9,10,8,2013,4,5,1
4,3557,3,8,8,2013,15,50,1
4,2883,5,8,8,2013,9,33,1
3,6575,8,7,8,2013,22,30,1
3,3854,4,7,8,2013,22,13,1
3,3346,8,7,8,2013,17,17,1
3,2879,5,7,8,2013,11,52,1
3,13934,7,7,8,2013,5,0,1
3,13930,7,7,8,2013,2,5,1
2,12759,6,6,8,2013,21,56,1
2,9551,5,6,8,2013,13,58,1
2,3854,4,6,8,2013,2,40,1
2,15527,9,6,8,2013,0,37,1
1,4533,2,5,8,2013,19,31,1
1,15534,3,5,8,2013,14,30,1
7,15543,3,28,7,2013,19,6,1
6,15555,4,27,7,2013,19,33,1
6,348,10,27,7,2013,19,18,1
5,15579,3,26,7,2013,17,31,1
5,5257,2,26,7,2013,11,20,1
3,15603,3,24,7,2013,21,57,1
3,9567,4,24,7,2013,10,48,1
3,8301,4,24,7,2013,10,20,1
3,1551,3,24,7,2013,9,39,1
1,820,4,22,7,2013,13,26,1
1,213,4,22,7,2013,7,15,1
7,1289,3,14,7,2013,16,12,1
7,1289,3,14,7,2013,16,12,1
7,779,2,14,7,2013,0,1,1
5,4183,8,12,7,2013,19,45,1
5,2737,3,12,7,2013,19,8,1
5,15679,3,12,7,2013,17,10,1
5,15690,3,12,7,2013,7,0,1
4,5524,5,11,7,2013,13,39,1
3,4410,4,10,7,2013,6,8,1
3,4974,3,10,7,2013,1,48,1
2,15714,3,9,7,2013,20,12,1
2,3022,2,9,7,2013,3,34,1
1,4161,2,8,7,2013,7,57,1
6,4196,3,29,6,2013,17,26,1
6,11773,9,29,6,2013,17,2,1
5,3154,5,28,6,2013,12,20,1
4,5466,8,27,6,2013,23,20,1
4,3313,5,27,6,2013,19,24,1
4,5217,1,27,6,2013,7,55,1
2,6813,4,25,6,2013,17,50,1
2,3191,4,25,6,2013,12,29,1
2,5209,1,25,6,2013,8,16,1
1,12366,5,24,6,2013,12,26,1
6,4746,6,15,6,2013,16,36,1
6,3154,5,15,6,2013,8,2,1
5,6725,9,14,6,2013,15,34,1
5,6725,9,14,6,2013,15,34,1
3,215,4,12,6,2013,18,55,1
3,779,2,12,6,2013,7,4,1
2,8015,3,11,6,2013,12,15,1
2,15889,3,11,6,2013,8,48,1
2,1776,5,11,6,2013,0,5,1
1,2182,8,10,6,2013,18,47,1
1,1722,2,10,6,2013,16,15,1
1,15897,9,10,6,2013,12,30,1
1,343,4,10,6,2013,0,5,1
7,4432,2,2,6,2013,13,23,1
6,4190,8,1,6,2013,16,18,1
6,2537,9,1,6,2013,12,18,1
5,2392,3,31,5,2013,23,57,1
5,4844,8,31,5,2013,16,42,1
5,5175,8,31,5,2013,14,15,1
5,12685,9,31,5,2013,11,45,1
3,6759,4,29,5,2013,2,48,1
2,7819,4,28,5,2013,23,20,1
2,2221,9,28,5,2013,8,0,1
1,643,4,27,5,2013,23,16,1
1,10266,2,27,5,2013,16,38,1
1,8989,3,27,5,2013,13,50,1
7,8454,3,19,5,2013,19,5,1
5,1762,9,17,5,2013,1,0,1
4,4436,1,16,5,2013,13,12,1
3,13072,3,15,5,2013,20,14,1
3,2153,2,15,5,2013,16,21,1
3,10898,5,15,5,2013,11,0,1
3,6376,3,15,5,2013,10,54,1
2,5503,3,14,5,2013,23,26,1
2,13471,9,14,5,2013,17,0,1
2,6695,5,14,5,2013,2,28,1
1,13346,8,13,5,2013,14,2,1
1,1966,7,13,5,2013,12,31,1
1,10814,7,13,5,2013,9,51,1
7,7366,2,5,5,2013,23,13,1
7,2894,2,5,5,2013,16,30,1
7,15806,3,5,5,2013,2,6,1
6,527,4,4,5,2013,2,43,1
5,11773,9,3,5,2013,13,17,1
3,27,5,1,5,2013,22,53,1
3,8417,6,1,5,2013,9,9,1
3,10483,8,1,5,2013,8,25,1
2,11013,5,30,4,2013,11,51,1
2,7401,5,30,4,2013,10,20,1
2,8114,3,30,4,2013,9,4,1
2,704,2,30,4,2013,8,8,1
1,8075,3,29,4,2013,22,18,1
1,14677,3,29,4,2013,19,54,1
1,12366,5,29,4,2013,17,45,1
6,11675,4,20,4,2013,9,21,1
3,16173,4,17,4,2013,17,39,1
3,657,8,17,4,2013,13,39,1
2,11814,8,16,4,2013,13,11,1
1,1611,3,15,4,2013,20,8,1
1,11551,9,15,4,2013,15,5,1
7,4058,4,7,4,2013,20,5,1
5,16212,9,5,4,2013,22,30,1
5,7827,4,5,4,2013,20,42,1
5,8731,3,5,4,2013,9,17,1
4,4516,8,4,4,2013,12,35,1
3,1179,5,3,4,2013,15,54,1
3,3834,2,3,4,2013,9,49,1
2,16248,8,2,4,2013,6,48,1
1,9690,9,1,4,2013,8,41,1
6,1074,3,23,3,2013,12,15,1
5,11976,4,22,3,2013,16,18,1
4,16302,9,21,3,2013,1,46,1
3,6072,3,20,3,2013,23,13,1
3,1243,5,20,3,2013,11,0,1
3,2944,2,20,3,2013,10,45,1
2,8726,9,19,3,2013,13,12,1
2,7481,3,19,3,2013,11,9,1
1,779,2,18,3,2013,15,35,1
1,456,1,18,3,2013,15,35,1
1,6634,1,18,3,2013,1,20,1
7,125,2,10,3,2013,18,42,1
6,6189,3,9,3,2013,1,1,1
5,3376,10,8,3,2013,23,52,1
5,16373,8,8,3,2013,3,35,1
4,5548,4,7,3,2013,11,30,1
3,8377,8,6,3,2013,22,54,1
3,16395,9,6,3,2013,13,29,1
3,8377,8,6,3,2013,12,14,1
3,1464,3,6,3,2013,12,0,1
3,5421,3,6,3,2013,8,0,1
2,8640,3,5,3,2013,18,49,1
7,8811,3,24,2,2013,19,5,1
6,1080,8,23,2,2013,8,18,1
5,8794,5,22,2,2013,21,20,1
5,4178,10,22,2,2013,20,27,1
5,1313,7,22,2,2013,17,21,1
5,12537,5,22,2,2013,12,12,1
5,7753,3,22,2,2013,2,38,1
4,15186,8,21,2,2013,8,6,1
3,2819,8,20,2,2013,7,35,1
3,44,6,20,2,2013,1,40,1
3,13997,7,20,2,2013,0,1,1
2,336,1,19,2,2013,15,22,1
2,3131,10,19,2,2013,7,22,1
2,16490,3,19,2,2013,0,15,1
1,8074,2,18,2,2013,17,21,1
7,1954,10,10,2,2013,19,41,1
7,4947,2,10,2,2013,16,54,1
6,4575,3,9,2,2013,18,8,1
5,4063,5,8,2,2013,22,7,1
5,3274,8,8,2,2013,8,53,1
4,27,5,7,2,2013,23,30,1
4,27,5,7,2,2013,23,30,1
4,3131,10,7,2,2013,19,58,1
3,549,4,6,2,2013,23,30,1
3,16546,4,6,2,2013,16,36,1
3,6324,7,6,2,2013,9,33,1
3,4442,3,6,2,2013,9,14,1
2,3551,2,5,2,2013,15,26,1
1,9201,9,4,2,2013,14,40,1
1,949,5,4,2,2013,13,31,1
7,1330,6,27,1,2013,12,46,1
7,14555,9,27,1,2013,4,24,1
6,4682,1,26,1,2013,16,5,1
6,7074,4,26,1,2013,0,31,1
5,2737,3,25,1,2013,18,0,1
5,2737,3,25,1,2013,18,0,1
5,2537,9,25,1,2013,14,56,1
5,16600,8,25,1,2013,13,45,1
4,5080,3,24,1,2013,22,8,1
4,554,10,24,1,2013,12,4,1
4,3507,5,24,1,2013,9,40,1
3,4578,3,23,1,2013,12,44,1
3,8114,3,23,1,2013,11,45,1
2,8251,5,22,1,2013,8,9,1
2,528,10,22,1,2013,6,23,1
1,10423,6,21,1,2013,10,1,1
7,13434,1,13,1,2013,21,22,1
7,4627,8,13,1,2013,15,18,1
7,15374,8,13,1,2013,12,6,1
6,283,10,12,1,2013,12,53,1
6,310,8,12,1,2013,8,15,1
6,16665,7,12,1,2013,3,36,1
5,2813,8,11,1,2013,12,6,1
4,6302,4,10,1,2013,11,44,1
3,15138,8,9,1,2013,20,9,1
3,13738,8,9,1,2013,9,16,1
3,2167,2,9,1,2013,7,12,1
3,9596,6,9,1,2013,0,34,1
2,10685,3,8,1,2013,18,30,1
2,7848,3,8,1,2013,12,20,1
2,4243,3,8,1,2013,5,32,1
1,263,1,7,1,2013,15,6,1
7,1089,2,30,12,2012,17,29,1
7,1233,4,30,12,2012,9,25,1
7,5054,2,30,12,2012,8,48,1
6,3386,1,29,12,2012,21,33,1
5,15315,3,28,12,2012,17,55,1
5,2510,8,28,12,2012,16,37,1
5,5402,8,28,12,2012,16,15,1
5,744,10,28,12,2012,15,58,1
5,11706,3,28,12,2012,8,25,1
4,9271,2,27,12,2012,1,36,1
3,6523,9,26,12,2012,2,35,1
1,7094,3,24,12,2012,13,17,1
1,16777,8,24,12,2012,11,28,1
1,914,1,24,12,2012,3,36,1
7,4359,8,16,12,2012,14,39,1
6,2221,9,15,12,2012,12,55,1
6,366,10,15,12,2012,6,45,1
5,5397,8,14,12,2012,21,25,1
5,14175,2,14,12,2012,20,28,1
5,3144,5,14,12,2012,18,10,1
5,12920,4,14,12,2012,9,55,1
4,7,3,13,12,2012,22,0,1
4,8570,3,13,12,2012,9,15,1
4,12337,8,13,12,2012,8,38,1
4,4575,3,13,12,2012,8,27,1
4,1809,10,13,12,2012,8,11,1
3,8428,8,12,12,2012,13,58,1
2,13338,8,11,12,2012,22,48,1
2,10091,9,11,12,2012,21,43,1
2,5283,1,11,12,2012,1,11,1
2,1172,4,11,12,2012,0,47,1
1,4981,9,10,12,2012,19,30,1
1,9977,2,10,12,2012,15,15,1
1,6245,3,10,12,2012,14,40,1
1,22,10,10,12,2012,10,15,1
1,16837,9,10,12,2012,0,21,1
6,1436,1,1,12,2012,14,34,1
6,174,8,1,12,2012,13,50,1
5,3956,1,30,11,2012,20,23,1
5,3222,5,30,11,2012,16,23,1
5,16869,5,30,11,2012,9,21,1
5,4249,9,30,11,2012,8,5,1
4,4632,4,29,11,2012,13,30,1
4,6368,7,29,11,2012,10,7,1
4,9380,8,29,11,2012,8,33,1
4,15003,1,29,11,2012,2,56,1
2,10546,2,27,11,2012,23,35,1
2,7296,4,27,11,2012,16,54,1
2,12601,8,27,11,2012,8,47,1
1,3356,3,26,11,2012,11,15,1
1,1722,2,26,11,2012,9,50,1
1,6223,2,26,11,2012,9,30,1
1,8305,3,26,11,2012,7,23,1
1,7764,4,26,11,2012,4,0,1
6,1263,2,17,11,2012,13,33,1
5,6267,6,16,11,2012,20,2,1
4,3387,9,15,11,2012,21,47,1
4,4320,1,15,11,2012,14,48,1
4,10790,8,15,11,2012,12,18,1
3,12348,8,14,11,2012,9,48,1
2,376,2,13,11,2012,16,5,1
2,158,2,13,11,2012,14,36,1
2,8416,9,13,11,2012,2,6,1
1,1197,9,12,11,2012,14,45,1
1,2602,1,12,11,2012,9,0,1
7,2170,5,4,11,2012,7,11,1
6,11992,3,3,11,2012,23,6,1
6,1606,2,3,11,2012,20,18,1
6,1581,6,3,11,2012,17,36,1
6,772,10,3,11,2012,17,22,1
5,1405,10,2,11,2012,22,31,1
5,10070,5,2,11,2012,11,53,1
4,12303,4,1,11,2012,17,47,1
4,3364,5,1,11,2012,15,53,1
4,2170,5,1,11,2012,14,0,1
3,13658,3,31,10,2012,21,37,1
3,17049,9,31,10,2012,5,0,1
2,17054,8,30,10,2012,15,52,1
2,2605,8,30,10,2012,12,0,1
2,2790,3,30,10,2012,11,35,1
1,158,2,29,10,2012,16,21,1
1,11151,7,29,10,2012,13,17,1
1,2167,2,29,10,2012,12,0,1
1,1325,6,29,10,2012,7,21,1
1,964,3,29,10,2012,1,13,1
7,2829,8,21,10,2012,7,33,1
7,7844,7,21,10,2012,0,11,1
6,155,2,20,10,2012,23,6,1
5,14010,3,19,10,2012,17,18,1
5,14007,5,19,10,2012,14,37,1
5,9337,3,19,10,2012,11,41,1
5,844,5,19,10,2012,8,30,1
5,27,5,19,10,2012,8,9,1
5,12346,9,19,10,2012,1,21,1
4,10708,4,18,10,2012,13,43,1
3,12832,3,17,10,2012,19,41,1
3,2156,2,17,10,2012,7,35,1
2,17115,7,16,10,2012,22,27,1
2,3847,8,16,10,2012,17,22,1
2,7737,3,16,10,2012,13,42,1
2,4568,8,16,10,2012,13,27,1
2,6799,5,16,10,2012,1,13,1
2,15747,3,16,10,2012,1,6,1
1,9417,8,15,10,2012,16,7,1
1,9417,8,15,10,2012,15,18,1
1,12682,8,15,10,2012,12,10,1
6,16143,3,6,10,2012,14,23,1
6,15215,7,6,10,2012,12,25,1
6,13009,8,6,10,2012,11,22,1
5,12110,7,5,10,2012,10,43,1
5,17165,3,5,10,2012,10,30,1
4,191,3,4,10,2012,17,23,1
4,7084,9,4,10,2012,13,44,1
4,15815,8,4,10,2012,2,29,1
2,17189,3,2,10,2012,21,43,1
2,9543,4,2,10,2012,18,17,1
2,5421,3,2,10,2012,12,18,1
1,1804,5,1,10,2012,18,35,1
1,917,9,1,10,2012,12,35,1
1,7475,9,1,10,2012,8,45,1
7,753,2,23,9,2012,20,55,1
5,12033,4,21,9,2012,18,30,1
5,9468,3,21,9,2012,14,58,1
4,3177,8,20,9,2012,20,49,1
4,1224,1,20,9,2012,20,28,1
4,125,2,20,9,2012,17,48,1
4,1704,2,20,9,2012,17,26,1
4,15145,7,20,9,2012,9,23,1
3,6335,7,19,9,2012,17,3,1
3,13176,9,19,9,2012,11,8,1
2,310,8,18,9,2012,18,15,1
2,47,2,18,9,2012,8,50,1
2,9894,6,18,9,2012,1,58,1
1,427,2,17,9,2012,21,23,1
1,6074,2,17,9,2012,21,18,1
1,12126,9,17,9,2012,13,39,1
1,7400,5,17,9,2012,13,14,1
1,1795,7,17,9,2012,12,55,1
7,13556,8,9,9,2012,3,19,1
5,17272,8,7,9,2012,17,58,1
5,2662,2,7,9,2012,14,32,1
4,1203,2,6,9,2012,19,45,1
4,1606,2,6,9,2012,13,12,1
3,3481,6,5,9,2012,17,37,1
3,17198,3,5,9,2012,11,41,1
3,7993,2,5,9,2012,11,6,1
2,1355,8,4,9,2012,14,7,1
2,451,2,4,9,2012,4,37,1
1,2894,2,3,9,2012,15,50,1
1,765,3,3,9,2012,12,11,1
6,8954,4,25,8,2012,22,27,1
6,17337,8,25,8,2012,14,0,1
5,9194,3,24,8,2012,11,6,1
4,11117,3,23,8,2012,21,28,1
4,11253,1,23,8,2012,15,28,1
4,12927,1,23,8,2012,15,16,1
4,3275,2,23,8,2012,9,16,1
4,2774,8,23,8,2012,1,23,1
3,5483,10,22,8,2012,19,11,1
3,451,2,22,8,2012,7,19,1
2,3376,10,21,8,2012,18,44,1
1,619,8,20,8,2012,23,40,1
1,1473,1,20,8,2012,22,45,1
1,765,3,20,8,2012,15,55,1
7,1224,1,12,8,2012,1,35,1
6,4368,5,11,8,2012,18,38,1
6,16312,8,11,8,2012,13,15,1
5,7321,5,10,8,2012,4,45,1
4,12332,9,9,8,2012,12,20,1
3,10130,9,8,8,2012,22,43,1
3,10578,3,8,8,2012,22,11,1
3,102,10,8,8,2012,16,33,1
3,2553,6,8,8,2012,16,28,1
3,4363,6,8,8,2012,10,33,1
3,7590,4,8,8,2012,9,0,1
3,16521,9,8,8,2012,3,14,1
2,6716,3,7,8,2012,10,33,1
1,766,8,6,8,2012,17,57,1
1,7738,8,6,8,2012,11,10,1
7,15917,1,29,7,2012,1,34,1
5,3339,5,27,7,2012,17,13,1
5,6085,3,27,7,2012,16,53,1
5,14501,9,27,7,2012,13,47,1
4,4125,4,26,7,2012,8,56,1
4,8211,2,26,7,2012,8,55,1
3,10099,3,25,7,2012,18,27,1
3,1895,3,25,7,2012,8,0,1
2,957,2,24,7,2012,19,49,1
2,2968,3,24,7,2012,12,9,1
1,5090,3,23,7,2012,17,30,1
1,9675,3,23,7,2012,15,15,1
1,1431,10,23,7,2012,9,34,1
7,9503,8,15,7,2012,14,43,1
7,2309,2,15,7,2012,7,14,1
7,714,2,15,7,2012,5,48,1
6,6695,5,14,7,2012,2,27,1
5,2888,3,13,7,2012,17,26,1
5,2944,2,13,7,2012,8,56,1
3,3932,3,11,7,2012,19,15,1
3,12142,8,11,7,2012,8,54,1
3,14346,8,11,7,2012,4,39,1
2,6939,8,10,7,2012,19,25,1
2,1704,2,10,7,2012,9,37,1
1,827,6,9,7,2012,21,26,1
1,10616,8,9,7,2012,10,8,1
1,18,10,9,7,2012,1,10,1
7,2783,4,1,7,2012,6,19,1
6,2422,6,30,6,2012,23,57,1
6,5766,6,30,6,2012,19,47,1
6,4578,3,30,6,2012,0,1,1
3,7622,2,27,6,2012,15,0,1
3,12488,5,27,6,2012,14,59,1
3,2130,3,27,6,2012,14,51,1
2,10660,8,26,6,2012,11,45,1
1,16796,3,25,6,2012,17,19,1
1,13501,8,25,6,2012,11,25,1
6,15689,4,16,6,2012,1,36,1
3,1933,5,13,6,2012,23,47,1
3,2338,2,13,6,2012,20,25,1
2,1606,2,12,6,2012,17,8,1
1,4617,3,11,6,2012,14,32,1
6,4674,5,2,6,2012,11,22,1
5,6662,8,1,6,2012,13,6,1
4,347,8,31,5,2012,12,25,1
4,1038,9,31,5,2012,10,54,1
2,11632,3,29,5,2012,14,29,1
2,9570,3,29,5,2012,10,45,1
2,2164,8,29,5,2012,10,5,1
1,5298,3,28,5,2012,23,23,1
1,13120,9,28,5,2012,22,45,1
1,12978,3,28,5,2012,21,21,1
6,1504,4,19,5,2012,2,14,1
4,14484,9,17,5,2012,11,58,1
1,4097,2,14,5,2012,20,24,1
1,15919,3,14,5,2012,17,35,1
7,2869,10,6,5,2012,12,50,1
6,4319,4,5,5,2012,23,10,1
5,2911,10,4,5,2012,18,19,1
5,3751,3,4,5,2012,13,10,1
5,15136,8,4,5,2012,11,12,1
5,17748,6,4,5,2012,8,58,1
4,1291,1,3,5,2012,9,56,1
4,5276,4,3,5,2012,6,0,1
3,1472,5,2,5,2012,23,8,1
3,9661,8,2,5,2012,22,4,1
3,13373,8,2,5,2012,7,31,1
1,3210,3,30,4,2012,14,51,1
1,16564,8,30,4,2012,14,51,1
1,5130,4,30,4,2012,11,0,1
7,128,8,22,4,2012,21,7,1
7,10643,7,22,4,2012,4,29,1
6,17325,9,21,4,2012,22,42,1
6,2642,8,21,4,2012,14,7,1
6,17793,8,21,4,2012,3,22,1
5,15510,8,20,4,2012,23,43,1
5,4957,4,20,4,2012,13,15,1
5,16382,9,20,4,2012,0,32,1
4,9468,3,19,4,2012,17,45,1
4,17810,3,19,4,2012,0,18,1
3,5806,8,18,4,2012,20,50,1
3,2353,5,18,4,2012,17,26,1
3,2312,3,18,4,2012,17,25,1
3,4572,5,18,4,2012,11,10,1
3,8484,8,18,4,2012,9,50,1
3,6245,3,18,4,2012,9,45,1
3,1757,3,18,4,2012,1,54,1
2,939,5,17,4,2012,21,22,1
2,6245,3,17,4,2012,8,59,1
7,4398,8,8,4,2012,1,21,1
6,11246,9,7,4,2012,14,31,1
6,5421,3,7,4,2012,8,0,1
5,4008,7,6,4,2012,13,0,1
5,7817,3,6,4,2012,8,16,1
5,12366,5,6,4,2012,2,46,1
5,1581,6,6,4,2012,2,31,1
4,4459,8,5,4,2012,8,11,1
3,5876,2,4,4,2012,14,6,1
3,14388,8,4,4,2012,11,50,1
2,8423,8,3,4,2012,15,46,1
2,17234,8,3,4,2012,10,39,1
2,644,1,3,4,2012,4,18,1
1,9661,8,2,4,2012,9,20,1
7,366,10,25,3,2012,12,20,1
6,12159,1,24,3,2012,13,15,1
6,841,2,24,3,2012,12,15,1
6,14204,9,24,3,2012,5,19,1
4,13724,3,22,3,2012,14,9,1
4,14551,1,22,3,2012,4,53,1
3,4373,3,21,3,2012,22,42,1
2,8074,2,20,3,2012,17,41,1
2,5164,4,20,3,2012,12,24,1
2,125,2,20,3,2012,9,59,1
1,3337,4,19,3,2012,16,31,1
1,1722,2,19,3,2012,12,20,1
1,17910,1,19,3,2012,10,43,1
1,9102,7,19,3,2012,6,40,1
6,2755,2,10,3,2012,19,56,1
6,6224,8,10,3,2012,4,5,1
6,1324,3,10,3,2012,3,30,1
5,17925,4,9,3,2012,11,5,1
4,92,1,8,3,2012,16,50,1
4,528,10,8,3,2012,15,23,1
4,8803,8,8,3,2012,14,39,1
3,47,2,7,3,2012,21,16,1
2,16353,3,6,3,2012,17,56,1
2,4670,3,6,3,2012,8,14,1
2,2606,3,6,3,2012,8,12,1
1,5889,8,5,3,2012,22,3,1
1,3186,5,5,3,2012,13,0,1
6,7387,3,25,2,2012,16,38,1
6,6523,9,25,2,2012,16,16,1
6,3567,6,25,2,2012,12,24,1
5,653,10,24,2,2012,17,30,1
5,11569,3,24,2,2012,11,30,1
5,12601,8,24,2,2012,10,29,1
5,7890,5,24,2,2012,9,55,1
2,9653,3,21,2,2012,13,43,1
1,5192,6,20,2,2012,22,0,1
7,2679,6,12,2,2012,11,30,1
6,15771,8,11,2,2012,10,12,1
3,15637,6,8,2,2012,17,9,1
3,2671,5,8,2,2012,7,45,1
2,3051,3,7,2,2012,21,46,1
2,12558,8,7,2,2012,17,18,1
2,4445,9,7,2,2012,17,0,1
2,5309,8,7,2,2012,10,38,1
2,11875,8,7,2,2012,10,21,1
1,2824,4,6,2,2012,18,26,1
6,2454,2,28,1,2012,19,26,1
6,15058,3,28,1,2012,8,4,1
5,10546,2,27,1,2012,22,18,1
5,392,4,27,1,2012,12,23,1
5,13347,8,27,1,2012,12,0,1
5,5696,2,27,1,2012,10,21,1
4,11215,7,26,1,2012,11,33,1
3,1091,10,25,1,2012,21,45,1
3,17788,9,25,1,2012,12,57,1
3,4530,9,25,1,2012,10,53,1
3,2691,4,25,1,2012,0,45,1
2,5092,4,24,1,2012,12,5,1
1,3181,10,23,1,2012,13,6,1
1,5849,2,23,1,2012,12,4,1
1,125,2,23,1,2012,12,0,1
