"day","address","location","date","month","year","hour","min","SEXOFFENSESFORCIBLE"
6,9698,1,1,11,2014,1,20,1
6,1043,1,1,11,2014,1,5,1
6,9701,6,1,11,2014,0,30,1
5,390,5,31,10,2014,12,0,1
5,5209,1,31,10,2014,0,30,1
4,9770,1,30,10,2014,23,0,1
4,88,2,30,10,2014,13,24,1
2,361,2,28,10,2014,16,38,1
1,1263,2,27,10,2014,21,54,1
7,283,10,19,10,2014,11,30,1
4,3750,3,16,10,2014,17,0,1
4,1772,2,16,10,2014,15,25,1
4,501,4,16,10,2014,9,50,1
4,1558,1,16,10,2014,0,2,1
3,5092,4,15,10,2014,23,0,1
3,5092,4,15,10,2014,23,0,1
3,10160,1,15,10,2014,22,13,1
3,6970,5,15,10,2014,18,0,1
3,4958,8,15,10,2014,9,0,1
3,4958,8,15,10,2014,9,0,1
3,4958,8,15,10,2014,9,0,1
2,5139,2,14,10,2014,16,0,1
2,501,4,14,10,2014,16,0,1
2,910,5,14,10,2014,12,0,1
2,397,4,14,10,2014,11,17,1
7,3015,6,5,10,2014,18,0,1
7,4001,8,5,10,2014,12,30,1
7,2848,2,5,10,2014,12,0,1
7,2265,4,5,10,2014,7,0,1
7,2265,4,5,10,2014,7,0,1
7,2265,4,5,10,2014,7,0,1
7,2265,4,5,10,2014,7,0,1
6,2400,10,4,10,2014,21,50,1
6,4088,4,4,10,2014,2,5,1
6,10405,4,4,10,2014,0,55,1
5,727,4,3,10,2014,16,45,1
4,727,4,2,10,2014,11,30,1
3,10511,9,1,10,2014,16,0,1
3,10511,9,1,10,2014,16,0,1
3,10511,9,1,10,2014,16,0,1
3,1004,1,1,10,2014,12,0,1
3,1004,1,1,10,2014,12,0,1
2,4187,3,30,9,2014,18,0,1
1,8670,4,29,9,2014,15,48,1
7,376,2,21,9,2014,3,0,1
6,2831,4,20,9,2014,22,0,1
6,10678,1,20,9,2014,18,30,1
6,10703,9,20,9,2014,3,29,1
5,1438,3,19,9,2014,23,45,1
5,10744,6,19,9,2014,2,40,1
3,1337,5,17,9,2014,23,50,1
3,1337,5,17,9,2014,23,50,1
6,501,4,6,9,2014,11,51,1
5,10966,8,5,9,2014,23,30,1
5,1826,7,5,9,2014,21,0,1
5,98,4,5,9,2014,20,0,1
5,2616,1,5,9,2014,6,0,1
4,1261,9,4,9,2014,15,48,1
4,11021,4,4,9,2014,0,45,1
2,1319,2,2,9,2014,0,15,1
1,501,4,1,9,2014,21,0,1
1,283,10,1,9,2014,17,0,1
1,6710,1,1,9,2014,9,0,1
1,4795,1,1,9,2014,5,0,1
7,442,2,24,8,2014,23,0,1
7,3856,4,24,8,2014,9,40,1
6,5016,5,23,8,2014,17,0,1
5,1975,2,22,8,2014,12,0,1
5,11242,7,22,8,2014,10,0,1
5,3828,2,22,8,2014,3,52,1
4,15,10,21,8,2014,16,0,1
4,83,2,21,8,2014,12,0,1
3,11277,8,20,8,2014,23,15,1
3,7084,9,20,8,2014,11,0,1
3,157,10,20,8,2014,9,30,1
2,8012,1,19,8,2014,21,45,1
2,3656,5,19,8,2014,17,35,1
2,8644,6,19,8,2014,12,0,1
7,6380,7,10,8,2014,21,45,1
7,648,2,10,8,2014,14,0,1
7,3792,3,10,8,2014,5,30,1
6,1101,7,9,8,2014,15,12,1
6,10420,1,9,8,2014,1,0,1
5,7869,4,8,8,2014,8,0,1
4,1275,10,7,8,2014,23,0,1
4,451,2,7,8,2014,21,30,1
4,456,1,7,8,2014,10,30,1
3,11554,3,6,8,2014,23,30,1
2,3725,10,5,8,2014,21,30,1
2,772,10,5,8,2014,8,36,1
2,772,10,5,8,2014,8,36,1
1,125,2,4,8,2014,13,5,1
1,5090,3,4,8,2014,0,30,1
7,2739,2,27,7,2014,22,25,1
7,501,4,27,7,2014,21,0,1
7,4008,7,27,7,2014,19,0,1
6,277,10,26,7,2014,2,0,1
6,2025,1,26,7,2014,1,35,1
5,9125,9,25,7,2014,16,30,1
5,863,1,25,7,2014,10,45,1
4,1404,7,24,7,2014,15,35,1
4,556,9,24,7,2014,10,45,1
4,501,4,24,7,2014,10,10,1
4,8950,5,24,7,2014,0,1,1
3,600,3,23,7,2014,15,7,1
1,11871,2,21,7,2014,23,0,1
1,11871,2,21,7,2014,23,0,1
1,3684,4,21,7,2014,19,48,1
1,9170,7,21,7,2014,12,0,1
1,9170,7,21,7,2014,12,0,1
7,88,2,13,7,2014,3,43,1
6,132,7,12,7,2014,20,15,1
5,1041,5,11,7,2014,2,5,1
4,8351,1,10,7,2014,14,13,1
4,309,2,10,7,2014,11,15,1
1,2868,7,7,7,2014,15,30,1
1,501,4,7,7,2014,8,30,1
1,2835,10,7,7,2014,0,1,1
7,4114,5,29,6,2014,19,30,1
7,2911,10,29,6,2014,13,5,1
6,13,3,28,6,2014,0,1,1
5,649,9,27,6,2014,20,30,1
5,649,9,27,6,2014,20,30,1
5,2836,4,27,6,2014,20,0,1
5,2989,5,27,6,2014,6,0,1
5,9187,5,27,6,2014,2,0,1
4,656,9,26,6,2014,21,15,1
4,656,9,26,6,2014,21,15,1
4,656,9,26,6,2014,21,15,1
4,158,2,26,6,2014,20,0,1
4,158,2,26,6,2014,20,0,1
4,15,10,26,6,2014,5,40,1
4,1238,7,26,6,2014,0,1,1
3,1238,7,25,6,2014,22,0,1
2,2961,7,24,6,2014,21,10,1
1,7038,3,23,6,2014,14,15,1
1,1433,10,23,6,2014,3,45,1
1,1752,3,23,6,2014,0,30,1
7,22,10,15,6,2014,1,0,1
5,1840,4,13,6,2014,19,0,1
5,4770,2,13,6,2014,16,0,1
4,1446,6,12,6,2014,11,0,1
4,1236,4,12,6,2014,0,1,1
3,4052,4,11,6,2014,17,0,1
3,4052,4,11,6,2014,17,0,1
2,545,3,10,6,2014,0,1,1
2,979,4,10,6,2014,0,1,1
1,6945,6,9,6,2014,21,0,1
1,1156,8,9,6,2014,17,55,1
7,5745,5,1,6,2014,12,0,1
7,646,6,1,6,2014,0,1,1
6,4935,7,31,5,2014,18,15,1
6,3396,10,31,5,2014,12,0,1
5,4122,1,30,5,2014,23,30,1
5,2995,5,30,5,2014,2,0,1
5,2995,5,30,5,2014,2,0,1
4,259,5,29,5,2014,20,0,1
4,259,5,29,5,2014,20,0,1
4,2792,4,29,5,2014,19,45,1
4,9757,7,29,5,2014,17,49,1
3,722,8,28,5,2014,18,25,1
3,1245,10,28,5,2014,17,33,1
3,1273,10,28,5,2014,10,15,1
2,12700,2,27,5,2014,14,0,1
1,9981,2,26,5,2014,21,0,1
1,1546,8,26,5,2014,12,0,1
1,1546,8,26,5,2014,12,0,1
1,3307,4,26,5,2014,0,30,1
7,7430,9,18,5,2014,22,0,1
7,1181,2,18,5,2014,3,0,1
7,1181,2,18,5,2014,3,0,1
7,850,9,18,5,2014,2,0,1
6,198,1,17,5,2014,3,15,1
6,9421,9,17,5,2014,0,1,1
6,9421,9,17,5,2014,0,1,1
6,9421,9,17,5,2014,0,1,1
5,4930,1,16,5,2014,18,0,1
5,1091,10,16,5,2014,9,0,1
5,2365,5,16,5,2014,1,15,1
4,5148,9,15,5,2014,15,0,1
4,2330,4,15,5,2014,13,0,1
4,2330,4,15,5,2014,13,0,1
3,1449,1,14,5,2014,23,50,1
3,3711,1,14,5,2014,22,15,1
7,6159,4,4,5,2014,6,15,1
7,6159,4,4,5,2014,6,15,1
6,1004,1,3,5,2014,17,58,1
6,1004,1,3,5,2014,17,58,1
6,4450,4,3,5,2014,16,30,1
6,12856,4,3,5,2014,14,30,1
6,12856,4,3,5,2014,14,30,1
6,826,4,3,5,2014,6,0,1
6,6811,3,3,5,2014,5,30,1
5,3251,7,2,5,2014,23,0,1
5,2096,8,2,5,2014,19,20,1
5,7536,6,2,5,2014,13,0,1
4,1002,8,1,5,2014,16,0,1
4,125,2,1,5,2014,12,0,1
4,125,2,1,5,2014,0,1,1
3,11065,8,30,4,2014,19,0,1
3,141,6,30,4,2014,18,0,1
2,13040,3,29,4,2014,16,30,1
1,2420,8,28,4,2014,12,0,1
1,501,4,28,4,2014,0,1,1
7,2106,7,20,4,2014,15,30,1
5,1145,4,18,4,2014,23,0,1
5,772,10,18,4,2014,20,0,1
4,13172,3,17,4,2014,18,19,1
3,896,2,16,4,2014,16,30,1
3,896,2,16,4,2014,16,30,1
1,6098,9,14,4,2014,12,50,1
1,305,9,14,4,2014,11,30,1
7,12016,5,6,4,2014,20,25,1
7,12016,5,6,4,2014,20,25,1
7,568,4,6,4,2014,0,1,1
7,568,4,6,4,2014,0,1,1
7,568,4,6,4,2014,0,1,1
6,4838,8,5,4,2014,10,0,1
6,163,7,5,4,2014,1,0,1
5,1260,5,4,4,2014,12,5,1
5,499,2,4,4,2014,1,0,1
5,1054,3,4,4,2014,0,1,1
5,568,4,4,4,2014,0,1,1
3,7977,8,2,4,2014,22,30,1
2,1101,7,1,4,2014,20,0,1
2,1101,7,1,4,2014,20,0,1
2,534,4,1,4,2014,15,45,1
2,4783,8,1,4,2014,13,0,1
2,1352,4,1,4,2014,0,1,1
2,1220,10,1,4,2014,0,1,1
1,12152,5,31,3,2014,23,0,1
1,1932,2,31,3,2014,2,0,1
7,530,8,23,3,2014,21,0,1
7,10474,9,23,3,2014,17,45,1
7,2427,5,23,3,2014,3,30,1
6,13457,2,22,3,2014,22,30,1
6,3932,3,22,3,2014,18,0,1
6,362,9,22,3,2014,15,30,1
5,501,4,21,3,2014,20,41,1
5,138,2,21,3,2014,12,45,1
4,2159,10,20,3,2014,20,15,1
4,2873,8,20,3,2014,18,0,1
3,1351,8,19,3,2014,17,0,1
3,511,4,19,3,2014,15,30,1
3,1351,8,19,3,2014,14,0,1
3,3396,10,19,3,2014,13,0,1
3,3396,10,19,3,2014,13,0,1
3,3396,10,19,3,2014,13,0,1
1,12557,5,17,3,2014,12,0,1
7,737,5,9,3,2014,21,30,1
7,326,2,9,3,2014,15,0,1
7,49,2,9,3,2014,3,0,1
6,4774,8,8,3,2014,23,50,1
6,5308,8,8,3,2014,21,45,1
6,7944,1,8,3,2014,20,0,1
6,501,4,8,3,2014,17,46,1
6,501,4,8,3,2014,17,46,1
6,2262,2,8,3,2014,16,30,1
6,4910,5,8,3,2014,1,0,1
6,4910,5,8,3,2014,1,0,1
5,10101,9,7,3,2014,17,0,1
5,646,6,7,3,2014,11,0,1
5,6282,1,7,3,2014,11,0,1
5,6282,1,7,3,2014,11,0,1
5,3548,3,7,3,2014,2,4,1
4,1566,5,6,3,2014,19,15,1
4,9689,8,6,3,2014,17,43,1
3,4122,1,5,3,2014,21,50,1
3,138,2,5,3,2014,16,52,1
3,4993,5,5,3,2014,0,1,1
3,4993,5,5,3,2014,0,1,1
2,4623,2,4,3,2014,17,0,1
2,3474,3,4,3,2014,12,0,1
2,3474,3,4,3,2014,12,0,1
2,621,3,4,3,2014,0,10,1
1,1914,10,3,3,2014,23,0,1
1,3882,4,3,3,2014,17,15,1
1,5549,3,3,3,2014,14,15,1
1,64,4,3,3,2014,12,0,1
1,77,10,3,3,2014,5,55,1
1,12596,8,3,3,2014,2,30,1
1,12596,8,3,3,2014,2,30,1
7,132,7,23,2,2014,14,5,1
7,8452,5,23,2,2014,3,0,1
7,4854,2,23,2,2014,0,1,1
7,4854,2,23,2,2014,0,1,1
7,4854,2,23,2,2014,0,1,1
6,5109,3,22,2,2014,20,0,1
6,7158,9,22,2,2014,2,47,1
5,12325,6,21,2,2014,9,40,1
5,12325,6,21,2,2014,9,40,1
3,338,1,19,2,2014,20,0,1
2,1070,2,18,2,2014,12,0,1
2,8570,3,18,2,2014,7,45,1
1,2686,4,17,2,2014,17,35,1
1,3204,8,17,2,2014,14,30,1
1,3204,8,17,2,2014,14,30,1
7,46,2,9,2,2014,3,0,1
7,46,2,9,2,2014,3,0,1
7,2763,5,9,2,2014,2,0,1
6,826,4,8,2,2014,13,0,1
5,504,4,7,2,2014,19,30,1
4,2838,2,6,2,2014,12,17,1
4,898,2,6,2,2014,0,30,1
2,293,5,4,2,2014,7,56,1
1,8143,5,3,2,2014,9,0,1
7,11015,8,26,1,2014,2,0,1
7,14025,1,26,1,2014,2,0,1
7,14025,1,26,1,2014,2,0,1
6,819,5,25,1,2014,23,30,1
6,417,3,25,1,2014,12,0,1
6,2679,6,25,1,2014,4,0,1
6,2679,6,25,1,2014,4,0,1
5,3351,4,24,1,2014,20,13,1
5,3120,7,24,1,2014,13,15,1
5,11848,7,24,1,2014,2,57,1
3,1510,4,22,1,2014,20,30,1
3,2206,3,22,1,2014,11,27,1
3,2972,5,22,1,2014,8,40,1
3,8996,8,22,1,2014,1,0,1
2,501,4,21,1,2014,9,30,1
1,8027,8,20,1,2014,20,0,1
1,8027,8,20,1,2014,20,0,1
7,1983,1,12,1,2014,3,0,1
7,1983,1,12,1,2014,3,0,1
6,4838,8,11,1,2014,10,0,1
6,4838,8,11,1,2014,10,0,1
6,5837,4,11,1,2014,9,0,1
6,451,2,11,1,2014,5,10,1
6,451,2,11,1,2014,5,10,1
5,7622,2,10,1,2014,9,0,1
4,6662,8,9,1,2014,15,0,1
3,468,2,8,1,2014,21,0,1
3,3057,4,8,1,2014,3,0,1
3,652,2,8,1,2014,1,0,1
2,2601,3,7,1,2014,6,30,1
1,1889,3,6,1,2014,20,0,1
1,1150,2,6,1,2014,8,0,1
7,3619,2,29,12,2013,13,58,1
6,6659,5,28,12,2013,6,0,1
5,259,5,27,12,2013,12,0,1
5,1004,1,27,12,2013,10,0,1
4,1472,5,26,12,2013,10,0,1
7,294,1,15,12,2013,2,30,1
6,8766,6,14,12,2013,13,0,1
4,1259,8,12,12,2013,9,47,1
4,3369,3,12,12,2013,3,0,1
3,538,8,11,12,2013,22,33,1
3,957,2,11,12,2013,12,0,1
3,12846,3,11,12,2013,6,0,1
2,13975,9,10,12,2013,17,45,1
2,4435,3,10,12,2013,14,15,1
7,501,4,1,12,2013,18,0,1
7,5694,9,1,12,2013,3,0,1
7,2902,5,1,12,2013,2,0,1
4,1809,10,28,11,2013,23,30,1
4,11845,8,28,11,2013,0,33,1
4,11845,8,28,11,2013,0,33,1
4,8687,4,28,11,2013,0,1,1
4,2688,10,28,11,2013,0,1,1
7,538,8,17,11,2013,20,0,1
7,2543,5,17,11,2013,17,0,1
7,2543,5,17,11,2013,17,0,1
7,14597,9,17,11,2013,16,35,1
7,6572,9,17,11,2013,15,30,1
6,501,4,16,11,2013,15,0,1
6,8223,2,16,11,2013,10,10,1
6,501,4,16,11,2013,2,30,1
4,1242,5,14,11,2013,21,30,1
4,502,4,14,11,2013,18,0,1
4,1041,5,14,11,2013,18,0,1
4,125,2,14,11,2013,15,0,1
2,2546,1,12,11,2013,21,10,1
2,2909,2,12,11,2013,9,0,1
2,1341,7,12,11,2013,8,0,1
1,408,2,11,11,2013,18,15,1
1,4031,3,11,11,2013,17,30,1
1,4031,3,11,11,2013,17,30,1
1,4031,3,11,11,2013,17,30,1
1,6102,1,11,11,2013,17,0,1
7,2958,5,3,11,2013,9,0,1
7,2958,5,3,11,2013,9,0,1
6,999,1,2,11,2013,22,30,1
6,4535,1,2,11,2013,14,0,1
6,3396,10,2,11,2013,7,10,1
5,1421,9,1,11,2013,8,30,1
5,6697,8,1,11,2013,2,0,1
5,6697,8,1,11,2013,2,0,1
5,234,6,1,11,2013,0,1,1
5,234,6,1,11,2013,0,1,1
5,2150,3,1,11,2013,0,1,1
4,8907,5,31,10,2013,4,5,1
4,8907,5,31,10,2013,4,5,1
4,3503,4,31,10,2013,0,1,1
3,3290,4,30,10,2013,1,0,1
2,9137,8,29,10,2013,8,0,1
2,1297,1,29,10,2013,3,0,1
2,1760,10,29,10,2013,0,1,1
1,3669,1,28,10,2013,13,45,1
1,3669,1,28,10,2013,13,45,1
7,1792,2,20,10,2013,0,35,1
6,348,10,19,10,2013,17,0,1
4,1397,3,17,10,2013,15,30,1
4,3286,1,17,10,2013,9,0,1
4,13718,3,17,10,2013,6,30,1
1,8702,8,14,10,2013,4,0,1
1,8702,8,14,10,2013,4,0,1
1,8702,8,14,10,2013,4,0,1
1,979,4,14,10,2013,2,0,1
1,979,4,14,10,2013,2,0,1
1,979,4,14,10,2013,2,0,1
7,141,6,6,10,2013,17,0,1
7,141,6,6,10,2013,17,0,1
5,1091,10,4,10,2013,17,0,1
5,310,8,4,10,2013,13,0,1
5,4528,5,4,10,2013,11,59,1
4,11588,3,3,10,2013,15,0,1
3,201,6,2,10,2013,1,15,1
3,201,6,2,10,2013,1,15,1
2,14475,9,1,10,2013,0,1,1
2,14475,9,1,10,2013,0,1,1
2,14475,9,1,10,2013,0,1,1
1,741,2,30,9,2013,22,0,1
1,2593,2,30,9,2013,9,0,1
1,653,10,30,9,2013,7,50,1
7,7064,4,22,9,2013,17,30,1
7,1004,1,22,9,2013,10,0,1
7,2848,2,22,9,2013,6,10,1
7,8970,4,22,9,2013,3,0,1
5,9485,4,20,9,2013,18,33,1
5,727,4,20,9,2013,9,10,1
4,1090,4,19,9,2013,23,0,1
4,2099,5,19,9,2013,13,0,1
4,3222,5,19,9,2013,7,44,1
3,4355,4,18,9,2013,12,46,1
7,8228,9,8,9,2013,16,0,1
7,1428,3,8,9,2013,14,30,1
6,2598,2,7,9,2013,16,29,1
6,2598,2,7,9,2013,16,29,1
6,5667,6,7,9,2013,4,0,1
6,14360,8,7,9,2013,1,30,1
5,10857,8,6,9,2013,17,0,1
3,5911,8,4,9,2013,8,0,1
3,5911,8,4,9,2013,8,0,1
7,1428,3,25,8,2013,20,0,1
7,622,6,25,8,2013,13,0,1
6,1042,3,24,8,2013,19,30,1
6,11197,4,24,8,2013,15,55,1
5,15369,9,23,8,2013,18,0,1
4,14349,1,22,8,2013,17,30,1
3,1862,5,21,8,2013,23,40,1
3,125,2,21,8,2013,23,30,1
2,2512,1,20,8,2013,19,27,1
2,2793,4,20,8,2013,16,30,1
2,5789,4,20,8,2013,16,17,1
2,460,5,20,8,2013,14,0,1
2,3228,4,20,8,2013,11,46,1
1,8281,8,19,8,2013,19,10,1
7,511,4,11,8,2013,19,0,1
6,125,2,10,8,2013,21,30,1
6,5464,5,10,8,2013,2,0,1
6,7375,9,10,8,2013,1,0,1
4,11700,1,8,8,2013,17,0,1
4,2236,4,8,8,2013,10,12,1
4,6125,1,8,8,2013,3,30,1
3,13671,7,7,8,2013,13,0,1
3,13671,7,7,8,2013,13,0,1
3,1928,9,7,8,2013,6,0,1
3,7644,9,7,8,2013,3,0,1
3,5107,10,7,8,2013,0,1,1
1,4833,1,5,8,2013,15,0,1
7,2119,10,28,7,2013,22,0,1
7,15541,9,28,7,2013,19,40,1
5,7019,5,26,7,2013,23,0,1
5,1895,3,26,7,2013,21,0,1
5,15572,3,26,7,2013,21,0,1
5,6035,3,26,7,2013,18,45,1
5,77,10,26,7,2013,10,0,1
4,2651,2,25,7,2013,1,40,1
3,925,2,24,7,2013,17,45,1
3,3164,9,24,7,2013,16,30,1
3,5604,2,24,7,2013,7,50,1
3,2904,2,24,7,2013,1,45,1
2,125,2,23,7,2013,0,10,1
1,1116,2,22,7,2013,23,0,1
1,5539,9,22,7,2013,0,1,1
1,3669,1,22,7,2013,0,1,1
