"day","address","location","date","month","year","hour","min","DRUNKENNESS"
6,5479,5,24,1,2015,1,0,1
5,1506,7,23,1,2015,15,36,1
3,7434,4,21,1,2015,21,42,1
3,4936,6,21,1,2015,21,10,1
7,1093,6,11,1,2015,9,31,1
7,7687,3,11,1,2015,4,45,1
7,2601,3,11,1,2015,3,10,1
6,1360,4,10,1,2015,23,51,1
6,28,4,10,1,2015,19,33,1
6,522,2,10,1,2015,15,23,1
6,644,1,10,1,2015,0,56,1
5,2927,2,9,1,2015,18,10,1
5,1429,10,9,1,2015,15,10,1
5,1519,1,9,1,2015,13,30,1
4,6858,5,8,1,2015,21,55,1
4,3286,1,8,1,2015,12,15,1
2,6386,4,6,1,2015,1,21,1
1,511,4,5,1,2015,17,52,1
7,1556,5,28,12,2014,7,10,1
6,5384,5,27,12,2014,0,1,1
4,3532,3,25,12,2014,12,44,1
3,830,10,24,12,2014,17,28,1
2,281,4,23,12,2014,13,4,1
7,1588,9,14,12,2014,21,30,1
6,511,4,13,12,2014,20,39,1
6,3164,9,13,12,2014,15,0,1
6,4988,4,13,12,2014,0,5,1
5,2576,5,12,12,2014,23,18,1
4,8008,7,11,12,2014,1,0,1
3,2581,9,10,12,2014,3,10,1
2,1220,10,9,12,2014,22,15,1
1,114,8,8,12,2014,17,55,1
1,3647,1,8,12,2014,10,50,1
6,3116,1,29,11,2014,17,15,1
4,4528,5,27,11,2014,18,51,1
2,872,2,25,11,2014,13,20,1
1,4548,7,24,11,2014,1,17,1
7,1231,5,16,11,2014,20,15,1
7,340,6,16,11,2014,0,20,1
6,1954,10,15,11,2014,22,8,1
6,9309,8,15,11,2014,22,5,1
3,1516,4,12,11,2014,19,7,1
2,1921,4,11,11,2014,0,29,1
1,1914,10,10,11,2014,21,53,1
7,870,4,2,11,2014,22,0,1
7,4777,4,2,11,2014,21,24,1
6,829,1,1,11,2014,23,47,1
6,9650,7,1,11,2014,22,21,1
6,2024,1,1,11,2014,3,35,1
6,1406,4,1,11,2014,2,35,1
6,2273,6,1,11,2014,2,28,1
6,1224,1,1,11,2014,1,39,1
6,7932,9,1,11,2014,0,26,1
5,246,7,31,10,2014,23,15,1
5,1019,5,31,10,2014,23,0,1
5,4345,2,31,10,2014,17,2,1
4,9775,9,30,10,2014,21,47,1
4,7805,7,30,10,2014,2,40,1
4,800,4,30,10,2014,0,28,1
4,164,4,30,10,2014,0,27,1
3,534,4,29,10,2014,23,50,1
3,1516,4,29,10,2014,12,12,1
3,9857,1,29,10,2014,9,30,1
2,488,9,28,10,2014,22,15,1
2,9883,2,28,10,2014,19,44,1
7,1635,1,19,10,2014,8,40,1
7,1224,1,19,10,2014,1,55,1
6,2377,1,18,10,2014,20,55,1
5,2096,8,17,10,2014,22,55,1
5,115,8,17,10,2014,21,35,1
5,2611,2,17,10,2014,12,13,1
4,1117,4,16,10,2014,17,27,1
1,10268,8,13,10,2014,15,23,1
1,1519,1,13,10,2014,12,40,1
7,4902,4,5,10,2014,23,45,1
7,2330,4,5,10,2014,21,21,1
7,3973,4,5,10,2014,15,20,1
7,5600,5,5,10,2014,1,55,1
6,4345,2,4,10,2014,15,19,1
5,979,4,3,10,2014,22,26,1
4,10453,6,2,10,2014,21,18,1
4,6993,5,2,10,2014,20,35,1
4,1185,5,2,10,2014,20,13,1
4,10470,7,2,10,2014,14,30,1
2,1202,6,30,9,2014,18,46,1
1,270,2,29,9,2014,16,58,1
7,2831,4,21,9,2014,18,47,1
7,4187,3,21,9,2014,18,0,1
7,1611,3,21,9,2014,17,32,1
6,1345,1,20,9,2014,17,45,1
6,2818,4,20,9,2014,15,19,1
5,2405,5,19,9,2014,2,30,1
4,1650,3,18,9,2014,21,8,1
4,44,6,18,9,2014,19,8,1
3,853,2,17,9,2014,22,15,1
3,10807,5,17,9,2014,11,8,1
2,125,2,16,9,2014,0,50,1
1,501,4,15,9,2014,13,47,1
7,9725,4,7,9,2014,18,20,1
7,999,1,7,9,2014,2,24,1
7,125,2,7,9,2014,1,50,1
6,269,1,6,9,2014,23,50,1
6,468,2,6,9,2014,18,21,1
6,4960,7,6,9,2014,16,25,1
5,6791,1,5,9,2014,10,15,1
4,11039,8,4,9,2014,4,45,1
2,1332,2,2,9,2014,14,55,1
2,141,6,2,9,2014,4,40,1
1,1093,6,1,9,2014,22,10,1
1,8456,5,1,9,2014,1,39,1
7,600,3,24,8,2014,22,5,1
6,209,4,23,8,2014,22,41,1
5,7670,4,22,8,2014,20,56,1
5,4146,4,22,8,2014,18,12,1
5,511,4,22,8,2014,13,30,1
4,11273,6,21,8,2014,2,0,1
3,648,2,20,8,2014,18,13,1
3,11295,5,20,8,2014,15,30,1
1,11352,4,18,8,2014,22,23,1
1,1220,10,18,8,2014,0,33,1
7,643,4,10,8,2014,1,35,1
6,125,2,9,8,2014,17,30,1
6,2119,10,9,8,2014,17,10,1
6,2019,10,9,8,2014,3,20,1
6,1224,1,9,8,2014,1,31,1
4,2294,9,7,8,2014,18,7,1
4,11528,8,7,8,2014,15,40,1
4,501,4,7,8,2014,0,30,1
3,870,4,6,8,2014,21,10,1
3,925,2,6,8,2014,20,50,1
3,5518,4,6,8,2014,1,50,1
3,22,10,6,8,2014,0,50,1
7,29,5,27,7,2014,22,8,1
7,408,2,27,7,2014,12,30,1
7,11678,8,27,7,2014,2,24,1
6,925,2,26,7,2014,21,15,1
6,1116,2,26,7,2014,17,30,1
5,1462,4,25,7,2014,16,18,1
5,490,2,25,7,2014,13,17,1
5,6272,4,25,7,2014,11,35,1
5,211,5,25,7,2014,7,51,1
5,8298,1,25,7,2014,0,1,1
4,4256,2,24,7,2014,23,10,1
4,83,2,24,7,2014,19,59,1
4,2214,1,24,7,2014,13,5,1
4,278,8,24,7,2014,0,26,1
3,1407,1,23,7,2014,18,0,1
3,3708,4,23,7,2014,17,54,1
7,125,2,13,7,2014,16,28,1
7,125,2,13,7,2014,15,45,1
6,3854,4,12,7,2014,4,50,1
6,1224,1,12,7,2014,1,28,1
5,3725,10,11,7,2014,11,45,1
4,144,4,10,7,2014,10,15,1
3,28,4,9,7,2014,16,12,1
2,907,6,8,7,2014,19,45,1
2,6971,6,8,7,2014,17,0,1
2,1836,4,8,7,2014,10,35,1
2,713,4,8,7,2014,4,28,1
7,1424,2,29,6,2014,20,21,1
7,216,6,29,6,2014,16,11,1
7,501,4,29,6,2014,11,54,1
7,2414,3,29,6,2014,10,25,1
7,12149,4,29,6,2014,2,20,1
7,12155,4,29,6,2014,0,32,1
6,138,10,28,6,2014,20,16,1
6,6212,4,28,6,2014,19,4,1
6,232,4,28,6,2014,18,58,1
6,468,2,28,6,2014,17,0,1
6,1010,9,28,6,2014,2,28,1
5,8680,4,27,6,2014,3,20,1
4,5310,8,26,6,2014,1,57,1
3,6951,7,25,6,2014,5,46,1
2,263,1,24,6,2014,18,45,1
1,7450,4,23,6,2014,22,50,1
1,9055,1,23,6,2014,21,29,1
1,4682,1,23,6,2014,12,26,1
1,5384,5,23,6,2014,1,36,1
1,1204,2,23,6,2014,0,20,1
7,44,6,15,6,2014,22,1,1
6,583,4,14,6,2014,17,50,1
5,1427,1,13,6,2014,20,58,1
4,1202,6,12,6,2014,15,57,1
2,3736,3,10,6,2014,17,32,1
6,408,2,31,5,2014,17,40,1
6,729,4,31,5,2014,1,5,1
1,826,4,26,5,2014,18,4,1
1,3747,1,26,5,2014,17,8,1
1,12729,7,26,5,2014,6,7,1
7,5244,5,18,5,2014,22,42,1
7,4051,1,18,5,2014,1,43,1
7,7769,8,18,5,2014,0,15,1
6,925,2,17,5,2014,20,57,1
6,12046,9,17,5,2014,15,50,1
4,11920,3,15,5,2014,20,32,1
3,102,10,14,5,2014,17,13,1
1,957,2,12,5,2014,16,18,1
7,8927,1,4,5,2014,21,4,1
7,7286,5,4,5,2014,14,40,1
6,2719,4,3,5,2014,19,51,1
6,150,10,3,5,2014,19,8,1
6,2442,8,3,5,2014,1,20,1
6,1727,2,3,5,2014,1,15,1
5,518,10,2,5,2014,20,0,1
5,2917,1,2,5,2014,13,0,1
4,4091,4,1,5,2014,2,32,1
3,7965,5,30,4,2014,21,57,1
3,27,5,30,4,2014,19,59,1
3,2414,3,30,4,2014,19,0,1
3,102,10,30,4,2014,11,56,1
2,3708,4,29,4,2014,17,45,1
7,237,4,20,4,2014,17,30,1
7,3856,4,20,4,2014,11,37,1
7,2622,2,20,4,2014,0,30,1
6,2682,6,19,4,2014,17,56,1
6,6425,1,19,4,2014,0,58,1
5,501,4,18,4,2014,13,24,1
4,9266,7,17,4,2014,0,46,1
3,1012,4,16,4,2014,23,46,1
3,9591,2,16,4,2014,8,14,1
3,13208,4,16,4,2014,1,49,1
2,4642,8,15,4,2014,0,47,1
1,927,1,14,4,2014,22,5,1
1,3664,4,14,4,2014,1,45,1
7,870,4,6,4,2014,22,55,1
7,1406,4,6,4,2014,19,0,1
7,4799,5,6,4,2014,3,46,1
7,338,1,6,4,2014,2,4,1
7,979,4,6,4,2014,0,23,1
6,7535,4,5,4,2014,20,8,1
6,417,3,5,4,2014,13,1,1
6,1039,5,5,4,2014,1,22,1
5,780,6,4,4,2014,0,43,1
4,1055,2,3,4,2014,16,37,1
4,3620,2,3,4,2014,14,30,1
4,957,2,3,4,2014,14,10,1
4,83,2,3,4,2014,0,9,1
3,13368,3,2,4,2014,22,55,1
2,3106,9,1,4,2014,21,46,1
2,534,4,1,4,2014,15,45,1
2,2119,10,1,4,2014,12,52,1
2,511,4,1,4,2014,12,10,1
1,144,4,31,3,2014,13,4,1
1,7798,1,31,3,2014,3,50,1
1,7134,2,31,3,2014,2,17,1
7,1406,4,23,3,2014,22,0,1
7,1791,2,23,3,2014,21,38,1
7,952,2,23,3,2014,4,35,1
7,1224,1,23,3,2014,0,10,1
6,1287,2,22,3,2014,20,27,1
6,1405,10,22,3,2014,9,35,1
5,9889,5,21,3,2014,12,50,1
5,176,1,21,3,2014,12,35,1
3,1923,8,19,3,2014,22,48,1
3,9524,3,19,3,2014,11,20,1
3,912,10,19,3,2014,10,7,1
2,501,4,18,3,2014,20,38,1
2,1653,3,18,3,2014,9,5,1
1,6068,1,17,3,2014,18,56,1
1,146,10,17,3,2014,8,55,1
7,870,4,9,3,2014,21,51,1
7,1224,1,9,3,2014,1,57,1
7,1918,1,9,3,2014,0,30,1
5,1520,5,7,3,2014,17,24,1
5,2156,2,7,3,2014,8,8,1
4,8150,2,6,3,2014,9,21,1
3,11768,10,5,3,2014,12,53,1
2,912,10,4,3,2014,7,39,1
2,870,4,4,3,2014,2,11,1
1,3736,3,3,3,2014,17,13,1
1,2156,2,3,3,2014,11,39,1
1,7366,2,3,3,2014,6,23,1
7,788,2,23,2,2014,6,59,1
7,13753,7,23,2,2014,3,17,1
7,13754,4,23,2,2014,2,23,1
6,1224,1,22,2,2014,23,13,1
6,11136,1,22,2,2014,2,5,1
5,203,2,21,2,2014,3,15,1
5,1406,4,21,2,2014,2,10,1
4,46,2,20,2,2014,22,0,1
4,2598,2,20,2,2014,16,50,1
4,83,2,20,2,2014,13,45,1
4,8439,6,20,2,2014,8,10,1
3,912,10,19,2,2014,12,13,1
1,13886,8,17,2,2014,2,25,1
7,6322,5,9,2,2014,0,25,1
6,1117,4,8,2,2014,22,55,1
6,6078,2,8,2,2014,21,45,1
6,3937,4,8,2,2014,1,25,1
5,13929,7,7,2,2014,23,10,1
4,3772,4,6,2,2014,23,43,1
4,12983,9,6,2,2014,0,48,1
3,1263,2,5,2,2014,23,19,1
3,442,2,5,2,2014,10,22,1
3,2936,5,5,2,2014,1,40,1
3,2935,4,5,2,2014,0,56,1
2,872,2,4,2,2014,11,25,1
7,4178,10,26,1,2014,23,10,1
7,2016,6,26,1,2014,18,44,1
6,6428,8,25,1,2014,21,48,1
6,2601,3,25,1,2014,6,41,1
4,912,10,23,1,2014,8,32,1
3,13402,2,22,1,2014,21,15,1
3,907,6,22,1,2014,15,58,1
2,14121,9,21,1,2014,13,40,1
2,957,2,21,1,2014,11,36,1
2,912,10,21,1,2014,8,44,1
7,14073,4,12,1,2014,22,34,1
7,125,2,12,1,2014,19,0,1
7,235,4,12,1,2014,18,26,1
6,10424,3,11,1,2014,12,59,1
6,10911,8,11,1,2014,7,4,1
6,92,1,11,1,2014,1,0,1
5,802,4,10,1,2014,20,18,1
3,3488,4,8,1,2014,23,47,1
2,347,8,7,1,2014,23,32,1
2,5262,10,7,1,2014,7,26,1
1,1017,3,6,1,2014,23,40,1
1,4538,3,6,1,2014,19,56,1
6,702,10,28,12,2013,0,22,1
5,552,4,27,12,2013,23,10,1
5,764,6,27,12,2013,19,30,1
4,693,2,26,12,2013,23,38,1
4,4667,3,26,12,2013,17,27,1
1,125,2,23,12,2013,19,10,1
1,125,2,23,12,2013,19,0,1
1,1428,3,23,12,2013,18,30,1
1,3604,4,23,12,2013,1,53,1
3,2857,5,11,12,2013,2,28,1
2,764,6,10,12,2013,17,31,1
2,111,10,10,12,2013,16,42,1
2,102,10,10,12,2013,8,21,1
1,102,10,9,12,2013,14,17,1
1,867,1,9,12,2013,12,14,1
7,118,2,1,12,2013,18,20,1
7,1428,3,1,12,2013,16,18,1
6,2911,10,30,11,2013,23,11,1
6,44,6,30,11,2013,19,16,1
4,213,4,28,11,2013,21,10,1
4,159,6,28,11,2013,20,45,1
3,213,4,27,11,2013,21,32,1
3,83,2,27,11,2013,8,1,1
3,5262,10,27,11,2013,7,39,1
2,102,10,26,11,2013,13,29,1
2,186,10,26,11,2013,9,56,1
1,2757,2,25,11,2013,22,40,1
1,5262,10,25,11,2013,8,49,1
1,4906,5,25,11,2013,2,0,1
7,2539,8,17,11,2013,1,42,1
6,44,6,16,11,2013,18,2,1
6,1041,5,16,11,2013,11,7,1
5,363,2,15,11,2013,15,9,1
5,4727,7,15,11,2013,11,55,1
4,1951,2,14,11,2013,8,6,1
4,4880,2,14,11,2013,6,45,1
3,1117,4,13,11,2013,22,56,1
3,2159,10,13,11,2013,12,54,1
3,2869,10,13,11,2013,0,30,1
2,4470,9,12,11,2013,19,21,1
2,408,2,12,11,2013,7,49,1
2,9614,7,12,11,2013,1,53,1
2,3396,10,12,11,2013,0,8,1
7,1791,2,3,11,2013,9,33,1
7,1996,2,3,11,2013,1,45,1
6,2836,4,2,11,2013,22,40,1
6,1319,2,2,11,2013,13,21,1
5,511,4,1,11,2013,23,45,1
5,2159,10,1,11,2013,22,50,1
5,511,4,1,11,2013,19,45,1
5,1653,3,1,11,2013,19,5,1
5,125,2,1,11,2013,2,15,1
5,982,9,1,11,2013,0,54,1
5,2221,9,1,11,2013,0,45,1
4,2575,9,31,10,2013,23,0,1
4,1098,2,31,10,2013,13,58,1
4,5851,3,31,10,2013,13,19,1
4,2909,2,31,10,2013,9,17,1
3,6036,1,30,10,2013,9,50,1
3,2159,10,30,10,2013,7,53,1
2,2159,10,29,10,2013,12,38,1
2,442,2,29,10,2013,10,35,1
1,417,3,28,10,2013,18,30,1
1,408,2,28,10,2013,18,4,1
1,4726,10,28,10,2013,11,36,1
1,2159,10,28,10,2013,9,12,1
1,554,10,28,10,2013,1,10,1
7,191,3,20,10,2013,16,33,1
7,2045,6,20,10,2013,0,1,1
6,125,2,19,10,2013,12,0,1
5,138,2,18,10,2013,12,36,1
5,912,10,18,10,2013,11,28,1
5,4418,2,18,10,2013,10,53,1
5,102,10,18,10,2013,8,5,1
5,417,3,18,10,2013,2,40,1
5,3300,4,18,10,2013,1,58,1
5,2678,8,18,10,2013,0,25,1
4,8301,4,17,10,2013,18,20,1
4,7366,2,17,10,2013,10,57,1
4,104,2,17,10,2013,10,30,1
4,2987,10,17,10,2013,2,2,1
3,7115,5,16,10,2013,23,39,1
3,3106,9,16,10,2013,18,23,1
3,363,2,16,10,2013,10,26,1
3,10322,2,16,10,2013,9,48,1
3,2470,2,16,10,2013,9,40,1
2,511,4,15,10,2013,18,19,1
2,13816,9,15,10,2013,16,46,1
2,363,2,15,10,2013,11,48,1
2,4880,2,15,10,2013,10,42,1
1,44,6,14,10,2013,19,38,1
7,1019,5,6,10,2013,19,41,1
7,1428,3,6,10,2013,18,48,1
7,1428,3,6,10,2013,18,10,1
7,9742,4,6,10,2013,16,16,1
7,338,1,6,10,2013,1,59,1
7,3604,4,6,10,2013,0,44,1
5,870,4,4,10,2013,18,33,1
5,6006,7,4,10,2013,16,24,1
5,7107,6,4,10,2013,14,32,1
5,10630,2,4,10,2013,10,42,1
5,912,10,4,10,2013,7,48,1
5,28,4,4,10,2013,1,46,1
4,8154,2,3,10,2013,19,54,1
4,1431,10,3,10,2013,18,59,1
4,2271,10,3,10,2013,10,19,1
4,4880,2,3,10,2013,8,56,1
3,139,2,2,10,2013,20,40,1
3,6735,5,2,10,2013,16,22,1
3,522,2,2,10,2013,15,23,1
3,363,2,2,10,2013,11,11,1
3,504,4,2,10,2013,10,48,1
3,912,10,2,10,2013,9,12,1
2,3711,1,1,10,2013,20,40,1
2,872,2,1,10,2013,15,59,1
2,15066,2,1,10,2013,12,20,1
2,2909,2,1,10,2013,6,41,1
1,912,10,30,9,2013,11,57,1
1,102,10,30,9,2013,10,20,1
1,83,2,30,9,2013,7,39,1
1,8771,2,30,9,2013,7,33,1
1,2811,1,30,9,2013,2,35,1
1,10571,4,30,9,2013,1,42,1
1,408,2,30,9,2013,0,11,1
1,125,2,30,9,2013,0,1,1
7,916,1,22,9,2013,18,53,1
7,1428,3,22,9,2013,16,40,1
7,1428,3,22,9,2013,14,55,1
7,1428,3,22,9,2013,14,20,1
7,1428,3,22,9,2013,13,15,1
7,648,2,22,9,2013,0,57,1
5,64,4,20,9,2013,16,22,1
5,1757,3,20,9,2013,10,10,1
5,908,10,20,9,2013,9,2,1
5,2153,2,20,9,2013,8,35,1
5,912,10,20,9,2013,7,32,1
5,7030,6,20,9,2013,1,55,1
4,5274,2,19,9,2013,23,15,1
4,3787,5,19,9,2013,16,35,1
3,744,10,18,9,2013,15,19,1
2,408,2,17,9,2013,19,30,1
1,70,10,16,9,2013,15,45,1
1,2909,2,16,9,2013,7,2,1
7,870,4,8,9,2013,21,51,1
7,125,2,8,9,2013,16,30,1
7,1428,3,8,9,2013,16,30,1
6,1682,8,7,9,2013,20,48,1
6,870,4,7,9,2013,17,54,1
6,3884,2,7,9,2013,10,5,1
6,11476,1,7,9,2013,2,4,1
5,1791,2,6,9,2013,11,14,1
5,83,2,6,9,2013,10,52,1
5,105,5,6,9,2013,0,15,1
4,6302,4,5,9,2013,15,30,1
3,517,2,4,9,2013,13,39,1
3,4726,10,4,9,2013,7,38,1
3,1772,2,4,9,2013,7,14,1
3,102,10,4,9,2013,7,6,1
2,1792,2,3,9,2013,19,21,1
2,6386,4,3,9,2013,13,21,1
2,912,10,3,9,2013,8,48,1
2,8223,2,3,9,2013,8,39,1
2,8223,2,3,9,2013,7,28,1
2,278,8,3,9,2013,0,50,1
1,2332,2,2,9,2013,13,0,1
7,2274,7,25,8,2013,23,15,1
7,6131,6,25,8,2013,21,38,1
7,1428,3,25,8,2013,19,40,1
7,1428,3,25,8,2013,19,22,1
7,1428,3,25,8,2013,15,45,1
7,2265,4,25,8,2013,15,5,1
7,125,2,25,8,2013,14,33,1
7,1224,1,25,8,2013,0,53,1
6,3736,3,24,8,2013,8,40,1
5,408,2,23,8,2013,22,3,1
5,104,2,23,8,2013,6,50,1
5,957,2,23,8,2013,6,37,1
4,445,2,22,8,2013,9,46,1
3,159,6,21,8,2013,16,48,1
3,15066,2,21,8,2013,10,33,1
2,13086,9,20,8,2013,21,45,1
2,14324,5,20,8,2013,21,15,1
2,912,10,20,8,2013,9,42,1
2,4593,2,20,8,2013,3,0,1
1,357,4,19,8,2013,18,38,1
1,211,5,19,8,2013,16,41,1
1,1161,4,19,8,2013,14,1,1
1,912,10,19,8,2013,8,55,1
1,2159,10,19,8,2013,6,29,1
7,93,7,11,8,2013,19,20,1
7,4146,4,11,8,2013,19,0,1
7,2096,8,11,8,2013,1,25,1
7,1224,1,11,8,2013,0,46,1
6,907,6,10,8,2013,11,5,1
6,2380,2,10,8,2013,2,50,1
6,2607,2,10,8,2013,1,40,1
5,408,2,9,8,2013,11,38,1
5,2545,4,9,8,2013,11,0,1
5,8954,4,9,8,2013,10,25,1
5,8074,2,9,8,2013,9,48,1
5,2909,2,9,8,2013,9,1,1
5,4927,2,9,8,2013,7,33,1
4,125,2,8,8,2013,21,50,1
4,125,2,8,8,2013,20,5,1
4,622,6,8,8,2013,18,45,1
3,2209,4,7,8,2013,18,5,1
3,2156,2,7,8,2013,12,58,1
3,5083,3,7,8,2013,8,55,1
3,83,2,7,8,2013,7,37,1
2,4880,2,6,8,2013,13,55,1
2,1220,10,6,8,2013,10,0,1
1,3723,8,5,8,2013,17,30,1
1,912,10,5,8,2013,12,49,1
1,15066,2,5,8,2013,7,38,1
1,37,2,5,8,2013,2,25,1
7,5646,5,28,7,2013,19,49,1
7,1202,6,28,7,2013,17,24,1
6,816,2,27,7,2013,21,20,1
6,12672,8,27,7,2013,0,1,1
5,15028,4,26,7,2013,17,34,1
5,146,10,26,7,2013,8,19,1
4,1091,10,25,7,2013,22,5,1
4,5478,2,25,7,2013,13,42,1
4,8223,2,25,7,2013,9,4,1
4,693,2,25,7,2013,1,13,1
3,3206,1,24,7,2013,14,14,1
3,2909,2,24,7,2013,8,59,1
2,125,2,23,7,2013,18,5,1
2,83,2,23,7,2013,13,27,1
2,1606,2,23,7,2013,6,33,1
2,27,5,23,7,2013,6,15,1
1,3277,8,22,7,2013,18,26,1
7,6854,4,14,7,2013,21,13,1
7,1224,1,14,7,2013,8,50,1
7,3881,4,14,7,2013,0,38,1
6,1951,2,13,7,2013,11,16,1
6,144,4,13,7,2013,10,13,1
5,709,7,12,7,2013,22,15,1
4,1399,10,11,7,2013,14,50,1
4,8223,2,11,7,2013,7,36,1
3,2041,10,10,7,2013,20,49,1
3,1224,1,10,7,2013,16,15,1
3,10714,2,10,7,2013,14,44,1
3,15706,1,10,7,2013,12,48,1
2,468,2,9,7,2013,13,30,1
2,807,2,9,7,2013,9,26,1
1,6793,4,8,7,2013,22,54,1
1,3017,2,8,7,2013,22,43,1
1,925,2,8,7,2013,20,46,1
1,346,1,8,7,2013,18,5,1
1,15550,5,8,7,2013,2,0,1
7,216,6,30,6,2013,20,52,1
7,3396,10,30,6,2013,17,41,1
7,177,10,30,6,2013,16,0,1
7,6040,9,30,6,2013,15,45,1
7,8609,5,30,6,2013,15,23,1
7,4777,4,30,6,2013,1,33,1
6,22,10,29,6,2013,23,53,1
6,98,4,29,6,2013,23,0,1
6,1593,2,29,6,2013,22,55,1
6,1117,4,29,6,2013,21,15,1
6,2869,10,29,6,2013,20,37,1
6,4657,4,29,6,2013,20,8,1
6,9421,9,29,6,2013,0,58,1
5,363,2,28,6,2013,9,9,1
5,10714,2,28,6,2013,8,25,1
4,9095,7,27,6,2013,19,45,1
4,15789,2,27,6,2013,13,29,1
4,7383,7,27,6,2013,0,39,1
3,522,2,26,6,2013,10,54,1
3,5415,2,26,6,2013,9,32,1
3,4470,9,26,6,2013,1,55,1
2,2909,2,25,6,2013,11,7,1
2,361,2,25,6,2013,7,51,1
1,1116,2,24,6,2013,22,12,1
1,280,3,24,6,2013,3,38,1
7,10266,2,16,6,2013,9,42,1
7,830,10,16,6,2013,7,4,1
7,1224,1,16,6,2013,2,7,1
7,5239,1,16,6,2013,1,15,1
5,3106,9,14,6,2013,23,50,1
5,2418,2,14,6,2013,23,20,1
5,8109,5,14,6,2013,21,40,1
5,358,6,14,6,2013,16,0,1
5,104,2,14,6,2013,8,43,1
4,1809,10,13,6,2013,21,9,1
4,15789,2,13,6,2013,12,19,1
4,15066,2,13,6,2013,11,25,1
3,485,2,12,6,2013,22,50,1
3,125,2,12,6,2013,10,18,1
2,4880,2,11,6,2013,12,38,1
2,15789,2,11,6,2013,12,25,1
2,7626,2,11,6,2013,9,28,1
2,6867,2,11,6,2013,7,21,1
1,10052,10,10,6,2013,17,26,1
1,1255,6,10,6,2013,17,0,1
1,522,2,10,6,2013,16,55,1
1,522,2,10,6,2013,12,47,1
1,442,2,10,6,2013,11,31,1
