"day","location","date","month","year","hour","min","SECONDARYCODES"
1,9,5,1,2015,15,46,1
1,3,5,1,2015,15,6,1
1,7,5,1,2015,13,0,1
1,9,5,1,2015,10,30,1
1,1,5,1,2015,6,30,1
1,8,5,1,2015,1,18,1
1,1,5,1,2015,1,18,1
1,1,5,1,2015,0,28,1
7,4,28,12,2014,19,24,1
7,8,28,12,2014,10,20,1
7,10,28,12,2014,2,2,1
7,4,28,12,2014,1,45,1
6,2,27,12,2014,23,10,1
6,3,27,12,2014,18,18,1
6,10,27,12,2014,18,0,1
6,2,27,12,2014,13,42,1
6,10,27,12,2014,13,0,1
6,3,27,12,2014,10,45,1
6,3,27,12,2014,1,48,1
5,9,26,12,2014,21,30,1
5,2,26,12,2014,12,0,1
5,9,26,12,2014,9,30,1
4,9,25,12,2014,23,22,1
3,5,24,12,2014,20,35,1
3,1,24,12,2014,16,13,1
3,9,24,12,2014,14,50,1
3,2,24,12,2014,12,4,1
2,10,23,12,2014,21,30,1
2,10,23,12,2014,18,30,1
2,1,23,12,2014,17,50,1
1,3,22,12,2014,23,0,1
1,4,22,12,2014,15,47,1
1,7,22,12,2014,10,56,1
7,1,14,12,2014,21,34,1
6,7,13,12,2014,10,25,1
6,3,13,12,2014,10,15,1
6,8,13,12,2014,9,0,1
6,8,13,12,2014,3,0,1
6,8,13,12,2014,1,36,1
6,3,13,12,2014,1,0,1
5,3,12,12,2014,23,40,1
5,4,12,12,2014,15,39,1
5,8,12,12,2014,12,0,1
4,3,11,12,2014,22,40,1
4,6,11,12,2014,18,32,1
4,6,11,12,2014,17,45,1
4,1,11,12,2014,12,0,1
4,6,11,12,2014,10,40,1
4,7,11,12,2014,9,30,1
4,3,11,12,2014,6,0,1
3,8,10,12,2014,22,15,1
3,6,10,12,2014,19,39,1
3,8,10,12,2014,19,10,1
3,7,10,12,2014,18,24,1
3,3,10,12,2014,8,45,1
3,9,10,12,2014,7,40,1
2,3,9,12,2014,19,40,1
2,6,9,12,2014,16,21,1
2,2,9,12,2014,13,55,1
2,2,9,12,2014,13,8,1
2,8,9,12,2014,10,30,1
2,7,9,12,2014,10,0,1
2,2,9,12,2014,9,45,1
2,2,9,12,2014,9,10,1
1,2,8,12,2014,8,30,1
1,4,8,12,2014,7,30,1
7,4,30,11,2014,23,20,1
7,2,30,11,2014,19,0,1
7,3,30,11,2014,18,40,1
7,2,30,11,2014,18,40,1
7,4,30,11,2014,16,25,1
7,9,30,11,2014,12,30,1
7,6,30,11,2014,10,15,1
6,8,29,11,2014,20,0,1
6,2,29,11,2014,16,50,1
6,3,29,11,2014,11,18,1
6,7,29,11,2014,1,0,1
5,9,28,11,2014,20,0,1
5,9,28,11,2014,20,0,1
5,8,28,11,2014,19,8,1
5,3,28,11,2014,17,40,1
5,10,28,11,2014,8,25,1
5,2,28,11,2014,5,0,1
4,7,27,11,2014,21,37,1
4,8,27,11,2014,18,50,1
4,8,27,11,2014,17,26,1
4,4,27,11,2014,17,20,1
4,5,27,11,2014,15,45,1
4,7,27,11,2014,11,0,1
4,3,27,11,2014,0,47,1
2,1,25,11,2014,18,45,1
2,3,25,11,2014,18,0,1
1,5,24,11,2014,23,45,1
1,1,24,11,2014,21,10,1
1,9,24,11,2014,14,35,1
1,9,24,11,2014,10,0,1
1,2,24,11,2014,9,45,1
1,9,24,11,2014,7,57,1
7,8,16,11,2014,13,0,1
7,5,16,11,2014,0,1,1
6,8,15,11,2014,19,0,1
6,10,15,11,2014,18,19,1
6,2,15,11,2014,16,40,1
6,3,15,11,2014,16,0,1
6,9,15,11,2014,15,0,1
6,8,15,11,2014,3,0,1
5,4,14,11,2014,20,0,1
5,8,14,11,2014,12,50,1
5,4,14,11,2014,6,32,1
4,9,13,11,2014,18,30,1
4,5,13,11,2014,17,51,1
4,10,13,11,2014,8,39,1
4,2,13,11,2014,0,1,1
3,3,12,11,2014,23,45,1
3,3,12,11,2014,23,40,1
3,2,12,11,2014,20,30,1
3,3,12,11,2014,19,35,1
3,4,12,11,2014,11,30,1
2,2,11,11,2014,18,20,1
1,7,10,11,2014,21,30,1
1,2,10,11,2014,11,53,1
1,8,10,11,2014,9,29,1
1,6,10,11,2014,9,25,1
7,3,2,11,2014,22,2,1
7,5,2,11,2014,16,0,1
7,3,2,11,2014,15,40,1
7,6,2,11,2014,14,55,1
7,3,2,11,2014,14,2,1
7,2,2,11,2014,12,25,1
7,8,2,11,2014,12,21,1
7,5,2,11,2014,12,0,1
7,8,2,11,2014,0,50,1
6,9,1,11,2014,21,30,1
6,8,1,11,2014,18,39,1
6,5,1,11,2014,17,15,1
6,8,1,11,2014,12,0,1
6,8,1,11,2014,4,0,1
6,4,1,11,2014,3,0,1
6,6,1,11,2014,0,1,1
5,7,31,10,2014,22,15,1
5,2,31,10,2014,21,35,1
5,2,31,10,2014,14,53,1
5,2,31,10,2014,7,0,1
4,1,30,10,2014,23,0,1
4,2,30,10,2014,22,0,1
4,10,30,10,2014,21,30,1
4,8,30,10,2014,8,0,1
4,2,30,10,2014,2,33,1
4,5,30,10,2014,0,1,1
3,1,29,10,2014,22,0,1
3,3,29,10,2014,17,0,1
3,8,29,10,2014,9,17,1
3,8,29,10,2014,2,10,1
3,7,29,10,2014,1,0,1
3,1,29,10,2014,0,12,1
2,9,28,10,2014,21,50,1
2,8,28,10,2014,10,19,1
2,9,28,10,2014,2,0,1
1,3,27,10,2014,19,48,1
1,4,27,10,2014,15,0,1
1,8,27,10,2014,0,1,1
7,1,19,10,2014,22,30,1
7,2,19,10,2014,21,15,1
7,5,19,10,2014,21,0,1
7,7,19,10,2014,17,40,1
6,9,18,10,2014,22,0,1
6,3,18,10,2014,9,0,1
5,1,17,10,2014,23,0,1
5,9,17,10,2014,14,55,1
5,5,17,10,2014,13,30,1
5,4,17,10,2014,9,30,1
4,4,16,10,2014,22,0,1
4,5,16,10,2014,19,0,1
4,2,16,10,2014,16,30,1
4,7,16,10,2014,16,0,1
4,8,16,10,2014,15,30,1
4,2,16,10,2014,15,25,1
4,9,16,10,2014,12,0,1
3,4,15,10,2014,22,12,1
3,9,15,10,2014,14,45,1
3,7,15,10,2014,9,0,1
3,2,15,10,2014,6,0,1
2,7,14,10,2014,22,40,1
2,3,14,10,2014,21,11,1
2,9,14,10,2014,20,45,1
2,8,14,10,2014,18,9,1
2,9,14,10,2014,18,0,1
2,2,14,10,2014,9,30,1
2,3,14,10,2014,7,30,1
1,8,13,10,2014,21,47,1
1,3,13,10,2014,16,13,1
1,2,13,10,2014,15,0,1
1,9,13,10,2014,14,50,1
7,8,5,10,2014,21,37,1
7,4,5,10,2014,21,21,1
7,10,5,10,2014,21,0,1
7,9,5,10,2014,18,45,1
7,6,5,10,2014,16,5,1
7,4,5,10,2014,13,26,1
7,5,5,10,2014,6,44,1
7,2,5,10,2014,2,20,1
6,5,4,10,2014,23,45,1
6,3,4,10,2014,19,51,1
6,8,4,10,2014,16,0,1
6,1,4,10,2014,12,25,1
6,7,4,10,2014,10,30,1
6,9,4,10,2014,8,0,1
6,8,4,10,2014,7,10,1
6,3,4,10,2014,2,30,1
6,8,4,10,2014,0,25,1
5,4,3,10,2014,17,0,1
5,10,3,10,2014,7,8,1
4,4,2,10,2014,20,45,1
4,9,2,10,2014,10,0,1
4,7,2,10,2014,9,45,1
4,6,2,10,2014,9,11,1
4,2,2,10,2014,5,0,1
4,10,2,10,2014,5,0,1
4,8,2,10,2014,1,30,1
3,3,1,10,2014,21,35,1
3,9,1,10,2014,16,0,1
3,6,1,10,2014,12,0,1
3,10,1,10,2014,3,50,1
3,6,1,10,2014,2,0,1
2,4,30,9,2014,15,40,1
2,2,30,9,2014,11,44,1
2,9,30,9,2014,10,28,1
2,9,30,9,2014,10,11,1
1,9,29,9,2014,21,18,1
1,9,29,9,2014,19,39,1
1,8,29,9,2014,18,30,1
1,3,29,9,2014,14,40,1
1,9,29,9,2014,12,32,1
1,1,29,9,2014,9,0,1
1,8,29,9,2014,0,1,1
7,4,21,9,2014,23,25,1
7,7,21,9,2014,21,45,1
7,3,21,9,2014,18,0,1
7,6,21,9,2014,2,0,1
6,2,20,9,2014,0,1,1
5,3,19,9,2014,22,40,1
5,1,19,9,2014,14,0,1
5,9,19,9,2014,10,30,1
5,8,19,9,2014,0,15,1
5,2,19,9,2014,0,5,1
4,8,18,9,2014,18,0,1
4,3,18,9,2014,16,23,1
3,10,17,9,2014,22,5,1
3,5,17,9,2014,22,0,1
3,4,17,9,2014,20,5,1
3,9,17,9,2014,16,45,1
3,4,17,9,2014,10,40,1
3,1,17,9,2014,7,55,1
3,9,17,9,2014,4,0,1
3,2,17,9,2014,4,0,1
3,1,17,9,2014,0,20,1
2,7,16,9,2014,23,45,1
2,5,16,9,2014,20,30,1
2,2,16,9,2014,17,45,1
2,4,16,9,2014,17,10,1
2,4,16,9,2014,16,2,1
2,5,16,9,2014,15,25,1
2,9,16,9,2014,12,15,1
2,5,16,9,2014,9,0,1
2,7,16,9,2014,8,0,1
1,5,15,9,2014,20,4,1
1,5,15,9,2014,17,40,1
1,5,15,9,2014,16,45,1
1,8,15,9,2014,15,20,1
1,2,15,9,2014,12,0,1
1,2,15,9,2014,10,53,1
1,3,15,9,2014,9,30,1
7,8,7,9,2014,12,0,1
7,10,7,9,2014,6,27,1
6,4,6,9,2014,23,15,1
6,3,6,9,2014,8,30,1
5,3,5,9,2014,21,39,1
5,5,5,9,2014,21,0,1
5,2,5,9,2014,12,30,1
5,5,5,9,2014,0,5,1
4,3,4,9,2014,20,35,1
4,7,4,9,2014,15,30,1
4,2,4,9,2014,14,0,1
4,6,4,9,2014,13,10,1
4,8,4,9,2014,12,30,1
4,8,4,9,2014,9,35,1
4,4,4,9,2014,7,40,1
4,4,4,9,2014,1,41,1
3,8,3,9,2014,22,26,1
3,3,3,9,2014,19,50,1
3,4,3,9,2014,16,57,1
3,1,3,9,2014,14,30,1
3,3,3,9,2014,14,0,1
3,5,3,9,2014,13,30,1
3,6,3,9,2014,12,55,1
3,9,3,9,2014,10,0,1
2,4,2,9,2014,22,53,1
2,8,2,9,2014,22,30,1
2,10,2,9,2014,17,30,1
2,4,2,9,2014,16,58,1
2,9,2,9,2014,11,0,1
2,9,2,9,2014,8,55,1
2,8,2,9,2014,2,0,1
1,10,1,9,2014,22,30,1
1,5,1,9,2014,15,14,1
1,7,1,9,2014,9,0,1
1,7,1,9,2014,9,0,1
7,2,24,8,2014,19,25,1
7,4,24,8,2014,16,0,1
7,1,24,8,2014,8,0,1
6,3,23,8,2014,21,30,1
6,8,23,8,2014,16,0,1
6,7,23,8,2014,13,55,1
6,6,23,8,2014,11,0,1
6,1,23,8,2014,9,30,1
6,5,23,8,2014,3,41,1
6,5,23,8,2014,0,1,1
5,10,22,8,2014,21,20,1
5,3,22,8,2014,14,40,1
5,10,22,8,2014,14,31,1
5,3,22,8,2014,5,51,1
4,4,21,8,2014,19,52,1
4,2,21,8,2014,19,23,1
4,5,21,8,2014,14,30,1
4,9,21,8,2014,13,1,1
4,3,21,8,2014,11,0,1
3,9,20,8,2014,22,0,1
3,2,20,8,2014,20,40,1
3,3,20,8,2014,20,10,1
3,5,20,8,2014,19,40,1
3,2,20,8,2014,18,0,1
3,4,20,8,2014,17,30,1
3,5,20,8,2014,12,40,1
3,9,20,8,2014,12,20,1
3,10,20,8,2014,4,0,1
3,3,20,8,2014,0,3,1
2,2,19,8,2014,22,34,1
2,3,19,8,2014,21,43,1
2,5,19,8,2014,17,30,1
2,3,19,8,2014,16,30,1
2,2,19,8,2014,7,1,1
2,4,19,8,2014,3,0,1
1,3,18,8,2014,19,11,1
1,4,18,8,2014,15,45,1
1,4,18,8,2014,15,0,1
1,3,18,8,2014,11,20,1
1,10,18,8,2014,11,15,1
1,10,18,8,2014,5,0,1
7,2,10,8,2014,14,6,1
6,4,9,8,2014,23,20,1
6,8,9,8,2014,22,7,1
6,3,9,8,2014,18,0,1
6,3,9,8,2014,17,0,1
6,8,9,8,2014,13,15,1
6,9,9,8,2014,11,30,1
6,3,9,8,2014,10,0,1
6,10,9,8,2014,3,20,1
5,4,8,8,2014,22,2,1
5,10,8,8,2014,21,28,1
4,6,7,8,2014,22,0,1
4,8,7,8,2014,20,3,1
4,5,7,8,2014,18,47,1
4,2,7,8,2014,17,47,1
4,3,7,8,2014,16,15,1
4,1,7,8,2014,11,30,1
4,10,7,8,2014,11,30,1
4,10,7,8,2014,8,30,1
3,2,6,8,2014,22,26,1
3,9,6,8,2014,15,20,1
3,3,6,8,2014,12,23,1
3,8,6,8,2014,9,0,1
3,2,6,8,2014,2,0,1
2,9,5,8,2014,17,24,1
1,4,4,8,2014,17,14,1
1,10,4,8,2014,14,53,1
1,9,4,8,2014,10,30,1
7,6,27,7,2014,21,30,1
7,4,27,7,2014,18,10,1
7,9,27,7,2014,18,0,1
7,4,27,7,2014,17,0,1
7,3,27,7,2014,5,52,1
7,10,27,7,2014,5,30,1
7,2,27,7,2014,1,30,1
6,3,26,7,2014,10,8,1
6,8,26,7,2014,0,1,1
5,9,25,7,2014,22,0,1
5,2,25,7,2014,18,4,1
5,5,25,7,2014,0,15,1
4,3,24,7,2014,21,30,1
4,7,24,7,2014,19,30,1
4,7,24,7,2014,0,1,1
3,2,23,7,2014,15,30,1
3,4,23,7,2014,3,9,1
2,3,22,7,2014,23,20,1
2,5,22,7,2014,22,0,1
2,9,22,7,2014,21,3,1
2,4,22,7,2014,17,25,1
2,3,22,7,2014,11,0,1
2,4,22,7,2014,2,7,1
1,5,21,7,2014,23,0,1
1,2,21,7,2014,22,0,1
1,8,21,7,2014,11,30,1
1,7,21,7,2014,0,1,1
7,4,13,7,2014,22,42,1
7,7,13,7,2014,19,24,1
7,2,13,7,2014,3,43,1
7,4,13,7,2014,0,33,1
6,10,12,7,2014,22,30,1
6,10,12,7,2014,21,45,1
6,3,12,7,2014,16,45,1
6,5,12,7,2014,13,50,1
6,1,12,7,2014,9,44,1
6,3,12,7,2014,6,5,1
6,2,12,7,2014,3,8,1
5,10,11,7,2014,19,0,1
5,5,11,7,2014,14,30,1
5,2,11,7,2014,2,0,1
4,10,10,7,2014,22,30,1
4,2,10,7,2014,20,15,1
4,9,10,7,2014,19,0,1
3,3,9,7,2014,22,36,1
3,8,9,7,2014,21,35,1
3,2,9,7,2014,16,40,1
3,8,9,7,2014,14,30,1
3,3,9,7,2014,10,0,1
2,3,8,7,2014,19,30,1
