"day","location","date","month","year","hour","min","ARSON"
4,9,8,1,2015,20,0,1
3,9,7,1,2015,21,10,1
3,6,7,1,2015,20,28,1
2,5,6,1,2015,13,49,1
2,1,6,1,2015,3,20,1
1,5,5,1,2015,20,10,1
1,10,5,1,2015,16,50,1
1,4,5,1,2015,5,30,1
1,1,5,1,2015,0,25,1
4,7,25,12,2014,9,52,1
4,8,25,12,2014,7,25,1
2,4,23,12,2014,20,13,1
5,3,12,12,2014,23,10,1
5,5,12,12,2014,22,30,1
5,8,12,12,2014,6,30,1
5,5,12,12,2014,2,25,1
3,2,10,12,2014,18,27,1
2,9,9,12,2014,20,0,1
1,4,8,12,2014,4,55,1
6,7,29,11,2014,23,10,1
6,3,29,11,2014,0,1,1
4,3,27,11,2014,7,8,1
3,2,26,11,2014,19,59,1
3,8,26,11,2014,5,5,1
7,1,16,11,2014,4,51,1
5,1,14,11,2014,4,0,1
5,9,14,11,2014,2,30,1
2,4,11,11,2014,23,25,1
2,4,11,11,2014,22,10,1
1,7,10,11,2014,20,24,1
6,6,1,11,2014,20,10,1
4,2,30,10,2014,11,51,1
2,3,28,10,2014,8,28,1
1,8,27,10,2014,22,4,1
5,10,17,10,2014,17,10,1
1,3,13,10,2014,18,30,1
1,1,13,10,2014,1,10,1
6,3,4,10,2014,15,50,1
6,8,4,10,2014,9,6,1
5,3,3,10,2014,22,17,1
5,6,3,10,2014,11,49,1
3,9,1,10,2014,13,0,1
3,2,1,10,2014,6,45,1
3,2,17,9,2014,20,16,1
2,4,16,9,2014,20,10,1
1,7,15,9,2014,20,0,1
7,5,7,9,2014,20,30,1
6,7,6,9,2014,8,30,1
5,3,5,9,2014,3,55,1
4,6,4,9,2014,1,13,1
7,5,24,8,2014,4,35,1
6,2,23,8,2014,23,6,1
6,4,23,8,2014,6,24,1
1,3,18,8,2014,19,11,1
6,8,9,8,2014,22,7,1
6,5,9,8,2014,17,24,1
5,2,8,8,2014,23,43,1
4,3,7,8,2014,3,15,1
3,4,6,8,2014,22,0,1
6,5,26,7,2014,2,35,1
3,3,23,7,2014,4,35,1
1,5,21,7,2014,3,28,1
1,1,21,7,2014,3,21,1
7,3,13,7,2014,6,53,1
7,9,13,7,2014,0,20,1
3,5,9,7,2014,0,33,1
1,4,7,7,2014,11,45,1
5,4,27,6,2014,17,0,1
4,4,26,6,2014,0,30,1
3,2,25,6,2014,11,0,1
3,2,25,6,2014,8,35,1
3,4,25,6,2014,0,1,1
6,8,14,6,2014,22,30,1
4,2,12,6,2014,22,45,1
3,2,11,6,2014,13,11,1
2,2,10,6,2014,23,5,1
7,3,1,6,2014,4,45,1
3,2,28,5,2014,22,0,1
2,3,27,5,2014,4,25,1
7,4,18,5,2014,17,45,1
6,2,17,5,2014,6,7,1
5,6,16,5,2014,4,25,1
4,3,15,5,2014,4,40,1
3,10,14,5,2014,10,45,1
4,4,1,5,2014,3,15,1
2,5,29,4,2014,4,50,1
1,3,28,4,2014,10,0,1
1,1,28,4,2014,6,45,1
6,8,19,4,2014,23,0,1
2,9,15,4,2014,16,20,1
6,1,5,4,2014,22,56,1
6,5,5,4,2014,1,50,1
6,5,5,4,2014,1,50,1
3,8,2,4,2014,23,40,1
1,3,31,3,2014,19,9,1
1,5,31,3,2014,1,24,1
7,2,23,3,2014,1,25,1
6,8,22,3,2014,4,0,1
3,2,19,3,2014,20,8,1
3,8,5,3,2014,1,49,1
2,3,4,3,2014,19,45,1
7,4,23,2,2014,2,13,1
5,8,21,2,2014,21,41,1
4,9,20,2,2014,0,30,1
7,5,9,2,2014,11,5,1
7,2,9,2,2014,2,22,1
5,5,7,2,2014,17,46,1
4,6,6,2,2014,2,43,1
2,3,4,2,2014,2,47,1
1,3,3,2,2014,5,20,1
7,4,26,1,2014,16,0,1
7,8,26,1,2014,0,1,1
6,1,25,1,2014,13,20,1
6,2,25,1,2014,12,15,1
6,1,25,1,2014,10,5,1
5,7,24,1,2014,16,0,1
5,4,24,1,2014,5,31,1
1,9,20,1,2014,20,21,1
7,9,12,1,2014,19,47,1
6,2,11,1,2014,19,55,1
5,7,10,1,2014,18,13,1
5,7,10,1,2014,11,0,1
2,3,7,1,2014,0,1,1
1,4,6,1,2014,2,0,1
7,4,29,12,2013,5,4,1
6,2,28,12,2013,22,45,1
6,3,28,12,2013,19,22,1
6,9,28,12,2013,0,14,1
3,1,25,12,2013,18,50,1
3,4,11,12,2013,14,58,1
6,7,30,11,2013,0,55,1
4,6,28,11,2013,3,45,1
3,4,27,11,2013,10,45,1
1,2,25,11,2013,1,23,1
6,3,16,11,2013,21,0,1
5,3,15,11,2013,0,5,1
4,4,14,11,2013,16,15,1
1,5,11,11,2013,10,27,1
1,5,11,11,2013,10,27,1
1,1,11,11,2013,10,0,1
1,5,11,11,2013,6,0,1
1,5,11,11,2013,5,50,1
6,9,2,11,2013,23,5,1
6,6,2,11,2013,10,6,1
2,5,29,10,2013,23,0,1
1,7,28,10,2013,18,33,1
6,4,19,10,2013,7,1,1
5,4,18,10,2013,17,45,1
5,1,18,10,2013,5,30,1
5,2,18,10,2013,4,34,1
3,6,16,10,2013,22,30,1
7,3,6,10,2013,19,40,1
5,3,4,10,2013,21,36,1
5,2,4,10,2013,21,35,1
5,9,4,10,2013,17,55,1
2,3,1,10,2013,9,20,1
5,5,20,9,2013,10,2,1
4,5,19,9,2013,6,33,1
3,7,18,9,2013,19,14,1
3,5,18,9,2013,13,30,1
3,2,18,9,2013,4,51,1
2,5,17,9,2013,18,40,1
6,9,7,9,2013,4,57,1
5,7,6,9,2013,3,49,1
5,6,6,9,2013,0,1,1
3,2,4,9,2013,19,0,1
6,3,24,8,2013,9,20,1
5,5,9,8,2013,23,30,1
5,3,9,8,2013,11,15,1
5,1,9,8,2013,6,30,1
2,6,6,8,2013,22,45,1
1,5,5,8,2013,4,55,1
7,1,28,7,2013,11,9,1
3,1,24,7,2013,23,23,1
2,3,23,7,2013,19,41,1
2,1,23,7,2013,14,30,1
2,5,23,7,2013,1,25,1
1,5,22,7,2013,17,25,1
1,9,22,7,2013,2,0,1
7,2,14,7,2013,4,20,1
7,10,14,7,2013,2,40,1
5,4,12,7,2013,4,4,1
2,7,9,7,2013,10,0,1
7,5,30,6,2013,0,52,1
3,5,26,6,2013,1,6,1
2,5,25,6,2013,5,16,1
1,10,24,6,2013,23,30,1
6,8,15,6,2013,8,37,1
5,3,14,6,2013,14,0,1
3,9,12,6,2013,16,45,1
3,2,12,6,2013,0,25,1
7,2,2,6,2013,22,5,1
5,3,31,5,2013,4,10,1
2,7,28,5,2013,16,20,1
5,3,17,5,2013,0,59,1
4,10,16,5,2013,11,40,1
3,2,15,5,2013,10,15,1
7,3,5,5,2013,22,55,1
7,2,5,5,2013,3,55,1
4,1,2,5,2013,0,18,1
3,9,1,5,2013,9,15,1
7,10,21,4,2013,22,40,1
6,5,6,4,2013,7,20,1
4,10,4,4,2013,9,10,1
2,8,2,4,2013,5,51,1
7,9,24,3,2013,8,0,1
5,6,22,3,2013,3,5,1
3,4,20,3,2013,1,0,1
7,5,10,3,2013,5,15,1
6,8,9,3,2013,21,45,1
6,9,9,3,2013,3,9,1
4,9,7,3,2013,0,1,1
3,4,6,3,2013,3,4,1
1,10,4,3,2013,20,58,1
1,10,4,3,2013,20,58,1
1,10,4,3,2013,20,21,1
1,10,4,3,2013,19,36,1
1,10,4,3,2013,19,33,1
1,4,4,3,2013,12,9,1
7,3,24,2,2013,5,0,1
6,9,23,2,2013,16,37,1
6,9,23,2,2013,16,37,1
6,9,23,2,2013,13,28,1
6,1,23,2,2013,3,40,1
5,8,22,2,2013,22,50,1
4,2,21,2,2013,0,40,1
2,3,19,2,2013,22,0,1
6,1,9,2,2013,8,28,1
5,4,8,2,2013,17,44,1
4,3,7,2,2013,21,39,1
2,3,5,2,2013,14,0,1
1,8,4,2,2013,23,10,1
7,5,27,1,2013,9,54,1
6,5,26,1,2013,7,45,1
6,3,26,1,2013,6,43,1
6,5,26,1,2013,2,5,1
3,6,23,1,2013,5,0,1
2,8,22,1,2013,22,0,1
2,8,22,1,2013,22,0,1
1,8,21,1,2013,12,0,1
1,8,21,1,2013,2,0,1
7,5,13,1,2013,22,55,1
5,5,11,1,2013,2,35,1
4,3,10,1,2013,22,14,1
4,3,10,1,2013,18,30,1
4,8,10,1,2013,7,55,1
3,5,9,1,2013,5,25,1
2,4,8,1,2013,10,40,1
2,4,8,1,2013,8,53,1
7,8,30,12,2012,22,46,1
6,2,29,12,2012,0,10,1
3,3,26,12,2012,23,40,1
3,1,26,12,2012,23,40,1
6,8,15,12,2012,9,15,1
4,2,13,12,2012,20,0,1
3,2,12,12,2012,15,30,1
3,1,12,12,2012,14,34,1
3,5,12,12,2012,0,1,1
7,3,2,12,2012,17,20,1
5,8,30,11,2012,10,6,1
3,3,28,11,2012,17,30,1
2,5,27,11,2012,7,30,1
1,9,26,11,2012,20,0,1
4,1,15,11,2012,0,9,1
2,4,13,11,2012,15,43,1
2,4,13,11,2012,15,43,1
2,4,13,11,2012,15,43,1
7,7,4,11,2012,1,6,1
3,4,31,10,2012,20,0,1
1,2,29,10,2012,1,30,1
1,2,29,10,2012,0,30,1
5,5,19,10,2012,2,43,1
2,1,16,10,2012,3,29,1
2,3,16,10,2012,1,6,1
1,10,15,10,2012,0,45,1
6,5,6,10,2012,4,20,1
3,9,3,10,2012,7,30,1
2,2,2,10,2012,7,50,1
7,8,23,9,2012,22,0,1
6,3,22,9,2012,22,0,1
6,5,22,9,2012,17,45,1
4,9,20,9,2012,18,17,1
3,2,19,9,2012,3,0,1
3,3,19,9,2012,2,15,1
2,5,18,9,2012,2,15,1
7,2,9,9,2012,13,23,1
7,10,9,9,2012,4,40,1
5,7,7,9,2012,1,7,1
3,9,5,9,2012,9,0,1
2,3,4,9,2012,21,44,1
1,4,3,9,2012,20,29,1
1,2,3,9,2012,11,6,1
1,2,3,9,2012,11,6,1
7,3,26,8,2012,6,10,1
6,3,25,8,2012,23,14,1
6,1,25,8,2012,22,45,1
6,8,25,8,2012,21,50,1
4,3,9,8,2012,1,19,1
3,3,8,8,2012,21,44,1
2,4,7,8,2012,21,0,1
1,3,6,8,2012,22,34,1
4,2,26,7,2012,17,40,1
3,2,25,7,2012,10,6,1
2,3,24,7,2012,6,17,1
2,10,24,7,2012,0,1,1
1,5,23,7,2012,2,18,1
6,8,14,7,2012,12,18,1
5,8,13,7,2012,19,10,1
5,2,13,7,2012,11,30,1
4,1,12,7,2012,20,0,1
4,9,12,7,2012,0,1,1
1,3,9,7,2012,4,58,1
6,8,30,6,2012,20,40,1
6,7,30,6,2012,6,0,1
5,3,29,6,2012,2,30,1
4,3,28,6,2012,1,59,1
2,2,26,6,2012,15,30,1
1,9,25,6,2012,3,35,1
1,3,25,6,2012,2,50,1
1,9,25,6,2012,1,6,1
7,2,17,6,2012,11,24,1
6,8,16,6,2012,3,30,1
3,3,13,6,2012,20,0,1
3,6,13,6,2012,14,38,1
3,3,13,6,2012,4,50,1
3,4,13,6,2012,3,10,1
2,1,12,6,2012,0,22,1
7,3,20,5,2012,23,16,1
5,7,18,5,2012,13,34,1
5,9,18,5,2012,1,45,1
4,9,17,5,2012,16,46,1
2,5,15,5,2012,15,44,1
1,5,14,5,2012,21,27,1
1,7,14,5,2012,4,0,1
4,3,3,5,2012,23,8,1
1,4,30,4,2012,21,30,1
1,7,30,4,2012,2,5,1
2,9,17,4,2012,11,41,1
1,9,16,4,2012,11,0,1
1,2,16,4,2012,2,7,1
7,4,8,4,2012,21,0,1
7,3,8,4,2012,2,55,1
3,8,4,4,2012,15,38,1
5,5,23,3,2012,19,15,1
3,8,21,3,2012,12,0,1
2,6,20,3,2012,23,0,1
4,2,8,3,2012,3,0,1
2,9,6,3,2012,23,0,1
7,3,26,2,2012,19,28,1
7,10,26,2,2012,15,0,1
7,4,26,2,2012,7,35,1
7,3,26,2,2012,7,8,1
7,4,26,2,2012,2,26,1
5,7,24,2,2012,20,30,1
5,7,24,2,2012,14,0,1
5,2,24,2,2012,8,0,1
3,1,22,2,2012,21,56,1
7,2,12,2,2012,22,35,1
2,9,7,2,2012,20,5,1
4,9,26,1,2012,13,0,1
1,1,23,1,2012,8,0,1
7,4,15,1,2012,5,0,1
6,3,14,1,2012,3,15,1
6,6,14,1,2012,1,54,1
5,4,13,1,2012,22,12,1
5,2,13,1,2012,20,20,1
4,7,12,1,2012,8,0,1
2,2,10,1,2012,19,55,1
2,2,10,1,2012,19,55,1
1,4,9,1,2012,4,10,1
1,3,9,1,2012,2,30,1
1,3,26,12,2011,18,30,1
6,4,17,12,2011,10,21,1
6,1,17,12,2011,4,0,1
1,3,12,12,2011,1,0,1
4,1,1,12,2011,14,57,1
4,2,1,12,2011,14,0,1
3,4,30,11,2011,19,30,1
5,3,18,11,2011,22,30,1
3,2,16,11,2011,14,53,1
3,3,16,11,2011,0,15,1
1,3,14,11,2011,21,27,1
1,3,14,11,2011,16,9,1
1,7,14,11,2011,15,5,1
7,2,6,11,2011,23,30,1
5,4,4,11,2011,15,28,1
1,3,31,10,2011,2,41,1
4,7,20,10,2011,13,44,1
3,7,19,10,2011,19,30,1
1,4,3,10,2011,12,50,1
6,3,24,9,2011,23,26,1
4,4,22,9,2011,20,30,1
1,8,19,9,2011,9,30,1
6,3,10,9,2011,10,30,1
5,8,9,9,2011,10,40,1
5,4,9,9,2011,6,30,1
4,9,8,9,2011,4,50,1
4,4,8,9,2011,3,50,1
4,10,8,9,2011,2,20,1
4,10,8,9,2011,2,15,1
3,3,7,9,2011,6,2,1
2,3,6,9,2011,23,0,1
5,8,26,8,2011,16,32,1
4,1,25,8,2011,18,20,1
4,8,25,8,2011,8,54,1
3,2,24,8,2011,18,30,1
1,2,22,8,2011,19,57,1
4,4,11,8,2011,13,35,1
4,3,11,8,2011,6,0,1
2,3,9,8,2011,21,1,1
2,1,9,8,2011,6,0,1
1,4,8,8,2011,9,22,1
5,9,29,7,2011,18,10,1
7,1,17,7,2011,23,45,1
7,8,17,7,2011,23,0,1
5,1,15,7,2011,4,6,1
5,1,15,7,2011,4,0,1
2,3,12,7,2011,0,29,1
1,8,11,7,2011,2,26,1
5,2,1,7,2011,10,23,1
6,7,4,6,2011,21,0,1
6,6,4,6,2011,20,2,1
6,3,4,6,2011,3,16,1
6,3,4,6,2011,0,41,1
5,3,3,6,2011,16,19,1
4,2,19,5,2011,14,8,1
6,8,7,5,2011,0,37,1
4,9,5,5,2011,23,40,1
2,3,3,5,2011,4,57,1
1,9,2,5,2011,23,25,1
5,7,22,4,2011,0,30,1
2,8,19,4,2011,17,0,1
1,1,18,4,2011,13,15,1
1,3,18,4,2011,0,27,1
7,7,10,4,2011,16,0,1
7,9,10,4,2011,9,20,1
7,3,10,4,2011,4,27,1
5,2,8,4,2011,13,23,1
4,1,7,4,2011,12,20,1
2,5,5,4,2011,15,12,1
2,7,5,4,2011,12,0,1
1,8,4,4,2011,19,30,1
5,9,25,3,2011,23,30,1
5,4,25,3,2011,23,0,1
5,5,11,3,2011,23,0,1
5,3,11,3,2011,20,34,1
5,5,11,3,2011,4,25,1
4,4,10,3,2011,16,49,1
4,5,10,2,2011,15,0,1
4,3,10,2,2011,13,3,1
4,3,10,2,2011,13,3,1
4,9,10,2,2011,2,6,1
3,9,9,2,2011,15,0,1
2,10,8,2,2011,23,52,1
2,4,8,2,2011,21,50,1
2,9,8,2,2011,2,1,1
1,10,7,2,2011,1,30,1
1,5,7,2,2011,0,1,1
7,4,30,1,2011,2,0,1
6,7,29,1,2011,15,0,1
6,3,29,1,2011,12,15,1
4,3,27,1,2011,20,30,1
2,5,25,1,2011,0,5,1
6,3,15,1,2011,4,43,1
6,5,15,1,2011,4,27,1
5,3,14,1,2011,20,50,1
4,8,13,1,2011,7,36,1
2,10,11,1,2011,21,15,1
2,9,11,1,2011,18,16,1
7,3,19,12,2010,6,30,1
3,3,15,12,2010,13,15,1
7,2,5,12,2010,10,18,1
6,3,4,12,2010,4,23,1
7,9,21,11,2010,23,48,1
6,8,20,11,2010,0,33,1
5,7,19,11,2010,1,0,1
3,4,17,11,2010,19,30,1
3,4,17,11,2010,0,20,1
3,4,17,11,2010,0,20,1
2,8,16,11,2010,22,22,1
2,8,16,11,2010,2,10,1
7,3,7,11,2010,2,24,1
4,8,4,11,2010,3,54,1
7,8,24,10,2010,4,50,1
5,3,22,10,2010,18,0,1
4,10,21,10,2010,19,20,1
3,2,20,10,2010,21,33,1
2,4,19,10,2010,3,41,1
2,1,19,10,2010,1,15,1
6,9,9,10,2010,22,9,1
3,3,6,10,2010,20,13,1
1,3,4,10,2010,20,4,1
7,3,26,9,2010,20,0,1
7,3,26,9,2010,7,12,1
7,2,26,9,2010,0,30,1
6,2,25,9,2010,16,36,1
6,4,25,9,2010,16,0,1
7,3,12,9,2010,22,19,1
4,3,9,9,2010,23,22,1
2,3,7,9,2010,21,30,1
1,4,6,9,2010,0,11,1
7,3,29,8,2010,4,5,1
5,1,27,8,2010,7,0,1
5,3,27,8,2010,0,15,1
5,3,27,8,2010,0,13,1
7,3,15,8,2010,12,17,1
7,2,15,8,2010,0,10,1
4,8,12,8,2010,5,42,1
4,8,12,8,2010,5,42,1
3,3,11,8,2010,22,16,1
2,5,10,8,2010,12,40,1
2,3,10,8,2010,2,20,1
7,2,1,8,2010,22,49,1
4,2,29,7,2010,4,0,1
7,9,18,7,2010,18,0,1
7,3,18,7,2010,4,36,1
3,7,14,7,2010,16,35,1
1,3,12,7,2010,7,29,1
7,8,4,7,2010,5,50,1
3,4,30,6,2010,3,50,1
2,2,29,6,2010,7,0,1
1,9,28,6,2010,4,30,1
5,4,18,6,2010,0,1,1
4,7,17,6,2010,21,42,1
4,3,17,6,2010,20,30,1
3,3,16,6,2010,2,22,1
2,3,15,6,2010,3,0,1
6,7,5,6,2010,2,44,1
2,4,1,6,2010,2,30,1
7,5,23,5,2010,22,30,1
6,1,22,5,2010,13,37,1
6,5,22,5,2010,3,43,1
5,8,21,5,2010,21,20,1
5,3,21,5,2010,15,0,1
2,3,18,5,2010,18,45,1
2,5,18,5,2010,5,0,1
2,5,18,5,2010,5,0,1
1,2,17,5,2010,22,43,1
1,2,17,5,2010,11,45,1
6,2,8,5,2010,15,25,1
5,4,7,5,2010,7,0,1
2,2,4,5,2010,10,39,1
2,3,4,5,2010,4,34,1
1,3,3,5,2010,23,53,1
1,8,3,5,2010,11,25,1
1,3,3,5,2010,3,55,1
5,3,23,4,2010,23,29,1
4,2,22,4,2010,15,20,1
2,2,20,4,2010,2,23,1
1,4,19,4,2010,14,30,1
1,2,19,4,2010,2,29,1
7,3,11,4,2010,22,18,1
6,3,10,4,2010,14,42,1
6,2,10,4,2010,11,0,1
2,10,6,4,2010,20,0,1
6,3,27,3,2010,1,52,1
5,3,26,3,2010,13,16,1
7,8,14,3,2010,21,30,1
7,8,14,3,2010,1,5,1
6,1,13,3,2010,3,36,1
5,7,12,3,2010,17,0,1
4,4,25,2,2010,14,29,1
4,2,25,2,2010,5,40,1
4,2,25,2,2010,5,38,1
7,3,14,2,2010,16,24,1
2,6,9,2,2010,22,19,1
4,5,28,1,2010,20,25,1
4,4,28,1,2010,8,5,1
3,7,27,1,2010,1,15,1
5,9,15,1,2010,1,0,1
4,8,14,1,2010,18,40,1
1,9,11,1,2010,16,38,1
1,4,11,1,2010,1,59,1
6,3,26,12,2009,10,1,1
3,6,23,12,2009,18,40,1
2,9,22,12,2009,23,0,1
1,7,21,12,2009,22,15,1
6,6,12,12,2009,3,22,1
2,2,8,12,2009,18,29,1
7,3,29,11,2009,19,35,1
6,4,28,11,2009,21,0,1
4,6,26,11,2009,2,25,1
4,6,26,11,2009,2,22,1
2,9,24,11,2009,21,30,1
1,3,23,11,2009,22,3,1
7,1,15,11,2009,3,7,1
5,2,13,11,2009,21,54,1
4,10,29,10,2009,20,45,1
4,3,29,10,2009,1,45,1
1,8,26,10,2009,10,30,1
6,1,17,10,2009,20,0,1
5,3,16,10,2009,6,2,1
5,3,2,10,2009,2,40,1
4,3,1,10,2009,18,45,1
3,5,30,9,2009,17,0,1
2,4,29,9,2009,15,40,1
7,3,20,9,2009,14,50,1
7,3,20,9,2009,4,49,1
6,1,19,9,2009,8,51,1
6,3,19,9,2009,6,45,1
6,6,19,9,2009,0,56,1
1,8,14,9,2009,0,45,1
7,7,6,9,2009,14,0,1
5,3,4,9,2009,12,55,1
5,1,4,9,2009,3,0,1
3,4,2,9,2009,21,30,1
3,1,2,9,2009,14,0,1
1,5,31,8,2009,15,23,1
6,5,22,8,2009,10,0,1
6,5,22,8,2009,10,0,1
4,3,20,8,2009,17,20,1
4,7,20,8,2009,7,12,1
4,7,20,8,2009,3,14,1
2,7,18,8,2009,17,10,1
2,7,18,8,2009,16,15,1
2,7,18,8,2009,6,14,1
1,2,17,8,2009,11,50,1
7,5,26,7,2009,4,0,1
6,5,25,7,2009,23,37,1
6,1,25,7,2009,2,0,1
6,5,25,7,2009,0,15,1
5,2,24,7,2009,6,14,1
5,5,24,7,2009,5,45,1
5,8,24,7,2009,3,15,1
4,5,23,7,2009,20,30,1
4,5,23,7,2009,6,43,1
3,7,22,7,2009,14,0,1
3,1,22,7,2009,5,15,1
2,7,21,7,2009,2,53,1
6,8,11,7,2009,12,44,1
7,8,28,6,2009,6,49,1
7,2,28,6,2009,5,30,1
4,7,25,6,2009,3,45,1
3,8,24,6,2009,19,18,1
5,3,12,6,2009,2,6,1
2,3,9,6,2009,23,19,1
2,2,9,6,2009,17,34,1
7,8,31,5,2009,2,30,1
6,3,30,5,2009,3,8,1
5,3,29,5,2009,18,0,1
1,8,25,5,2009,11,30,1
7,6,17,5,2009,1,49,1
5,2,15,5,2009,19,30,1
4,2,14,5,2009,20,24,1
3,8,13,5,2009,0,24,1
2,6,12,5,2009,19,0,1
1,8,11,5,2009,15,3,1
1,3,11,5,2009,5,0,1
1,1,11,5,2009,4,29,1
1,3,11,5,2009,1,0,1
4,2,30,4,2009,22,0,1
4,6,30,4,2009,7,0,1
3,2,29,4,2009,20,45,1
3,5,29,4,2009,18,7,1
4,6,16,4,2009,2,53,1
4,6,16,4,2009,2,53,1
1,3,13,4,2009,0,57,1
6,3,4,4,2009,3,5,1
3,2,1,4,2009,14,54,1
3,5,1,4,2009,12,27,1
2,8,31,3,2009,2,5,1
1,2,30,3,2009,0,36,1
1,3,30,3,2009,0,33,1
7,1,22,3,2009,17,57,1
5,10,20,3,2009,5,0,1
4,6,19,3,2009,2,49,1
4,6,19,3,2009,2,49,1
3,3,18,3,2009,4,38,1
2,3,17,3,2009,21,33,1
5,5,6,3,2009,17,14,1
4,2,5,3,2009,6,4,1
3,6,4,3,2009,5,39,1
7,2,22,2,2009,19,15,1
4,10,19,2,2009,21,24,1
2,3,17,2,2009,23,53,1
7,1,8,2,2009,18,40,1
5,3,6,2,2009,9,0,1
4,3,5,2,2009,0,31,1
3,4,4,2,2009,17,30,1
2,1,3,2,2009,23,16,1
2,9,3,2,2009,23,0,1
4,5,22,1,2009,13,3,1
3,9,21,1,2009,17,0,1
3,9,21,1,2009,3,17,1
1,7,19,1,2009,23,45,1
6,7,10,1,2009,20,10,1
5,5,9,1,2009,12,10,1
5,5,9,1,2009,4,42,1
4,10,8,1,2009,13,13,1
3,3,7,1,2009,2,25,1
2,4,6,1,2009,6,26,1
1,1,5,1,2009,18,0,1
7,3,28,12,2008,2,50,1
6,3,27,12,2008,2,58,1
3,3,24,12,2008,20,10,1
2,1,23,12,2008,0,47,1
1,7,22,12,2008,23,59,1
6,8,13,12,2008,21,30,1
6,5,13,12,2008,20,55,1
5,5,12,12,2008,6,30,1
7,3,30,11,2008,4,48,1
7,1,30,11,2008,0,12,1
6,8,29,11,2008,13,30,1
5,5,28,11,2008,2,44,1
4,4,27,11,2008,19,15,1
2,7,25,11,2008,20,0,1
7,3,16,11,2008,19,18,1
7,3,16,11,2008,0,5,1
5,8,14,11,2008,20,45,1
4,1,13,11,2008,22,47,1
2,3,11,11,2008,18,10,1
7,10,2,11,2008,6,30,1
7,6,19,10,2008,23,12,1
3,8,15,10,2008,7,34,1
3,3,15,10,2008,0,1,1
7,10,5,10,2008,14,51,1
6,9,4,10,2008,22,20,1
3,2,1,10,2008,16,45,1
3,8,1,10,2008,1,0,1
2,8,30,9,2008,11,15,1
2,7,30,9,2008,6,32,1
7,3,21,9,2008,2,14,1
6,7,20,9,2008,19,0,1
6,4,20,9,2008,14,58,1
6,4,20,9,2008,13,40,1
6,4,20,9,2008,13,40,1
6,2,20,9,2008,12,50,1
6,2,20,9,2008,9,30,1
5,4,19,9,2008,16,23,1
4,9,18,9,2008,3,35,1
4,9,18,9,2008,3,35,1
3,3,17,9,2008,0,12,1
1,1,15,9,2008,0,1,1
7,1,24,8,2008,0,1,1
6,1,23,8,2008,5,55,1
6,4,23,8,2008,2,0,1
5,1,22,8,2008,4,30,1
1,3,18,8,2008,17,0,1
1,5,18,8,2008,8,30,1
4,3,7,8,2008,16,45,1
2,5,5,8,2008,18,5,1
2,3,5,8,2008,2,54,1
5,2,25,7,2008,22,44,1
4,3,24,7,2008,1,8,1
7,10,13,7,2008,11,26,1
5,6,11,7,2008,8,30,1
4,3,10,7,2008,23,19,1
4,1,10,7,2008,22,0,1
4,3,10,7,2008,20,56,1
4,8,10,7,2008,16,30,1
4,7,10,7,2008,3,0,1
1,4,7,7,2008,4,43,1
7,4,29,6,2008,4,28,1
7,3,29,6,2008,1,45,1
6,10,28,6,2008,0,45,1
2,5,24,6,2008,2,0,1
1,3,23,6,2008,21,10,1
7,2,15,6,2008,9,45,1
7,9,15,6,2008,2,30,1
7,3,15,6,2008,2,16,1
