"day","location","date","month","year","hour","min","DISORDERLYCONDUCT"
4,4,10,7,2014,2,0,1
3,5,9,7,2014,13,25,1
2,3,8,7,2014,3,45,1
7,2,29,6,2014,21,36,1
7,10,29,6,2014,17,1,1
7,6,29,6,2014,16,11,1
7,4,29,6,2014,11,54,1
7,4,29,6,2014,1,55,1
6,4,28,6,2014,11,53,1
5,2,27,6,2014,15,6,1
5,8,27,6,2014,0,1,1
4,6,12,6,2014,15,57,1
2,3,10,6,2014,17,32,1
7,2,1,6,2014,18,30,1
7,4,1,6,2014,15,12,1
7,4,1,6,2014,3,20,1
5,2,30,5,2014,18,2,1
5,2,30,5,2014,8,19,1
5,4,30,5,2014,0,45,1
5,10,30,5,2014,0,31,1
2,10,27,5,2014,11,12,1
1,1,26,5,2014,2,27,1
6,2,17,5,2014,14,20,1
5,2,16,5,2014,23,25,1
3,8,14,5,2014,17,0,1
3,3,14,5,2014,1,35,1
3,4,14,5,2014,0,15,1
1,4,12,5,2014,22,0,1
1,4,12,5,2014,1,26,1
7,3,4,5,2014,10,55,1
7,5,4,5,2014,3,15,1
4,6,1,5,2014,16,37,1
7,4,20,4,2014,3,31,1
6,1,19,4,2014,0,58,1
5,3,18,4,2014,20,43,1
5,4,18,4,2014,8,0,1
3,4,16,4,2014,16,3,1
3,10,16,4,2014,8,45,1
5,8,4,4,2014,21,0,1
5,3,4,4,2014,18,8,1
4,4,3,4,2014,18,30,1
4,4,3,4,2014,1,0,1
3,5,2,4,2014,23,23,1
3,2,2,4,2014,17,15,1
6,4,22,3,2014,16,38,1
6,5,22,3,2014,14,0,1
5,2,21,3,2014,22,47,1
5,2,21,3,2014,22,35,1
4,4,20,3,2014,0,5,1
2,3,18,3,2014,15,0,1
1,4,17,3,2014,23,20,1
1,4,17,3,2014,2,45,1
7,1,9,3,2014,19,0,1
7,1,9,3,2014,2,20,1
6,3,8,3,2014,0,5,1
4,1,6,3,2014,6,0,1
3,4,5,3,2014,18,43,1
3,2,5,3,2014,17,23,1
3,1,5,3,2014,2,15,1
7,4,23,2,2014,22,0,1
7,10,23,2,2014,13,17,1
7,4,23,2,2014,0,45,1
6,9,22,2,2014,9,15,1
6,4,22,2,2014,0,30,1
5,4,21,2,2014,23,55,1
4,10,20,2,2014,6,51,1
2,5,18,2,2014,21,30,1
2,9,18,2,2014,20,45,1
2,1,18,2,2014,15,0,1
1,2,17,2,2014,9,12,1
7,4,9,2,2014,18,30,1
6,4,8,2,2014,19,19,1
5,4,7,2,2014,23,45,1
5,8,7,2,2014,9,23,1
5,4,7,2,2014,2,50,1
4,4,6,2,2014,22,30,1
3,4,5,2,2014,2,16,1
2,4,4,2,2014,23,45,1
1,4,3,2,2014,18,0,1
7,4,26,1,2014,5,37,1
7,3,26,1,2014,5,18,1
7,4,26,1,2014,3,11,1
7,4,26,1,2014,1,37,1
6,2,25,1,2014,14,0,1
6,10,25,1,2014,12,37,1
4,4,23,1,2014,3,40,1
3,6,22,1,2014,15,58,1
3,4,22,1,2014,0,54,1
2,2,21,1,2014,7,48,1
1,2,20,1,2014,8,47,1
7,4,12,1,2014,10,5,1
7,10,12,1,2014,8,26,1
6,1,11,1,2014,1,0,1
4,7,9,1,2014,8,21,1
5,4,27,12,2013,1,30,1
5,6,13,12,2013,8,6,1
4,4,12,12,2013,2,20,1
2,2,10,12,2013,9,34,1
5,1,29,11,2013,9,45,1
4,4,28,11,2013,10,30,1
2,4,26,11,2013,3,21,1
1,10,25,11,2013,17,50,1
1,1,25,11,2013,16,5,1
1,4,25,11,2013,3,9,1
1,4,25,11,2013,1,45,1
6,2,16,11,2013,23,30,1
5,3,15,11,2013,22,35,1
5,5,15,11,2013,8,15,1
3,3,13,11,2013,21,17,1
3,1,13,11,2013,10,45,1
3,5,13,11,2013,8,40,1
2,5,12,11,2013,10,0,1
5,1,1,11,2013,11,0,1
2,1,29,10,2013,13,0,1
7,2,20,10,2013,18,41,1
7,4,20,10,2013,18,0,1
7,8,20,10,2013,14,50,1
7,6,20,10,2013,0,1,1
3,2,16,10,2013,13,7,1
3,4,16,10,2013,0,10,1
1,6,14,10,2013,19,38,1
7,1,6,10,2013,1,59,1
7,1,6,10,2013,1,19,1
6,1,5,10,2013,13,19,1
4,6,3,10,2013,8,0,1
2,5,1,10,2013,6,49,1
6,8,21,9,2013,19,26,1
5,5,20,9,2013,0,30,1
4,5,19,9,2013,19,15,1
3,4,18,9,2013,22,40,1
3,7,18,9,2013,12,0,1
3,4,18,9,2013,9,30,1
3,2,18,9,2013,9,16,1
7,4,8,9,2013,0,42,1
6,6,7,9,2013,1,0,1
5,2,6,9,2013,13,33,1
5,1,6,9,2013,2,42,1
5,4,6,9,2013,0,5,1
4,1,5,9,2013,19,53,1
4,8,5,9,2013,6,0,1
3,3,4,9,2013,8,0,1
7,2,25,8,2013,18,5,1
7,3,25,8,2013,15,17,1
6,2,24,8,2013,13,28,1
4,8,22,8,2013,18,0,1
1,9,19,8,2013,15,0,1
6,2,10,8,2013,15,35,1
6,6,10,8,2013,11,5,1
6,4,10,8,2013,4,50,1
5,2,9,8,2013,9,16,1
4,2,8,8,2013,7,16,1
3,9,7,8,2013,23,45,1
2,10,6,8,2013,15,0,1
2,2,6,8,2013,10,38,1
2,2,6,8,2013,10,22,1
1,4,5,8,2013,8,36,1
1,4,5,8,2013,5,22,1
7,6,28,7,2013,17,24,1
7,1,28,7,2013,12,22,1
7,8,28,7,2013,2,10,1
6,1,27,7,2013,13,0,1
6,1,27,7,2013,10,0,1
5,8,26,7,2013,0,1,1
4,6,25,7,2013,18,0,1
4,2,25,7,2013,7,0,1
4,2,25,7,2013,6,45,1
3,6,24,7,2013,8,16,1
1,2,22,7,2013,2,4,1
7,9,14,7,2013,17,21,1
7,7,14,7,2013,8,15,1
7,8,14,7,2013,3,35,1
6,2,13,7,2013,18,2,1
6,4,13,7,2013,2,35,1
4,3,11,7,2013,11,22,1
4,10,11,7,2013,6,40,1
3,4,10,7,2013,16,30,1
3,10,10,7,2013,5,56,1
2,10,9,7,2013,5,58,1
1,2,8,7,2013,0,1,1
7,10,30,6,2013,17,41,1
7,4,30,6,2013,17,19,1
7,3,30,6,2013,11,14,1
6,1,29,6,2013,0,1,1
5,8,28,6,2013,21,55,1
1,4,24,6,2013,18,46,1
1,4,24,6,2013,1,45,1
7,7,16,6,2013,22,45,1
7,4,16,6,2013,11,45,1
6,4,15,6,2013,18,3,1
6,5,15,6,2013,2,5,1
3,10,12,6,2013,7,31,1
2,4,11,6,2013,5,0,1
1,8,10,6,2013,19,3,1
1,6,10,6,2013,17,0,1
7,4,2,6,2013,15,56,1
6,4,1,6,2013,18,4,1
5,4,31,5,2013,22,49,1
2,5,28,5,2013,21,15,1
2,4,28,5,2013,0,1,1
1,4,27,5,2013,22,45,1
7,6,19,5,2013,14,30,1
7,2,19,5,2013,2,0,1
6,2,18,5,2013,15,28,1
6,4,18,5,2013,2,0,1
5,2,17,5,2013,1,10,1
4,4,16,5,2013,23,45,1
2,1,14,5,2013,16,33,1
7,8,5,5,2013,18,9,1
7,4,5,5,2013,8,55,1
7,1,5,5,2013,2,14,1
3,9,1,5,2013,9,10,1
2,1,30,4,2013,16,39,1
2,4,30,4,2013,15,33,1
2,2,30,4,2013,14,59,1
2,3,30,4,2013,6,50,1
6,2,20,4,2013,10,20,1
6,9,20,4,2013,0,1,1
5,8,19,4,2013,22,15,1
3,3,17,4,2013,0,1,1
2,2,16,4,2013,10,17,1
2,10,16,4,2013,9,50,1
2,4,16,4,2013,1,41,1
7,4,7,4,2013,0,22,1
6,4,6,4,2013,2,25,1
5,4,5,4,2013,21,55,1
5,2,5,4,2013,20,30,1
4,1,4,4,2013,11,45,1
3,3,3,4,2013,7,25,1
2,6,2,4,2013,22,24,1
2,10,2,4,2013,14,45,1
2,5,2,4,2013,8,48,1
1,4,1,4,2013,23,0,1
1,4,1,4,2013,1,11,1
1,4,1,4,2013,0,40,1
7,4,24,3,2013,23,21,1
6,4,23,3,2013,23,40,1
6,4,23,3,2013,1,58,1
6,4,23,3,2013,0,44,1
5,4,22,3,2013,1,0,1
1,6,18,3,2013,11,30,1
7,8,10,3,2013,18,20,1
5,4,8,3,2013,21,32,1
5,10,8,3,2013,5,15,1
4,7,7,3,2013,11,40,1
4,9,7,3,2013,8,30,1
3,10,6,3,2013,6,40,1
3,10,6,3,2013,5,45,1
2,2,5,3,2013,11,9,1
2,10,5,3,2013,6,46,1
2,8,5,3,2013,6,40,1
2,5,5,3,2013,6,31,1
2,1,5,3,2013,2,10,1
1,5,4,3,2013,9,7,1
7,2,24,2,2013,8,30,1
7,7,24,2,2013,1,31,1
7,4,24,2,2013,1,15,1
7,4,24,2,2013,0,45,1
6,4,23,2,2013,23,0,1
5,2,22,2,2013,13,42,1
5,4,22,2,2013,1,30,1
4,1,21,2,2013,23,50,1
4,3,21,2,2013,18,0,1
4,5,21,2,2013,6,3,1
4,4,21,2,2013,2,35,1
3,10,20,2,2013,13,0,1
3,1,20,2,2013,12,0,1
3,10,20,2,2013,6,14,1
2,2,19,2,2013,13,30,1
2,4,19,2,2013,12,0,1
2,10,19,2,2013,6,45,1
2,10,19,2,2013,6,32,1
2,10,19,2,2013,6,21,1
2,5,19,2,2013,6,9,1
2,4,19,2,2013,3,41,1
1,4,18,2,2013,23,20,1
1,5,18,2,2013,6,0,1
7,3,10,2,2013,19,0,1
3,2,6,2,2013,17,39,1
3,10,6,2,2013,10,2,1
2,4,5,2,2013,23,30,1
2,5,5,2,2013,7,28,1
2,10,5,2,2013,7,14,1
1,10,4,2,2013,6,35,1
1,10,4,2,2013,6,16,1
7,1,27,1,2013,14,0,1
6,6,26,1,2013,15,37,1
6,1,26,1,2013,8,35,1
5,5,25,1,2013,18,20,1
4,10,24,1,2013,6,28,1
3,10,23,1,2013,6,52,1
3,5,23,1,2013,6,47,1
2,10,22,1,2013,6,53,1
2,10,22,1,2013,6,25,1
5,1,11,1,2013,10,30,1
4,2,10,1,2013,23,11,1
4,8,10,1,2013,18,30,1
4,7,10,1,2013,15,45,1
3,4,9,1,2013,22,30,1
3,2,9,1,2013,11,22,1
3,10,9,1,2013,6,4,1
2,6,8,1,2013,8,45,1
2,5,8,1,2013,6,50,1
2,10,8,1,2013,5,45,1
2,4,8,1,2013,0,28,1
1,10,7,1,2013,5,53,1
6,3,29,12,2012,13,0,1
6,4,29,12,2012,2,47,1
5,4,28,12,2012,23,45,1
5,2,28,12,2012,22,50,1
5,2,28,12,2012,22,37,1
5,4,28,12,2012,3,19,1
5,4,28,12,2012,0,22,1
4,4,27,12,2012,22,30,1
4,3,27,12,2012,18,44,1
4,10,27,12,2012,6,0,1
4,10,27,12,2012,5,59,1
3,10,26,12,2012,6,15,1
3,10,26,12,2012,5,49,1
6,1,15,12,2012,2,31,1
5,4,14,12,2012,0,47,1
4,4,13,12,2012,23,59,1
4,10,13,12,2012,9,24,1
4,10,13,12,2012,8,55,1
4,10,13,12,2012,8,27,1
4,10,13,12,2012,5,58,1
2,10,11,12,2012,7,2,1
2,10,11,12,2012,6,7,1
2,10,11,12,2012,5,48,1
1,10,10,12,2012,7,40,1
1,10,10,12,2012,7,9,1
7,8,2,12,2012,15,55,1
7,4,2,12,2012,12,15,1
6,4,1,12,2012,15,57,1
6,8,1,12,2012,7,40,1
5,6,30,11,2012,20,1,1
5,4,30,11,2012,13,30,1
4,10,29,11,2012,6,38,1
4,10,29,11,2012,5,50,1
3,10,28,11,2012,6,50,1
3,10,28,11,2012,5,53,1
3,4,28,11,2012,1,20,1
2,8,27,11,2012,17,43,1
2,10,27,11,2012,8,37,1
1,2,26,11,2012,11,30,1
1,4,26,11,2012,0,42,1
7,8,18,11,2012,19,30,1
7,8,18,11,2012,19,30,1
7,6,18,11,2012,18,50,1
7,5,18,11,2012,9,35,1
6,6,17,11,2012,23,29,1
6,2,17,11,2012,22,18,1
5,9,16,11,2012,0,47,1
4,4,15,11,2012,14,20,1
3,5,14,11,2012,22,22,1
2,3,13,11,2012,18,15,1
2,4,13,11,2012,8,0,1
2,10,13,11,2012,5,55,1
2,4,13,11,2012,5,11,1
1,4,12,11,2012,2,50,1
7,2,4,11,2012,1,40,1
6,4,3,11,2012,23,50,1
6,4,3,11,2012,23,50,1
6,1,3,11,2012,22,5,1
6,8,3,11,2012,17,8,1
5,6,2,11,2012,2,30,1
5,4,2,11,2012,2,4,1
4,4,1,11,2012,16,45,1
1,10,29,10,2012,7,30,1
7,2,21,10,2012,23,50,1
6,1,20,10,2012,12,0,1
5,9,19,10,2012,16,0,1
5,1,19,10,2012,14,40,1
5,2,19,10,2012,6,5,1
4,4,18,10,2012,1,30,1
4,4,18,10,2012,1,7,1
3,10,17,10,2012,7,55,1
3,10,17,10,2012,6,31,1
3,4,17,10,2012,4,49,1
2,5,16,10,2012,8,20,1
2,5,16,10,2012,6,50,1
1,1,15,10,2012,8,0,1
1,10,15,10,2012,7,4,1
1,10,15,10,2012,6,39,1
1,10,15,10,2012,5,48,1
7,3,7,10,2012,16,7,1
7,2,7,10,2012,3,43,1
6,8,6,10,2012,12,35,1
5,1,5,10,2012,14,0,1
5,5,5,10,2012,13,14,1
4,8,4,10,2012,8,20,1
3,9,3,10,2012,8,20,1
3,5,3,10,2012,6,12,1
2,6,2,10,2012,22,25,1
2,10,2,10,2012,6,43,1
2,10,2,10,2012,5,50,1
1,10,1,10,2012,7,11,1
1,5,1,10,2012,6,52,1
1,5,1,10,2012,6,30,1
1,10,1,10,2012,6,11,1
1,4,1,10,2012,3,46,1
1,4,1,10,2012,2,3,1
7,4,23,9,2012,3,21,1
7,1,23,9,2012,0,59,1
5,5,21,9,2012,7,45,1
3,4,19,9,2012,19,20,1
3,10,19,9,2012,7,41,1
3,10,19,9,2012,6,1,1
2,10,18,9,2012,6,40,1
2,10,18,9,2012,6,7,1
2,10,18,9,2012,5,47,1
1,6,17,9,2012,16,15,1
1,5,17,9,2012,12,0,1
1,5,17,9,2012,11,0,1
1,10,17,9,2012,6,24,1
1,10,17,9,2012,6,8,1
1,10,17,9,2012,5,50,1
7,8,9,9,2012,12,35,1
6,5,8,9,2012,14,5,1
5,2,7,9,2012,17,0,1
5,2,7,9,2012,11,31,1
5,4,7,9,2012,1,0,1
3,10,5,9,2012,7,19,1
2,5,4,9,2012,13,0,1
2,10,4,9,2012,13,0,1
2,10,4,9,2012,7,27,1
1,1,3,9,2012,15,0,1
7,4,26,8,2012,21,24,1
6,5,25,8,2012,12,54,1
5,3,24,8,2012,8,15,1
5,4,24,8,2012,7,35,1
4,3,23,8,2012,8,0,1
3,2,22,8,2012,17,5,1
3,5,22,8,2012,8,50,1
2,5,21,8,2012,13,0,1
2,10,21,8,2012,13,0,1
2,10,21,8,2012,7,19,1
2,10,21,8,2012,7,6,1
2,8,21,8,2012,1,49,1
1,10,20,8,2012,6,17,1
1,4,20,8,2012,1,17,1
6,10,11,8,2012,17,27,1
5,1,10,8,2012,9,15,1
5,1,10,8,2012,8,25,1
4,10,9,8,2012,13,0,1
3,2,8,8,2012,10,27,1
2,2,7,8,2012,22,35,1
2,10,7,8,2012,5,51,1
1,5,6,8,2012,13,0,1
1,5,6,8,2012,5,51,1
6,2,28,7,2012,2,0,1
5,2,27,7,2012,12,30,1
5,1,27,7,2012,10,46,1
4,5,26,7,2012,15,17,1
3,1,25,7,2012,7,50,1
3,5,25,7,2012,5,49,1
2,4,24,7,2012,23,15,1
2,2,24,7,2012,18,31,1
2,2,24,7,2012,18,31,1
2,5,24,7,2012,5,53,1
1,8,23,7,2012,22,0,1
1,2,23,7,2012,6,39,1
1,5,23,7,2012,5,57,1
1,10,23,7,2012,5,44,1
7,4,15,7,2012,15,22,1
7,1,15,7,2012,12,11,1
6,1,14,7,2012,15,42,1
4,10,12,7,2012,13,0,1
3,2,11,7,2012,19,45,1
3,5,11,7,2012,13,0,1
3,5,11,7,2012,6,0,1
2,2,10,7,2012,14,2,1
2,10,10,7,2012,9,10,1
2,10,10,7,2012,8,10,1
1,1,9,7,2012,23,24,1
1,5,9,7,2012,10,20,1
1,1,9,7,2012,8,48,1
1,5,9,7,2012,7,8,1
1,10,9,7,2012,6,41,1
1,5,9,7,2012,6,8,1
5,5,29,6,2012,7,23,1
4,5,28,6,2012,9,15,1
1,8,25,6,2012,19,54,1
7,2,17,6,2012,1,41,1
6,1,16,6,2012,16,0,1
6,5,16,6,2012,2,45,1
5,2,15,6,2012,9,29,1
5,2,15,6,2012,7,16,1
4,2,14,6,2012,7,18,1
4,4,14,6,2012,6,44,1
3,10,13,6,2012,6,35,1
2,6,12,6,2012,23,6,1
2,1,12,6,2012,19,30,1
2,10,12,6,2012,6,19,1
2,5,12,6,2012,5,40,1
1,5,11,6,2012,5,44,1
1,2,11,6,2012,3,40,1
5,9,1,6,2012,23,30,1
5,2,1,6,2012,11,56,1
4,1,31,5,2012,22,2,1
4,2,31,5,2012,16,45,1
3,2,30,5,2012,18,0,1
3,4,30,5,2012,17,57,1
3,4,30,5,2012,17,57,1
3,10,30,5,2012,6,48,1
3,10,30,5,2012,6,26,1
3,10,30,5,2012,6,14,1
3,5,30,5,2012,5,55,1
2,2,29,5,2012,8,15,1
2,10,29,5,2012,6,29,1
2,10,29,5,2012,6,14,1
2,5,29,5,2012,5,44,1
1,5,28,5,2012,6,17,1
1,10,28,5,2012,5,56,1
7,8,20,5,2012,11,40,1
4,1,17,5,2012,14,45,1
4,2,17,5,2012,12,34,1
3,4,16,5,2012,23,0,1
3,5,16,5,2012,6,10,1
3,10,16,5,2012,5,47,1
3,10,16,5,2012,0,30,1
2,5,15,5,2012,6,22,1
2,10,15,5,2012,5,45,1
1,4,14,5,2012,22,9,1
1,10,14,5,2012,8,50,1
1,4,14,5,2012,2,10,1
6,4,5,5,2012,10,0,1
5,7,4,5,2012,16,45,1
4,10,3,5,2012,11,0,1
4,10,3,5,2012,6,56,1
4,10,3,5,2012,5,47,1
3,10,2,5,2012,5,49,1
2,5,1,5,2012,13,0,1
2,10,1,5,2012,6,20,1
2,10,1,5,2012,6,7,1
2,10,1,5,2012,5,42,1
2,9,1,5,2012,0,1,1
1,3,30,4,2012,13,0,1
1,5,30,4,2012,6,19,1
1,10,30,4,2012,6,6,1
1,5,30,4,2012,5,52,1
6,6,21,4,2012,18,0,1
6,4,21,4,2012,3,30,1
6,9,21,4,2012,0,1,1
5,4,20,4,2012,23,30,1
5,6,20,4,2012,15,0,1
5,5,20,4,2012,12,6,1
4,10,19,4,2012,13,0,1
4,10,19,4,2012,5,43,1
3,4,18,4,2012,23,45,1
3,4,18,4,2012,19,47,1
3,6,18,4,2012,16,29,1
3,10,18,4,2012,13,0,1
3,2,18,4,2012,7,37,1
3,10,18,4,2012,6,3,1
2,2,17,4,2012,13,0,1
2,10,17,4,2012,13,0,1
2,10,17,4,2012,13,0,1
2,10,17,4,2012,6,53,1
2,10,17,4,2012,5,41,1
2,6,17,4,2012,4,30,1
1,10,16,4,2012,8,28,1
1,10,16,4,2012,7,8,1
1,10,16,4,2012,6,13,1
1,10,16,4,2012,5,40,1
7,2,8,4,2012,23,29,1
7,6,8,4,2012,20,37,1
6,3,7,4,2012,17,35,1
6,10,7,4,2012,7,21,1
6,5,7,4,2012,6,57,1
6,7,7,4,2012,0,30,1
5,6,6,4,2012,18,30,1
5,1,6,4,2012,1,59,1
4,1,5,4,2012,16,15,1
3,4,4,4,2012,23,12,1
3,1,4,4,2012,22,49,1
3,6,4,4,2012,13,50,1
3,10,4,4,2012,6,16,1
3,10,4,4,2012,6,4,1
2,6,3,4,2012,19,0,1
2,1,3,4,2012,16,45,1
2,10,3,4,2012,6,10,1
2,10,3,4,2012,5,59,1
1,2,2,4,2012,21,0,1
1,2,2,4,2012,21,0,1
1,3,2,4,2012,20,10,1
1,8,2,4,2012,17,5,1
7,3,25,3,2012,16,30,1
7,4,25,3,2012,12,49,1
6,1,24,3,2012,20,30,1
5,4,23,3,2012,15,18,1
5,4,23,3,2012,6,30,1
4,4,22,3,2012,20,50,1
3,9,21,3,2012,1,23,1
2,5,20,3,2012,13,5,1
7,8,11,3,2012,15,8,1
7,10,11,3,2012,9,34,1
7,10,11,3,2012,5,42,1
7,10,11,3,2012,0,48,1
5,8,9,3,2012,18,45,1
1,8,5,3,2012,2,4,1
6,10,25,2,2012,9,41,1
6,10,25,2,2012,8,19,1
6,5,25,2,2012,4,52,1
4,2,23,2,2012,23,0,1
3,5,22,2,2012,9,15,1
3,5,22,2,2012,7,51,1
3,10,22,2,2012,6,42,1
2,10,21,2,2012,21,39,1
2,10,21,2,2012,6,8,1
1,2,20,2,2012,18,20,1
1,10,20,2,2012,6,39,1
1,10,20,2,2012,6,22,1
7,2,12,2,2012,1,5,1
6,4,11,2,2012,6,25,1
6,2,11,2,2012,6,24,1
4,4,9,2,2012,13,35,1
3,2,8,2,2012,21,0,1
3,4,8,2,2012,19,28,1
3,5,8,2,2012,13,15,1
3,2,8,2,2012,6,19,1
2,10,7,2,2012,12,0,1
2,10,7,2,2012,6,20,1
2,10,7,2,2012,5,53,1
1,10,6,2,2012,7,52,1
1,10,6,2,2012,6,28,1
1,10,6,2,2012,5,41,1
1,4,6,2,2012,5,10,1
1,1,6,2,2012,2,40,1
7,2,29,1,2012,14,35,1
7,2,29,1,2012,2,54,1
6,6,28,1,2012,15,9,1
6,2,28,1,2012,10,11,1
6,2,28,1,2012,6,35,1
6,10,28,1,2012,6,23,1
5,1,27,1,2012,4,0,1
3,6,25,1,2012,20,43,1
3,4,25,1,2012,17,15,1
3,4,25,1,2012,17,15,1
3,8,25,1,2012,9,8,1
3,10,25,1,2012,6,18,1
3,2,25,1,2012,5,46,1
2,6,24,1,2012,18,11,1
2,1,24,1,2012,15,3,1
2,5,24,1,2012,12,20,1
2,10,24,1,2012,6,7,1
2,10,24,1,2012,6,2,1
2,5,24,1,2012,1,6,1
1,10,23,1,2012,8,10,1
6,1,14,1,2012,23,29,1
6,2,14,1,2012,23,10,1
6,2,14,1,2012,18,0,1
6,5,14,1,2012,11,15,1
6,2,14,1,2012,8,0,1
6,1,14,1,2012,1,55,1
5,2,13,1,2012,22,0,1
3,1,11,1,2012,8,38,1
3,2,11,1,2012,6,4,1
2,2,10,1,2012,14,50,1
2,4,10,1,2012,5,25,1
1,10,9,1,2012,5,51,1
1,5,9,1,2012,3,13,1
7,1,1,1,2012,8,0,1
7,1,1,1,2012,1,49,1
6,10,31,12,2011,6,37,1
5,7,30,12,2011,11,35,1
4,6,29,12,2011,11,40,1
4,2,29,12,2011,7,50,1
4,4,29,12,2011,0,50,1
3,10,28,12,2011,12,14,1
3,6,28,12,2011,11,40,1
3,10,28,12,2011,6,5,1
