"day","location","date","month","year","hour","min","FAMILYOFFENSES"
1,4,7,2,2011,7,0,1
3,6,15,12,2010,19,18,1
2,3,14,12,2010,19,50,1
4,10,2,12,2010,18,45,1
3,6,17,11,2010,20,5,1
2,7,2,11,2010,17,50,1
7,10,10,10,2010,16,0,1
5,10,8,10,2010,0,1,1
2,7,5,10,2010,18,50,1
7,10,26,9,2010,14,0,1
2,4,21,9,2010,17,25,1
6,3,11,9,2010,11,8,1
3,6,8,9,2010,22,30,1
7,8,29,8,2010,17,32,1
3,4,25,8,2010,12,0,1
2,1,24,8,2010,14,0,1
6,9,14,8,2010,18,40,1
5,10,13,8,2010,1,0,1
4,4,12,8,2010,10,30,1
2,3,10,8,2010,22,0,1
1,4,9,8,2010,0,1,1
5,4,30,7,2010,12,30,1
4,10,29,7,2010,17,0,1
7,9,18,7,2010,17,38,1
3,3,14,7,2010,13,45,1
1,4,12,7,2010,12,30,1
5,4,2,7,2010,13,20,1
2,5,29,6,2010,17,0,1
3,2,16,6,2010,11,35,1
7,2,6,6,2010,18,30,1
3,9,5,5,2010,10,43,1
1,6,19,4,2010,14,45,1
7,8,11,4,2010,21,25,1
4,8,25,3,2010,8,30,1
5,1,12,3,2010,9,15,1
3,9,10,3,2010,2,0,1
6,3,27,2,2010,16,45,1
6,7,13,2,2010,15,32,1
1,9,8,2,2010,10,29,1
1,4,25,1,2010,1,50,1
6,10,12,12,2009,22,36,1
3,3,9,12,2009,0,40,1
1,4,7,12,2009,17,45,1
5,8,30,10,2009,21,10,1
7,8,18,10,2009,8,30,1
5,4,16,10,2009,13,44,1
5,8,16,10,2009,13,0,1
3,10,14,10,2009,15,0,1
6,3,3,10,2009,20,0,1
5,6,2,10,2009,0,1,1
7,10,20,9,2009,22,51,1
5,8,18,9,2009,5,5,1
2,4,15,9,2009,21,30,1
6,1,5,9,2009,16,45,1
6,3,5,9,2009,0,30,1
5,2,4,9,2009,19,0,1
3,2,2,9,2009,22,25,1
1,2,31,8,2009,6,56,1
5,4,21,8,2009,11,20,1
4,4,20,8,2009,2,15,1
1,4,17,8,2009,11,37,1
4,10,6,8,2009,11,30,1
2,10,4,8,2009,22,14,1
2,10,4,8,2009,22,14,1
2,2,21,7,2009,16,18,1
5,3,10,7,2009,0,1,1
2,4,9,6,2009,14,32,1
1,3,8,6,2009,7,38,1
7,8,17,5,2009,9,30,1
5,7,15,5,2009,22,0,1
5,7,15,5,2009,22,0,1
6,10,18,4,2009,14,26,1
5,1,3,4,2009,21,30,1
4,9,19,3,2009,9,0,1
5,10,6,3,2009,20,12,1
5,4,23,1,2009,14,25,1
1,4,19,1,2009,22,0,1
4,2,8,1,2009,18,17,1
1,3,5,1,2009,10,12,1
6,2,27,12,2008,15,0,1
2,7,23,12,2008,9,0,1
6,6,13,12,2008,16,0,1
1,2,8,12,2008,13,20,1
4,7,27,11,2008,1,24,1
1,4,24,11,2008,16,6,1
1,4,24,11,2008,13,15,1
6,6,15,11,2008,20,0,1
1,4,27,10,2008,14,0,1
2,8,14,10,2008,0,1,1
5,4,5,9,2008,14,59,1
5,4,25,7,2008,16,7,1
6,6,12,7,2008,1,55,1
4,3,10,7,2008,22,0,1
6,4,28,6,2008,0,1,1
1,4,23,6,2008,12,40,1
2,3,10,6,2008,12,0,1
7,6,4,5,2008,14,54,1
5,6,18,4,2008,12,0,1
4,3,17,4,2008,20,29,1
4,8,17,4,2008,8,40,1
2,2,1,4,2008,22,30,1
2,2,1,4,2008,1,31,1
7,3,23,3,2008,18,0,1
5,3,7,3,2008,19,0,1
1,4,3,3,2008,10,18,1
1,8,18,2,2008,14,0,1
1,8,21,1,2008,13,0,1
1,8,21,1,2008,9,0,1
5,4,28,12,2007,8,46,1
3,10,12,12,2007,23,55,1
2,2,11,12,2007,17,0,1
6,8,1,12,2007,0,1,1
6,1,17,11,2007,3,10,1
4,8,15,11,2007,0,1,1
5,4,2,11,2007,14,20,1
4,4,1,11,2007,16,50,1
3,4,17,10,2007,14,0,1
6,8,25,8,2007,23,34,1
3,9,22,8,2007,15,0,1
5,4,10,8,2007,9,39,1
4,10,9,8,2007,6,5,1
3,6,25,7,2007,12,0,1
3,6,25,7,2007,12,0,1
3,6,25,7,2007,12,0,1
7,4,15,7,2007,8,0,1
2,4,10,7,2007,14,50,1
1,9,9,7,2007,14,11,1
4,2,28,6,2007,19,18,1
3,3,27,6,2007,17,15,1
4,4,14,6,2007,16,45,1
2,4,1,5,2007,0,1,1
5,4,23,3,2007,14,1,1
3,1,21,3,2007,19,42,1
3,8,21,3,2007,13,47,1
3,8,21,3,2007,13,5,1
6,8,10,3,2007,18,29,1
4,10,8,3,2007,15,10,1
2,9,6,3,2007,0,1,1
5,2,23,2,2007,20,2,1
5,3,23,2,2007,10,30,1
2,6,20,2,2007,0,1,1
1,4,5,2,2007,0,1,1
6,8,27,1,2007,15,0,1
2,2,23,1,2007,17,49,1
7,3,31,12,2006,0,30,1
6,7,30,12,2006,22,0,1
6,3,30,12,2006,14,0,1
7,3,17,12,2006,20,0,1
1,9,11,12,2006,9,7,1
5,7,1,12,2006,21,59,1
3,4,29,11,2006,17,0,1
7,8,19,11,2006,18,0,1
2,8,14,11,2006,9,26,1
7,4,5,11,2006,11,48,1
7,6,24,9,2006,16,41,1
5,3,22,9,2006,19,0,1
5,4,22,9,2006,14,0,1
3,4,20,9,2006,14,37,1
2,8,19,9,2006,12,25,1
7,2,10,9,2006,14,0,1
3,8,6,9,2006,16,20,1
7,8,30,7,2006,21,15,1
6,2,29,7,2006,13,35,1
2,4,25,7,2006,23,40,1
1,4,24,7,2006,15,14,1
2,4,11,7,2006,14,45,1
2,3,11,7,2006,14,0,1
1,4,26,6,2006,0,1,1
5,3,16,6,2006,7,0,1
7,4,4,6,2006,15,20,1
3,5,31,5,2006,18,45,1
4,4,4,5,2006,15,20,1
3,10,3,5,2006,15,0,1
1,4,1,5,2006,15,29,1
5,5,21,4,2006,16,30,1
2,8,18,4,2006,10,29,1
2,4,4,4,2006,19,35,1
1,9,3,4,2006,19,12,1
6,9,25,3,2006,21,30,1
6,9,25,3,2006,21,30,1
2,4,7,3,2006,13,0,1
4,3,23,2,2006,19,35,1
1,4,20,2,2006,17,50,1
1,8,20,2,2006,12,0,1
7,1,12,2,2006,13,0,1
6,8,11,2,2006,13,45,1
1,4,6,2,2006,19,0,1
1,9,6,2,2006,0,1,1
7,6,29,1,2006,13,17,1
1,2,23,1,2006,17,8,1
5,8,13,1,2006,14,57,1
4,8,12,1,2006,21,8,1
3,1,11,1,2006,22,49,1
3,3,11,1,2006,13,0,1
2,3,10,1,2006,12,30,1
2,9,10,1,2006,0,1,1
7,4,1,1,2006,8,41,1
5,3,30,12,2005,15,0,1
2,2,27,12,2005,15,0,1
6,3,3,12,2005,10,28,1
5,8,2,12,2005,23,14,1
2,3,29,11,2005,19,0,1
4,8,17,11,2005,23,25,1
2,8,1,11,2005,7,0,1
7,1,25,9,2005,22,49,1
6,9,24,9,2005,0,58,1
3,4,21,9,2005,7,58,1
5,4,26,8,2005,10,1,1
1,9,22,8,2005,23,39,1
5,4,12,8,2005,7,0,1
3,5,10,8,2005,21,0,1
5,3,15,7,2005,11,15,1
1,9,11,7,2005,21,40,1
1,3,11,7,2005,19,25,1
3,4,1,6,2005,6,51,1
2,10,31,5,2005,20,0,1
2,10,31,5,2005,20,0,1
5,8,8,4,2005,19,26,1
4,3,24,3,2005,22,30,1
2,4,22,3,2005,17,0,1
7,4,13,3,2005,17,0,1
6,3,12,3,2005,7,30,1
5,4,11,3,2005,17,0,1
2,2,8,2,2005,19,20,1
2,1,8,2,2005,10,52,1
6,3,29,1,2005,18,23,1
6,3,29,1,2005,16,47,1
4,5,27,1,2005,12,18,1
2,3,25,1,2005,2,36,1
1,10,24,1,2005,18,25,1
1,4,24,1,2005,11,26,1
3,5,12,1,2005,14,7,1
7,10,26,12,2004,20,35,1
6,8,25,12,2004,12,0,1
4,8,23,12,2004,16,30,1
4,3,23,12,2004,6,0,1
6,9,11,12,2004,19,17,1
3,2,24,11,2004,6,40,1
7,3,14,11,2004,17,55,1
2,6,9,11,2004,14,22,1
5,7,29,10,2004,19,1,1
3,8,13,10,2004,3,30,1
2,3,12,10,2004,22,10,1
7,7,3,10,2004,4,32,1
5,1,1,10,2004,0,1,1
2,4,28,9,2004,12,10,1
6,4,18,9,2004,8,22,1
3,3,15,9,2004,15,8,1
2,3,14,9,2004,7,40,1
1,4,13,9,2004,10,20,1
7,7,5,9,2004,17,30,1
7,9,5,9,2004,10,0,1
6,9,4,9,2004,18,30,1
5,8,3,9,2004,17,0,1
4,3,2,9,2004,20,5,1
3,3,1,9,2004,14,30,1
3,3,18,8,2004,11,43,1
2,9,3,8,2004,18,20,1
4,10,22,7,2004,15,15,1
3,2,21,7,2004,21,8,1
3,2,21,7,2004,1,55,1
2,9,20,7,2004,0,1,1
7,4,11,7,2004,13,0,1
1,8,5,7,2004,15,0,1
3,6,23,6,2004,18,57,1
4,10,27,5,2004,19,0,1
1,8,24,5,2004,20,0,1
4,9,13,5,2004,15,0,1
2,4,11,5,2004,14,38,1
2,3,27,4,2004,1,20,1
6,8,17,4,2004,15,0,1
4,2,4,3,2004,21,0,1
3,8,3,3,2004,14,15,1
7,3,22,2,2004,11,34,1
5,10,20,2,2004,16,32,1
3,5,4,2,2004,2,0,1
2,2,3,2,2004,10,41,1
3,9,21,1,2004,15,18,1
2,4,20,1,2004,10,30,1
1,2,19,1,2004,10,10,1
6,2,10,1,2004,10,20,1
4,2,8,1,2004,13,49,1
4,8,8,1,2004,12,0,1
3,3,7,1,2004,9,0,1
7,1,28,12,2003,19,0,1
5,4,26,12,2003,10,40,1
5,4,26,12,2003,10,40,1
4,7,11,12,2003,15,30,1
3,1,10,12,2003,13,0,1
2,4,9,12,2003,12,0,1
6,7,29,11,2003,11,12,1
3,4,26,11,2003,2,45,1
4,2,13,11,2003,0,1,1
5,3,17,10,2003,10,25,1
3,10,1,10,2003,9,44,1
2,3,30,9,2003,20,0,1
2,4,30,9,2003,13,37,1
4,7,18,9,2003,9,30,1
4,4,18,9,2003,8,41,1
1,2,15,9,2003,20,0,1
7,5,7,9,2003,3,58,1
6,4,6,9,2003,18,0,1
4,2,4,9,2003,13,0,1
3,4,3,9,2003,14,5,1
5,6,8,8,2003,9,28,1
2,6,5,8,2003,23,23,1
1,5,4,8,2003,18,55,1
6,1,12,7,2003,21,18,1
2,8,8,7,2003,10,20,1
4,1,12,6,2003,22,35,1
3,3,11,6,2003,13,0,1
2,2,10,6,2003,15,29,1
7,8,1,6,2003,22,0,1
6,9,31,5,2003,8,25,1
4,10,29,5,2003,13,49,1
2,3,27,5,2003,13,0,1
1,3,12,5,2003,11,40,1
7,10,4,5,2003,7,2,1
5,2,2,5,2003,19,30,1
3,8,30,4,2003,23,33,1
5,9,18,4,2003,13,0,1
5,4,18,4,2003,8,47,1
3,3,16,4,2003,10,0,1
2,7,15,4,2003,11,0,1
2,6,1,4,2003,12,0,1
7,4,23,3,2003,1,30,1
2,3,18,3,2003,12,0,1
7,8,9,3,2003,10,30,1
6,2,8,3,2003,10,55,1
2,2,4,3,2003,17,15,1
6,8,22,2,2003,8,0,1
5,8,21,2,2003,20,57,1
5,8,21,2,2003,8,31,1
3,6,19,2,2003,12,45,1
3,9,19,2,2003,10,45,1
7,8,9,2,2003,15,0,1
7,1,9,2,2003,10,0,1
5,3,7,2,2003,14,15,1
4,4,6,2,2003,1,0,1
1,3,3,2,2003,19,30,1
7,3,26,1,2003,21,13,1
7,5,26,1,2003,12,0,1
5,3,24,1,2003,10,55,1
3,8,22,1,2003,14,45,1
3,1,9,1,2008,22,30,0
1,1,6,2,2012,9,30,0
3,4,30,4,2008,15,55,0
7,2,28,6,2009,11,4,0
2,1,30,9,2003,9,45,0
5,6,15,12,2006,16,35,0
7,6,27,7,2014,16,0,0
3,1,15,10,2008,16,10,0
3,2,24,12,2014,19,0,0
1,9,10,11,2014,21,0,0
3,3,9,1,2008,8,0,0
4,4,11,8,2005,7,45,0
4,5,13,6,2013,9,40,0
6,5,25,9,2010,1,0,0
3,8,9,7,2003,0,1,0
3,4,30,4,2014,22,0,0
7,3,19,4,2009,3,0,0
6,2,26,2,2005,20,20,0
7,5,1,11,2009,13,50,0
2,3,6,7,2004,13,35,0
3,6,22,3,2006,1,55,0
5,1,20,5,2011,17,15,0
7,3,29,6,2014,20,0,0
2,3,24,6,2014,13,9,0
3,7,31,5,2006,4,0,0
1,9,4,2,2008,8,0,0
7,10,9,3,2008,1,45,0
2,5,24,6,2003,0,1,0
7,8,29,1,2012,15,0,0
3,5,9,2,2005,14,25,0
3,2,8,8,2012,23,15,0
1,1,24,5,2004,11,55,0
6,10,19,4,2008,20,55,0
3,5,27,11,2013,23,0,0
5,2,23,2,2007,23,59,0
6,8,13,3,2010,14,43,0
2,1,13,10,2009,14,30,0
3,1,8,9,2010,15,15,0
1,3,23,6,2008,22,55,0
2,4,14,10,2003,0,37,0
6,4,3,10,2009,13,26,0
5,2,30,11,2012,18,0,0
5,1,9,1,2004,1,25,0
7,1,22,9,2013,9,0,0
2,8,11,12,2007,0,27,0
4,8,5,9,2013,0,1,0
5,9,11,3,2005,20,39,0
3,2,12,7,2006,21,0,0
4,6,15,12,2011,20,22,0
3,10,15,10,2014,1,25,0
5,6,20,4,2007,0,1,0
6,7,1,1,2011,2,30,0
7,4,10,3,2013,17,42,0
5,2,24,3,2006,22,0,0
5,3,2,7,2010,2,10,0
5,2,7,9,2012,23,40,0
7,8,14,12,2003,22,0,0
5,10,20,2,2004,16,40,0
1,2,14,5,2007,17,30,0
1,2,2,5,2005,9,9,0
7,4,31,12,2006,21,0,0
5,6,11,2,2005,22,0,0
7,7,9,5,2010,21,30,0
4,1,1,12,2011,12,0,0
5,2,14,5,2004,15,2,0
1,4,10,7,2006,0,1,0
7,6,9,2,2003,13,0,0
2,2,17,4,2007,12,0,0
5,3,11,1,2008,19,24,0
5,2,7,8,2009,11,4,0
5,10,17,6,2011,23,42,0
1,5,23,6,2014,11,0,0
5,3,14,7,2006,10,16,0
1,7,16,9,2013,15,0,0
5,5,1,11,2013,3,50,0
2,2,22,2,2011,17,0,0
6,3,20,9,2014,18,13,0
3,4,1,10,2008,0,1,0
5,5,12,2,2010,16,0,0
6,2,20,9,2008,11,0,0
6,4,7,8,2004,4,30,0
5,3,8,10,2010,23,20,0
7,1,30,11,2014,11,15,0
3,7,16,4,2014,13,0,0
7,9,22,3,2009,21,20,0
7,4,12,8,2007,21,10,0
3,2,16,10,2013,15,0,0
1,5,16,2,2009,17,24,0
1,5,6,8,2012,0,1,0
3,7,25,7,2007,11,0,0
4,1,6,2,2003,17,0,0
5,8,8,4,2005,16,0,0
5,9,29,12,2006,23,59,0
1,6,29,9,2014,15,0,0
1,3,18,10,2010,16,15,0
6,2,28,8,2010,15,30,0
5,4,30,7,2010,11,0,0
6,1,16,11,2013,21,51,0
4,3,27,1,2011,13,50,0
6,8,22,10,2005,11,45,0
7,6,5,11,2006,10,12,0
5,4,29,12,2006,13,0,0
1,4,3,3,2014,2,25,0
1,6,24,7,2006,8,35,0
6,2,1,5,2004,18,3,0
5,1,16,7,2010,18,0,0
3,7,4,4,2012,21,12,0
3,6,20,9,2006,10,18,0
1,7,29,10,2007,10,15,0
7,2,2,11,2008,13,31,0
1,9,21,12,2009,11,0,0
1,8,20,9,2010,10,0,0
3,8,16,10,2013,21,6,0
7,2,17,10,2004,23,10,0
7,2,2,12,2012,1,33,0
7,3,15,1,2006,8,30,0
3,3,17,10,2012,11,0,0
2,3,10,11,2009,20,0,0
3,3,2,5,2012,8,0,0
2,9,21,8,2007,1,0,0
4,8,2,4,2009,15,25,0
1,9,27,4,2015,20,48,0
1,2,27,10,2008,10,30,0
7,3,25,8,2013,20,0,0
5,4,5,10,2012,21,30,0
3,5,30,6,2010,11,0,0
2,2,2,3,2004,6,20,0
7,10,29,6,2014,13,25,0
7,2,2,12,2012,0,15,0
5,4,27,6,2003,20,0,0
1,2,4,9,2006,13,0,0
2,5,13,11,2007,6,41,0
4,10,3,5,2012,7,59,0
1,2,7,7,2008,15,2,0
2,5,22,2,2011,4,45,0
7,4,26,8,2012,17,0,0
7,6,19,4,2015,11,18,0
3,8,21,3,2007,12,30,0
1,3,24,11,2008,23,23,0
4,2,19,5,2011,16,23,0
4,5,29,11,2012,23,0,0
6,3,14,6,2003,8,40,0
4,1,30,4,2009,13,0,0
6,8,13,2,2010,21,20,0
1,4,14,4,2008,0,6,0
1,1,8,1,2007,15,0,0
1,2,8,11,2004,12,30,0
5,3,30,4,2004,23,0,0
2,4,3,8,2004,13,53,0
4,5,20,4,2006,19,0,0
3,4,18,2,2015,20,15,0
3,3,1,10,2008,18,0,0
1,2,24,12,2007,18,7,0
2,6,11,7,2006,7,0,0
6,2,22,9,2012,2,3,0
2,3,1,4,2003,5,5,0
6,4,9,4,2011,6,19,0
2,4,20,3,2007,7,0,0
2,1,10,7,2012,10,0,0
6,4,11,8,2007,20,50,0
7,10,12,3,2006,9,53,0
6,5,30,11,2013,16,30,0
6,7,24,3,2012,14,0,0
4,5,28,1,2010,13,0,0
6,9,25,12,2004,14,0,0
4,7,5,5,2011,20,0,0
3,4,23,7,2008,0,43,0
3,6,28,10,2009,15,15,0
2,9,9,8,2005,2,45,0
2,5,27,5,2008,9,25,0
2,3,28,11,2006,17,30,0
4,5,5,2,2015,22,0,0
1,10,24,11,2008,11,40,0
1,4,13,9,2004,16,0,0
6,4,25,3,2006,0,45,0
5,5,26,8,2005,19,55,0
7,10,9,3,2008,11,0,0
5,7,1,10,2004,0,1,0
1,2,28,6,2010,1,45,0
3,10,5,3,2014,16,25,0
2,2,16,3,2004,14,17,0
1,2,7,2,2011,13,20,0
4,7,25,2,2010,19,25,0
4,3,3,11,2005,14,30,0
2,1,24,11,2009,11,22,0
4,9,17,4,2003,18,0,0
3,10,7,9,2005,11,8,0
3,3,11,6,2003,18,30,0
1,8,5,3,2007,12,0,0
2,2,22,7,2003,8,59,0
6,10,12,3,2005,15,42,0
1,10,20,8,2007,17,45,0
7,8,29,6,2003,3,45,0
4,2,16,4,2009,11,15,0
5,3,27,6,2014,18,48,0
7,10,15,6,2014,18,29,0
2,10,15,4,2008,4,22,0
1,4,13,11,2006,11,15,0
1,4,9,1,2012,0,39,0
5,5,10,9,2010,7,15,0
2,2,1,4,2003,12,0,0
7,8,21,10,2007,17,0,0
1,10,20,3,2006,12,55,0
4,5,1,5,2014,16,20,0
4,3,18,5,2006,12,0,0
3,4,8,2,2006,11,30,0
1,10,1,11,2010,0,1,0
2,3,17,2,2004,16,15,0
1,5,19,7,2004,0,5,0
2,2,23,8,2005,14,30,0
5,6,26,11,2004,20,0,0
7,8,2,11,2008,9,30,0
4,9,15,5,2014,8,40,0
6,4,20,11,2010,21,15,0
6,1,6,10,2012,21,30,0
7,10,3,6,2007,2,22,0
3,4,22,8,2012,23,40,0
1,8,16,10,2006,12,35,0
4,4,31,10,2013,23,39,0
1,8,1,9,2008,12,30,0
2,9,28,4,2015,14,35,0
3,6,29,6,2011,23,0,0
2,3,23,2,2010,3,0,0
3,10,29,9,2004,16,0,0
3,4,14,12,2011,17,27,0
1,2,24,12,2007,17,0,0
7,1,29,11,2009,16,39,0
5,3,26,6,2009,11,0,0
7,9,8,4,2007,22,14,0
1,2,29,5,2006,19,30,0
4,5,6,2,2003,16,30,0
7,4,1,6,2008,14,52,0
4,3,11,12,2008,22,20,0
1,8,10,12,2012,15,0,0
7,6,9,2,2014,12,38,0
7,10,14,11,2004,18,37,0
5,3,26,1,2007,17,0,0
7,4,19,10,2003,20,0,0
4,2,1,5,2014,2,40,0
2,4,24,1,2012,9,0,0
7,8,29,6,2008,14,50,0
7,4,10,8,2014,11,30,0
5,2,9,9,2011,21,0,0
4,8,13,7,2006,8,0,0
5,6,12,2,2010,0,1,0
5,1,12,8,2011,16,2,0
6,8,1,12,2012,17,10,0
7,10,4,12,2005,21,20,0
6,3,3,10,2009,16,55,0
6,5,24,1,2015,18,45,0
2,6,13,5,2003,15,0,0
1,3,11,5,2015,12,0,0
1,6,11,5,2015,20,0,0
7,2,10,8,2008,16,35,0
5,5,29,10,2004,18,30,0
6,4,30,5,2009,0,26,0
6,5,9,4,2005,15,50,0
6,10,8,4,2006,8,30,0
2,5,29,11,2011,19,30,0
6,7,31,5,2008,16,40,0
5,6,27,6,2003,20,47,0
1,6,16,4,2007,0,30,0
1,4,17,9,2007,6,53,0
5,1,27,7,2012,22,0,0
3,4,14,7,2010,17,0,0
2,4,12,6,2007,19,54,0
1,5,30,3,2009,7,0,0
2,5,14,4,2009,23,40,0
2,2,4,3,2008,23,18,0
4,6,30,4,2015,23,0,0
1,1,16,5,2005,15,30,0
6,5,11,2,2006,3,0,0
3,5,17,9,2003,12,35,0
2,9,31,3,2009,0,20,0
1,9,3,2,2014,20,7,0
4,4,6,9,2007,20,42,0
1,1,23,1,2006,15,0,0
1,5,25,11,2013,8,58,0
2,5,27,11,2012,22,0,0
4,8,7,3,2013,0,1,0
7,4,29,11,2009,22,56,0
1,10,26,10,2009,23,7,0
2,2,22,2,2005,14,11,0
5,3,29,7,2011,7,30,0
5,1,17,10,2003,19,15,0
5,5,16,12,2005,16,30,0
6,6,5,10,2013,17,0,0
4,10,21,10,2010,22,0,0
3,10,15,4,2015,9,45,0
4,9,7,2,2008,21,0,0
1,3,23,6,2008,15,37,0
1,5,23,1,2006,14,15,0
3,4,17,4,2013,21,10,0
2,6,14,10,2014,9,18,0
7,1,22,9,2013,12,8,0
6,8,4,9,2004,15,30,0
6,8,27,7,2013,10,0,0
1,10,18,2,2008,12,53,0
2,3,3,5,2005,22,0,0
5,3,11,1,2008,12,55,0
7,3,31,7,2011,21,30,0
5,5,11,8,2006,2,21,0
1,1,26,5,2008,5,29,0
5,1,23,3,2012,9,0,0
7,2,30,5,2004,0,43,0
3,9,25,1,2012,19,0,0
3,8,16,11,2005,18,30,0
4,10,1,5,2014,14,45,0
1,9,3,3,2014,18,0,0
4,4,23,2,2006,9,0,0
3,3,13,5,2009,16,28,0
3,3,31,3,2004,21,0,0
7,8,6,5,2012,11,5,0
5,7,12,12,2008,12,20,0
2,3,1,4,2008,8,55,0
5,8,3,11,2006,11,5,0
2,8,25,11,2014,2,50,0
3,5,21,7,2004,10,30,0
4,10,12,1,2012,16,12,0
7,5,12,3,2006,18,0,0
1,6,1,4,2013,7,50,0
4,8,22,4,2010,16,6,0
2,2,27,7,2010,17,3,0
7,1,1,1,2006,0,1,0
2,2,24,6,2003,4,50,0
4,3,5,3,2015,15,45,0
7,2,5,12,2010,13,39,0
5,4,12,2,2010,9,0,0
7,4,19,4,2009,12,50,0
