"day","location","date","month","year","hour","min","SEXOFFENSESNONFORCIBLE"
6,10,5,6,2010,10,20,0
3,5,24,6,2009,6,15,0
6,5,29,12,2007,2,54,0
3,3,21,1,2015,1,10,0
2,2,5,9,2006,18,0,0
1,2,30,8,2004,21,0,0
4,7,24,6,2004,8,0,0
7,1,27,3,2011,1,10,0
2,7,15,11,2011,18,15,0
7,2,20,5,2012,22,27,0
4,7,19,5,2011,23,31,0
4,10,12,6,2003,12,32,0
7,2,13,7,2003,5,30,0
2,10,18,5,2010,23,30,0
5,9,29,6,2012,20,30,0
6,10,3,5,2014,22,18,0
6,1,28,1,2006,18,0,0
1,1,24,5,2004,10,0,0
4,5,29,11,2012,12,0,0
5,5,10,3,2006,15,30,0
1,3,27,12,2010,14,21,0
2,4,5,2,2013,1,30,0
7,1,8,2,2004,15,30,0
7,5,5,5,2013,21,18,0
2,4,27,11,2007,6,30,0
5,2,6,2,2009,16,29,0
6,2,10,4,2010,21,0,0
3,6,16,11,2005,11,40,0
5,3,26,2,2010,9,55,0
5,4,20,10,2006,22,0,0
5,2,25,8,2006,11,0,0
6,4,9,4,2005,18,30,0
6,2,25,8,2012,0,1,0
7,2,10,2,2008,12,55,0
6,5,29,11,2008,15,45,0
1,4,20,1,2003,18,25,0
7,4,26,8,2007,22,0,0
5,1,25,7,2008,0,15,0
5,5,7,2,2003,6,30,0
3,2,22,3,2006,1,10,0
2,4,3,9,2013,5,46,0
3,3,11,7,2012,13,50,0
2,3,8,7,2014,17,0,0
3,10,27,10,2004,23,39,0
3,3,20,10,2010,23,37,0
1,5,13,5,2013,0,1,0
3,5,16,10,2013,7,49,0
6,9,10,2,2007,20,3,0
6,4,3,12,2011,10,37,0
7,2,12,8,2007,4,0,0
2,2,12,7,2011,12,0,0
6,9,20,10,2012,13,37,0
4,5,26,6,2014,21,35,0
2,1,4,9,2007,0,1,0
6,1,10,9,2005,10,30,0
1,9,10,1,2011,10,15,0
4,9,1,11,2007,11,0,0
2,10,8,2,2011,7,52,0
4,4,5,4,2007,11,33,0
2,4,16,9,2014,10,5,0
3,8,11,1,2012,14,0,0
7,8,23,10,2005,16,40,0
2,8,25,6,2013,9,0,0
5,3,28,6,2013,21,34,0
2,8,11,6,2013,14,37,0
4,10,3,9,2009,17,0,0
2,5,20,1,2004,1,4,0
4,9,25,2,2010,20,30,0
4,6,21,8,2003,9,0,0
4,2,6,9,2007,13,20,0
3,9,4,3,2009,22,45,0
3,1,5,4,2006,16,10,0
2,9,4,10,2005,17,40,0
7,6,19,11,2006,12,0,0
6,2,13,12,2008,22,5,0
3,9,28,5,2003,10,42,0
2,10,24,1,2006,20,3,0
4,5,14,1,2010,0,20,0
1,5,8,12,2003,16,5,0
7,3,18,5,2008,0,30,0
1,1,7,7,2003,16,30,0
7,3,13,2,2005,18,0,0
5,4,16,4,2004,12,30,0
6,5,29,12,2012,0,5,0
7,2,22,5,2005,1,30,0
3,1,9,7,2014,23,0,0
1,7,26,11,2007,10,45,0
2,3,17,3,2009,16,36,0
1,3,19,3,2007,16,15,0
1,6,27,6,2011,15,56,0
1,2,29,3,2004,15,30,0
3,5,31,5,2006,16,48,0
7,8,29,11,2009,17,0,0
7,9,28,1,2007,7,20,0
7,10,3,5,2009,7,24,0
4,7,16,6,2011,9,0,0
2,5,25,12,2007,20,20,0
5,4,15,12,2006,8,16,0
1,6,1,3,2004,16,0,0
1,3,12,6,2006,19,0,0
2,2,27,5,2008,17,24,0
1,10,3,4,2006,16,52,0
2,10,22,1,2008,3,15,0
3,3,9,7,2008,5,45,0
2,8,19,2,2013,15,45,0
4,1,27,12,2012,17,0,0
3,7,13,1,2010,9,0,0
5,8,14,5,2004,15,29,0
1,6,9,1,2006,21,0,0
2,10,30,10,2012,16,30,0
3,3,22,3,2006,13,0,0
4,6,1,11,2012,9,30,0
3,6,7,3,2012,17,0,0
6,1,17,5,2003,17,0,0
5,10,22,2,2013,23,14,0
7,4,6,9,2009,1,41,0
3,8,25,11,2009,23,0,0
5,2,23,1,2009,13,0,0
4,10,16,10,2003,11,12,0
7,4,21,5,2006,17,21,0
7,1,24,8,2014,13,30,0
6,3,10,7,2004,9,53,0
5,9,27,6,2014,23,37,0
6,4,20,4,2013,14,30,0
7,5,27,3,2011,23,30,0
2,5,6,9,2005,18,6,0
2,10,26,7,2011,8,55,0
5,2,9,1,2015,14,12,0
1,9,27,10,2014,19,32,0
6,4,22,3,2008,17,25,0
6,5,21,2,2015,17,55,0
5,8,17,6,2011,20,22,0
7,2,7,9,2014,19,0,0
2,8,26,10,2004,13,40,0
3,2,13,11,2013,4,6,0
4,5,2,10,2003,12,0,0
5,8,26,11,2004,12,30,0
6,5,17,11,2012,23,30,0
1,10,15,9,2003,15,17,0
2,4,13,4,2004,14,0,0
7,1,26,9,2010,10,0,0
3,10,15,10,2003,9,6,0
1,6,29,10,2012,23,20,0
3,3,23,12,2009,16,0,0
7,1,19,6,2005,23,30,0
5,4,11,7,2008,0,12,0
7,2,10,9,2006,7,30,0
1,8,1,4,2013,14,19,0
5,7,31,10,2008,23,15,0
6,2,8,2,2003,1,30,0
5,4,27,7,2007,6,25,0
1,5,7,7,2008,11,32,0
3,5,24,12,2014,21,0,0
1,3,26,6,2006,11,2,0
2,9,25,7,2006,13,5,0
5,2,23,3,2007,6,33,0
3,6,6,8,2003,22,0,0
2,9,15,4,2008,21,0,0
2,10,15,11,2011,1,30,0
6,3,31,12,2011,15,45,0
7,1,10,2,2013,1,0,0
2,2,14,9,2004,7,0,0
4,4,14,6,2007,17,54,0
7,4,14,12,2014,22,50,0
4,2,2,10,2003,23,30,0
4,2,2,12,2010,18,0,0
6,10,21,2,2009,22,47,0
4,5,5,3,2015,18,30,0
6,2,19,6,2010,11,30,0
4,8,15,12,2005,17,0,0
2,10,8,2,2011,21,6,0
6,9,24,9,2011,23,30,0
5,1,31,10,2008,13,30,0
7,10,29,12,2013,10,44,0
3,10,15,5,2013,20,0,0
4,1,3,5,2007,16,10,0
2,5,17,2,2015,17,25,0
6,4,1,6,2013,20,0,0
5,4,30,11,2007,23,30,0
4,5,2,12,2010,8,0,0
7,4,8,2,2009,13,58,0
6,4,22,3,2008,10,30,0
6,2,19,9,2009,8,45,0
5,2,3,6,2011,16,0,0
3,4,19,9,2007,1,45,0
7,2,13,7,2003,13,0,0
6,2,15,11,2014,21,50,0
1,10,27,9,2004,9,8,0
7,4,2,6,2013,15,0,0
2,3,26,5,2009,21,35,0
5,2,22,8,2014,12,50,0
1,5,20,2,2012,0,1,0
1,10,16,2,2009,20,50,0
2,10,27,12,2011,21,45,0
7,2,18,11,2012,0,1,0
5,6,27,7,2007,18,15,0
1,2,2,5,2005,15,21,0
2,1,28,4,2015,12,30,0
2,5,14,6,2011,11,20,0
6,5,13,12,2008,15,57,0
1,2,30,8,2004,10,0,0
6,1,26,6,2004,17,0,0
1,2,31,8,2009,10,30,0
1,3,16,2,2004,17,55,0
3,5,3,10,2007,18,10,0
2,4,3,9,2013,13,21,0
6,2,29,7,2006,13,35,0
5,4,18,5,2012,22,55,0
1,1,17,3,2003,17,0,0
1,10,21,7,2008,20,45,0
3,10,11,11,2009,21,25,0
7,10,18,7,2010,2,45,0
3,7,3,9,2014,14,0,0
3,1,7,2,2007,20,30,0
3,2,1,5,2013,14,59,0
3,2,26,12,2007,9,10,0
4,7,30,6,2005,23,0,0
6,8,12,6,2004,23,0,0
5,8,18,4,2008,16,0,0
5,2,26,7,2013,22,0,0
6,5,23,3,2013,20,48,0
5,2,11,1,2008,21,20,0
3,2,4,2,2004,9,28,0
5,4,2,4,2004,12,9,0
5,2,18,11,2005,14,0,0
1,3,19,8,2013,19,30,0
2,6,20,8,2013,12,20,0
2,3,20,2,2007,18,0,0
7,9,8,2,2004,18,0,0
2,10,19,10,2010,13,15,0
5,2,23,1,2015,22,0,0
2,8,9,3,2010,19,36,0
3,1,13,5,2015,19,55,0
3,4,12,12,2012,18,33,0
7,2,9,3,2008,22,40,0
4,2,14,5,2009,15,30,0
7,2,14,6,2009,1,0,0
3,6,14,10,2009,13,0,0
7,7,7,9,2003,12,19,0
2,2,19,2,2013,8,45,0
1,10,6,7,2009,16,46,0
4,2,7,8,2003,23,0,0
4,6,6,10,2011,13,55,0
6,10,11,2,2006,22,41,0
5,7,29,5,2009,13,20,0
3,3,18,2,2009,10,0,0
3,7,4,2,2015,11,30,0
1,4,6,1,2003,18,49,0
5,5,21,10,2011,8,25,0
5,3,1,6,2007,8,0,0
3,2,14,7,2010,20,0,0
1,10,9,11,2009,2,15,0
6,10,18,10,2008,16,45,0
6,5,1,11,2014,0,1,0
5,8,15,6,2012,15,30,0
4,5,17,4,2014,19,14,0
3,4,29,5,2013,15,45,0
7,4,28,12,2003,16,45,0
5,10,31,12,2010,22,35,0
5,5,12,6,2009,10,0,0
3,4,23,3,2005,17,30,0
6,2,29,12,2007,9,0,0
6,2,3,4,2004,8,0,0
4,4,13,11,2014,18,30,0
4,8,10,6,2004,3,0,0
6,5,4,10,2003,22,53,0
2,7,26,1,2010,23,42,0
4,2,30,10,2003,0,1,0
6,8,22,10,2011,17,15,0
7,5,26,7,2009,12,52,0
5,5,4,4,2008,14,0,0
5,2,11,2,2011,20,20,0
5,2,22,8,2014,10,12,0
2,5,28,5,2013,7,45,0
6,6,14,6,2014,12,0,0
2,3,17,8,2004,7,0,0
1,8,1,3,2004,9,15,0
7,10,12,9,2010,16,56,0
4,1,24,6,2004,17,0,0
6,2,17,11,2007,23,0,0
6,5,28,7,2012,22,0,0
5,3,8,8,2003,20,0,0
1,5,16,5,2011,21,30,0
1,1,28,10,2013,2,5,0
7,3,19,4,2009,15,0,0
5,2,25,1,2013,18,0,0
5,2,8,9,2006,20,0,0
3,3,20,8,2008,7,30,0
3,9,1,6,2005,12,30,0
6,7,20,10,2012,15,30,0
1,3,19,1,2009,11,0,0
4,3,3,4,2003,13,0,0
3,5,18,2,2015,13,0,0
4,8,31,5,2007,19,48,0
4,2,24,7,2014,17,30,0
6,5,13,12,2014,0,45,0
6,2,3,4,2004,9,0,0
1,10,2,3,2009,21,42,0
4,2,10,2,2005,2,0,0
2,8,5,3,2013,11,25,0
4,1,28,5,2009,2,51,0
2,7,16,9,2003,17,35,0
3,1,14,7,2010,7,45,0
3,2,10,11,2004,21,18,0
4,5,23,2,2006,16,0,0
4,1,8,1,2015,1,12,0
6,2,28,12,2013,16,25,0
3,9,14,5,2008,13,30,0
7,2,9,10,2005,22,37,0
1,10,27,10,2014,11,20,0
6,10,2,10,2004,22,0,0
3,4,14,4,2004,15,0,0
3,2,22,1,2003,16,50,0
3,10,20,9,2006,16,33,0
3,3,25,6,2014,8,15,0
6,3,24,4,2010,1,40,0
3,4,26,7,2006,3,20,0
5,2,27,6,2003,17,23,0
7,9,13,7,2008,14,0,0
1,4,20,8,2007,21,25,0
7,8,1,7,2007,10,20,0
2,2,27,5,2003,12,5,0
3,8,6,2,2008,19,25,0
6,4,12,7,2008,18,21,0
1,1,8,12,2014,14,53,0
5,4,29,5,2009,21,5,0
1,4,2,5,2011,2,20,0
3,2,26,12,2007,9,15,0
2,2,27,12,2011,19,25,0
7,10,28,8,2005,12,40,0
7,2,19,6,2005,19,25,0
6,4,22,2,2003,17,35,0
3,9,11,7,2012,4,0,0
1,6,27,11,2006,18,9,0
6,6,10,8,2013,2,18,0
7,4,6,4,2014,1,45,0
3,3,3,9,2014,7,51,0
1,8,4,9,2006,16,50,0
7,9,30,11,2014,15,16,0
6,7,30,7,2005,16,0,0
4,3,1,5,2008,3,40,0
4,2,6,3,2014,22,50,0
3,10,9,12,2009,17,0,0
1,2,14,6,2010,19,16,0
3,10,14,5,2014,18,1,0
3,5,11,8,2010,16,5,0
1,5,1,11,2010,3,0,0
6,10,17,5,2008,2,10,0
6,1,13,7,2013,23,27,0
7,9,3,5,2009,20,0,0
7,2,31,7,2005,14,0,0
1,2,14,5,2012,7,10,0
3,4,18,9,2013,19,25,0
2,7,16,5,2006,5,20,0
5,9,12,8,2005,17,30,0
4,8,25,1,2007,9,10,0
7,10,29,6,2008,8,25,0
6,1,14,7,2007,20,20,0
6,2,26,1,2013,17,0,0
1,6,17,3,2014,9,15,0
2,10,7,8,2007,16,42,0
1,5,24,1,2011,7,9,0
2,2,27,5,2003,0,55,0
4,3,30,10,2003,5,30,0
3,6,30,11,2011,22,0,0
1,9,21,12,2009,4,0,0
1,7,31,3,2003,11,20,0
7,4,24,2,2013,1,15,0
2,2,14,10,2014,20,12,0
5,10,20,10,2006,22,45,0
2,2,14,4,2009,8,11,0
5,1,29,12,2006,0,1,0
1,5,4,3,2013,16,30,0
7,8,14,8,2005,14,0,0
7,1,30,5,2004,18,0,0
3,8,23,8,2006,0,1,0
3,10,30,10,2013,20,57,0
6,2,26,1,2008,17,25,0
3,10,1,9,2004,21,44,0
5,2,9,4,2010,17,30,0
6,9,22,2,2014,11,0,0
1,2,2,5,2005,11,39,0
5,3,28,6,2013,2,30,0
1,1,25,5,2009,9,0,0
7,2,3,6,2007,16,22,0
7,4,23,10,2011,11,0,0
2,6,15,10,2013,13,50,0
2,3,28,4,2009,10,58,0
3,9,2,4,2003,12,0,0
2,4,22,7,2003,9,0,0
6,1,23,4,2005,19,30,0
2,5,17,10,2006,18,0,0
5,2,29,11,2013,13,15,0
5,9,29,11,2013,18,40,0
1,2,13,10,2008,17,16,0
7,2,21,9,2003,20,0,0
2,7,9,7,2013,18,30,0
4,4,21,10,2010,10,0,0
4,9,24,1,2008,12,40,0
5,3,2,5,2014,18,0,0
6,2,6,4,2013,23,30,0
5,10,29,11,2013,8,0,0
7,2,3,11,2013,1,45,0
1,6,2,3,2009,3,15,0
3,5,18,10,2006,10,0,0
3,5,20,10,2010,19,1,0
6,7,25,2,2006,17,0,0
6,8,14,6,2014,0,1,0
6,5,9,4,2011,8,0,0
4,4,5,4,2007,1,55,0
1,5,1,11,2010,9,30,0
1,5,5,8,2013,22,0,0
5,9,20,3,2009,7,5,0
1,2,11,5,2009,7,10,0
2,5,23,7,2013,20,0,0
7,1,30,5,2004,17,15,0
7,7,14,3,2010,0,1,0
6,1,6,4,2013,21,50,0
7,2,10,4,2005,18,5,0
1,9,12,11,2007,19,32,0
2,7,12,5,2009,11,15,0
1,2,30,9,2013,9,0,0
4,1,1,5,2008,12,45,0
1,5,7,2,2005,23,0,0
5,5,24,1,2014,9,25,0
2,6,20,7,2004,1,0,0
6,8,29,5,2004,23,0,0
1,8,18,4,2011,7,20,0
4,2,7,8,2008,21,49,0
2,4,22,1,2008,13,45,0
4,5,4,9,2003,10,15,0
6,7,25,2,2006,2,0,0
7,1,29,6,2014,12,30,0
6,6,10,3,2007,23,5,0
6,10,29,12,2007,18,45,0
2,4,29,6,2010,23,15,0
4,9,11,3,2010,15,30,0
5,6,1,12,2006,11,32,0
1,8,16,10,2006,21,30,0
2,4,18,5,2010,15,55,0
5,3,5,11,2010,15,30,0
3,10,28,12,2011,12,14,0
7,8,30,12,2012,21,0,0
3,7,17,9,2014,22,0,0
2,7,28,6,2005,15,0,0
1,4,22,12,2008,8,0,0
2,6,14,4,2009,20,0,0
5,2,23,9,2011,17,45,0
7,10,15,1,2006,16,47,0
2,8,5,8,2003,13,58,0
3,4,14,4,2004,15,30,0
4,7,13,7,2006,22,0,0
6,5,3,5,2014,17,30,0
3,2,4,2,2004,9,10,0
5,10,22,8,2008,5,17,0
4,8,20,5,2010,11,45,0
3,4,23,2,2005,20,44,0
2,4,19,8,2014,1,0,0
4,10,1,10,2009,14,0,0
3,1,21,3,2007,23,30,0
6,6,14,1,2012,9,26,0
3,6,30,11,2011,18,45,0
6,8,31,10,2009,7,7,0
5,9,24,2,2006,0,30,0
3,4,27,6,2012,15,25,0
1,2,28,10,2013,13,54,0
5,1,3,5,2013,0,50,0
6,5,14,6,2014,11,0,0
7,8,7,10,2012,9,0,0
5,2,27,6,2008,15,8,0
1,5,27,4,2015,18,40,0
1,4,14,4,2008,21,45,0
4,2,20,3,2008,8,10,0
7,1,9,3,2003,23,4,0
6,1,17,7,2010,12,0,0
7,9,17,7,2005,14,30,0
7,10,28,8,2011,18,30,0
4,3,10,3,2005,22,30,0
1,8,26,12,2005,19,46,0
1,3,23,8,2010,16,0,0
5,2,26,7,2013,0,56,0
5,4,21,2,2014,22,0,0
5,3,3,11,2006,12,40,0
3,2,28,7,2010,10,15,0
4,9,16,6,2011,19,0,0
2,10,8,7,2003,14,17,0
7,1,28,2,2010,23,0,0
2,2,20,9,2005,16,45,0
5,7,19,10,2007,1,30,0
2,2,13,11,2012,7,15,0
7,10,5,5,2013,17,30,0
3,3,6,10,2010,16,53,0
3,7,1,5,2013,23,47,0
5,10,27,7,2007,19,7,0
4,1,20,2,2014,18,0,0
4,1,8,2,2007,15,15,0
5,4,3,4,2015,15,0,0
1,4,25,1,2010,23,8,0
3,5,4,8,2004,15,30,0
5,9,3,5,2013,21,0,0
1,4,18,3,2013,3,9,0
5,3,6,8,2004,8,30,0
4,5,4,9,2003,7,18,0
3,2,7,7,2004,22,0,0
4,8,27,7,2006,20,0,0
7,3,31,7,2011,13,57,0
7,1,23,2,2003,13,15,0
4,9,1,4,2004,0,1,0
5,4,22,2,2008,20,46,0
5,4,18,6,2010,1,7,0
5,4,16,5,2003,22,0,0
7,2,14,6,2009,15,0,0
1,8,23,11,2009,14,0,0
3,9,8,8,2007,17,19,0
5,5,11,1,2008,23,35,0
2,5,18,3,2008,21,30,0
5,4,2,5,2008,9,45,0
7,1,1,6,2008,1,40,0
5,8,30,5,2003,16,0,0
1,4,22,12,2014,3,0,0
2,9,28,6,2005,20,15,0
3,2,24,7,2013,22,8,0
3,4,19,4,2006,21,15,0
7,10,15,6,2008,17,0,0
7,7,20,5,2012,13,30,0
5,5,23,9,2005,7,40,0
5,2,26,7,2013,21,10,0
5,8,22,10,2010,0,1,0
6,1,29,11,2008,16,19,0
3,6,26,7,2006,21,30,0
5,8,13,11,2009,17,0,0
7,7,22,4,2012,15,0,0
4,9,5,5,2011,22,50,0
7,1,1,12,2013,20,16,0
7,5,10,4,2005,17,55,0
4,1,17,11,2005,22,15,0
4,6,9,2,2012,21,0,0
5,1,22,9,2006,1,28,0
5,9,6,4,2007,16,30,0
3,7,6,4,2005,18,0,0
4,8,31,10,2013,0,16,0
3,7,27,10,2004,23,20,0
4,10,7,4,2011,21,35,0
2,4,10,6,2003,12,0,0
3,1,7,4,2010,22,37,0
4,2,29,7,2010,12,46,0
5,5,26,8,2005,20,0,0
1,4,15,10,2007,9,39,0
5,10,5,11,2010,0,19,0
3,2,1,10,2008,15,0,0
5,3,27,7,2012,9,50,0
1,1,27,10,2008,12,0,0
6,1,1,11,2003,10,0,0
2,10,2,9,2003,23,0,0
7,6,10,4,2005,16,0,0
4,7,23,1,2003,18,0,0
4,9,11,8,2005,21,30,0
3,5,30,10,2013,7,40,0
5,2,23,1,2015,8,0,0
5,2,22,2,2013,17,0,0
1,8,27,11,2006,12,15,0
7,10,15,6,2003,8,49,0
3,6,2,5,2012,1,5,0
3,5,29,4,2009,2,0,0
6,2,5,4,2008,17,0,0
3,2,3,9,2003,20,40,0
3,10,31,5,2006,8,0,0
4,4,23,7,2009,10,28,0
4,8,10,1,2013,13,0,0
6,6,10,8,2013,12,0,0
2,4,5,2,2008,12,16,0
2,4,28,9,2004,11,20,0
1,4,5,9,2005,10,0,0
3,4,18,5,2005,15,30,0
2,8,10,7,2012,17,0,0
3,7,11,6,2008,6,0,0
5,4,26,7,2013,22,0,0
7,3,30,1,2005,7,39,0
7,1,10,3,2013,12,27,0
1,4,24,12,2012,9,50,0
3,3,20,10,2010,23,0,0
6,3,17,10,2009,19,0,0
7,2,8,3,2015,18,43,0
6,5,15,11,2014,18,45,0
3,9,22,3,2006,15,45,0
4,10,26,7,2012,22,0,0
7,5,24,8,2014,1,40,0
3,9,12,12,2012,0,24,0
3,1,2,4,2014,21,0,0
6,5,1,11,2003,0,1,0
7,6,26,2,2012,17,0,0
7,6,9,8,2009,15,41,0
2,5,8,12,2009,5,28,0
7,9,20,11,2005,19,40,0
2,8,11,12,2007,6,45,0
5,2,13,7,2012,10,0,0
7,10,30,12,2012,0,1,0
2,5,21,12,2004,14,0,0
2,3,29,11,2011,10,17,0
4,1,16,11,2006,11,3,0
1,9,18,2,2013,14,0,0
7,1,6,10,2013,12,0,0
1,2,12,4,2004,16,5,0
6,6,4,4,2015,12,0,0
4,7,27,11,2014,12,0,0
3,4,9,6,2004,18,30,0
4,2,19,2,2009,22,0,0
3,4,15,10,2008,1,0,0
5,2,22,2,2008,21,0,0
6,3,29,6,2013,17,15,0
7,2,23,2,2003,0,1,0
6,4,19,4,2008,18,10,0
2,5,24,6,2008,2,5,0
2,8,15,4,2014,8,0,0
3,4,25,7,2012,11,38,0
3,6,5,9,2012,12,50,0
4,2,6,3,2008,14,0,0
4,3,18,9,2003,11,0,0
4,1,4,9,2014,20,30,0
5,10,20,3,2015,19,30,0
4,5,11,6,2009,3,30,0
3,3,7,8,2013,9,57,0
5,3,2,5,2014,19,20,0
2,5,15,11,2011,10,21,0
5,10,18,11,2011,9,0,0
6,1,25,2,2012,23,55,0
3,7,13,11,2013,12,54,0
7,4,10,8,2008,23,45,0
1,8,5,3,2007,22,44,0
4,3,22,1,2004,22,18,0
1,5,26,6,2006,13,0,0
4,5,31,10,2013,8,0,0
2,7,24,6,2014,23,25,0
4,5,29,10,2009,12,0,0
6,3,19,6,2010,17,30,0
2,8,6,3,2007,10,56,0
3,2,30,4,2008,14,30,0
3,9,15,5,2013,13,30,0
7,3,19,10,2014,19,55,0
6,5,1,11,2008,8,0,0
4,1,4,9,2014,22,2,0
1,1,10,12,2012,22,30,0
4,4,18,9,2008,22,2,0
6,4,31,7,2010,20,50,0
2,3,4,2,2014,14,12,0
2,3,7,2,2012,19,17,0
6,1,16,1,2010,20,40,0
1,1,10,1,2011,13,30,0
5,2,19,3,2004,19,15,0
3,2,5,9,2012,16,50,0
2,8,21,1,2014,18,20,0
2,9,3,3,2015,21,0,0
6,3,24,4,2010,15,56,0
1,6,27,10,2003,21,54,0
4,5,3,10,2013,12,0,0
6,3,31,12,2005,10,0,0
