"day","location","date","month","year","hour","min","RUNAWAY"
7,9,18,5,2014,17,30,1
7,9,18,5,2014,8,0,1
3,5,14,5,2014,16,30,1
3,9,14,5,2014,7,30,1
1,9,12,5,2014,21,8,1
2,4,29,4,2014,2,15,1
1,1,28,4,2014,15,0,1
7,4,20,4,2014,14,0,1
5,4,18,4,2014,11,0,1
4,4,17,4,2014,18,45,1
3,6,16,4,2014,8,21,1
5,7,21,3,2014,22,10,1
5,9,21,3,2014,7,30,1
4,4,20,3,2014,17,20,1
3,8,19,3,2014,13,45,1
3,4,19,3,2014,9,30,1
3,3,19,3,2014,9,0,1
2,4,18,3,2014,11,3,1
2,3,18,3,2014,10,0,1
1,4,17,3,2014,14,50,1
1,6,17,3,2014,13,15,1
1,6,17,3,2014,8,30,1
7,5,9,3,2014,23,0,1
7,4,9,3,2014,4,0,1
4,6,6,3,2014,19,30,1
3,8,5,3,2014,13,0,1
3,5,5,3,2014,9,0,1
1,4,3,3,2014,22,45,1
5,5,21,2,2014,8,30,1
2,8,18,2,2014,11,0,1
1,2,17,2,2014,20,0,1
7,9,9,2,2014,21,0,1
6,4,8,2,2014,20,45,1
6,9,8,2,2014,11,0,1
6,9,8,2,2014,11,0,1
5,4,7,2,2014,21,30,1
4,1,6,2,2014,19,20,1
3,3,5,2,2014,9,0,1
3,9,5,2,2014,7,30,1
3,9,5,2,2014,7,15,1
3,9,5,2,2014,7,13,1
2,2,4,2,2014,7,50,1
1,4,3,2,2014,16,47,1
6,1,25,1,2014,8,20,1
4,4,23,1,2014,14,15,1
3,9,22,1,2014,7,30,1
2,3,21,1,2014,16,40,1
7,6,12,1,2014,9,0,1
7,9,29,12,2013,21,30,1
7,9,29,12,2013,18,30,1
7,9,29,12,2013,6,0,1
6,1,28,12,2013,14,0,1
3,9,11,12,2013,8,0,1
2,4,10,12,2013,21,15,1
2,4,10,12,2013,15,25,1
1,2,9,12,2013,12,15,1
4,9,28,11,2013,20,45,1
4,9,28,11,2013,11,17,1
2,6,26,11,2013,22,10,1
7,9,17,11,2013,20,9,1
6,9,16,11,2013,18,0,1
3,4,13,11,2013,22,50,1
2,9,12,11,2013,13,27,1
4,3,31,10,2013,14,30,1
4,9,17,10,2013,19,30,1
4,9,17,10,2013,19,30,1
6,9,5,10,2013,10,45,1
5,1,4,10,2013,18,45,1
5,8,4,10,2013,9,0,1
4,9,3,10,2013,8,30,1
2,1,1,10,2013,12,0,1
1,6,30,9,2013,19,30,1
1,9,30,9,2013,10,0,1
6,6,21,9,2013,17,15,1
6,9,21,9,2013,11,30,1
6,1,21,9,2013,11,0,1
5,9,20,9,2013,9,6,1
4,9,19,9,2013,12,30,1
4,9,19,9,2013,11,30,1
4,9,19,9,2013,10,30,1
3,9,18,9,2013,6,56,1
1,7,16,9,2013,22,0,1
7,9,8,9,2013,8,52,1
6,6,7,9,2013,12,30,1
6,9,7,9,2013,10,0,1
2,9,3,9,2013,15,45,1
4,4,22,8,2013,9,40,1
4,3,22,8,2013,9,15,1
2,3,20,8,2013,12,40,1
5,8,9,8,2013,12,0,1
1,6,5,8,2013,18,40,1
7,9,28,7,2013,13,0,1
3,4,24,7,2013,20,53,1
1,4,22,7,2013,16,45,1
1,9,8,7,2013,15,35,1
6,9,29,6,2013,9,45,1
3,8,26,6,2013,18,0,1
3,6,26,6,2013,10,0,1
2,4,25,6,2013,13,17,1
6,1,15,6,2013,15,0,1
3,5,12,6,2013,2,31,1
5,4,31,5,2013,19,40,1
4,4,30,5,2013,20,20,1
4,6,30,5,2013,8,30,1
7,4,5,5,2013,14,50,1
2,4,30,4,2013,17,15,1
2,2,30,4,2013,11,0,1
3,6,17,4,2013,21,52,1
2,6,16,4,2013,21,30,1
1,6,15,4,2013,17,30,1
1,3,15,4,2013,10,25,1
6,4,6,4,2013,14,0,1
4,4,4,4,2013,15,15,1
3,4,3,4,2013,17,34,1
3,4,3,4,2013,17,34,1
2,9,2,4,2013,15,30,1
2,3,2,4,2013,7,30,1
1,9,1,4,2013,11,30,1
1,9,1,4,2013,7,30,1
7,7,24,3,2013,20,30,1
7,7,24,3,2013,20,30,1
7,3,24,3,2013,9,45,1
6,4,23,3,2013,15,30,1
6,3,23,3,2013,11,41,1
3,2,20,3,2013,23,40,1
3,6,20,3,2013,17,14,1
3,4,20,3,2013,15,30,1
3,4,20,3,2013,15,30,1
2,4,19,3,2013,15,30,1
2,7,19,3,2013,7,30,1
1,3,18,3,2013,18,0,1
3,8,6,3,2013,20,0,1
2,4,5,3,2013,19,40,1
2,2,5,3,2013,18,30,1
2,6,5,3,2013,8,30,1
1,6,4,3,2013,6,45,1
6,6,23,2,2013,18,15,1
1,4,18,2,2013,15,30,1
5,9,8,2,2013,23,10,1
5,6,8,2,2013,21,0,1
5,8,8,2,2013,15,15,1
5,9,8,2,2013,10,19,1
2,6,5,2,2013,22,43,1
2,6,5,2,2013,17,30,1
1,9,4,2,2013,21,30,1
1,4,4,2,2013,20,56,1
1,4,4,2,2013,19,30,1
1,6,4,2,2013,19,0,1
1,4,4,2,2013,18,30,1
1,4,4,2,2013,16,40,1
1,6,4,2,2013,15,45,1
1,4,4,2,2013,14,40,1
1,8,4,2,2013,14,15,1
5,4,25,1,2013,21,45,1
5,4,25,1,2013,21,45,1
4,6,24,1,2013,7,30,1
3,4,23,1,2013,13,7,1
2,7,22,1,2013,9,18,1
1,6,21,1,2013,15,0,1
7,3,13,1,2013,18,45,1
5,6,11,1,2013,16,0,1
5,6,11,1,2013,8,0,1
2,3,8,1,2013,23,0,1
2,6,8,1,2013,11,45,1
5,4,28,12,2012,23,25,1
4,6,27,12,2012,8,20,1
1,3,24,12,2012,13,25,1
6,6,15,12,2012,22,30,1
3,6,12,12,2012,15,30,1
3,6,12,12,2012,5,0,1
2,4,11,12,2012,21,1,1
1,9,10,12,2012,17,30,1
7,4,2,12,2012,15,0,1
6,6,1,12,2012,13,0,1
6,3,1,12,2012,12,57,1
4,4,29,11,2012,0,55,1
3,3,28,11,2012,9,0,1
5,3,16,11,2012,22,0,1
4,3,15,11,2012,15,5,1
4,3,15,11,2012,11,30,1
4,4,1,11,2012,7,0,1
3,8,31,10,2012,6,30,1
2,4,30,10,2012,22,40,1
2,4,30,10,2012,13,0,1
1,9,29,10,2012,8,0,1
1,8,29,10,2012,7,15,1
5,6,19,10,2012,17,0,1
5,8,19,10,2012,7,0,1
4,4,18,10,2012,0,10,1
2,4,16,10,2012,21,15,1
2,6,16,10,2012,8,45,1
2,3,16,10,2012,7,0,1
2,3,16,10,2012,7,0,1
7,4,7,10,2012,12,54,1
6,3,6,10,2012,10,0,1
5,8,5,10,2012,0,1,1
3,10,3,10,2012,9,40,1
1,4,1,10,2012,14,55,1
1,3,1,10,2012,14,0,1
1,4,1,10,2012,11,50,1
1,4,1,10,2012,11,0,1
6,9,22,9,2012,14,30,1
6,3,22,9,2012,11,30,1
5,3,21,9,2012,19,0,1
5,4,21,9,2012,9,35,1
5,3,21,9,2012,8,0,1
4,6,20,9,2012,8,0,1
1,7,17,9,2012,20,0,1
1,7,17,9,2012,18,0,1
1,9,17,9,2012,12,48,1
6,4,8,9,2012,13,30,1
5,4,7,9,2012,16,15,1
3,3,5,9,2012,22,30,1
2,5,4,9,2012,23,0,1
2,4,4,9,2012,20,55,1
2,7,4,9,2012,11,30,1
1,4,3,9,2012,21,5,1
1,7,3,9,2012,18,45,1
1,4,3,9,2012,18,0,1
6,3,25,8,2012,19,0,1
5,4,24,8,2012,19,16,1
5,6,24,8,2012,9,45,1
5,6,24,8,2012,9,45,1
4,6,23,8,2012,13,40,1
3,4,22,8,2012,11,10,1
3,6,22,8,2012,7,45,1
2,6,21,8,2012,18,30,1
7,3,12,8,2012,16,0,1
6,6,11,8,2012,16,40,1
4,6,9,8,2012,18,20,1
4,4,9,8,2012,16,20,1
4,4,9,8,2012,14,0,1
7,6,29,7,2012,6,32,1
5,3,27,7,2012,8,0,1
4,5,26,7,2012,18,35,1
4,6,26,7,2012,3,0,1
3,6,25,7,2012,14,0,1
7,6,15,7,2012,10,0,1
6,6,14,7,2012,13,40,1
2,6,10,7,2012,21,40,1
2,4,10,7,2012,20,0,1
2,3,10,7,2012,9,0,1
2,6,10,7,2012,8,45,1
7,3,1,7,2012,20,0,1
7,6,1,7,2012,18,0,1
6,3,30,6,2012,12,0,1
6,3,30,6,2012,12,0,1
6,8,30,6,2012,0,1,1
4,6,28,6,2012,15,50,1
3,3,27,6,2012,20,0,1
3,3,27,6,2012,11,0,1
2,4,26,6,2012,16,30,1
1,4,25,6,2012,19,0,1
1,4,25,6,2012,18,40,1
6,3,16,6,2012,14,30,1
5,6,15,6,2012,18,0,1
5,2,15,6,2012,11,25,1
5,3,15,6,2012,9,0,1
4,3,14,6,2012,17,0,1
3,8,13,6,2012,23,0,1
1,4,11,6,2012,17,0,1
7,6,3,6,2012,19,0,1
6,3,2,6,2012,19,18,1
6,3,2,6,2012,17,0,1
3,2,30,5,2012,23,45,1
3,6,30,5,2012,2,15,1
6,6,19,5,2012,18,0,1
5,6,18,5,2012,15,0,1
4,4,17,5,2012,8,0,1
3,4,16,5,2012,20,48,1
2,4,15,5,2012,9,0,1
2,4,15,5,2012,9,0,1
7,4,6,5,2012,14,35,1
7,3,6,5,2012,13,15,1
6,4,5,5,2012,2,39,1
5,4,4,5,2012,16,30,1
4,3,3,5,2012,10,45,1
3,6,2,5,2012,7,0,1
2,4,1,5,2012,18,40,1
2,4,1,5,2012,12,10,1
1,4,30,4,2012,7,45,1
5,7,20,4,2012,13,30,1
5,4,20,4,2012,10,30,1
5,2,20,4,2012,8,0,1
5,4,20,4,2012,7,45,1
5,1,20,4,2012,7,0,1
4,3,19,4,2012,13,0,1
4,6,19,4,2012,10,30,1
3,9,18,4,2012,7,30,1
2,5,17,4,2012,21,0,1
2,7,17,4,2012,8,23,1
2,6,17,4,2012,4,0,1
2,6,17,4,2012,4,0,1
7,8,8,4,2012,18,0,1
7,4,25,3,2012,13,20,1
6,6,24,3,2012,19,20,1
4,3,22,3,2012,11,30,1
7,7,11,3,2012,17,45,1
7,3,11,3,2012,10,0,1
6,3,10,3,2012,17,15,1
5,3,9,3,2012,7,45,1
5,3,9,3,2012,7,45,1
5,3,9,3,2012,7,45,1
4,3,8,3,2012,17,30,1
4,3,8,3,2012,10,30,1
4,2,8,3,2012,0,1,1
3,3,7,3,2012,16,30,1
2,3,6,3,2012,8,45,1
2,3,6,3,2012,5,45,1
1,3,5,3,2012,21,45,1
5,9,24,2,2012,18,45,1
4,6,23,2,2012,10,45,1
4,6,23,2,2012,10,45,1
4,3,23,2,2012,9,30,1
4,3,23,2,2012,9,15,1
3,6,22,2,2012,8,0,1
2,7,21,2,2012,8,30,1
2,4,21,2,2012,1,50,1
7,3,12,2,2012,22,0,1
7,6,12,2,2012,9,0,1
6,4,11,2,2012,17,16,1
6,4,11,2,2012,16,28,1
5,3,10,2,2012,22,45,1
5,3,10,2,2012,18,0,1
5,7,10,2,2012,14,0,1
5,3,10,2,2012,9,0,1
5,3,10,2,2012,7,30,1
1,6,6,2,2012,10,0,1
6,4,28,1,2012,18,30,1
6,3,28,1,2012,15,0,1
6,3,28,1,2012,11,0,1
3,6,25,1,2012,12,0,1
3,3,25,1,2012,10,30,1
2,4,24,1,2012,20,0,1
2,4,24,1,2012,19,30,1
1,3,23,1,2012,19,0,1
7,2,15,1,2012,0,1,1
6,3,14,1,2012,0,15,1
5,7,13,1,2012,15,15,1
3,4,11,1,2012,15,40,1
2,3,10,1,2012,18,30,1
1,2,9,1,2012,18,30,1
7,1,1,1,2012,18,30,1
7,1,1,1,2012,18,30,1
7,7,1,1,2012,13,0,1
6,1,31,12,2011,17,30,1
6,1,31,12,2011,17,30,1
6,1,31,12,2011,17,30,1
6,1,31,12,2011,17,30,1
2,5,27,12,2011,19,28,1
1,7,26,12,2011,20,13,1
6,4,17,12,2011,22,30,1
6,4,17,12,2011,14,40,1
6,3,17,12,2011,11,0,1
6,4,17,12,2011,4,40,1
5,9,16,12,2011,8,30,1
4,6,15,12,2011,14,0,1
3,4,14,12,2011,12,10,1
1,6,12,12,2011,12,0,1
7,4,4,12,2011,15,43,1
7,6,4,12,2011,11,50,1
6,2,3,12,2011,8,0,1
5,8,2,12,2011,9,0,1
2,4,29,11,2011,15,29,1
2,6,29,11,2011,15,0,1
2,6,29,11,2011,7,0,1
1,4,28,11,2011,14,15,1
6,4,19,11,2011,9,25,1
4,3,17,11,2011,22,30,1
3,6,16,11,2011,21,0,1
3,3,16,11,2011,14,30,1
7,4,6,11,2011,18,18,1
7,6,6,11,2011,18,5,1
7,9,6,11,2011,13,0,1
7,4,6,11,2011,12,28,1
7,3,6,11,2011,10,0,1
3,7,2,11,2011,12,30,1
2,7,1,11,2011,14,50,1
2,2,1,11,2011,5,30,1
1,4,31,10,2011,17,51,1
1,3,31,10,2011,17,45,1
1,3,31,10,2011,10,0,1
1,9,31,10,2011,8,10,1
6,6,22,10,2011,22,0,1
6,6,22,10,2011,11,0,1
4,4,20,10,2011,16,26,1
4,4,20,10,2011,14,30,1
4,6,20,10,2011,13,0,1
4,6,20,10,2011,7,0,1
4,6,20,10,2011,5,30,1
3,4,19,10,2011,19,0,1
2,6,18,10,2011,17,30,1
2,4,18,10,2011,14,48,1
7,6,9,10,2011,19,0,1
5,3,7,10,2011,12,15,1
4,6,6,10,2011,23,10,1
3,3,5,10,2011,21,0,1
3,8,5,10,2011,9,45,1
1,4,3,10,2011,15,30,1
7,6,25,9,2011,12,0,1
6,6,24,9,2011,20,30,1
5,3,23,9,2011,18,30,1
7,4,11,9,2011,19,35,1
5,6,9,9,2011,20,30,1
2,7,6,9,2011,7,20,1
1,2,5,9,2011,15,30,1
1,7,5,9,2011,7,25,1
6,4,27,8,2011,18,30,1
5,4,26,8,2011,14,18,1
5,6,26,8,2011,11,45,1
4,2,25,8,2011,20,0,1
4,2,25,8,2011,18,0,1
4,4,25,8,2011,10,35,1
1,8,22,8,2011,20,50,1
5,6,12,8,2011,20,0,1
5,4,12,8,2011,12,35,1
2,4,9,8,2011,9,7,1
1,4,8,8,2011,10,38,1
1,4,8,8,2011,10,38,1
6,3,30,7,2011,22,0,1
6,3,30,7,2011,9,0,1
3,3,27,7,2011,16,40,1
3,4,27,7,2011,12,50,1
3,3,27,7,2011,0,15,1
2,6,26,7,2011,9,0,1
1,4,25,7,2011,16,0,1
1,6,25,7,2011,10,0,1
6,3,16,7,2011,19,0,1
6,3,16,7,2011,19,0,1
5,8,15,7,2011,19,0,1
5,9,15,7,2011,8,25,1
4,9,14,7,2011,19,0,1
2,4,12,7,2011,20,24,1
7,7,3,7,2011,15,20,1
7,6,3,7,2011,11,0,1
6,3,2,7,2011,21,5,1
6,3,2,7,2011,7,30,1
4,3,30,6,2011,11,5,1
3,4,29,6,2011,19,40,1
3,3,29,6,2011,10,30,1
2,3,28,6,2011,11,35,1
6,6,18,6,2011,15,15,1
4,2,16,6,2011,10,15,1
4,2,16,6,2011,3,0,1
2,8,14,6,2011,18,0,1
1,4,13,6,2011,16,45,1
7,3,5,6,2011,18,35,1
7,9,5,6,2011,11,50,1
7,6,5,6,2011,9,30,1
4,9,2,6,2011,11,0,1
3,3,1,6,2011,7,0,1
2,3,31,5,2011,16,0,1
6,2,21,5,2011,0,20,1
5,9,20,5,2011,13,45,1
4,4,19,5,2011,13,30,1
3,6,18,5,2011,6,45,1
1,3,16,5,2011,14,30,1
6,6,7,5,2011,19,0,1
4,10,5,5,2011,18,45,1
4,8,5,5,2011,13,0,1
3,6,4,5,2011,3,28,1
2,3,3,5,2011,6,30,1
6,8,23,4,2011,20,0,1
5,6,22,4,2011,8,55,1
4,6,21,4,2011,15,0,1
3,6,20,4,2011,9,30,1
3,2,20,4,2011,8,0,1
3,6,20,4,2011,6,20,1
5,6,8,4,2011,19,20,1
5,8,8,4,2011,17,30,1
3,2,6,4,2011,9,0,1
3,9,6,4,2011,8,0,1
2,4,5,4,2011,19,10,1
2,3,5,4,2011,9,36,1
1,3,4,4,2011,15,21,1
1,8,4,4,2011,10,0,1
7,6,27,3,2011,22,0,1
6,3,26,3,2011,14,54,1
5,4,25,3,2011,17,25,1
4,4,24,3,2011,21,32,1
1,4,21,3,2011,19,32,1
1,6,21,3,2011,18,30,1
1,4,21,3,2011,17,40,1
7,8,13,3,2011,20,0,1
5,6,11,3,2011,5,30,1
5,4,11,3,2011,0,5,1
4,5,10,3,2011,15,8,1
5,6,25,2,2011,6,30,1
4,2,24,2,2011,12,20,1
2,4,22,2,2011,8,0,1
1,8,21,2,2011,22,0,1
1,3,21,2,2011,15,0,1
1,7,21,2,2011,14,15,1
7,4,13,2,2011,2,50,1
6,4,12,2,2011,18,15,1
5,6,28,1,2011,21,0,1
4,8,27,1,2011,18,0,1
4,6,27,1,2011,16,15,1
4,3,27,1,2011,10,0,1
3,8,26,1,2011,21,20,1
3,7,26,1,2011,15,45,1
3,4,26,1,2011,11,14,1
1,5,24,1,2011,21,0,1
1,6,24,1,2011,7,49,1
7,4,16,1,2011,17,55,1
7,4,16,1,2011,17,55,1
3,9,12,1,2011,8,0,1
1,4,10,1,2011,22,0,1
6,2,1,1,2011,17,58,1
5,3,31,12,2010,23,0,1
5,2,31,12,2010,11,0,1
5,8,31,12,2010,9,10,1
1,3,27,12,2010,17,0,1
1,6,27,12,2010,0,15,1
7,2,19,12,2010,20,0,1
6,4,18,12,2010,21,35,1
4,4,16,12,2010,16,0,1
4,4,16,12,2010,15,13,1
3,6,15,12,2010,18,50,1
5,6,3,12,2010,18,30,1
4,5,2,12,2010,8,5,1
4,3,2,12,2010,7,30,1
3,4,1,12,2010,16,50,1
1,4,29,11,2010,17,30,1
1,4,29,11,2010,11,0,1
7,2,21,11,2010,15,5,1
5,8,19,11,2010,7,30,1
4,7,18,11,2010,22,0,1
3,9,17,11,2010,17,0,1
2,2,16,11,2010,7,40,1
5,2,5,11,2010,15,59,1
4,4,4,11,2010,17,0,1
4,8,4,11,2010,9,0,1
3,8,3,11,2010,8,0,1
2,6,2,11,2010,7,30,1
5,6,22,10,2010,17,0,1
5,8,22,10,2010,8,25,1
2,6,19,10,2010,13,0,1
2,8,19,10,2010,7,0,1
1,5,18,10,2010,15,36,1
5,3,8,10,2010,23,0,1
5,6,8,10,2010,8,40,1
1,4,4,10,2010,7,30,1
6,6,25,9,2010,22,30,1
6,4,25,9,2010,19,45,1
6,4,25,9,2010,19,0,1
5,6,24,9,2010,23,15,1
1,3,20,9,2010,15,35,1
6,4,11,9,2010,13,50,1
3,8,8,9,2010,15,30,1
1,6,6,9,2010,9,5,1
5,5,27,8,2010,11,16,1
4,3,26,8,2010,7,0,1
3,3,25,8,2010,0,8,1
2,4,24,8,2010,19,5,1
7,3,15,8,2010,20,28,1
5,9,13,8,2010,10,0,1
4,6,12,8,2010,19,0,1
4,4,12,8,2010,18,40,1
1,6,9,8,2010,18,30,1
1,7,9,8,2010,15,0,1
6,3,31,7,2010,9,0,1
4,4,29,7,2010,16,55,1
3,6,28,7,2010,9,30,1
2,9,27,7,2010,11,30,1
1,5,26,7,2010,21,30,1
1,3,26,7,2010,11,35,1
5,3,16,7,2010,19,0,1
4,4,15,7,2010,0,10,1
3,6,14,7,2010,10,0,1
7,3,4,7,2010,11,0,1
6,4,3,7,2010,18,0,1
5,2,2,7,2010,20,0,1
4,4,1,7,2010,11,39,1
3,6,30,6,2010,11,48,1
1,4,28,6,2010,19,40,1
7,3,20,6,2010,23,30,1
4,2,17,6,2010,18,24,1
2,6,15,6,2010,12,55,1
6,4,5,6,2010,9,0,1
5,3,4,6,2010,22,0,1
4,1,3,6,2010,21,56,1
4,6,3,6,2010,7,30,1
2,1,1,6,2010,19,0,1
2,6,1,6,2010,17,0,1
2,8,1,6,2010,8,0,1
2,6,1,6,2010,2,0,1
1,2,31,5,2010,16,45,1
7,1,23,5,2010,14,0,1
5,4,21,5,2010,21,0,1
5,9,21,5,2010,8,15,1
4,6,20,5,2010,18,0,1
4,4,20,5,2010,17,33,1
4,6,20,5,2010,15,15,1
4,1,20,5,2010,7,40,1
1,7,17,5,2010,19,0,1
5,7,7,5,2010,11,30,1
5,4,7,5,2010,8,0,1
4,4,6,5,2010,17,0,1
4,9,6,5,2010,11,0,1
3,6,5,5,2010,18,0,1
1,3,3,5,2010,17,30,1
7,6,25,4,2010,11,30,1
6,4,24,4,2010,8,30,1
2,8,20,4,2010,19,0,1
2,9,20,4,2010,0,1,1
1,6,19,4,2010,13,0,1
1,6,19,4,2010,4,50,1
1,2,19,4,2010,2,13,1
6,8,27,3,2010,19,0,1
5,3,26,3,2010,8,0,1
3,7,24,3,2010,18,0,1
3,6,24,3,2010,7,40,1
7,4,14,3,2010,20,30,1
7,6,14,3,2010,12,0,1
6,8,13,3,2010,15,0,1
4,4,11,3,2010,6,0,1
3,6,10,3,2010,7,50,1
1,9,8,3,2010,17,0,1
1,3,8,3,2010,12,0,1
7,4,28,2,2010,9,20,1
6,3,27,2,2010,21,0,1
1,1,22,2,2010,16,30,1
1,4,22,2,2010,11,0,1
7,6,14,2,2010,3,0,1
4,9,11,2,2010,7,30,1
4,6,11,2,2010,7,0,1
7,4,31,1,2010,18,40,1
7,4,31,1,2010,17,0,1
7,6,31,1,2010,8,43,1
5,6,29,1,2010,18,58,1
5,7,29,1,2010,7,45,1
4,8,28,1,2010,22,30,1
4,8,28,1,2010,10,30,1
3,4,27,1,2010,6,0,1
3,6,27,1,2010,1,0,1
2,9,26,1,2010,14,30,1
2,8,26,1,2010,7,30,1
5,8,15,1,2010,16,30,1
3,6,13,1,2010,12,0,1
1,4,11,1,2010,15,35,1
1,7,11,1,2010,14,45,1
1,3,11,1,2010,8,15,1
6,4,26,12,2009,18,15,1
3,6,23,12,2009,14,0,1
2,4,22,12,2009,13,0,1
5,2,11,12,2009,22,0,1
5,8,11,12,2009,9,10,1
4,4,10,12,2009,23,15,1
4,8,10,12,2009,18,0,1
4,4,10,12,2009,17,55,1
3,4,9,12,2009,18,0,1
2,7,8,12,2009,14,20,1
2,6,8,12,2009,8,0,1
1,4,7,12,2009,16,56,1
6,7,28,11,2009,21,0,1
4,3,26,11,2009,13,0,1
3,4,25,11,2009,17,30,1
3,4,25,11,2009,17,30,1
1,7,23,11,2009,21,0,1
1,8,23,11,2009,7,30,1
1,3,23,11,2009,3,0,1
7,7,15,11,2009,16,10,1
6,7,14,11,2009,12,50,1
6,7,14,11,2009,11,5,1
5,4,13,11,2009,15,26,1
4,9,12,11,2009,6,45,1
2,4,10,11,2009,18,30,1
1,9,9,11,2009,20,0,1
1,6,9,11,2009,7,30,1
7,4,1,11,2009,18,11,1
4,6,29,10,2009,8,30,1
3,3,28,10,2009,22,0,1
2,8,27,10,2009,19,15,1
2,8,27,10,2009,12,0,1
1,9,26,10,2009,15,0,1
6,3,17,10,2009,14,0,1
5,6,16,10,2009,7,0,1
3,4,14,10,2009,20,30,1
3,5,14,10,2009,7,0,1
1,1,12,10,2009,0,1,1
7,6,4,10,2009,11,30,1
5,3,2,10,2009,22,0,1
5,2,2,10,2009,16,30,1
5,8,2,10,2009,8,40,1
5,6,2,10,2009,6,0,1
3,9,30,9,2009,9,0,1
2,3,29,9,2009,15,30,1
2,7,29,9,2009,8,0,1
7,8,20,9,2009,17,0,1
5,6,18,9,2009,6,30,1
1,6,14,9,2009,20,30,1
6,4,5,9,2009,7,0,1
5,4,4,9,2009,18,40,1
4,3,3,9,2009,16,7,1
3,1,2,9,2009,8,30,1
3,4,2,9,2009,6,45,1
2,3,1,9,2009,22,0,1
1,6,31,8,2009,8,45,1
4,5,20,8,2009,22,35,1
4,6,20,8,2009,11,0,1
3,7,19,8,2009,15,50,1
3,3,19,8,2009,12,45,1
2,4,18,8,2009,18,45,1
2,6,18,8,2009,18,28,1
2,6,18,8,2009,10,50,1
1,4,17,8,2009,15,40,1
6,6,8,8,2009,1,30,1
5,8,7,8,2009,16,0,1
2,4,4,8,2009,17,50,1
2,9,4,8,2009,13,30,1
1,9,3,8,2009,12,30,1
1,9,3,8,2009,12,0,1
7,3,26,7,2009,9,30,1
6,4,25,7,2009,17,40,1
6,4,25,7,2009,17,28,1
5,8,24,7,2009,0,5,1
4,5,23,7,2009,8,45,1
3,6,22,7,2009,13,30,1
7,2,12,7,2009,17,0,1
6,6,11,7,2009,10,30,1
5,7,10,7,2009,13,0,1
4,3,9,7,2009,11,0,1
1,8,6,7,2009,7,0,1
1,4,22,6,2009,16,30,1
4,4,11,6,2009,22,16,1
2,4,9,6,2009,22,48,1
2,4,9,6,2009,17,58,1
2,4,9,6,2009,16,41,1
1,4,8,6,2009,19,5,1
1,2,8,6,2009,7,30,1
6,9,30,5,2009,16,0,1
