"day","location","date","month","year","hour","min","EMBEZZLEMENT"
5,2,21,5,2010,12,0,1
3,8,19,5,2010,16,34,1
1,5,17,5,2010,0,1,1
7,7,9,5,2010,12,0,1
1,7,3,5,2010,15,0,1
7,2,25,4,2010,13,0,1
4,3,22,4,2010,17,0,1
3,5,21,4,2010,18,30,1
2,4,20,4,2010,0,1,1
2,5,23,3,2010,20,30,1
2,10,23,3,2010,1,51,1
2,10,23,3,2010,1,51,1
1,2,22,3,2010,16,9,1
6,4,13,3,2010,21,30,1
4,1,11,3,2010,8,0,1
2,7,9,3,2010,0,1,1
7,1,28,2,2010,19,0,1
4,2,25,2,2010,7,0,1
1,4,22,2,2010,12,0,1
6,4,13,2,2010,20,0,1
6,2,30,1,2010,21,23,1
4,2,28,1,2010,17,32,1
3,6,27,1,2010,15,0,1
2,2,26,1,2010,0,1,1
5,5,15,1,2010,12,0,1
3,3,13,1,2010,8,0,1
2,10,12,1,2010,17,30,1
1,2,11,1,2010,12,0,1
4,9,24,12,2009,14,0,1
3,1,23,12,2009,10,52,1
3,2,23,12,2009,0,1,1
1,1,21,12,2009,12,0,1
5,2,11,12,2009,0,1,1
4,4,10,12,2009,0,1,1
3,9,9,12,2009,18,44,1
6,8,14,11,2009,15,6,1
6,7,14,11,2009,14,31,1
2,8,10,11,2009,17,0,1
6,2,31,10,2009,10,0,1
4,3,29,10,2009,13,0,1
2,5,27,10,2009,8,0,1
1,5,26,10,2009,9,0,1
6,7,17,10,2009,12,0,1
5,4,16,10,2009,12,0,1
4,1,15,10,2009,0,1,1
2,9,13,10,2009,0,1,1
4,2,1,10,2009,0,1,1
4,5,1,10,2009,0,1,1
4,8,17,9,2009,10,30,1
4,9,17,9,2009,9,0,1
3,6,16,9,2009,0,1,1
7,2,6,9,2009,8,0,1
5,1,4,9,2009,15,20,1
5,1,4,9,2009,15,20,1
4,4,3,9,2009,16,0,1
2,2,1,9,2009,12,0,1
1,1,31,8,2009,12,0,1
1,6,31,8,2009,12,0,1
1,8,31,8,2009,0,1,1
6,8,22,8,2009,7,0,1
6,9,22,8,2009,0,1,1
5,9,21,8,2009,0,1,1
5,5,21,8,2009,0,1,1
3,6,19,8,2009,8,0,1
3,5,19,8,2009,0,30,1
5,3,7,8,2009,17,30,1
5,9,7,8,2009,17,0,1
3,4,5,8,2009,0,30,1
1,10,3,8,2009,0,1,1
7,8,12,7,2009,0,1,1
6,3,11,7,2009,11,30,1
6,2,11,7,2009,0,1,1
5,3,10,7,2009,11,15,1
3,2,8,7,2009,15,0,1
3,9,8,7,2009,10,0,1
6,5,27,6,2009,17,0,1
3,1,24,6,2009,6,0,1
2,6,23,6,2009,17,15,1
7,8,14,6,2009,10,0,1
5,2,12,6,2009,0,1,1
4,10,11,6,2009,12,0,1
2,10,9,6,2009,19,30,1
2,2,9,6,2009,0,1,1
1,3,8,6,2009,0,1,1
5,3,29,5,2009,14,0,1
5,7,29,5,2009,0,1,1
5,5,29,5,2009,0,1,1
4,8,14,5,2009,15,45,1
2,8,12,5,2009,21,40,1
5,2,1,5,2009,12,0,1
5,2,1,5,2009,12,0,1
4,4,30,4,2009,13,22,1
4,2,30,4,2009,8,0,1
6,6,4,4,2009,13,0,1
3,1,1,4,2009,12,0,1
2,4,31,3,2009,15,0,1
2,2,31,3,2009,0,1,1
1,8,30,3,2009,0,1,1
4,5,19,3,2009,15,0,1
4,2,19,3,2009,9,0,1
6,6,7,3,2009,14,9,1
2,3,3,3,2009,13,58,1
2,5,3,3,2009,0,1,1
1,9,2,3,2009,14,47,1
6,3,21,2,2009,13,55,1
5,2,20,2,2009,0,1,1
2,3,17,2,2009,23,15,1
3,9,4,2,2009,8,0,1
2,2,3,2,2009,8,0,1
1,2,2,2,2009,12,0,1
3,3,21,1,2009,0,1,1
2,5,20,1,2009,22,0,1
2,8,20,1,2009,0,1,1
6,5,10,1,2009,11,23,1
6,2,10,1,2009,0,1,1
5,1,9,1,2009,0,1,1
4,2,8,1,2009,19,0,1
3,1,7,1,2009,8,0,1
2,2,6,1,2009,11,0,1
1,8,5,1,2009,15,30,1
1,2,5,1,2009,12,0,1
2,1,23,12,2008,18,12,1
1,7,22,12,2008,14,20,1
5,2,12,12,2008,19,0,1
5,10,12,12,2008,15,50,1
5,1,12,12,2008,0,1,1
4,2,11,12,2008,18,0,1
4,2,11,12,2008,0,1,1
2,5,9,12,2008,12,0,1
2,4,9,12,2008,0,1,1
6,5,29,11,2008,21,0,1
2,6,11,11,2008,12,40,1
1,1,10,11,2008,12,0,1
6,2,1,11,2008,8,0,1
5,4,31,10,2008,23,0,1
5,3,31,10,2008,12,0,1
5,2,31,10,2008,12,0,1
2,4,28,10,2008,9,0,1
5,2,17,10,2008,21,0,1
3,2,15,10,2008,12,0,1
3,1,15,10,2008,9,30,1
3,3,15,10,2008,8,0,1
3,1,15,10,2008,0,1,1
3,1,15,10,2008,0,1,1
3,1,15,10,2008,0,1,1
3,1,15,10,2008,0,1,1
1,2,13,10,2008,11,53,1
5,6,3,10,2008,15,56,1
5,7,3,10,2008,12,0,1
5,6,3,10,2008,9,0,1
4,2,2,10,2008,14,11,1
4,1,2,10,2008,0,1,1
4,10,2,10,2008,0,1,1
3,5,1,10,2008,0,1,1
3,6,1,10,2008,0,1,1
3,9,1,10,2008,0,1,1
1,3,29,9,2008,10,0,1
2,2,16,9,2008,17,45,1
7,9,7,9,2008,9,0,1
6,10,6,9,2008,12,9,1
4,5,4,9,2008,0,1,1
2,1,2,9,2008,19,0,1
2,9,2,9,2008,0,1,1
2,1,2,9,2008,0,1,1
1,2,1,9,2008,15,42,1
1,8,1,9,2008,9,0,1
1,6,1,9,2008,8,0,1
7,2,24,8,2008,23,55,1
4,2,21,8,2008,10,0,1
5,1,8,8,2008,12,0,1
5,4,8,8,2008,0,1,1
4,5,7,8,2008,10,0,1
1,4,4,8,2008,12,0,1
6,1,26,7,2008,12,0,1
2,9,22,7,2008,10,0,1
6,8,12,7,2008,10,0,1
1,5,7,7,2008,18,0,1
2,5,24,6,2008,8,0,1
2,4,24,6,2008,6,0,1
2,1,24,6,2008,0,1,1
1,1,23,6,2008,13,48,1
1,5,23,6,2008,0,1,1
3,2,11,6,2008,13,30,1
2,3,10,6,2008,0,1,1
7,4,1,6,2008,13,0,1
7,9,1,6,2008,12,0,1
7,4,1,6,2008,12,0,1
7,3,1,6,2008,0,1,1
6,2,31,5,2008,11,10,1
7,2,18,5,2008,20,30,1
3,3,14,5,2008,14,45,1
2,3,13,5,2008,9,0,1
4,2,1,5,2008,12,0,1
4,1,1,5,2008,9,25,1
1,5,28,4,2008,16,5,1
1,1,28,4,2008,12,0,1
1,2,28,4,2008,0,1,1
1,1,28,4,2008,0,1,1
7,9,20,4,2008,9,0,1
5,4,18,4,2008,9,0,1
2,2,15,4,2008,9,0,1
1,5,14,4,2008,0,1,1
7,1,6,4,2008,12,0,1
6,5,5,4,2008,23,0,1
3,3,2,4,2008,0,1,1
2,9,1,4,2008,8,0,1
2,2,1,4,2008,7,0,1
7,5,23,3,2008,22,0,1
4,9,20,3,2008,12,0,1
3,10,19,3,2008,9,30,1
6,2,8,3,2008,14,0,1
5,2,7,3,2008,0,1,1
1,4,3,3,2008,0,1,1
7,2,24,2,2008,10,0,1
6,2,23,2,2008,0,1,1
5,9,22,2,2008,12,0,1
4,1,21,2,2008,9,0,1
2,2,19,2,2008,8,0,1
2,1,5,2,2008,21,0,1
1,1,4,2,2008,19,27,1
6,6,26,1,2008,0,1,1
5,4,25,1,2008,12,0,1
1,3,21,1,2008,10,1,1
6,3,12,1,2008,0,1,1
1,1,7,1,2008,0,1,1
6,5,29,12,2007,0,1,1
4,3,27,12,2007,13,0,1
1,1,24,12,2007,15,17,1
6,4,15,12,2007,16,0,1
5,2,14,12,2007,15,33,1
5,2,14,12,2007,0,1,1
4,2,13,12,2007,10,0,1
3,5,12,12,2007,17,38,1
3,2,12,12,2007,15,0,1
6,6,1,12,2007,12,0,1
6,2,1,12,2007,12,0,1
5,5,30,11,2007,21,8,1
4,1,29,11,2007,15,45,1
4,8,29,11,2007,12,0,1
6,10,17,11,2007,19,40,1
6,4,17,11,2007,17,55,1
6,8,17,11,2007,15,3,1
6,3,17,11,2007,13,2,1
3,1,14,11,2007,16,0,1
3,6,14,11,2007,12,0,1
1,5,12,11,2007,17,0,1
5,1,2,11,2007,14,30,1
5,1,2,11,2007,11,0,1
4,3,1,11,2007,16,33,1
4,7,1,11,2007,0,1,1
4,4,1,11,2007,0,1,1
3,9,31,10,2007,12,0,1
3,4,31,10,2007,12,0,1
3,9,31,10,2007,8,0,1
2,5,30,10,2007,16,30,1
1,4,29,10,2007,12,6,1
1,1,29,10,2007,0,1,1
5,5,19,10,2007,17,25,1
5,2,19,10,2007,8,0,1
4,2,18,10,2007,0,1,1
1,7,15,10,2007,0,1,1
6,1,6,10,2007,15,0,1
5,8,5,10,2007,18,45,1
2,2,2,10,2007,12,0,1
1,9,1,10,2007,12,0,1
1,5,1,10,2007,10,0,1
1,9,1,10,2007,9,0,1
1,4,1,10,2007,8,0,1
1,1,1,10,2007,0,1,1
6,1,22,9,2007,0,1,1
5,5,21,9,2007,14,30,1
4,7,20,9,2007,12,0,1
3,6,19,9,2007,15,0,1
1,4,17,9,2007,11,0,1
1,5,17,9,2007,9,0,1
1,1,17,9,2007,0,1,1
6,2,8,9,2007,16,56,1
6,2,8,9,2007,0,1,1
5,4,7,9,2007,9,30,1
2,5,4,9,2007,10,0,1
1,9,3,9,2007,0,1,1
5,5,24,8,2007,18,0,1
5,2,24,8,2007,0,1,1
4,1,23,8,2007,12,0,1
2,4,21,8,2007,10,0,1
1,1,20,8,2007,12,0,1
1,1,20,8,2007,8,0,1
7,6,12,8,2007,16,40,1
5,10,10,8,2007,21,30,1
4,1,9,8,2007,1,0,1
1,5,6,8,2007,10,0,1
7,2,15,7,2007,15,37,1
7,2,15,7,2007,13,50,1
7,6,15,7,2007,12,0,1
7,2,15,7,2007,9,0,1
7,4,1,7,2007,14,0,1
7,9,1,7,2007,9,0,1
7,4,1,7,2007,8,0,1
6,6,30,6,2007,19,45,1
5,2,29,6,2007,12,0,1
5,10,29,6,2007,1,3,1
4,5,28,6,2007,0,1,1
3,3,27,6,2007,14,0,1
5,3,15,6,2007,20,6,1
5,3,15,6,2007,14,28,1
1,5,11,6,2007,15,30,1
1,10,11,6,2007,14,0,1
1,8,11,6,2007,0,1,1
7,10,3,6,2007,19,48,1
5,7,1,6,2007,12,0,1
5,5,1,6,2007,12,0,1
5,2,1,6,2007,9,0,1
5,7,1,6,2007,0,2,1
5,1,1,6,2007,0,1,1
5,1,1,6,2007,0,1,1
5,5,1,6,2007,0,1,1
7,3,20,5,2007,19,0,1
4,10,17,5,2007,16,7,1
2,2,15,5,2007,18,11,1
7,7,6,5,2007,13,0,1
6,1,5,5,2007,21,0,1
6,1,5,5,2007,21,0,1
2,3,1,5,2007,12,0,1
2,4,1,5,2007,0,1,1
2,6,1,5,2007,0,1,1
2,6,1,5,2007,0,1,1
7,5,22,4,2007,16,2,1
7,4,22,4,2007,9,30,1
5,4,20,4,2007,11,0,1
3,7,18,4,2007,9,0,1
6,4,7,4,2007,2,30,1
5,5,6,4,2007,12,0,1
4,3,5,4,2007,16,30,1
3,8,21,3,2007,15,0,1
3,10,21,3,2007,12,0,1
2,8,20,3,2007,17,0,1
1,2,19,3,2007,0,1,1
7,8,11,3,2007,8,0,1
3,6,7,3,2007,12,0,1
1,1,5,3,2007,17,0,1
7,1,25,2,2007,15,45,1
4,1,22,2,2007,0,1,1
3,2,21,2,2007,16,37,1
3,1,21,2,2007,9,21,1
2,6,20,2,2007,13,0,1
2,6,20,2,2007,0,1,1
1,10,19,2,2007,15,45,1
7,3,11,2,2007,15,0,1
5,8,9,2,2007,12,0,1
3,1,7,2,2007,14,45,1
3,1,7,2,2007,12,30,1
3,8,7,2,2007,12,0,1
2,5,6,2,2007,0,1,1
7,8,28,1,2007,23,55,1
6,1,27,1,2007,16,0,1
6,2,27,1,2007,12,0,1
5,10,26,1,2007,9,0,1
5,4,26,1,2007,9,0,1
5,2,26,1,2007,0,1,1
4,5,11,1,2007,22,0,1
5,9,29,12,2006,9,0,1
5,4,29,12,2006,0,1,1
4,2,28,12,2006,14,20,1
4,6,28,12,2006,11,0,1
4,2,28,12,2006,0,1,1
2,9,26,12,2006,15,0,1
7,4,17,12,2006,8,0,1
7,2,17,12,2006,0,1,1
5,5,15,12,2006,11,40,1
3,8,13,12,2006,9,0,1
3,4,13,12,2006,0,35,1
1,1,11,12,2006,1,0,1
5,10,1,12,2006,13,17,1
5,3,1,12,2006,8,0,1
4,6,30,11,2006,22,20,1
3,8,29,11,2006,0,1,1
1,9,27,11,2006,19,0,1
1,3,27,11,2006,12,0,1
4,6,16,11,2006,10,0,1
1,2,13,11,2006,14,0,1
1,1,13,11,2006,0,1,1
7,8,5,11,2006,12,0,1
5,2,3,11,2006,13,35,1
5,8,3,11,2006,12,0,1
4,10,2,11,2006,10,0,1
3,10,1,11,2006,20,28,1
3,4,1,11,2006,12,0,1
3,2,1,11,2006,11,0,1
3,4,1,11,2006,0,1,1
3,2,1,11,2006,0,1,1
2,1,31,10,2006,17,0,1
5,4,20,10,2006,17,0,1
5,1,20,10,2006,15,30,1
5,2,6,10,2006,11,0,1
2,4,3,10,2006,10,22,1
2,9,3,10,2006,8,0,1
5,1,22,9,2006,12,0,1
1,3,18,9,2006,0,1,1
3,2,6,9,2006,10,0,1
2,4,5,9,2006,12,0,1
1,9,21,8,2006,7,0,1
1,5,21,8,2006,0,1,1
6,2,12,8,2006,15,0,1
4,10,27,7,2006,14,20,1
3,6,26,7,2006,14,33,1
2,2,25,7,2006,12,0,1
1,2,24,7,2006,12,1,1
5,10,14,7,2006,14,0,1
6,2,1,7,2006,9,0,1
1,3,26,6,2006,11,0,1
7,8,18,6,2006,15,0,1
6,1,17,6,2006,9,30,1
2,10,13,6,2006,18,15,1
2,1,13,6,2006,12,1,1
4,2,1,6,2006,15,20,1
4,2,1,6,2006,10,0,1
4,5,1,6,2006,10,0,1
4,5,1,6,2006,0,1,1
4,3,1,6,2006,0,1,1
4,7,1,6,2006,0,1,1
5,4,19,5,2006,8,0,1
4,2,18,5,2006,9,56,1
2,1,16,5,2006,0,1,1
5,9,5,5,2006,15,34,1
3,2,3,5,2006,8,0,1
1,8,1,5,2006,16,0,1
1,2,1,5,2006,8,0,1
1,4,1,5,2006,8,0,1
1,5,1,5,2006,0,1,1
6,4,22,4,2006,21,0,1
6,6,8,4,2006,0,1,1
5,1,7,4,2006,12,0,1
4,2,6,4,2006,0,1,1
3,2,5,4,2006,16,0,1
7,5,26,3,2006,12,0,1
3,10,22,3,2006,16,0,1
