"day","location","date","month","year","hour","min","BRIBERY"
2,4,10,1,2012,3,4,1
2,4,10,1,2012,1,15,1
1,2,9,1,2012,20,20,1
5,3,2,12,2011,23,0,1
5,3,2,12,2011,23,0,1
3,5,30,11,2011,19,58,1
2,4,29,11,2011,15,45,1
1,3,28,11,2011,9,30,1
4,3,3,11,2011,10,30,1
2,8,4,10,2011,16,28,1
4,7,22,9,2011,21,30,1
5,2,26,8,2011,23,0,1
4,3,11,8,2011,18,15,1
2,3,9,8,2011,14,30,1
1,4,8,8,2011,2,20,1
7,4,31,7,2011,22,15,1
2,4,26,7,2011,11,47,1
3,3,15,6,2011,14,53,1
3,1,18,5,2011,19,45,1
2,9,17,5,2011,15,15,1
4,3,7,4,2011,19,0,1
4,1,24,3,2011,16,59,1
7,2,13,3,2011,4,10,1
4,8,10,3,2011,15,20,1
3,9,23,2,2011,5,0,1
7,4,16,1,2011,23,0,1
7,2,16,1,2011,17,13,1
6,9,15,1,2011,18,22,1
4,8,13,1,2011,5,0,1
1,9,10,1,2011,11,49,1
1,8,27,12,2010,6,45,1
1,8,29,11,2010,14,20,1
7,8,21,11,2010,7,0,1
4,9,18,11,2010,9,49,1
3,2,17,11,2010,12,10,1
6,2,23,10,2010,21,0,1
4,8,21,10,2010,0,1,1
2,10,19,10,2010,13,15,1
2,8,21,9,2010,0,1,1
7,3,12,9,2010,17,0,1
5,4,10,9,2010,11,0,1
7,2,15,8,2010,22,19,1
4,1,29,7,2010,12,0,1
2,2,27,7,2010,10,30,1
5,2,2,7,2010,6,25,1
3,2,30,6,2010,10,30,1
6,5,19,6,2010,19,17,1
4,5,17,6,2010,10,14,1
1,8,14,6,2010,17,0,1
2,2,1,6,2010,14,25,1
4,3,20,5,2010,14,0,1
2,4,18,5,2010,3,51,1
3,9,21,4,2010,8,0,1
2,9,20,4,2010,21,40,1
3,8,10,3,2010,14,3,1
1,3,8,3,2010,16,29,1
7,3,28,2,2010,12,7,1
7,7,14,2,2010,21,0,1
3,4,27,1,2010,2,5,1
1,3,25,1,2010,1,25,1
5,3,25,12,2009,13,40,1
4,7,26,11,2009,21,20,1
2,10,24,11,2009,9,27,1
2,8,13,10,2009,22,49,1
3,5,30,9,2009,11,0,1
3,8,30,9,2009,3,0,1
2,8,1,9,2009,0,23,1
1,9,31,8,2009,2,36,1
6,2,8,8,2009,23,49,1
7,4,26,7,2009,1,45,1
6,3,25,7,2009,9,40,1
7,3,28,6,2009,20,30,1
5,10,26,6,2009,9,35,1
5,3,12,6,2009,11,30,1
1,4,8,6,2009,5,45,1
1,8,11,5,2009,19,30,1
4,4,30,4,2009,23,38,1
3,2,18,3,2009,18,37,1
7,3,11,1,2009,17,0,1
3,3,7,1,2009,16,0,1
6,3,15,11,2008,20,55,1
4,4,16,10,2008,2,20,1
6,5,20,9,2008,11,51,1
5,7,19,9,2008,6,2,1
4,2,18,9,2008,23,30,1
4,4,18,9,2008,16,15,1
5,9,22,8,2008,18,0,1
7,3,10,8,2008,18,0,1
6,8,9,8,2008,19,15,1
5,5,30,5,2008,12,38,1
6,4,17,5,2008,17,0,1
5,8,16,5,2008,10,0,1
3,5,14,5,2008,9,50,1
7,8,4,5,2008,1,15,1
4,4,1,5,2008,7,30,1
5,8,21,3,2008,3,30,1
2,1,18,3,2008,0,30,1
7,4,9,3,2008,12,30,1
6,1,9,2,2008,4,0,1
2,10,5,2,2008,2,39,1
4,3,24,1,2008,17,0,1
6,2,29,12,2007,3,18,1
6,7,15,12,2007,11,0,1
3,8,31,10,2007,1,10,1
7,4,21,10,2007,17,0,1
5,4,19,10,2007,12,0,1
2,9,16,10,2007,20,38,1
4,4,4,10,2007,19,15,1
6,8,22,9,2007,23,30,1
4,10,9,8,2007,13,0,1
7,1,29,7,2007,9,50,1
6,10,28,7,2007,18,40,1
2,3,10,7,2007,13,30,1
5,2,29,6,2007,9,30,1
5,5,29,6,2007,1,0,1
7,8,17,6,2007,5,0,1
4,8,31,5,2007,22,10,1
3,2,30,5,2007,14,6,1
3,1,16,5,2007,13,15,1
2,8,20,2,2007,16,20,1
4,4,8,2,2007,10,30,1
3,8,7,2,2007,23,5,1
4,8,25,1,2007,0,45,1
6,2,13,1,2007,22,33,1
6,3,30,12,2006,15,10,1
1,9,25,12,2006,19,55,1
7,6,17,12,2006,19,40,1
3,8,29,11,2006,19,0,1
1,4,27,11,2006,16,30,1
1,5,16,10,2006,14,33,1
5,8,6,10,2006,15,40,1
3,3,20,9,2006,12,0,1
2,2,19,9,2006,19,20,1
5,2,25,8,2006,14,58,1
1,6,21,8,2006,22,50,1
5,4,11,8,2006,17,16,1
4,3,10,8,2006,18,0,1
1,4,29,5,2006,15,10,1
4,7,4,5,2006,14,0,1
5,3,24,2,2006,0,1,1
7,10,29,1,2006,23,25,1
5,4,13,1,2006,18,40,1
2,6,10,1,2006,15,20,1
7,5,18,12,2005,20,0,1
7,2,4,12,2005,7,53,1
3,3,16,11,2005,11,20,1
4,4,20,10,2005,20,0,1
1,6,3,10,2005,15,20,1
7,4,25,9,2005,12,45,1
4,8,22,9,2005,13,0,1
1,3,5,9,2005,19,5,1
2,4,9,8,2005,20,0,1
6,8,18,6,2005,15,45,1
7,8,5,6,2005,17,14,1
1,5,30,5,2005,1,45,1
1,8,16,5,2005,16,45,1
5,4,6,5,2005,17,19,1
1,8,2,5,2005,0,1,1
1,2,21,3,2005,15,15,1
3,8,26,1,2005,18,30,1
2,8,11,1,2005,18,15,1
5,5,29,10,2004,16,0,1
5,2,29,10,2004,12,0,1
2,8,12,10,2004,8,0,1
1,3,30,8,2004,13,0,1
1,9,16,8,2004,13,40,1
7,4,25,7,2004,22,0,1
7,3,25,7,2004,12,45,1
4,4,10,6,2004,14,55,1
2,8,11,5,2004,21,30,1
5,3,30,4,2004,23,0,1
1,8,26,4,2004,0,1,1
2,3,30,3,2004,3,9,1
6,8,20,3,2004,20,0,1
3,4,18,2,2004,19,15,1
1,3,16,2,2004,9,50,1
6,3,7,2,2004,23,30,1
4,9,22,1,2004,21,30,1
5,2,9,1,2004,11,0,1
2,4,23,12,2003,21,50,1
6,5,13,12,2003,23,30,1
6,4,13,12,2003,9,30,1
6,8,18,10,2003,22,51,1
4,9,16,10,2003,17,0,1
7,10,5,10,2003,22,45,1
5,10,19,9,2003,13,15,1
4,2,21,8,2003,10,0,1
2,8,10,6,2003,16,20,1
3,1,30,4,2003,21,45,1
2,3,1,4,2003,20,30,1
5,4,7,2,2003,17,55,1
5,8,1,7,2005,12,32,0
3,3,18,2,2015,9,47,0
2,4,23,3,2010,17,36,0
7,3,15,8,2010,20,28,0
4,1,7,10,2010,15,18,0
6,9,11,8,2012,16,30,0
7,4,26,2,2006,19,20,0
3,6,14,11,2012,7,15,0
1,8,10,12,2012,22,0,0
2,2,3,4,2007,21,30,0
2,1,18,3,2008,12,30,0
6,1,18,4,2015,11,15,0
4,2,18,9,2014,13,0,0
4,5,19,3,2015,20,0,0
7,2,11,7,2004,18,0,0
7,1,14,2,2010,19,30,0
7,9,23,3,2008,0,15,0
4,5,29,6,2006,18,0,0
1,8,16,10,2006,9,50,0
5,8,21,9,2012,10,4,0
1,2,5,8,2013,22,23,0
2,7,1,4,2003,9,30,0
7,4,27,12,2009,20,0,0
5,1,2,7,2010,17,0,0
1,2,27,6,2011,8,0,0
5,6,5,5,2006,23,0,0
1,4,24,1,2005,7,30,0
1,9,13,10,2008,20,30,0
7,4,20,4,2003,20,20,0
3,1,16,4,2014,22,41,0
7,4,5,4,2009,21,20,0
3,3,25,8,2010,20,20,0
3,6,11,1,2006,9,48,0
7,9,15,7,2007,7,30,0
6,3,20,11,2010,23,31,0
4,10,15,6,2006,16,50,0
1,4,17,2,2014,9,35,0
5,2,4,4,2014,21,47,0
6,6,31,5,2003,15,30,0
7,7,10,8,2003,0,15,0
4,9,26,11,2009,16,0,0
6,5,21,8,2004,0,15,0
5,1,19,9,2014,12,0,0
4,10,3,9,2009,17,0,0
4,6,6,2,2003,22,0,0
2,1,15,11,2005,10,9,0
4,5,29,12,2011,10,30,0
7,1,30,7,2006,8,48,0
2,3,11,5,2004,20,40,0
6,5,4,9,2004,20,57,0
3,3,11,6,2014,20,0,0
1,9,26,11,2007,19,0,0
6,8,25,2,2006,7,0,0
4,2,6,8,2009,16,0,0
4,2,6,4,2006,21,45,0
2,6,10,1,2006,15,25,0
4,2,14,1,2010,18,0,0
4,1,23,2,2006,19,30,0
4,10,8,1,2004,18,10,0
4,5,2,5,2013,21,7,0
3,3,27,12,2006,8,45,0
6,8,22,3,2008,19,30,0
5,4,18,11,2005,6,50,0
4,10,10,1,2008,23,40,0
5,2,27,8,2010,22,30,0
4,4,6,2,2003,18,0,0
2,10,17,4,2007,15,1,0
3,2,12,12,2007,0,1,0
2,1,25,11,2014,13,30,0
5,5,14,7,2006,22,0,0
7,2,9,4,2006,12,0,0
6,2,25,3,2006,1,30,0
5,6,12,12,2003,11,15,0
3,5,19,9,2012,1,6,0
6,5,12,7,2003,18,20,0
5,4,20,4,2007,23,55,0
6,8,1,6,2013,8,0,0
4,2,26,8,2010,19,0,0
5,10,20,5,2005,20,25,0
3,10,22,7,2009,13,5,0
7,7,17,5,2009,14,0,0
5,6,28,5,2004,17,6,0
7,9,18,11,2007,16,30,0
2,6,17,9,2013,6,23,0
5,10,14,11,2003,11,10,0
4,3,8,9,2005,22,2,0
3,4,20,8,2014,12,0,0
4,2,6,5,2010,8,0,0
2,2,15,5,2007,16,0,0
4,2,9,8,2012,17,0,0
3,4,27,6,2012,16,47,0
7,8,13,2,2011,9,0,0
4,8,16,11,2006,17,0,0
6,10,23,4,2005,23,9,0
6,5,21,4,2012,13,15,0
2,9,3,9,2013,22,55,0
1,1,9,1,2006,13,0,0
2,10,16,11,2010,8,30,0
5,9,2,7,2010,12,0,0
7,4,6,9,2009,9,30,0
7,7,8,4,2012,12,46,0
2,3,25,1,2005,23,37,0
5,1,31,12,2010,16,20,0
7,3,13,8,2006,9,59,0
6,10,24,8,2013,11,0,0
3,4,31,10,2012,19,10,0
2,2,16,9,2003,17,0,0
3,7,21,3,2007,20,0,0
3,8,13,5,2009,14,5,0
2,9,17,9,2013,12,0,0
6,7,19,4,2014,14,0,0
5,10,10,1,2003,21,44,0
2,2,30,10,2007,14,30,0
2,10,20,9,2005,19,30,0
5,2,6,5,2005,6,0,0
2,2,4,9,2012,21,0,0
4,6,15,12,2005,22,54,0
6,2,15,7,2006,23,0,0
6,10,25,8,2007,22,16,0
3,5,6,10,2010,12,0,0
1,4,18,2,2008,0,11,0
6,3,14,6,2003,18,35,0
3,10,5,10,2005,16,0,0
7,1,19,10,2014,18,30,0
3,2,20,8,2003,14,22,0
4,4,30,10,2008,13,36,0
2,7,8,3,2005,23,0,0
4,4,7,8,2003,13,10,0
5,5,8,4,2011,2,25,0
7,5,15,7,2012,14,30,0
3,3,30,11,2005,17,30,0
1,9,16,5,2005,12,0,0
5,7,28,11,2014,23,59,0
1,8,17,3,2003,10,52,0
7,10,12,2,2006,0,19,0
4,10,15,6,2006,7,25,0
1,10,4,9,2006,8,30,0
4,2,30,10,2008,13,23,0
5,1,14,1,2011,20,41,0
3,3,11,1,2012,17,0,0
2,4,8,1,2008,14,35,0
3,3,21,9,2005,22,30,0
3,2,24,12,2014,12,15,0
4,2,13,1,2005,9,38,0
5,5,29,11,2013,18,0,0
6,10,15,11,2003,16,20,0
3,4,11,1,2006,14,30,0
7,2,6,6,2010,2,30,0
1,6,21,1,2008,10,40,0
4,9,22,3,2012,22,10,0
2,9,25,11,2008,15,0,0
2,3,20,1,2015,7,45,0
2,9,14,4,2009,12,4,0
2,4,28,6,2005,10,45,0
2,10,20,1,2009,0,10,0
2,2,26,7,2005,15,15,0
5,9,7,4,2006,15,36,0
6,10,31,5,2008,7,37,0
7,5,7,3,2004,18,30,0
2,9,2,5,2006,21,27,0
7,7,29,1,2012,13,12,0
6,5,18,11,2006,12,30,0
7,10,23,8,2009,7,20,0
6,10,4,4,2015,17,7,0
1,10,25,1,2010,20,12,0
2,3,30,9,2014,23,3,0
7,3,30,11,2014,19,0,0
5,4,17,5,2013,23,23,0
1,9,18,3,2013,18,0,0
2,2,7,7,2009,14,49,0
2,1,2,3,2004,10,0,0
3,5,10,7,2013,2,22,0
3,10,30,10,2013,23,25,0
3,1,13,7,2005,1,25,0
2,2,17,9,2013,3,45,0
3,3,30,6,2010,3,9,0
3,8,14,11,2007,11,0,0
6,3,27,8,2005,19,53,0
4,4,21,4,2005,17,30,0
7,9,28,12,2008,12,0,0
7,3,20,5,2007,8,30,0
4,9,22,1,2009,11,0,0
4,4,30,12,2010,1,10,0
3,2,7,3,2007,18,0,0
7,5,13,7,2003,20,0,0
3,5,11,1,2012,23,47,0
4,3,4,3,2004,13,40,0
3,5,16,11,2011,21,45,0
7,2,13,3,2011,10,25,0
4,10,24,8,2006,12,0,0
2,10,14,4,2015,23,20,0
3,5,10,7,2013,12,22,0
5,2,23,8,2013,14,25,0
5,10,2,5,2014,13,35,0
7,7,12,8,2007,12,0,0
3,7,23,3,2011,14,44,0
7,1,23,2,2014,2,30,0
1,10,21,1,2013,14,15,0
7,5,8,2,2004,0,30,0
6,7,1,7,2006,9,0,0
4,4,22,1,2015,9,47,0
4,1,23,3,2006,0,1,0
1,5,29,3,2004,23,30,0
2,3,22,3,2005,8,0,0
5,4,3,6,2005,9,0,0
6,4,8,10,2011,22,0,0
1,1,7,6,2004,23,0,0
3,5,23,3,2005,8,50,0
2,9,27,11,2007,21,17,0
3,10,9,3,2011,5,45,0
6,2,24,1,2015,11,30,0
7,10,8,2,2004,8,0,0
7,10,11,4,2010,11,30,0
7,8,4,6,2006,2,0,0
5,6,6,3,2015,22,0,0
3,1,10,1,2007,15,30,0
3,4,26,11,2003,15,0,0
5,1,12,2,2010,17,35,0
2,9,25,11,2014,15,15,0
1,5,29,9,2003,6,0,0
2,8,18,2,2014,18,0,0
5,10,10,2,2012,14,50,0
1,10,19,7,2004,16,50,0
6,3,15,11,2008,17,15,0
5,10,10,1,2003,12,42,0
5,4,23,9,2005,19,30,0
5,2,12,12,2014,10,55,0
5,5,29,6,2012,17,30,0
5,5,22,8,2014,19,0,0
6,10,29,11,2003,10,38,0
3,7,14,5,2014,10,43,0
4,3,24,12,2009,0,20,0
1,10,10,11,2008,6,49,0
6,10,17,5,2014,17,8,0
5,9,20,2,2009,17,30,0
6,10,3,6,2006,8,30,0
4,8,5,9,2013,23,30,0
2,7,29,10,2013,11,30,0
4,4,13,5,2004,20,2,0
1,8,1,9,2003,21,50,0
3,5,29,10,2008,8,0,0
2,1,7,8,2007,22,0,0
2,9,2,11,2010,22,0,0
1,9,23,6,2008,19,10,0
6,2,17,4,2004,23,45,0
7,2,15,12,2013,13,45,0
4,3,23,8,2012,8,48,0
2,6,26,10,2004,20,30,0
7,10,10,8,2014,18,50,0
1,5,3,3,2008,11,0,0
5,10,23,9,2011,17,17,0
4,8,28,6,2012,10,0,0
4,3,25,3,2010,23,46,0
2,4,25,11,2014,19,20,0
6,1,30,7,2011,13,0,0
3,6,2,5,2007,23,0,0
2,1,11,11,2003,18,10,0
5,8,20,2,2004,17,0,0
5,10,2,5,2003,19,0,0
1,4,12,12,2011,22,25,0
1,10,18,2,2013,19,0,0
3,3,1,6,2011,18,30,0
5,4,21,8,2009,17,38,0
7,2,23,8,2009,22,10,0
6,1,8,10,2005,11,42,0
5,3,2,5,2003,7,40,0
5,4,19,3,2004,17,45,0
1,3,11,6,2012,16,1,0
5,3,2,5,2003,14,20,0
5,8,17,6,2011,15,2,0
5,1,1,5,2009,20,53,0
6,9,7,5,2011,16,20,0
3,10,15,6,2005,12,20,0
2,4,14,10,2003,0,55,0
6,6,12,3,2011,13,0,0
5,8,11,3,2005,16,30,0
1,1,3,9,2012,1,1,0
1,8,18,9,2006,8,21,0
4,4,8,9,2005,11,0,0
7,3,4,10,2009,17,45,0
7,2,4,4,2004,12,46,0
3,2,7,9,2011,18,24,0
1,2,30,8,2004,15,45,0
3,10,27,1,2010,5,4,0
1,6,11,5,2015,19,0,0
1,2,17,10,2005,8,0,0
2,8,2,9,2008,8,52,0
6,9,29,11,2014,12,56,0
5,7,1,6,2007,14,0,0
5,3,23,4,2010,21,48,0
7,2,10,3,2013,3,10,0
6,9,8,4,2006,19,36,0
1,4,13,9,2004,10,6,0
1,1,13,5,2013,15,4,0
3,9,18,2,2015,16,15,0
6,9,11,2,2006,8,0,0
6,2,29,5,2004,16,45,0
7,5,28,7,2013,11,0,0
5,10,1,11,2013,15,0,0
1,6,30,3,2009,17,0,0
3,5,26,11,2008,10,50,0
2,1,28,4,2015,22,0,0
1,2,20,2,2012,9,0,0
3,8,12,11,2003,20,30,0
4,8,20,2,2003,12,45,0
3,4,1,12,2010,7,0,0
5,2,7,3,2003,23,30,0
3,9,9,1,2013,23,0,0
7,6,8,2,2004,12,30,0
2,2,13,5,2008,9,45,0
5,2,10,8,2007,14,45,0
7,6,4,7,2010,18,0,0
2,2,11,1,2011,12,59,0
5,2,29,5,2009,19,8,0
1,2,24,12,2007,2,56,0
2,5,14,10,2003,15,0,0
3,6,23,6,2004,9,30,0
2,3,15,5,2012,11,40,0
7,5,9,2,2014,23,17,0
6,7,1,1,2011,12,0,0
3,8,4,4,2012,11,50,0
2,2,30,5,2006,22,37,0
4,5,18,5,2006,8,5,0
7,5,10,2,2013,15,0,0
7,4,21,9,2014,21,39,0
6,8,3,5,2014,12,15,0
1,4,25,11,2013,15,45,0
7,9,1,1,2006,0,1,0
3,1,30,11,2011,20,25,0
7,6,4,6,2006,21,57,0
3,4,1,11,2006,19,59,0
6,9,24,1,2009,1,15,0
4,4,25,11,2004,15,45,0
1,2,9,6,2014,16,30,0
4,3,22,1,2004,12,24,0
3,8,5,9,2012,13,40,0
2,6,11,12,2012,14,0,0
5,10,30,10,2009,8,15,0
1,10,24,12,2007,19,10,0
2,3,27,4,2004,0,1,0
1,4,8,3,2010,15,0,0
1,3,13,5,2013,16,50,0
6,5,22,9,2007,16,15,0
7,3,24,2,2008,7,0,0
4,4,6,4,2006,1,35,0
6,4,9,2,2013,8,0,0
3,5,18,8,2004,9,0,0
5,5,8,9,2006,23,0,0
3,2,8,8,2007,11,5,0
6,4,6,10,2012,20,3,0
1,2,14,10,2013,9,30,0
6,10,14,6,2008,0,1,0
4,2,15,10,2009,14,50,0
7,8,20,10,2013,21,35,0
1,3,25,6,2012,18,0,0
1,7,17,2,2003,23,0,0
6,3,24,1,2004,10,3,0
3,2,31,10,2012,21,0,0
1,10,21,2,2011,13,1,0
2,6,13,6,2006,18,30,0
2,5,23,12,2014,1,0,0
5,10,20,5,2011,3,30,0
1,3,10,11,2003,13,50,0
2,3,10,8,2010,12,0,0
6,4,10,1,2009,8,0,0
6,5,24,7,2004,19,30,0
5,10,2,6,2006,10,20,0
3,3,4,2,2004,8,0,0
6,1,21,3,2015,20,15,0
3,3,12,11,2003,10,0,0
1,9,11,6,2007,6,45,0
5,2,12,7,2013,17,59,0
3,3,12,11,2003,16,0,0
3,3,8,2,2012,19,32,0
4,2,14,6,2012,18,15,0
6,2,17,11,2007,12,0,0
3,5,4,9,2013,18,0,0
7,8,22,2,2015,0,1,0
1,10,2,8,2004,12,30,0
2,2,4,3,2008,22,19,0
7,10,2,6,2013,17,0,0
2,3,1,11,2005,19,0,0
6,5,12,7,2003,11,0,0
3,9,8,8,2007,0,1,0
2,2,13,5,2014,5,30,0
2,5,18,3,2014,23,0,0
1,1,1,4,2013,9,0,0
4,10,15,4,2004,16,15,0
2,4,15,4,2008,22,30,0
6,4,13,8,2011,23,50,0
2,10,18,3,2003,23,30,0
4,7,7,9,2006,8,30,0
6,3,24,9,2011,14,30,0
5,1,1,12,2006,3,34,0
3,9,28,5,2008,9,35,0
4,2,9,2,2006,21,0,0
7,1,16,1,2011,0,10,0
6,7,30,11,2013,22,0,0
3,2,27,10,2004,19,25,0
6,5,17,12,2005,23,45,0
3,5,17,9,2014,19,0,0
6,10,13,11,2004,8,0,0
6,1,22,10,2011,22,20,0
6,2,8,2,2014,0,14,0
2,3,19,4,2005,20,0,0
1,9,28,11,2011,20,30,0
3,8,12,5,2004,18,30,0
3,1,9,8,2006,15,15,0
5,9,31,10,2003,7,30,0
3,10,10,7,2013,11,0,0
1,6,11,5,2015,12,0,0
5,10,29,11,2013,23,59,0
2,3,16,11,2010,19,20,0
4,4,14,11,2013,0,1,0
7,8,8,10,2006,23,0,0
5,10,1,7,2005,23,0,0
2,2,30,11,2010,12,15,0
6,2,7,2,2015,16,20,0
7,4,5,11,2006,14,26,0
3,1,20,4,2005,21,20,0
1,4,1,4,2013,14,34,0
3,4,8,3,2006,21,42,0
1,1,14,5,2007,18,0,0
4,10,29,5,2014,19,30,0
6,5,1,1,2011,0,1,0
5,2,28,12,2012,15,5,0
2,5,18,2,2003,11,19,0
7,5,21,9,2014,18,30,0
7,3,13,3,2005,13,30,0
1,6,28,4,2003,17,25,0
2,9,8,3,2005,20,30,0
1,2,28,6,2010,14,0,0
2,6,16,9,2003,18,12,0
1,10,30,5,2011,19,40,0
3,10,8,8,2007,22,1,0
1,8,15,4,2013,13,40,0
2,9,12,5,2015,22,36,0
6,4,24,3,2012,13,0,0
5,4,12,12,2008,16,46,0
4,8,21,8,2003,9,35,0
3,10,11,6,2008,0,35,0
1,2,25,12,2006,17,25,0
3,5,15,9,2004,21,0,0
2,2,8,3,2005,13,0,0
6,1,13,3,2010,6,30,0
2,4,8,12,2009,18,30,0
2,5,11,7,2006,22,0,0
6,2,4,12,2010,23,30,0
2,1,22,7,2014,16,42,0
1,4,7,12,2009,16,25,0
1,3,12,5,2008,12,39,0
4,5,16,10,2014,18,0,0
3,5,11,6,2003,20,0,0
5,3,12,3,2010,10,0,0
1,7,13,5,2013,22,0,0
3,1,6,8,2008,20,0,0
2,4,19,10,2010,0,1,0
5,4,3,12,2010,0,1,0
2,8,10,7,2012,22,30,0
1,9,2,3,2009,16,45,0
4,8,20,10,2005,19,0,0
3,2,13,7,2011,18,30,0
6,10,26,3,2011,16,30,0
5,2,24,8,2007,11,29,0
2,2,5,10,2010,11,45,0
1,9,4,2,2013,2,31,0
7,4,6,5,2007,16,0,0
5,9,6,9,2013,17,15,0
6,2,25,9,2010,21,5,0
5,4,13,6,2003,7,22,0
5,5,6,2,2015,10,30,0
7,1,1,1,2006,23,45,0
3,4,6,8,2014,3,15,0
2,10,19,9,2006,21,0,0
6,1,19,6,2010,21,17,0
1,10,21,3,2005,14,50,0
1,2,1,5,2006,0,1,0
3,2,6,10,2010,17,32,0
7,3,12,8,2007,12,35,0
1,2,2,3,2015,14,0,0
6,4,1,1,2011,3,0,0
6,7,15,12,2012,4,50,0
7,2,29,8,2010,13,13,0
3,6,15,4,2009,19,15,0
7,3,2,1,2011,17,17,0
1,3,19,9,2005,20,0,0
2,4,4,2,2003,12,0,0
1,9,5,1,2004,19,48,0
1,2,11,10,2004,13,14,0
7,1,27,7,2008,19,0,0
1,9,11,1,2010,16,38,0
7,7,15,6,2008,21,30,0
1,7,22,12,2008,16,0,0
6,6,10,2,2007,22,0,0
4,5,26,7,2012,6,30,0
6,3,27,7,2013,12,0,0
3,10,26,7,2006,14,5,0
4,2,14,12,2006,15,0,0
6,2,10,7,2004,15,30,0
1,5,18,4,2005,14,40,0
4,4,23,8,2012,21,7,0
4,7,11,8,2005,0,1,0
3,2,7,2,2007,18,13,0
4,3,9,3,2006,7,19,0
3,8,19,4,2006,3,10,0
4,8,9,8,2012,11,56,0
1,5,27,6,2005,22,24,0
5,4,11,6,2004,16,47,0
4,5,24,8,2006,7,20,0
3,1,4,2,2015,8,29,0
4,8,5,2,2004,23,0,0
1,3,11,10,2004,13,53,0
6,7,30,7,2011,17,45,0
2,1,29,9,2009,12,45,0
5,4,19,9,2014,17,6,0
7,8,15,6,2008,13,20,0
4,6,12,12,2013,7,30,0
7,5,2,12,2012,22,45,0
5,8,12,3,2010,9,21,0
6,8,12,7,2003,14,30,0
2,5,27,7,2010,16,10,0
4,5,11,6,2009,16,31,0
2,2,26,7,2011,1,0,0
4,1,5,5,2005,4,0,0
7,3,22,9,2013,16,5,0
4,10,8,2,2007,20,15,0
1,5,19,2,2007,9,0,0
1,8,31,10,2011,21,10,0
2,5,6,2,2007,20,16,0
3,1,8,7,2009,12,50,0
4,1,15,11,2007,13,0,0
